assetId|assetName|firstRole
2131034566|vfx8_warrior_slash_primary|PRIMARY
2131034564|vfx8_warrior_slash_contact|CONTACT
2131034562|vfx8_warrior_heavy_anticipation|SECONDARY
2131034563|vfx8_warrior_heavy_primary|PRIMARY
2131034552|vfx6_warrior_heavy_contact|CONTACT
2131034553|vfx6_warrior_heavy_debris|DEBRIS
2131034555|vfx7_warrior_charge_anticipation|SECONDARY
2131034560|vfx8_warrior_charge_primary|PRIMARY
2131034557|vfx7_warrior_charge_debris|DEBRIS
2131034556|vfx7_warrior_charge_contact|CONTACT
2131034561|vfx8_warrior_earth_primary|PRIMARY
2131034559|vfx7_warrior_earth_anticipation|SECONDARY
2131034550|vfx6_warrior_earth_contact|CONTACT
2131034551|vfx6_warrior_earth_debris|DEBRIS
2131034576|vfx_warrior_01|PRIMARY
2131034578|vfx_warrior_03|PRIMARY
2131034554|vfx6_warrior_heavy_echo|RESIDUAL
2131034558|vfx7_warrior_charge_echo|RESIDUAL
2131034324|vfx2_warrior_earth_residual|RESIDUAL
2131034579|vfx_warrior_04|PRIMARY
2131034580|vfx_warrior_05|PRIMARY
2131034581|vfx_warrior_06|PRIMARY
2131034577|vfx_warrior_02|PRIMARY
2131034565|vfx8_warrior_slash_echo|FINISHER_ECHO
2131034583|vfx_warrior_08|PRIMARY
2131034582|vfx_warrior_07|PRIMARY
2131034584|vfx_warrior_09|PRIMARY
2131034585|vfx_warrior_10|PRIMARY
2131034189|vfx11_warrior_genesis_01|PRIMARY
2131034190|vfx11_warrior_genesis_02|PRIMARY
2131034191|vfx11_warrior_genesis_03|PRIMARY
2131034192|vfx11_warrior_genesis_04|PRIMARY
2131034193|vfx11_warrior_genesis_05|PRIMARY
2131034194|vfx11_warrior_genesis_06|PRIMARY
2131034195|vfx11_warrior_genesis_07|PRIMARY
2131034196|vfx11_warrior_genesis_08|PRIMARY
2131034197|vfx11_warrior_genesis_09|PRIMARY
2131034198|vfx11_warrior_genesis_10|PRIMARY
2131034199|vfx11_warrior_genesis_11|PRIMARY
2131034574|vfx9_rogue_blade_primary_b|PRIMARY
2131034572|vfx9_rogue_blade_contact|CONTACT
2131034573|vfx9_rogue_blade_primary_a|PRIMARY
2131034337|vfx3_rogue_secondary_pierce|SECONDARY
2131034537|vfx6_rogue_blade_debris|DEBRIS
2131034475|vfx5_rogue_shadow_low_primary_a|PRIMARY
2131034476|vfx5_rogue_shadow_low_primary_b|PRIMARY
