class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience
CLERIC,2,1,8,8,13,17,6,12,7,10,0,0,0.0,19,9,95.0,1,0,1,1,0,0,0,0,0
CLERIC,2,2,8,8,13,18,6,13,12,14,0,28,660.0,19,9,95.0,1,24,5,8,360,19,240,24,18
CLERIC,2,3,8,8,15,18,7,14,21,28,1,210,4800.0,20,9,96.0,1,202,9,14,7120,209,1668,202,8
CLERIC,2,4,8,8,16,18,7,15,24,36,1,569,13320.0,20,9,97.0,1,550,14,19,26309,560,4776,550,26
CLERIC,2,5,8,9,16,18,7,16,27,43,1,1072,25380.0,21,9,100.0,2,1081,18,24,61750,1069,9195,1081,26
CLERIC,2,6,8,9,16,20,9,16,39,55,2,1728,41460.0,22,9,102.0,2,1789,23,28,121041,1720,15247,1789,37
CLERIC,2,7,8,9,16,21,9,17,43,62,2,2548,61440.0,22,9,118.0,2,2664,27,32,207649,2534,22749,2664,26
CLERIC,2,8,8,9,16,21,9,19,47,70,2,3506,84720.0,23,10,121.0,2,3722,31,37,332201,3502,31444,3722,24
CLERIC,2,9,8,9,18,21,9,21,55,88,3,4629,111780.0,23,10,124.0,2,4988,36,43,493502,4606,41529,4988,121
CLERIC,2,10,8,10,18,21,9,22,59,96,3,5896,142320.0,24,10,132.55555555555554,3,6429,40,47,712102,5894,52878,6429,153
CLERIC,2,11,8,10,18,21,9,24,63,104,3,7324,176340.0,25,10,123.0,3,7983,44,54,964407,7310,65446,7983,13
CLERIC,2,12,8,10,18,21,10,25,70,112,3,8904,213900.0,25,10,129.5,3,9713,49,59,1287632,8885,79302,9713,113
CLERIC,2,13,8,11,18,21,13,25,84,127,4,10624,254880.0,26,10,132.5,3,11535,56,61,1668003,10610,94439,11535,47
CLERIC,2,14,9,11,18,21,13,26,88,136,4,12505,299460.0,26,10,132.5,3,13518,60,68,2127867,12482,110865,13518,159
CLERIC,2,15,9,11,20,21,14,27,99,152,5,14531,347340.0,27,10,140.66666666666666,4,15696,66,76,2649679,14510,128455,15696,155
CLERIC,2,16,9,11,20,22,14,28,103,160,5,16707,398280.0,28,11,145.0,4,18027,70,80,3260195,16697,147032,18027,201
CLERIC,2,17,9,12,20,22,15,28,108,167,5,19035,452280.0,28,11,148.33333333333334,4,20625,74,85,3956321,19021,166588,20625,167
CLERIC,2,18,9,13,20,22,18,28,120,184,6,21507,509340.0,29,11,154.33333333333334,4,23426,83,89,4739855,21485,187161,23426,0
CLERIC,2,19,9,13,21,22,19,28,126,194,6,24142,570000.0,29,11,157.33333333333334,4,26357,88,94,5604336,24124,208990,26357,248
CLERIC,2,20,10,13,22,22,21,28,140,213,7,26913,633840.0,31,11,172.72727272727272,5,29123,96,100,6587784,26888,232014,29372,42
CLERIC,2,21,10,14,22,22,22,28,148,223,7,29840,700740.0,32,11,164.25,5,31745,101,104,7693176,29833,255981,32593,60
CLERIC,2,22,10,14,22,23,23,30,161,239,8,32912,770460.0,32,12,174.75,5,33852,108,110,8889620,32905,280817,36097,95
CLERIC,2,23,10,14,22,24,25,31,176,259,9,36147,843600.0,33,12,172.5,5,36014,117,113,10206136,36137,306785,39779,29
CLERIC,2,24,11,14,22,24,25,32,181,271,9,39520,919920.0,33,12,171.25,5,38229,121,119,11668041,39503,333920,43575,255
CLERIC,2,25,12,14,22,24,27,33,192,295,10,43051,999360.0,35,12,175.4,6,40419,129,125,13247623,43047,362002,47624,192
CLERIC,2,26,12,14,22,24,28,34,198,304,10,46732,1081980.0,36,12,176.8,6,42485,136,130,14946532,46726,391176,51693,243
CLERIC,2,27,12,14,23,25,28,36,208,327,11,50553,1166880.0,36,13,185.6,6,44701,141,135,16794308,50542,420883,56088,160
CLERIC,2,28,13,15,23,25,28,38,223,346,12,54533,1255260.0,37,13,192.0,6,47029,146,139,18757300,54502,451811,60666,12
CLERIC,2,29,13,15,23,25,30,38,230,358,12,58668,1346580.0,37,13,182.6,6,49433,153,145,20939530,58646,483580,65469,280
CLERIC,2,30,15,15,23,25,32,38,246,382,13,62944,1441200.0,39,13,207.76923076923077,7,51094,160,150,23265961,62936,516586,70404,201
CLERIC,2,31,16,15,23,25,32,41,260,405,14,67373,1538460.0,41,13,189.5,7,53341,166,156,25767025,67369,550290,75531,389
CLERIC,2,32,16,16,24,25,33,42,275,428,15,71951,1638960.0,41,13,190.66666666666666,7,55578,172,161,28422742,71920,585153,80817,228
CLERIC,2,33,16,16,24,25,34,43,284,440,15,76696,1743180.0,42,14,192.0,7,57862,178,165,31310286,76676,621317,86214,314
CLERIC,2,34,16,16,25,26,35,44,299,464,16,81581,1849080.0,42,14,193.33333333333334,7,59765,184,169,34371990,81548,657621,92127,30
CLERIC,2,35,16,17,25,26,36,46,312,488,17,86622,1958460.0,43,14,220.64285714285714,8,61442,191,174,37589271,86588,695142,98132,252
