cohort,variant,level,gap_h,session_min,hero_class,calendar_days
calibration,previous_12h,20,4.0,1.0,WARRIOR,41.28864717121137
calibration,previous_12h,20,4.0,1.0,ROGUE,41.61368748497139
calibration,previous_12h,20,4.0,1.0,RANGER,41.63579108629118
calibration,previous_12h,20,4.0,1.0,MAGE,41.49700379215754
calibration,previous_12h,20,4.0,1.0,CLERIC,41.78157678961651
calibration,previous_12h,20,4.0,1.0,PALADIN,41.19407606125434
calibration,previous_12h,21,4.0,1.0,WARRIOR,45.630686274689445
calibration,previous_12h,21,4.0,1.0,ROGUE,45.9676588961833
calibration,previous_12h,21,4.0,1.0,RANGER,46.014466354035754
calibration,previous_12h,21,4.0,1.0,MAGE,45.86400376602454
calibration,previous_12h,21,4.0,1.0,CLERIC,46.158160409218354
calibration,previous_12h,21,4.0,1.0,PALADIN,45.54261721595304
calibration,previous_12h,22,4.0,1.0,WARRIOR,50.217425892353674
calibration,previous_12h,22,4.0,1.0,ROGUE,50.51530290222306
calibration,previous_12h,22,4.0,1.0,RANGER,50.536526168692
calibration,previous_12h,22,4.0,1.0,MAGE,50.425978616646745
calibration,previous_12h,22,4.0,1.0,CLERIC,50.71664394721535
calibration,previous_12h,22,4.0,1.0,PALADIN,50.06199610939358
calibration,previous_12h,23,4.0,1.0,WARRIOR,54.96876188100665
calibration,previous_12h,23,4.0,1.0,ROGUE,55.268004436997316
calibration,previous_12h,23,4.0,1.0,RANGER,55.32465301555125
calibration,previous_12h,23,4.0,1.0,MAGE,55.21648845887172
calibration,previous_12h,23,4.0,1.0,CLERIC,55.48652598983948
calibration,previous_12h,23,4.0,1.0,PALADIN,54.78934068212324
calibration,previous_12h,24,4.0,1.0,WARRIOR,59.9399697433943
calibration,previous_12h,24,4.0,1.0,ROGUE,60.213934598644855
calibration,previous_12h,24,4.0,1.0,RANGER,60.254352747802926
calibration,previous_12h,24,4.0,1.0,MAGE,60.193170480499276
calibration,previous_12h,24,4.0,1.0,CLERIC,60.444702195409235
calibration,previous_12h,24,4.0,1.0,PALADIN,59.75863424700638
calibration,previous_12h,25,4.0,1.0,WARRIOR,65.10044063574483
calibration,previous_12h,25,4.0,1.0,ROGUE,65.30555430238661
calibration,previous_12h,25,4.0,1.0,RANGER,65.39057761642653
calibration,previous_12h,25,4.0,1.0,MAGE,65.3759132487647
calibration,previous_12h,25,4.0,1.0,CLERIC,65.60183962048262
calibration,previous_12h,25,4.0,1.0,PALADIN,64.91756468338023
calibration,previous_12h,26,4.0,1.0,WARRIOR,70.45059507898517
calibration,previous_12h,26,4.0,1.0,ROGUE,70.55266830032714
calibration,previous_12h,26,4.0,1.0,RANGER,70.68991058483752
calibration,previous_12h,26,4.0,1.0,MAGE,70.70817806707576
calibration,previous_12h,26,4.0,1.0,CLERIC,70.93167729190041
calibration,previous_12h,26,4.0,1.0,PALADIN,70.26885417978517
calibration,previous_12h,27,4.0,1.0,WARRIOR,75.98002357276965
calibration,previous_12h,27,4.0,1.0,ROGUE,75.99395315172472
calibration,previous_12h,27,4.0,1.0,RANGER,76.15911896428548
calibration,previous_12h,27,4.0,1.0,MAGE,76.23469628621159
calibration,previous_12h,27,4.0,1.0,CLERIC,76.45366826249952
calibration,previous_12h,27,4.0,1.0,PALADIN,75.79537763333602
calibration,previous_12h,28,4.0,1.0,WARRIOR,81.69750160410226
calibration,previous_12h,28,4.0,1.0,ROGUE,81.69588972509439
calibration,previous_12h,28,4.0,1.0,RANGER,81.84763607361913
calibration,previous_12h,28,4.0,1.0,MAGE,81.96913330543956
calibration,previous_12h,28,4.0,1.0,CLERIC,82.18462412913917
calibration,previous_12h,28,4.0,1.0,PALADIN,81.52670229800052
calibration,previous_12h,29,4.0,1.0,WARRIOR,87.57613663893451
calibration,previous_12h,29,4.0,1.0,ROGUE,87.5674319728865
calibration,previous_12h,29,4.0,1.0,RANGER,87.70487927020015
