cohort,variant,level,gap_h,session_min,progress_gap_pct,sale_gap_pct
calibration,previous_12h,20,4.0,1.0,1.4261777045043278,2.2321921973798897
calibration,previous_12h,21,4.0,1.0,1.3515762397811937,2.2002196184889966
calibration,previous_12h,22,4.0,1.0,1.3076742613124193,2.237458757940769
calibration,previous_12h,23,4.0,1.0,1.2724834776917104,2.397014000830966
calibration,previous_12h,24,4.0,1.0,1.1480649734514792,2.3459173744459383
calibration,previous_12h,25,4.0,1.0,1.0540674784086157,2.2953996229376994
calibration,previous_12h,26,4.0,1.0,0.9432672837092149,2.1534575129438682
calibration,previous_12h,27,4.0,1.0,0.8685102571135861,2.2093615135068356
calibration,previous_12h,28,4.0,1.0,0.8070016480413722,2.3134425546427195
calibration,previous_12h,29,4.0,1.0,0.7590725849299762,2.4141519978906567
calibration,previous_12h,30,4.0,1.0,0.675403415183129,2.380884384489912
calibration,previous_12h,31,4.0,1.0,0.6153102315970216,2.3901788589796302
calibration,previous_12h,32,4.0,1.0,0.63242919524229,2.577234498464942
calibration,previous_12h,33,4.0,1.0,0.6912437402095906,2.5321944424144815
calibration,previous_12h,34,4.0,1.0,0.7534289381146753,2.6228319648278875
calibration,previous_12h,35,4.0,1.0,0.8584889442826649,2.7860217576117563
calibration,previous_12h,36,4.0,1.0,0.9267417305921954,2.842317706392916
calibration,previous_12h,37,4.0,1.0,0.9397104823267499,2.8522486586346707
calibration,previous_12h,38,4.0,1.0,0.9972126037008033,2.9797015009214833
calibration,previous_12h,39,4.0,1.0,1.0769077131504323,3.0523883898151416
calibration,previous_12h,40,4.0,1.0,1.1619348837272003,3.1534942278498956
calibration,previous_12h,41,4.0,1.0,1.27968735125914,3.3102352966713378
calibration,previous_12h,42,4.0,1.0,1.38910021030898,3.4009934328668834
calibration,previous_12h,43,4.0,1.0,1.5103587254282624,3.5229673534473704
calibration,previous_12h,44,4.0,1.0,1.6492804640108272,3.6735219800133834
calibration,previous_12h,45,4.0,1.0,1.7677170227013095,3.7069983062993916
calibration,previous_12h,46,4.0,1.0,1.896280978839049,3.908314963813231
calibration,previous_12h,47,4.0,1.0,1.99338183929183,4.04325355468933
calibration,previous_12h,48,4.0,1.0,2.0962082552503425,4.095947363855701
calibration,previous_12h,49,4.0,1.0,2.2301962058603353,4.227655679713815
calibration,previous_12h,50,4.0,1.0,2.3428118847750756,4.27607204759084
calibration,previous_12h,51,4.0,1.0,2.4453080691495765,4.3832478272554765
calibration,previous_12h,52,4.0,1.0,2.555985911214398,4.4923309373803955
calibration,previous_12h,53,4.0,1.0,2.6561790826246545,4.535784359418393
calibration,previous_12h,54,4.0,1.0,2.764378855183658,4.621938034229256
calibration,previous_12h,55,4.0,1.0,2.860046239355496,4.7814736368615
calibration,previous_12h,56,4.0,1.0,2.950450704134844,4.8673708143953
calibration,previous_12h,57,4.0,1.0,3.0500811397926597,4.968536181705829
calibration,previous_12h,58,4.0,1.0,3.153494958524816,5.045038271226998
calibration,previous_12h,59,4.0,1.0,3.2559745900575754,5.106789323796601
calibration,previous_12h,60,4.0,1.0,3.367560477682918,5.187371926131301
calibration,previous_12h,61,4.0,1.0,3.4790004886670722,5.259401043998779
calibration,previous_12h,62,4.0,1.0,3.5849727801422038,5.332715422268097
calibration,previous_12h,63,4.0,1.0,3.6984334497419225,5.4014474475536645
calibration,previous_12h,64,4.0,1.0,3.813934128622831,5.461537638944813
calibration,previous_12h,65,4.0,1.0,3.9440220809380033,5.556896790380783
calibration,previous_12h,66,4.0,1.0,4.068561911506152,5.61211551788825
calibration,previous_12h,67,4.0,1.0,4.196517847648473,5.658013973853859
calibration,previous_12h,68,4.0,1.0,4.320517868495033,5.760966276382207
calibration,previous_12h,69,4.0,1.0,4.456938059195714,5.822287856538133
calibration,previous_12h,70,4.0,1.0,4.59513881770397,5.925093528250813
calibration,previous_12h,71,4.0,1.0,4.738031660638531,5.996279833449081
