class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience
WARRIOR,0,1,12,11,11,10,8,9,10,3,0,0,0.0,21,9,95.0,1,0,1,1,0,0,0,0,0
WARRIOR,0,5,14,15,11,12,9,10,41,30,1,1086,26340.0,24,10,100.0,2,1195,22,21,60700,1069,9740,1195,62
WARRIOR,0,10,20,19,11,14,10,11,102,72,3,5903,140460.0,30,11,134.11111111111111,3,6378,52,49,686980,5885,51311,6378,37
WARRIOR,0,20,32,27,13,17,12,12,234,165,7,26921,609600.0,42,13,160.0,5,28280,112,102,6366130,26882,213939,28391,170
ROGUE,0,1,12,11,11,10,8,9,8,5,0,0,0.0,21,9,95.0,1,0,1,1,0,0,0,0,0
ROGUE,0,5,15,11,14,13,8,10,32,36,1,1082,26640.0,24,10,115.0,2,1226,22,19,60070,1063,9999,1226,6
ROGUE,0,10,20,12,18,14,9,12,67,79,3,5913,140340.0,30,11,134.11111111111111,3,6262,50,49,688560,5893,51197,6262,13
ROGUE,0,20,30,14,27,17,10,15,161,171,7,26923,624540.0,41,12,170.63636363636363,5,29029,108,100,6307280,26901,224468,29431,74
RANGER,0,1,12,11,11,10,8,9,10,7,0,0,0.0,21,9,95.0,1,0,1,1,0,0,0,0,0
RANGER,0,5,12,11,14,11,14,9,38,37,1,1080,25380.0,23,10,115.0,2,1111,22,22,61380,1069,9098,1111,58
RANGER,0,10,14,11,21,12,16,11,81,80,3,5895,138180.0,27,11,120.0,3,6184,52,51,693350,5888,49647,6184,21
RANGER,0,20,18,12,32,16,24,11,163,192,7,26886,615180.0,35,12,170.0909090909091,5,28586,111,98,6334210,26878,217338,28684,214
MAGE,0,1,12,11,11,10,8,9,6,9,0,0,0.0,21,9,95.0,1,0,1,1,0,0,0,0,0
MAGE,0,5,12,11,11,16,11,10,33,37,1,1082,26640.0,23,10,115.0,2,1215,23,20,61180,1069,9985,1215,58
MAGE,0,10,13,12,13,21,16,10,71,88,3,5921,138720.0,26,11,120.0,3,6206,52,49,699200,5912,49811,6206,97
MAGE,0,20,15,14,17,25,29,13,164,220,7,26941,629280.0,33,12,170.63636363636363,5,29181,105,98,6350290,26914,226788,29581,58
CLERIC,0,1,12,11,11,10,8,9,8,9,0,0,0.0,21,9,95.0,1,0,1,1,0,0,0,0,0
CLERIC,0,5,12,11,11,15,12,10,35,37,1,1082,26940.0,23,10,100.0,2,1192,21,20,61180,1069,10201,1192,58
CLERIC,0,10,13,12,13,21,16,10,73,88,3,5920,142080.0,26,10,134.11111111111111,3,6331,48,49,699200,5912,52212,6331,45
CLERIC,0,20,15,14,17,33,21,13,166,220,7,26943,635160.0,33,12,170.27272727272728,5,29137,101,98,6350290,26914,230968,29584,254
PALADIN,0,1,12,11,11,10,8,9,10,7,0,0,0.0,21,9,95.0,1,0,1,1,0,0,0,0,0
PALADIN,0,5,14,12,11,12,9,13,38,34,1,1085,26460.0,24,10,115.0,2,1208,22,21,60700,1069,9834,1208,18
PALADIN,0,10,20,14,11,14,10,16,88,76,3,5903,141420.0,30,11,132.55555555555554,3,6359,51,49,686980,5885,51991,6359,37
PALADIN,0,20,32,15,13,17,12,24,176,169,7,26921,612900.0,42,12,160.0,5,28271,111,102,6366130,26882,216294,28394,170
