class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power
WARRIOR,0,1,12,11,11,10,8,9,10,3,0,0,0.0,21,9,95.0,1,0,1,1
WARRIOR,0,5,14,15,11,12,9,10,41,30,1,1085,26304.6,24,10,115.0,2,1194,22,21
WARRIOR,0,10,20,19,11,14,10,11,102,72,3,5903,140459.0,30,11,134.11111111111111,3,6378,52,49
WARRIOR,0,20,32,27,13,17,12,12,234,165,7,26920,609578.8,42,13,169.9090909090909,5,28279,112,102
ROGUE,0,1,12,11,11,10,8,9,8,5,0,0,0.0,21,9,95.0,1,0,1,1
ROGUE,0,5,15,11,14,13,8,10,32,36,1,1082,26629.6,24,10,115.0,2,1226,22,19
ROGUE,0,10,20,12,18,14,9,12,67,79,3,5913,140334.4,30,11,134.11111111111111,3,6262,50,49
ROGUE,0,20,30,14,27,17,10,15,161,171,7,26923,624533.8,41,12,170.63636363636363,5,29029,108,100
RANGER,0,1,12,11,11,10,8,9,10,7,0,0,0.0,21,9,95.0,1,0,1,1
RANGER,0,5,12,11,14,11,14,9,38,37,1,1079,25353.8,23,10,115.0,2,1109,22,22
RANGER,0,10,14,11,21,12,16,11,81,80,3,5895,138148.4,27,11,134.11111111111111,3,6181,52,51
RANGER,0,20,18,12,32,16,24,11,163,192,7,26884,615124.4,35,12,170.0909090909091,5,28584,111,98
MAGE,0,1,12,11,11,10,8,9,6,9,0,0,0.0,21,9,95.0,1,0,1,1
MAGE,0,5,12,11,11,16,11,10,33,37,1,1081,26616.0,23,10,115.0,2,1213,23,20
MAGE,0,10,13,12,13,21,16,10,71,88,3,5920,138696.8,26,11,134.11111111111111,3,6205,52,49
MAGE,0,20,15,14,17,25,29,13,164,220,7,26941,629278.4,33,12,170.63636363636363,5,29181,105,98
CLERIC,0,1,12,11,11,10,8,9,8,9,0,0,0.0,21,9,95.0,1,0,1,1
CLERIC,0,5,12,11,11,15,12,10,35,37,1,1081,26917.0,23,10,115.0,2,1191,21,20
CLERIC,0,10,13,12,13,21,16,10,73,88,3,5920,142063.8,26,10,134.11111111111111,3,6331,48,49
CLERIC,0,20,15,14,17,33,21,13,166,220,7,26941,635102.4,33,12,170.63636363636363,5,29135,101,98
PALADIN,0,1,12,11,11,10,8,9,10,7,0,0,0.0,21,9,95.0,1,0,1,1
PALADIN,0,5,14,12,11,12,9,13,38,34,1,1085,26451.6,24,10,115.0,2,1208,22,21
PALADIN,0,10,20,14,11,14,10,16,88,76,3,5903,141399.8,30,11,134.11111111111111,3,6358,51,49
PALADIN,0,20,32,15,13,17,12,24,176,169,7,26920,612875.8,42,12,170.36363636363637,5,28270,111,102
