class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power
WARRIOR,0,1,12,11,11,10,8,9,10,3,0,0,0.0,21,9,95.0,1,0,1,1
WARRIOR,0,5,14,15,11,12,9,10,41,30,1,1086,26340.0,24,10,100.0,2,1195,22,21
WARRIOR,0,10,20,19,11,14,10,11,102,72,3,5903,140460.0,30,11,134.11111111111111,3,6378,52,49
WARRIOR,0,20,32,27,13,17,12,12,234,165,7,26921,609600.0,42,13,160.0,5,28280,112,102
WARRIOR,0,30,44,36,17,22,13,13,451,279,13,62967,1389300.0,54,14,187.5,7,50696,173,152
WARRIOR,0,40,61,44,21,22,15,18,730,441,21,114106,2450400.0,68,17,235.46666666666667,9,70969,237,203
WARRIOR,0,50,78,58,25,26,19,19,1152,636,33,180182,3769560.0,83,20,258.11764705882354,11,91975,302,253
WARRIOR,0,60,96,76,33,27,24,21,1786,895,49,261152,5371800.0,98,20,287.42105263157896,13,112452,368,302
WARRIOR,0,70,116,90,36,38,29,24,2617,1216,67,354587,7234980.0,111,20,311.95238095238096,15,132275,434,352
WARRIOR,0,80,138,109,41,42,35,28,3667,1655,87,459314,9354000.0,123,20,341.82608695652175,17,152199,500,401
WARRIOR,0,90,155,132,50,44,44,30,4981,2156,108,575114,1.17093E7,135,20,361.28,19,172076,565,458
WARRIOR,0,100,177,152,54,49,50,35,6516,2700,129,701618,1.431654E7,147,20,328.4736842105263,20,191782,631,501
WARRIOR,1,1,9,11,8,8,9,11,10,3,0,0,0.0,19,9,95.0,1,0,1,1
WARRIOR,1,5,16,12,9,8,9,12,35,27,1,1085,25920.0,25,10,100.0,2,1169,23,19
WARRIOR,1,10,21,16,9,12,10,12,86,61,3,5920,138240.0,30,11,120.0,3,6247,52,51
WARRIOR,1,20,30,25,9,14,13,17,204,147,7,26923,614940.0,41,12,170.54545454545453,5,28724,109,99
WARRIOR,1,30,41,35,16,16,14,18,389,257,13,62982,1416960.0,52,14,203.23076923076923,7,51081,170,149
WARRIOR,1,40,61,45,18,16,16,20,685,399,21,114118,2485440.0,68,17,236.8,9,71000,238,200
WARRIOR,1,50,77,61,20,20,19,23,1119,577,33,180184,3806220.0,82,20,231.2,11,91731,303,252
WARRIOR,1,60,93,77,25,22,25,30,1776,810,49,261149,5407620.0,96,20,282.5263157894737,13,112536,367,301
WARRIOR,1,70,108,95,28,30,28,39,2609,1104,67,354593,7272240.0,110,20,311.95238095238096,15,132085,432,352
WARRIOR,1,80,124,119,35,34,32,44,3726,1479,87,459318,9390900.0,123,20,292.9375,17,152134,497,400
WARRIOR,1,90,138,140,42,44,37,49,5120,1932,108,575122,1.174542E7,135,20,358.88,19,171995,561,452
WARRIOR,1,100,159,160,49,48,41,55,6761,2437,129,701614,1.435386E7,147,20,327.42105263157896,20,191643,627,504
ROGUE,0,1,12,11,11,10,8,9,8,5,0,0,0.0,21,9,95.0,1,0,1,1
ROGUE,0,5,15,11,14,13,8,10,32,36,1,1082,26640.0,24,10,115.0,2,1226,22,19
ROGUE,0,10,20,12,18,14,9,12,67,79,3,5913,140340.0,30,11,134.11111111111111,3,6262,50,49
ROGUE,0,20,30,14,27,17,10,15,161,171,7,26923,624540.0,41,12,170.63636363636363,5,29029,108,100
ROGUE,0,30,43,16,37,20,13,16,270,286,13,62973,1427340.0,53,14,206.23076923076923,7,50971,170,152
ROGUE,0,40,57,20,51,21,14,18,416,421,21,114099,2500560.0,66,16,231.53333333333333,9,71069,234,200
ROGUE,0,50,73,22,64,24,19,23,621,614,33,180160,3831540.0,80,19,263.8235294117647,11,91548,298,253
ROGUE,0,60,89,31,79,26,27,25,908,874,49,261112,5438280.0,94,20,282.5263157894737,13,112384,363,302
ROGUE,0,70,108,35,99,32,28,31,1277,1195,67,354552,7301160.0,110,20,308.14285714285717,15,132282,430,349
ROGUE,0,80,129,40,120,36,32,36,1721,1575,87,459289,9420420.0,123,20,337.4347826086956,17,152081,497,401
ROGUE,0,90,150,44,140,46,37,38,2225,2017,108,575095,1.177596E7,135,20,313.1666666666667,19,172076,563,452
ROGUE,0,100,167,50,165,49,40,46,2784,2522,129,701596,1.438284E7,147,20,334.8421052631579,20,191755,629,506
ROGUE,1,1,9,11,8,8,9,11,8,5,0,0,0.0,19,9,95.0,1,0,1,1
ROGUE,1,5,12,11,11,9,11,12,36,32,1,1087,26520.0,23,9,100.0,2,1151,19,20
ROGUE,1,10,13,13,18,11,13,12,81,73,3,5927,143880.0,26,10,121.0,3,6461,46,49
ROGUE,1,20,21,15,27,14,15,16,171,166,7,26924,635520.0,36,12,171.36363636363637,5,29432,103,99
ROGUE,1,30,32,18,39,16,17,18,289,284,13,62984,1445580.0,48,14,202.46153846153845,7,50984,167,153
ROGUE,1,40,42,21,51,20,19,23,444,430,21,114121,2554500.0,59,16,210.0,9,71573,229,202
ROGUE,1,50,56,23,70,25,21,25,658,626,33,180179,3912420.0,72,18,231.0,11,91372,298,251
ROGUE,1,60,79,27,83,27,27,29,927,903,49,261131,5518920.0,89,20,288.4736842105263,13,112467,363,302
ROGUE,1,70,98,31,103,30,32,34,1246,1238,67,354562,7383600.0,105,20,315.76190476190476,15,132026,430,352
ROGUE,1,80,113,35,122,34,42,42,1621,1643,87,459289,9502740.0,118,20,333.1304347826087,17,152239,495,401
ROGUE,1,90,133,42,142,41,44,48,2085,2119,108,575098,1.185774E7,134,20,313.1666666666667,19,171997,561,452
ROGUE,1,100,152,49,163,48,48,52,2623,2647,129,701596,1.446558E7,147,20,328.4736842105263,20,191538,627,503
RANGER,0,1,12,11,11,10,8,9,10,7,0,0,0.0,21,9,95.0,1,0,1,1
RANGER,0,5,12,11,14,11,14,9,38,37,1,1080,25380.0,23,10,115.0,2,1111,22,22
RANGER,0,10,14,11,21,12,16,11,81,80,3,5895,138180.0,27,11,120.0,3,6184,52,51
RANGER,0,20,18,12,32,16,24,11,163,192,7,26886,615180.0,35,12,170.0909090909091,5,28586,111,98
RANGER,0,30,19,17,39,22,35,13,273,347,13,62940,1408200.0,41,14,207.69230769230768,7,50771,168,150
RANGER,0,40,22,19,50,25,48,17,405,578,21,114076,2503320.0,49,16,236.93333333333334,9,71435,230,204
RANGER,0,50,25,21,58,29,72,20,601,942,33,180140,3859260.0,56,18,257.3529411764706,11,91345,294,251
RANGER,0,60,32,23,74,35,88,25,843,1475,49,261106,5482740.0,66,20,252.16666666666666,13,112286,360,300
RANGER,0,70,37,27,92,40,107,30,1135,2167,67,354539,7349940.0,74,20,272.57142857142856,15,132311,427,352
