class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience
WARRIOR,14,1,9,11,10,12,11,13,10,4,0,0,0.0,19,9,95.0,1,0,1,1,0,0,0,0,0
WARRIOR,14,2,10,12,10,12,11,13,14,11,0,28,780.0,20,9,95.0,1,42,6,4,360,19,325,42,18
WARRIOR,14,3,14,12,10,12,11,13,28,23,1,212,5400.0,23,10,96.0,1,260,12,9,6776,207,2084,260,0
WARRIOR,14,4,15,12,11,12,11,13,36,28,1,567,13980.0,23,10,98.0,1,648,17,16,25311,552,5272,648,30
WARRIOR,14,5,15,13,11,13,11,13,43,32,1,1074,26100.0,24,10,115.0,2,1195,23,21,62322,1058,9731,1195,82
WARRIOR,14,6,16,15,11,14,11,13,55,44,2,1737,41700.0,26,10,116.0,2,1877,29,26,124343,1730,15375,1877,13
WARRIOR,14,7,17,15,11,15,11,13,64,51,2,2559,60900.0,26,10,118.0,2,2757,34,31,211557,2536,22327,2757,74
WARRIOR,14,8,17,16,11,16,11,13,70,58,2,3524,83820.0,27,10,107.0,2,3764,39,41,329847,3498,30749,3764,0
WARRIOR,14,9,19,17,12,16,11,13,84,71,3,4645,109620.0,28,11,124.0,2,4873,46,46,486755,4617,39957,4873,25
WARRIOR,14,10,20,18,12,16,11,13,93,78,3,5905,138300.0,30,11,132.55555555555554,3,6210,51,49,691762,5877,50094,6210,17
WARRIOR,14,11,22,18,12,16,11,13,101,86,3,7340,171600.0,32,11,123.0,3,7813,58,54,949308,7317,62114,7813,169
WARRIOR,14,12,23,18,12,16,11,14,109,91,3,8919,207240.0,32,11,125.0,3,9457,63,59,1261263,8917,74642,9457,37
WARRIOR,14,13,24,19,12,17,12,14,126,102,4,10647,246780.0,34,11,132.0,3,11366,69,63,1639495,10622,88779,11366,87
WARRIOR,14,14,25,19,13,17,12,14,134,110,4,12523,289560.0,34,11,136.0,3,13376,75,69,2080909,12492,104032,13376,63
WARRIOR,14,15,28,19,14,17,12,14,152,124,5,14552,335340.0,37,12,153.3,4,15535,82,74,2606283,14537,120165,15535,63
WARRIOR,14,16,28,20,15,17,12,14,159,132,5,16731,383640.0,38,12,143.33333333333334,4,17914,87,79,3191195,16720,136933,17914,205
WARRIOR,14,17,29,20,15,18,12,14,167,137,5,19052,435540.0,38,12,146.66666666666666,4,20476,93,84,3873174,19038,155147,20476,67
WARRIOR,14,18,31,21,15,18,13,14,183,155,6,21519,490500.0,40,12,151.33333333333334,4,23193,99,88,4629367,21508,174351,23193,92
WARRIOR,14,19,31,23,15,18,13,14,193,161,6,24147,549840.0,40,12,157.66666666666666,4,26099,105,93,5475503,24108,195434,26099,208
WARRIOR,14,20,31,25,15,18,15,14,210,179,7,26916,612780.0,41,12,161.0,5,28941,110,98,6426444,26908,217894,29294,166
WARRIOR,14,21,31,26,15,18,16,14,221,186,7,29852,678660.0,42,12,167.0,5,31585,115,104,7469264,29819,241163,32584,148
WARRIOR,14,22,32,28,15,19,16,14,243,202,8,32929,747900.0,43,13,169.75,5,33814,122,109,8670139,32927,265651,35980,159
WARRIOR,14,23,32,30,15,20,17,14,265,218,9,36159,819240.0,44,13,169.25,5,36015,127,114,9965418,36152,290448,39712,37
