class,seed_index,hp,mp,str,con,dex,int,wis,cha
WARRIOR,0,7068,2878,155,164,50,47,60,43
WARRIOR,1,7579,2482,147,172,44,44,47,61
WARRIOR,2,7318,2578,152,169,46,46,47,49
WARRIOR,3,7122,2585,168,169,43,42,50,43
WARRIOR,4,6696,3133,165,152,51,51,62,45
WARRIOR,5,6679,2408,169,160,48,44,44,51
WARRIOR,6,6690,2811,161,161,49,45,49,43
WARRIOR,7,6920,2765,156,168,49,47,49,49
WARRIOR,8,6241,2937,160,147,54,60,45,59
WARRIOR,9,7210,2674,174,161,50,46,47,50
WARRIOR,10,6691,2608,158,154,56,43,54,47
WARRIOR,11,7283,2864,154,172,56,51,51,44
WARRIOR,12,6287,2493,173,146,54,52,40,49
WARRIOR,13,7236,2944,171,165,46,46,58,37
WARRIOR,14,6991,2953,166,157,47,54,48,47
WARRIOR,15,6433,2957,173,151,39,54,64,38
WARRIOR,16,6676,2502,180,154,44,47,44,45
WARRIOR,17,6815,2841,161,159,51,45,55,49
WARRIOR,18,7149,2545,147,161,64,38,53,55
WARRIOR,19,7189,2099,164,166,49,42,37,54
WARRIOR,20,6687,3157,172,160,46,57,52,40
WARRIOR,21,6608,2926,170,160,41,54,49,47
WARRIOR,22,7351,2419,148,167,50,47,41,58
WARRIOR,23,7550,2552,149,166,44,48,48,56
WARRIOR,24,6830,2730,177,151,46,42,56,47
WARRIOR,25,7256,2851,162,164,42,50,58,41
WARRIOR,26,7871,2305,165,168,42,52,33,50
WARRIOR,27,6947,2928,137,175,50,62,39,59
WARRIOR,28,7371,2714,159,159,53,51,48,50
WARRIOR,29,6482,2887,171,157,43,50,54,45
WARRIOR,30,7310,2318,170,156,44,39,42,72
WARRIOR,31,6984,2352,158,165,50,48,41,53
WARRIOR,32,6655,2306,157,168,55,40,44,46
WARRIOR,33,6632,2744,167,146,57,55,44,45
WARRIOR,34,7410,2604,156,171,51,55,39,48
WARRIOR,35,6838,2657,184,149,55,48,43,41
WARRIOR,36,7497,2339,157,175,56,46,33,55
WARRIOR,37,7416,2740,155,175,45,50,46,48
WARRIOR,38,7602,2586,157,174,44,54,39,47
WARRIOR,39,6670,2545,184,145,43,46,44,57
WARRIOR,40,7412,2671,149,177,44,48,49,40
WARRIOR,41,7866,2671,171,167,39,49,46,59
WARRIOR,42,6899,2765,167,165,44,52,44,49
WARRIOR,43,7041,2837,164,158,46,57,50,38
WARRIOR,44,6884,2990,148,164,57,48,57,47
WARRIOR,45,6194,2807,188,138,46,45,50,53
WARRIOR,46,7263,2521,159,169,51,45,46,48
WARRIOR,47,7112,3024,166,160,53,52,55,40
WARRIOR,48,6721,3011,158,152,61,59,50,43
WARRIOR,49,7956,2942,147,180,43,53,53,53
WARRIOR,50,6143,2918,172,142,55,52,51,43
WARRIOR,51,7076,2948,169,160,56,56,46,44
WARRIOR,52,7108,2720,165,155,54,53,43,50
WARRIOR,53,6683,2655,161,152,63,40,55,57
WARRIOR,54,7522,2506,169,168,45,43,50,49
WARRIOR,55,6875,2495,169,161,48,42,44,59
WARRIOR,56,6495,2782,169,150,48,63,40,51
WARRIOR,57,6961,2845,154,161,43,58,39,62
WARRIOR,58,7019,3189,149,161,55,54,56,46
WARRIOR,59,7725,2837,160,176,47,52,42,52
WARRIOR,60,6777,2517,180,156,45,46,36,54
WARRIOR,61,6023,3096,187,145,37,56,56,50
WARRIOR,62,6740,3087,152,162,55,54,53,50
WARRIOR,63,6942,3016,154,159,44,54,54,51
WARRIOR,64,6855,2726,154,159,54,60,41,49
WARRIOR,65,6169,2723,171,142,53,48,52,45
WARRIOR,66,6558,2425,155,163,61,36,52,46
WARRIOR,67,6334,2972,172,151,46,47,59,46
WARRIOR,68,7809,3137,152,175,43,48,60,49
WARRIOR,69,7359,2682,156,176,33,39,54,54
WARRIOR,70,7395,2533,165,174,40,49,40,50
WARRIOR,71,7670,2528,170,173,54,40,45,48
WARRIOR,72,6576,2791,165,154,52,54,41,56
WARRIOR,73,6559,2652,177,144,54,56,40,50
WARRIOR,74,7650,2836,159,167,37,46,53,60
WARRIOR,75,7626,2583,160,179,42,45,49,47
WARRIOR,76,7439,2716,157,175,52,47,49,42
WARRIOR,77,7243,2890,161,171,50,49,50,35
WARRIOR,78,6960,2735,175,160,44,44,51,47
WARRIOR,79,7675,3123,145,172,49,56,58,43
WARRIOR,80,6769,2740,168,153,51,39,58,49
WARRIOR,81,7151,2566,160,165,52,51,40,50
WARRIOR,82,8109,2660,146,183,50,49,44,49
WARRIOR,83,7235,2671,161,172,50,48,47,38
WARRIOR,84,7245,2714,159,159,52,44,51,58
WARRIOR,85,7235,2939,153,169,46,59,47,48
WARRIOR,86,6750,2796,157,163,56,44,55,42
WARRIOR,87,6270,2893,152,158,43,57,49,54
WARRIOR,88,6835,2310,164,156,47,39,48,62
WARRIOR,89,7099,2276,152,165,40,44,47,63
