class,seed_index,hp,mp,str,con,dex,int,wis,cha
WARRIOR,0,1378,2755,311,11,96,6,82,13
WARRIOR,1,1607,2922,306,13,80,12,95,9
WARRIOR,2,1378,2430,313,11,85,8,81,11
WARRIOR,3,1378,2716,313,11,86,8,90,7
WARRIOR,4,4105,2714,237,83,12,84,13,97
WARRIOR,5,4298,2317,241,88,8,77,11,91
WARRIOR,6,3390,2622,237,74,6,88,11,92
WARRIOR,7,3622,2496,237,76,14,79,11,101
WARRIOR,8,12299,2737,11,317,12,90,9,86
WARRIOR,9,9776,2951,82,238,97,13,86,12
WARRIOR,10,4476,2245,237,89,12,84,7,83
WARRIOR,11,9776,3100,78,238,99,15,90,8
WARRIOR,12,3752,2823,243,77,10,101,9,74
WARRIOR,13,1837,2653,322,17,77,10,86,11
WARRIOR,14,12785,2733,13,323,10,93,9,71
WARRIOR,15,12179,2897,13,308,8,92,15,83
WARRIOR,16,4595,2090,241,91,10,67,9,96
WARRIOR,17,4491,2536,243,91,8,91,9,78
WARRIOR,18,4690,2340,235,91,12,81,11,88
WARRIOR,19,4677,2297,241,94,8,80,9,80
WARRIOR,20,12152,2838,15,309,12,88,13,90
WARRIOR,21,13177,2546,17,319,6,85,13,81
WARRIOR,22,12779,2476,9,318,6,83,9,86
WARRIOR,23,12208,2534,7,295,6,92,5,106
WARRIOR,24,1837,2836,314,17,75,6,96,11
WARRIOR,25,12813,2363,11,318,10,76,11,91
WARRIOR,26,10235,2429,84,244,83,9,82,8
WARRIOR,27,9623,2768,85,236,94,13,82,12
WARRIOR,28,10235,2785,87,244,84,13,82,10
WARRIOR,29,9623,3197,79,236,85,13,99,8
WARRIOR,30,1607,2495,306,13,101,6,80,17
WARRIOR,31,1377,2541,315,9,79,8,87,17
WARRIOR,32,9623,2451,78,236,101,5,82,8
WARRIOR,33,3133,2945,233,63,14,99,11,94
WARRIOR,34,9929,2650,76,240,98,13,83,10
WARRIOR,35,5119,2122,243,102,10,71,7,87
WARRIOR,36,9776,2604,89,238,98,13,72,12
WARRIOR,37,12621,3012,7,311,10,102,9,80
WARRIOR,38,1607,2654,326,13,78,14,79,5
WARRIOR,39,12484,2538,17,316,10,82,13,81
WARRIOR,40,1607,2526,308,13,96,8,75,7
WARRIOR,41,1836,2990,317,15,85,12,91,11
WARRIOR,42,12337,2589,17,305,12,91,7,89
WARRIOR,43,1377,2796,313,9,88,8,84,11
WARRIOR,44,12692,2611,7,313,10,85,13,93
WARRIOR,45,3822,2652,243,79,6,88,11,93
WARRIOR,46,9776,2907,89,238,88,9,88,6
WARRIOR,47,4639,2511,237,91,12,73,15,98
WARRIOR,48,1377,2790,318,9,89,12,86,9
WARRIOR,49,12695,2714,15,314,8,97,7,88
WARRIOR,50,1378,2733,304,11,88,10,93,9
WARRIOR,51,1377,2888,314,9,95,12,88,13
WARRIOR,52,4164,2482,241,78,12,89,9,91
WARRIOR,53,4626,2629,241,100,12,82,15,78
WARRIOR,54,4402,2564,239,85,12,89,11,88
