class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience
MAGE,14,1,9,11,10,12,11,13,6,10,0,0,0.0,19,9,95.0,1,0,1,1,0,0,0,0,0
MAGE,14,2,10,11,10,12,12,13,10,17,0,28,780.0,20,10,95.0,1,42,6,4,360,19,325,42,18
MAGE,14,3,11,11,10,14,13,13,21,30,1,214,5280.0,21,10,96.0,1,250,12,9,6377,199,1990,250,56
MAGE,14,4,11,11,11,14,14,13,25,38,1,578,13980.0,21,10,98.0,1,635,17,16,26509,577,5153,635,34
MAGE,14,5,11,11,11,15,14,14,32,45,1,1082,26040.0,22,10,100.0,2,1183,23,21,62370,1069,9590,1183,66
MAGE,14,6,11,12,11,17,15,14,47,59,2,1745,42000.0,23,10,116.0,2,1892,29,25,123422,1742,15472,1892,49
MAGE,14,7,11,13,11,18,15,14,55,67,2,2569,61620.0,23,10,104.0,2,2817,35,32,210812,2547,22683,2817,54
MAGE,14,8,11,14,11,19,15,14,61,73,2,3529,84540.0,24,10,107.0,2,3831,40,35,332674,3513,31101,3831,40
MAGE,14,9,12,14,11,21,15,15,75,90,3,4653,111120.0,25,11,110.0,2,5035,46,43,496655,4641,40794,5035,105
MAGE,14,10,12,14,12,21,16,15,82,98,3,5915,140520.0,26,11,134.22222222222223,3,6446,52,48,705066,5891,51397,6446,13
MAGE,14,11,12,15,12,22,16,15,88,105,3,7348,173100.0,27,11,123.0,3,7979,57,53,970382,7321,62876,7979,125
MAGE,14,12,12,15,12,22,17,16,96,112,3,8938,209700.0,27,11,126.0,3,9718,62,58,1291129,8914,75940,9718,177
MAGE,14,13,12,15,12,23,19,17,111,129,4,10655,249120.0,28,11,139.5,3,11629,68,64,1670757,10642,89978,11629,19
MAGE,14,14,13,15,12,24,19,17,118,140,4,12531,291720.0,28,11,143.5,3,13593,74,71,2121894,12518,105004,13593,187
MAGE,14,15,13,15,12,27,20,17,133,156,5,14547,337140.0,29,12,140.66666666666666,4,15753,81,75,2645502,14534,120905,15753,143
MAGE,14,16,13,15,13,28,20,17,142,165,5,16716,385080.0,30,12,152.33333333333334,4,18121,87,80,3244642,16709,137355,18121,9
MAGE,14,17,13,16,13,28,21,17,150,174,5,19042,436980.0,30,12,150.66666666666666,4,20674,92,85,3914511,19019,155396,20674,3
MAGE,14,18,13,16,13,29,22,19,165,192,6,21517,492540.0,31,12,159.0,4,23451,98,90,4684937,21509,174811,23451,184
MAGE,14,19,13,17,13,30,22,19,172,201,6,24144,552840.0,31,12,156.0,4,26462,104,93,5537523,24113,196431,26462,200
MAGE,14,20,13,17,13,32,23,20,185,221,7,26919,614820.0,32,12,170.63636363636363,5,29088,110,101,6500340,26903,217994,29591,2
MAGE,14,21,13,17,13,34,23,20,194,233,7,29852,681540.0,33,13,164.25,5,31831,117,103,7565903,29847,241683,32988,152
MAGE,14,22,14,17,13,35,24,21,209,258,8,32933,749820.0,34,13,175.0,5,34001,123,110,8735758,32928,265332,36551,163
