level,class,hp_min,hp_mean,hp_max,mp_min,mp_mean,mp_max,n
1,CLERIC,7,8.333333333333334,10,9,9.833333333333334,12,6
1,MAGE,5,6.333333333333333,8,9,9.833333333333334,12,6
1,PALADIN,9,10.333333333333334,12,7,7.833333333333333,10,6
1,RANGER,9,10.333333333333334,12,7,7.833333333333333,10,6
1,ROGUE,7,8.333333333333334,10,5,5.833333333333333,8,6
1,WARRIOR,9,10.333333333333334,12,3,3.8333333333333335,6,6
5,CLERIC,27,37.666666666666664,45,36,40.166666666666664,46,6
5,MAGE,25,35.666666666666664,43,36,40.166666666666664,46,6
5,PALADIN,29,39.666666666666664,50,31,37.5,44,6
5,RANGER,29,40.333333333333336,47,33,37.5,41,6
5,ROGUE,27,37.333333333333336,50,30,35.0,41,6
5,WARRIOR,33,41.333333333333336,50,27,33.5,40,6
10,CLERIC,59,80.0,96,80,92.33333333333333,106,6
10,MAGE,57,78.0,94,80,92.33333333333333,106,6
10,PALADIN,73,87.83333333333333,103,65,79.16666666666667,97,6
10,RANGER,61,84.33333333333333,98,73,83.5,95,6
10,ROGUE,67,80.5,103,70,79.0,93,6
10,WARRIOR,84,97.0,108,61,75.16666666666667,93,6
20,CLERIC,140,176.66666666666666,210,203,227.16666666666666,265,6
20,MAGE,138,174.66666666666666,208,203,227.16666666666666,265,6
20,PALADIN,155,182.0,212,151,170.66666666666666,196,6
20,RANGER,142,181.66666666666666,212,177,194.66666666666666,225,6
20,ROGUE,161,178.66666666666666,219,161,174.5,201,6
20,WARRIOR,204,229.66666666666666,250,147,166.66666666666666,192,6
30,CLERIC,246,298.1666666666667,364,395,434.5,498,6
30,MAGE,244,296.1666666666667,362,395,434.5,498,6
30,PALADIN,276,304.3333333333333,344,261,288.6666666666667,336,6
30,RANGER,248,307.0,366,324,353.8333333333333,396,6
30,ROGUE,270,300.6666666666667,361,270,297.5,334,6
30,WARRIOR,389,437.3333333333333,462,257,284.6666666666667,332,6
40,CLERIC,390,453.0,545,690,736.6666666666666,831,6
40,MAGE,388,451.0,543,690,736.6666666666666,831,6
40,PALADIN,433,464.1666666666667,523,393,441.3333333333333,512,6
40,RANGER,392,460.5,547,536,578.5,621,6
40,ROGUE,416,455.6666666666667,529,408,450.6666666666667,505,6
40,WARRIOR,685,743.3333333333334,791,389,437.3333333333333,508,6
50,CLERIC,595,671.0,804,1146,1200.6666666666667,1338,6
50,MAGE,593,669.0,802,1146,1200.6666666666667,1338,6
50,PALADIN,619,681.6666666666666,780,558,638.8333333333334,739,6
50,RANGER,597,680.8333333333334,806,847,917.5,960,6
50,ROGUE,621,668.8333333333334,749,597,658.3333333333334,723,6
50,WARRIOR,1117,1204.6666666666667,1293,554,634.8333333333334,735,6
60,CLERIC,831,959.1666666666666,1132,1827,1890.1666666666667,2091,6
60,MAGE,829,957.1666666666666,1130,1827,1890.1666666666667,2091,6
60,PALADIN,869,966.5,1118,788,905.5,1039,6
60,RANGER,843,973.8333333333334,1134,1298,1406.5,1475,6
60,ROGUE,908,964.8333333333334,1063,870,942.5,1033,6
60,WARRIOR,1725,1882.3333333333333,2067,784,901.5,1035,6
70,CLERIC,1107,1310.1666666666667,1516,2702,2793.1666666666665,3065,6
70,MAGE,1105,1308.1666666666667,1514,2702,2793.1666666666665,3065,6
70,PALADIN,1192,1299.1666666666667,1515,1074,1235.8333333333333,1396,6
70,RANGER,1135,1332.8333333333333,1518,1896,2042.1666666666667,2167,6
70,ROGUE,1246,1323.1666666666667,1442,1195,1285.5,1386,6
70,WARRIOR,2537,2763.1666666666665,3084,1070,1231.8333333333333,1392,6
80,CLERIC,1439,1750.6666666666667,1971,3838,3946.1666666666665,4309,6
80,MAGE,1437,1748.6666666666667,1969,3838,3946.1666666666665,4309,6
80,PALADIN,1549,1692.0,1986,1429,1644.5,1814,6
80,RANGER,1482,1784.8333333333333,2018,2637,2830.3333333333335,3023,6
80,ROGUE,1621,1752.6666666666667,1900,1575,1702.0,1823,6
80,WARRIOR,3590,3893.1666666666665,4369,1425,1640.5,1810,6
90,CLERIC,1875,2254.1666666666665,2488,5197,5341.333333333333,5800,6
90,MAGE,1873,2252.1666666666665,2486,5197,5341.333333333333,5800,6
90,PALADIN,1939,2145.8333333333335,2553,1844,2127.5,2333,6
90,RANGER,1873,2299.1666666666665,2654,3562,3780.3333333333335,4036,6
90,ROGUE,2085,2260.1666666666665,2433,2017,2177.0,2336,6
90,WARRIOR,4887,5276.666666666667,5927,1840,2123.5,2329,6
100,CLERIC,2381,2815.6666666666665,3061,6764,6943.666666666667,7500,6
100,MAGE,2379,2813.6666666666665,3059,6764,6943.666666666667,7500,6
100,PALADIN,2391,2658.3333333333335,3175,2323,2651.8333333333335,2876,6
100,RANGER,2299,2866.1666666666665,3329,4632,4846.333333333333,5170,6
100,ROGUE,2623,2831.6666666666665,3046,2522,2710.0,2898,6
100,WARRIOR,6422,6889.5,7701,2319,2647.8333333333335,2872,6
