class,level,hp_mean,hp_min,hp_max,mp_mean,mp_min,mp_max,cap_h_mean,cap_h_min,cap_h_max,raw_proc_pct_mean,raw_proc_pct_min,raw_proc_pct_max,search_s_mean,search_s_min,search_s_max,sale_bonus_pct_mean,sale_bonus_pct_min,sale_bonus_pct_max,bag_mean,bag_min,bag_max,hp_delta_1level,mp_delta_1level,cap_h_delta_1level,raw_proc_pct_delta_1level,search_s_delta_1level,sale_bonus_pct_delta_1level,bag_delta_1level
CLERIC,1,8.5,6,11,9.9375,7,12,8.01050162353799,8.00796214341107,8.012930732976299,9.516562500000001,9.011666666666667,10.02,4.93,4.9,4.966666666666667,1.6083333333333334,0.8,2.0,19.8125,18,22,,,,,,,
CLERIC,2,14.625,11,18,15.4375,10,19,8.016205556314345,8.012930732976299,8.019174630310284,9.650729166666666,9.016666666666667,10.031666666666666,4.92875,4.8933333333333335,4.966666666666667,1.7,0.9333333333333333,2.1333333333333333,19.9375,18,22,6.125,5.5,0.005703932776354392,0.13416666666666544,-0.0012499999999997513,0.09166666666666656,0.125
CLERIC,3,26.625,19,36,27.125,15,36,8.026143790291886,8.02002220373109,8.033384970435225,9.920208333333333,9.025,11.048333333333334,4.925416666666667,4.8933333333333335,4.96,1.9166666666666667,1.3333333333333333,2.5333333333333337,21.0625,19,23,12.0,11.6875,0.009938233977541344,0.2694791666666667,-0.0033333333333329662,0.21666666666666679,1.125
CLERIC,4,32.5625,25,44,33.5625,19,42,8.030718433294219,8.024937964495647,8.0391986523786,9.9934375,9.031666666666666,11.061666666666667,4.924166666666666,4.8933333333333335,4.96,2.0166666666666666,1.3333333333333333,2.6666666666666665,21.1875,19,23,5.9375,6.4375,0.004574643002332124,0.07322916666666757,-0.0012500000000006395,0.09999999999999987,0.125
CLERIC,5,38.4375,30,52,39.75,25,49,8.035088291563383,8.028853998118144,8.044803471974063,10.06625,9.041666666666666,11.075,4.92375,4.8933333333333335,4.96,2.1333333333333333,1.3333333333333333,2.9333333333333336,22.3125,20,24,5.875,6.1875,0.004369858269164695,0.0728124999999995,-0.0004166666666662877,0.1166666666666667,1.125
CLERIC,6,51.4375,41,69,52.9375,35,64,8.044333268922532,8.037045552881072,8.056180845120728,10.338229166666666,9.075,11.106666666666667,4.9225,4.8933333333333335,4.96,2.2916666666666665,1.6,3.0666666666666664,23.5,22,25,13.0,13.1875,0.009244977359148976,0.2719791666666662,-0.0012499999999997513,0.15833333333333321,1.1875
CLERIC,7,58.0625,46,77,59.875,39,74,8.048854987502406,8.04061769374364,8.061334040481057,10.349791666666667,9.086666666666666,11.123333333333333,4.922083333333333,4.8933333333333335,4.96,2.3916666666666666,1.6,3.2,23.5,22,25,6.625,6.9375,0.0045217185798733794,0.011562500000000142,-0.0004166666666671759,0.10000000000000009,0.0
CLERIC,8,64.6875,49,86,66.0625,45,83,8.053261735614196,8.042723405125205,8.06700508405813,10.610104166666666,9.096666666666668,11.138333333333334,4.921666666666667,4.8933333333333335,4.96,2.5166666666666666,1.7333333333333334,3.2,24.5625,23,26,6.625,6.1875,0.004406748111790648,0.2603124999999995,-0.0004166666666662877,0.125,1.0625
CLERIC,9,77.875,61,104,80.25,59,100,8.061796411490846,8.05090645599308,8.078007375529285,10.88375,10.098333333333333,11.166666666666666,4.919583333333334,4.886666666666667,4.96,2.658333333333333,2.0,3.466666666666667,24.875,23,27,13.1875,14.1875,0.0085346758766498,0.27364583333333314,-0.002083333333333215,0.1416666666666666,0.3125
CLERIC,10,84.25,64,113,87.25,66,108,8.06580542911088,8.052899671428403,8.083362695734161,11.020416666666666,10.11,11.18,4.917916666666667,4.886666666666667,4.96,2.7583333333333333,2.0,3.5999999999999996,25.875,24,28,6.375,7.0,0.004009017620033362,0.13666666666666671,-0.0016666666666669272,0.10000000000000009,1.0
CLERIC,11,90.5625,70,123,94.5,71,115,8.069722577330458,8.056831278649852,8.089214014928066,11.032499999999999,10.118333333333334,11.191666666666666,4.917083333333333,4.88,4.96,2.8333333333333335,2.0,3.7333333333333334,26.9375,25,29,6.3125,7.25,0.003917148219578337,0.012083333333333002,-0.0008333333333334636,0.07500000000000018,1.0625
CLERIC,12,96.6875,73,131,101.9375,75,122,8.073470533816305,8.058771568784303,8.093826611412592,11.107395833333333,10.125,12.198333333333334,4.915416666666666,4.88,4.96,2.941666666666667,2.0,3.8666666666666667,27.0,25,29,6.125,7.4375,0.003747956485847581,0.0748958333333345,-0.0016666666666669272,0.10833333333333339,0.0625
CLERIC,13,110.0,83,151,117.25,89,138,8.081452194892861,8.065128558992084,8.105121258892025,11.320416666666667,10.17,12.228333333333333,4.913333333333333,4.873333333333333,4.96,3.1166666666666667,2.2666666666666666,4.0,28.1875,26,30,13.3125,15.3125,0.007981661076556179,0.21302083333333321,-0.002083333333333215,0.17499999999999982,1.1875
CLERIC,14,116.625,87,161,125.25,96,149,8.085346502533561,8.06762766574422,8.110654656965288,11.45875,10.185,12.245,4.913333333333333,4.873333333333333,4.96,3.1999999999999997,2.2666666666666666,4.133333333333333,28.3125,26,30,6.625,8.0,0.0038943076406994237,0.13833333333333364,0.0,0.08333333333333304,0.125
CLERIC,15,130.4375,97,179,141.8125,109,168,8.093340842690122,8.073777915863083,8.120445733325312,11.923854166666667,10.21,12.28,4.910416666666666,4.873333333333333,4.946666666666666,3.35,2.5333333333333337,4.133333333333333,29.6875,28,32,13.8125,16.5625,0.007994340156560753,0.46510416666666643,-0.0029166666666666785,0.15000000000000036,1.375
CLERIC,16,137.4375,101,188,150.5625,115,177,8.09732640391606,8.076201951640673,8.125266595631297,12.1259375,11.191666666666666,12.295,4.909166666666667,4.873333333333333,4.946666666666666,3.4416666666666664,2.6666666666666665,4.266666666666667,30.75,29,33,7.0,8.75,0.0039855612259387385,0.2020833333333325,-0.0012499999999997513,0.09166666666666634,1.0625
