class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience
WARRIOR,2,1,8,8,13,17,6,12,9,4,0,0,0.0,19,9,95.0,1,0,1,1,0,0,0,0,0
WARRIOR,2,2,8,9,13,18,6,12,14,8,0,28,660.0,19,9,95.0,1,24,5,8,360,19,240,24,18
WARRIOR,2,3,9,10,15,18,6,12,25,22,1,210,4800.0,20,9,96.0,1,202,10,14,7094,209,1665,202,8
WARRIOR,2,4,9,11,16,18,6,12,29,30,1,570,13200.0,20,9,97.0,1,538,14,19,26608,569,4673,538,58
WARRIOR,2,5,9,13,16,18,6,12,33,37,1,1074,25200.0,21,9,100.0,2,1063,18,24,61487,1069,9057,1063,90
WARRIOR,2,6,12,13,16,19,6,12,49,50,2,1728,41160.0,24,10,116.0,2,1770,24,28,118753,1719,15041,1770,13
WARRIOR,2,7,13,13,17,19,6,12,57,56,2,2535,60720.0,24,10,119.0,2,2690,29,32,208191,2535,22357,2690,2
WARRIOR,2,8,14,13,18,19,6,12,65,62,2,3502,84120.0,26,10,121.0,2,3812,33,36,332430,3495,31105,3812,72
WARRIOR,2,9,16,14,18,19,6,13,76,77,3,4626,111120.0,27,10,125.0,2,5080,40,42,499714,4606,41185,5080,141
WARRIOR,2,10,17,14,18,19,6,14,84,84,3,5898,141660.0,28,10,134.22222222222223,3,6526,45,48,710494,5895,52558,6526,165
WARRIOR,2,11,17,16,18,19,6,14,89,91,3,7318,175440.0,29,10,126.5,3,8058,50,53,967420,7295,65086,8058,53
WARRIOR,2,12,19,16,18,19,6,14,96,99,3,8897,212940.0,30,11,126.5,3,9800,57,60,1287000,8890,78947,9800,101
WARRIOR,2,13,20,18,18,20,6,14,109,111,4,10620,253620.0,32,11,132.5,3,11731,64,65,1654152,10613,93956,11731,119
WARRIOR,2,14,21,18,18,20,6,15,119,118,4,12492,297540.0,32,11,136.0,3,13827,69,69,2092659,12469,110084,13827,59
WARRIOR,2,15,23,19,18,21,6,15,137,130,5,14522,344880.0,34,11,151.3,4,16126,76,76,2619371,14521,127344,16126,7
WARRIOR,2,16,23,20,18,22,6,15,146,135,5,16702,395520.0,35,11,147.66666666666666,4,18547,81,81,3227668,16697,145782,18547,185
WARRIOR,2,17,23,21,18,22,6,16,153,142,5,19031,449340.0,35,11,149.0,4,21143,85,85,3899341,19007,165313,21143,135
WARRIOR,2,18,23,24,18,22,6,17,173,152,6,21501,506160.0,36,11,154.66666666666666,4,23945,91,89,4673690,21492,185816,23945,40
WARRIOR,2,19,23,26,18,22,6,17,184,157,6,24137,566760.0,36,11,156.0,4,26869,96,93,5550016,24120,207697,26869,108
WARRIOR,2,20,26,26,18,22,7,17,204,173,7,26910,630120.0,39,12,161.75,5,29554,105,100,6510584,26874,230467,29988,190
WARRIOR,2,21,26,28,18,22,7,17,213,180,7,29848,696780.0,40,12,164.75,5,32037,110,104,7603685,29838,254246,33319,232
WARRIOR,2,22,27,29,19,22,8,17,236,195,8,32919,766320.0,40,12,167.75,5,34116,116,111,8783893,32918,279033,36832,51
WARRIOR,2,23,29,30,19,22,9,17,260,208,9,36149,839220.0,42,12,169.5,5,36263,123,115,10070794,36127,304983,40498,145
WARRIOR,2,24,30,30,19,23,9,17,274,216,9,39525,915420.0,43,13,180.5,5,38482,129,121,11474906,39487,332134,44286,187
WARRIOR,2,25,31,31,19,24,10,17,301,231,10,43060,994320.0,44,13,187.33333333333334,6,40545,135,124,13013487,43056,359891,48449,108
WARRIOR,2,26,32,32,19,24,10,17,312,240,10,46738,1076220.0,46,13,183.8,6,42681,141,131,14670631,46708,388707,52697,247
WARRIOR,2,27,32,36,19,24,10,17,335,256,11,50562,1161180.0,46,13,185.8,6,44912,147,136,16468085,50526,418539,57103,40
WARRIOR,2,28,32,38,20,25,10,17,365,269,12,54545,1249560.0,47,13,188.2,6,47223,153,140,18432181,54528,449506,61661,72
WARRIOR,2,29,32,39,21,25,10,17,378,278,12,58683,1340880.0,47,13,182.6,6,49474,157,145,20546158,58664,481374,66428,208
WARRIOR,2,30,34,39,21,26,11,17,408,294,13,62959,1435380.0,49,13,187.66666666666666,7,51120,164,149,22812105,62941,514425,71335,57
WARRIOR,2,31,37,39,22,26,11,17,438,314,14,67391,1532160.0,51,14,189.0,7,53440,172,154,25218834,67354,547897,76578,297
WARRIOR,2,32,38,40,22,27,11,18,471,330,15,71974,1631940.0,52,14,190.83333333333334,7,55761,178,160,27840873,71965,582302,82065,164
WARRIOR,2,33,38,42,22,27,11,18,487,337,15,76715,1735200.0,53,14,195.16666666666666,7,58127,183,165,30621382,76697,617960,87649,82
WARRIOR,2,34,40,42,24,27,11,18,521,355,16,81601,1841160.0,54,14,192.5,7,59919,190,170,33533115,81573,654424,93501,98
WARRIOR,2,35,42,43,25,27,11,18,552,375,17,86640,1947600.0,56,15,219.21428571428572,8,61564,197,178,36667627,86600,690046,99327,308
WARRIOR,2,36,43,44,26,28,11,18,585,392,18,91832,2056740.0,57,15,200.42857142857142,8,63916,203,183,39991322,91808,726401,105418,296
WARRIOR,2,37,47,44,26,28,11,18,619,410,19,97163,2169720.0,59,15,201.42857142857142,8,66375,212,187,43473039,97124,764436,111870,28
WARRIOR,2,38,49,44,26,28,11,18,637,418,19,102662,2285760.0,61,15,211.28571428571428,8,68386,219,191,47212122,102611,803332,118352,48
WARRIOR,2,39,50,45,26,28,13,18,671,436,20,108297,2403000.0,62,16,206.71428571428572,8,69943,225,195,51205601,108284,841979,124714,372
WARRIOR,2,40,52,45,26,29,13,19,707,452,21,114088,2523360.0,64,16,210.0,9,71642,231,201,55334372,114050,881670,131571,241
WARRIOR,2,41,55,45,27,29,13,19,743,472,22,120039,2644140.0,66,16,211.0,9,74016,238,209,59685423,119994,920398,138349,265
WARRIOR,2,42,57,45,28,29,14,19,781,490,23,126131,2766480.0,67,16,211.875,9,76261,245,213,64278601,126108,959137,145249,314
WARRIOR,2,43,59,46,28,30,14,19,816,507,24,132379,2891580.0,69,17,227.875,9,78203,252,217,69047806,132370,998653,152326,450
WARRIOR,2,44,59,48,28,30,15,20,850,526,25,138769,3019020.0,69,17,218.875,9,79884,257,220,74019618,138718,1038772,159776,152
WARRIOR,2,45,60,49,28,30,15,22,887,546,26,145300,3150120.0,71,17,251.3125,10,81579,263,227,79256666,145273,1080325,167462,382
WARRIOR,2,46,62,49,29,30,15,23,923,565,27,151968,3282360.0,73,17,229.66666666666666,10,83997,270,231,84857025,151947,1121627,175199,425
WARRIOR,2,47,65,51,29,31,15,23,977,593,29,158780,3417540.0,74,18,228.77777777777777,10,86409,278,237,90622773,158755,1163941,183189,38
WARRIOR,2,48,65,54,30,31,15,23,1015,612,30,165746,3554280.0,75,18,223.11111111111111,10,88181,284,241,96647031,165711,1206175,191516,222
WARRIOR,2,49,66,57,30,32,15,24,1075,642,32,172865,3693900.0,76,18,237.44444444444446,10,89874,290,245,102957524,172836,1249267,200021,186
WARRIOR,2,50,68,57,30,33,15,25,1117,659,33,180139,3836640.0,78,18,261.52941176470586,11,91568,297,251,109509867,180132,1293348,208644,268
WARRIOR,2,51,71,57,31,34,15,26,1180,689,35,187558,3981480.0,80,19,231.9,11,93998,304,257,116355484,187544,1337821,217275,244
WARRIOR,2,52,73,58,31,34,16,26,1223,711,36,195132,4127880.0,81,19,244.5,11,96510,310,260,123525253,195098,1382239,226463,531
WARRIOR,2,53,74,61,32,35,16,26,1288,743,38,202851,4276860.0,83,19,233.2,11,98386,317,266,130911327,202793,1427359,235840,71
WARRIOR,2,54,75,63,33,35,16,26,1331,764,39,210725,4428900.0,83,19,250.4,11,100109,323,270,138660618,210678,1473469,245377,395
WARRIOR,2,55,76,65,35,35,17,26,1400,798,41,218750,4582980.0,85,20,276.27777777777777,12,101921,330,275,146706124,218746,1519876,255232,685
WARRIOR,2,56,77,68,35,35,17,26,1448,816,42,226923,4738140.0,86,20,256.3636363636364,12,104532,336,281,154963325,226906,1565978,265408,277
WARRIOR,2,57,80,69,35,35,17,28,1524,850,44,235245,4901880.0,88,20,254.0,12,106981,343,287,163517236,235166,1617094,276589,142
WARRIOR,2,58,84,70,35,35,18,28,1600,884,46,243708,5068620.0,91,20,253.0909090909091,12,108912,351,291,172589673,243685,1669146,288157,486
WARRIOR,2,59,86,71,35,36,18,28,1649,905,47,252335,5238660.0,92,20,244.9090909090909,12,110854,357,294,181848970,252330,1722315,299922,98
WARRIOR,2,60,88,73,35,36,19,29,1725,941,49,261101,5411400.0,94,20,282.63157894736844,13,112852,364,301,191397613,261070,1776345,311824,278
WARRIOR,2,61,91,74,35,37,20,29,1809,976,51,270022,5585880.0,96,20,267.75,13,115676,371,307,201285157,269930,1830441,323707,701
WARRIOR,2,62,93,76,36,37,21,29,1889,1013,53,278697,5755920.0,97,20,265.1666666666667,13,117496,378,310,211083595,278672,1883258,335303,53
WARRIOR,2,63,95,76,36,37,23,29,1943,1039,54,287787,5933820.0,99,20,257.5833333333333,13,119331,384,315,221414554,287739,1938494,347390,1011
WARRIOR,2,64,98,77,36,37,24,30,2027,1078,56,297021,6114360.0,101,20,254.0,13,121159,391,321,232186082,296968,1994490,359671,657
WARRIOR,2,65,102,78,36,38,24,30,2111,1115,58,306407,6297240.0,104,20,262.6923076923077,14,123071,399,326,243358444,306387,2050926,372249,576
WARRIOR,2,66,104,81,36,39,24,30,2199,1150,60,315940,6482520.0,106,20,264.46153846153845,14,125414,405,331,254717615,315851,2108017,384706,754
WARRIOR,2,67,108,83,36,39,24,30,2292,1188,62,325536,6668280.0,107,20,263.61538461538464,14,127251,413,337,266462878,325450,2164913,397481,949
