effect,hero_class,seed,first_cap_level
hp_hours,WARRIOR,2,98
hp_hours,WARRIOR,3,93
hp_hours,WARRIOR,4,96
hp_hours,WARRIOR,5,91
mp_pct,CLERIC,2,95
mp_pct,CLERIC,3,96
mp_pct,CLERIC,4,92
mp_pct,CLERIC,5,96
mp_pct,MAGE,2,95
mp_pct,MAGE,3,96
mp_pct,MAGE,4,92
mp_pct,MAGE,5,96
dex_seconds,RANGER,2,92
dex_seconds,RANGER,3,98
dex_seconds,RANGER,4,94
dex_seconds,RANGER,5,92
dex_seconds,ROGUE,2,98
dex_seconds,ROGUE,3,100
dex_seconds,ROGUE,4,87
dex_seconds,ROGUE,5,94
cha_pct,PALADIN,2,96
cha_pct,PALADIN,3,91
cha_pct,PALADIN,4,94
cha_pct,PALADIN,5,95
