class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience
MAGE,6,1,8,11,11,6,12,11,6,9,0,0,0.0,19,9,95.0,1,0,1,1,0,0,0,0,0
MAGE,6,2,8,12,11,7,12,11,11,13,0,28,720.0,19,9,95.0,1,39,5,5,310,19,284,39,66
MAGE,6,3,8,13,11,8,13,12,24,25,1,212,5220.0,20,9,96.0,1,235,10,13,7044,209,1945,235,44
MAGE,6,4,8,13,11,9,13,13,32,31,1,566,13860.0,20,9,98.0,1,604,14,17,24799,549,5176,604,18
MAGE,6,5,8,13,12,10,13,13,38,38,1,1088,26820.0,21,9,115.0,2,1166,19,20,60973,1069,10083,1166,26
MAGE,6,6,8,14,12,11,14,14,51,47,2,1746,43020.0,22,9,116.0,2,1882,23,26,122108,1741,16171,1882,17
MAGE,6,7,8,15,12,11,15,14,58,52,2,2567,63060.0,22,10,104.0,2,2773,28,32,210258,2555,23684,2773,58
MAGE,6,8,8,15,12,11,17,14,64,60,2,3526,86340.0,23,10,121.0,2,3840,32,38,331285,3523,32363,3840,72
MAGE,6,9,9,15,12,12,19,14,79,75,3,4649,113460.0,23,10,124.0,2,5094,38,44,495476,4627,42467,5094,29
MAGE,6,10,10,15,12,12,20,14,85,84,3,5916,144120.0,25,10,121.0,3,6483,42,48,706349,5915,53861,6483,13
MAGE,6,11,10,16,12,12,21,14,93,90,3,7345,178200.0,26,10,126.5,3,8080,46,53,962179,7340,66428,8080,45
MAGE,6,12,10,16,12,13,22,14,101,96,3,8926,215820.0,26,10,136.5,3,9811,51,61,1277536,8900,80312,9811,89
MAGE,6,13,10,16,12,14,25,14,118,111,4,10652,256860.0,27,10,139.5,3,11661,58,65,1660604,10642,95404,11661,179
MAGE,6,14,10,17,12,14,26,14,126,118,4,12521,301080.0,27,10,132.5,3,13678,62,70,2098313,12505,111634,13678,19
MAGE,6,15,11,17,13,15,27,14,139,138,5,14551,348900.0,28,11,140.66666666666666,4,15883,67,75,2602622,14530,129118,15883,131
MAGE,6,16,11,18,13,16,27,14,148,148,5,16729,399600.0,29,11,147.66666666666666,4,18333,72,79,3203465,16714,147457,18333,5
MAGE,6,17,11,18,13,16,29,14,155,159,5,19048,453720.0,29,11,148.33333333333334,4,20842,77,84,3873456,19034,167113,20842,19
MAGE,6,18,12,18,13,18,29,15,171,178,6,21526,511140.0,31,11,159.33333333333334,4,23612,84,88,4642501,21505,187848,23612,232
MAGE,6,19,12,19,13,19,29,15,181,188,6,24153,571740.0,31,11,158.0,4,26548,89,94,5506133,24140,209647,26548,40
MAGE,6,20,13,19,13,21,30,15,199,210,7,26930,635700.0,32,11,170.27272727272728,5,29196,98,99,6446533,26899,232649,29578,170
MAGE,6,21,13,19,14,22,30,15,209,220,7,29861,702960.0,33,12,164.5,5,31776,103,104,7520468,29843,256734,32752,176
MAGE,6,22,13,19,14,24,30,17,227,240,8,32938,772860.0,33,12,165.5,5,33987,111,109,8688283,32912,281571,36295,271
MAGE,6,23,13,20,14,25,32,17,243,262,9,36165,846000.0,34,12,177.5,5,36137,118,115,10000574,36146,307489,39965,13
MAGE,6,24,13,20,14,26,33,17,253,273,9,39535,922260.0,34,12,171.25,5,38441,124,120,11418839,39512,334499,43821,263
MAGE,6,25,13,20,15,26,35,18,267,299,10,43062,1002000.0,35,12,189.33333333333334,6,40401,129,124,12966429,43048,362700,47785,276
MAGE,6,26,13,20,15,27,36,18,276,310,10,46745,1084680.0,36,12,183.8,6,42576,135,129,14645751,46723,391790,51967,191
MAGE,6,27,14,21,15,27,38,18,295,333,11,50568,1169700.0,37,13,178.4,6,44854,140,134,16447174,50539,421438,56456,192
MAGE,6,28,14,22,15,28,40,18,313,358,12,54550,1257960.0,38,13,192.2,6,47226,147,141,18416398,54535,452107,61145,228
MAGE,6,29,14,22,16,28,41,18,323,371,12,58686,1349520.0,38,13,181.6,6,49526,151,146,20555002,58677,483911,66019,180
MAGE,6,30,14,23,17,28,43,18,339,400,13,62965,1443840.0,39,13,204.84615384615384,7,51236,156,149,22783697,62933,516589,71083,229
MAGE,6,31,14,23,17,30,43,20,359,427,14,67394,1541340.0,40,13,189.33333333333334,7,53470,164,155,25219653,67379,550309,76257,121
MAGE,6,32,14,23,17,30,46,21,375,458,15,71976,1641840.0,40,13,190.33333333333334,7,55740,170,161,27791371,71939,584994,81621,380
MAGE,6,33,14,23,17,32,46,21,386,473,15,76717,1745640.0,41,14,191.66666666666666,7,58118,177,166,30574255,76699,620701,87159,86
MAGE,6,34,16,23,17,33,47,21,405,505,16,81597,1851420.0,42,14,196.66666666666666,7,59834,183,171,33507511,81578,656742,93118,242
MAGE,6,35,16,24,17,35,48,21,426,538,17,86632,1960560.0,43,14,219.21428571428572,8,61537,191,176,36674418,86618,693943,99231,172
MAGE,6,36,17,24,17,35,50,22,448,568,18,91821,2072340.0,44,14,202.28571428571428,8,63921,196,179,40005484,91778,731840,105505,620
MAGE,6,37,17,25,18,35,52,22,466,603,19,97147,2186940.0,44,14,212.57142857142858,8,66344,201,186,43516992,97146,770598,111922,28
MAGE,6,38,17,25,18,36,52,23,478,620,19,102653,2305080.0,45,14,217.0,8,68372,206,191,47245210,102646,810499,118604,480
MAGE,6,39,17,26,18,37,54,23,498,652,20,108286,2425860.0,45,15,215.28571428571428,8,70049,213,195,51169619,108271,851273,125363,288
MAGE,6,40,17,27,19,37,56,23,516,689,21,114078,2549040.0,46,15,210.125,9,71815,218,202,55341836,114076,892496,132542,177
MAGE,6,41,17,28,19,38,58,23,539,726,22,120026,2674680.0,47,15,220.375,9,74379,225,205,59767102,120010,934261,139910,97
MAGE,6,42,17,30,19,39,59,23,564,762,23,126114,2802960.0,47,15,212.0,9,76890,231,212,64326003,126073,976812,147536,222
