change,hp_hours,hp_k,mp_pp,mp_k,dex_max,dex_k,cha_max,cha_k,score,max_progress_gap,mean_progress_gap,max_sale_gap,baseline_max_gap,min_uplift,max_uplift
hp_hours x0.8,1.6,350.0,8.0,750.0,0.15,35.0,0.15,20.0,0.10247173223980814,0.06159037242240184,0.028922553572955322,0.06730144284833495,0.05111186099682907,0.010025388504684152,0.2875912415032673
hp_hours x1.2,2.4,350.0,8.0,750.0,0.15,35.0,0.15,20.0,0.11242200238051488,0.06996797303394442,0.03182018849446629,0.06899796444590778,0.05111186099682907,0.010025388504684152,0.38482244595353476
hp_k x0.8,2.0,280.0,8.0,750.0,0.15,35.0,0.15,20.0,0.1052146301080116,0.064151648632917,0.0296490402037085,0.06730144284833495,0.05111186099682907,0.010025388504684152,0.3416944209946813
hp_k x1.2,2.0,420.0,8.0,750.0,0.15,35.0,0.15,20.0,0.10837851654693992,0.06697348354186872,0.0310172463236149,0.06730144284833495,0.05111186099682907,0.010025388504684152,0.3310978485723146
mp_pp x0.8,2.0,350.0,6.4,750.0,0.15,35.0,0.15,20.0,0.11006053539425867,0.06755319735530096,0.030830863376780294,0.06959924438952525,0.05111186099682907,0.0094485403017055,0.32127131130110653
mp_pp x1.2,2.0,350.0,9.6,750.0,0.15,35.0,0.15,20.0,0.10419250156605504,0.06423924090788535,0.029650158172289064,0.06508144223019485,0.05111186099682907,0.010603565646150503,0.34672615670569806
mp_k x0.8,2.0,350.0,8.0,600.0,0.15,35.0,0.15,20.0,0.10684204863516578,0.06564719392838514,0.030089384713797983,0.06734501705666229,0.05111186099682907,0.010676093053048286,0.33785833549594857
mp_k x1.2,2.0,350.0,8.0,900.0,0.15,35.0,0.15,20.0,0.10756735196821791,0.06620646713097522,0.030575838105614216,0.06743385062167828,0.05111186099682907,0.009577640089625916,0.3340554190280347
dex_max x0.8,2.0,350.0,8.0,750.0,0.12,35.0,0.15,20.0,0.10708397148334235,0.06594137671959932,0.029880711820339877,0.06734483361731614,0.05111186099682907,0.008578027868043625,0.3274387133723766
dex_max x1.2,2.0,350.0,8.0,750.0,0.18,35.0,0.15,20.0,0.10716544832154365,0.06582383948851445,0.030850863222288936,0.06725778605491395,0.05111186099682907,0.011476909183076422,0.3447109962861079
dex_k x0.8,2.0,350.0,8.0,750.0,0.15,28.0,0.15,20.0,0.10713922859769764,0.06592594524624729,0.030135798304177473,0.06735866755081199,0.05111186099682907,0.011362163779739642,0.33751463711575
dex_k x1.2,2.0,350.0,8.0,750.0,0.15,42.0,0.15,20.0,0.10711706541818206,0.06586422010949056,0.03046904404844474,0.06727116859316062,0.05111186099682907,0.009050746861737347,0.33441963415505005
cha_max x0.8,2.0,350.0,8.0,750.0,0.15,35.0,0.12,20.0,0.10601135515593357,0.0658827648720679,0.030316536590432763,0.06509891227251496,0.05111186099682907,0.010025388504684152,0.33591063577110325
cha_max x1.2,2.0,350.0,8.0,750.0,0.15,35.0,0.18,20.0,0.1097460916361312,0.0658827648720679,0.030316536590432763,0.0725683852329102,0.05111186099682907,0.010025388504684152,0.33591063577110325
cha_k x0.8,2.0,350.0,8.0,750.0,0.15,35.0,0.15,16.0,0.1060206814165719,0.0658827648720679,0.030316536590432763,0.0651175647937916,0.05111186099682907,0.010025388504684152,0.33591063577110325
cha_k x1.2,2.0,350.0,8.0,750.0,0.15,35.0,0.15,24.0,0.1078237804917817,0.0658827648720679,0.030316536590432763,0.06872376294421123,0.05111186099682907,0.010025388504684152,0.33591063577110325
combat_time x0.75,2.0,350.0,8.0,750.0,0.15,35.0,0.15,20.0,0.09687073436968062,0.059414298003716004,0.027635849569086213,0.061094947947386125,0.043122245269003656,0.01048598916617105,0.32660026952161036
combat_time x1.25,2.0,350.0,8.0,750.0,0.15,35.0,0.15,20.0,0.11561924834582935,0.07123341297006669,0.032533710230801094,0.07250481563612476,0.057775277466278085,0.009657478595899605,0.3436890362822207
