,,cap_h,cap_h,cap_h,raw_proc_pct,raw_proc_pct,raw_proc_pct,search_s,search_s,search_s,sale_bonus_pct,sale_bonus_pct,sale_bonus_pct
,,mean,min,max,mean,min,max,mean,min,max,mean,min,max
level,class,,,,,,,,,,,,
1,CLERIC,8.010385,8.009007,8.011981,9.391875,9.015,10.018333,4.94,4.926667,4.953333,1.35,0.533333,1.866667
1,MAGE,8.008341,8.006882,8.010023,9.391875,9.015,10.018333,4.94,4.926667,4.953333,1.35,0.533333,1.866667
1,PALADIN,8.01233,8.011013,8.013863,9.388542,9.011667,10.015,4.94,4.926667,4.953333,1.35,0.533333,1.866667
1,RANGER,8.01233,8.011013,8.013863,9.138542,9.011667,10.015,4.94,4.926667,4.953333,1.35,0.533333,1.866667
1,ROGUE,8.010385,8.009007,8.011981,9.010208,9.008333,9.011667,4.94,4.926667,4.953333,1.35,0.533333,1.866667
1,WARRIOR,8.01233,8.011013,8.013863,9.381875,9.005,10.008333,4.94,4.926667,4.953333,1.35,0.533333,1.866667
2,CLERIC,8.015888,8.013863,8.018318,9.402292,9.021667,10.031667,4.936667,4.92,4.953333,1.35,0.533333,1.866667
2,MAGE,8.014072,8.011981,8.016572,9.402292,9.021667,10.031667,4.936667,4.92,4.953333,1.35,0.533333,1.866667
2,PALADIN,8.017653,8.015682,8.020022,9.398958,9.018333,10.025,4.936667,4.92,4.953333,1.4,0.533333,1.866667
2,RANGER,8.017543,8.015682,8.020022,9.39875,9.02,10.025,4.933333,4.913333,4.953333,1.35,0.533333,1.866667
2,ROGUE,8.015888,8.013863,8.018318,9.270625,9.015,10.021667,4.9325,4.913333,4.953333,1.35,0.533333,1.866667
2,WARRIOR,8.017653,8.015682,8.020022,9.392292,9.011667,10.018333,4.936667,4.92,4.953333,1.35,0.533333,1.866667
3,CLERIC,8.026015,8.023329,8.029621,9.673333,9.04,10.055,4.936667,4.92,4.953333,1.416667,0.533333,2.0
3,MAGE,8.024422,8.021691,8.028082,9.798333,9.04,10.055,4.936667,4.92,4.953333,1.416667,0.533333,2.0
3,PALADIN,8.027288,8.024938,8.03114,9.419583,9.036667,10.051667,4.935,4.913333,4.953333,1.616667,0.666667,2.266667
3,RANGER,8.027093,8.024137,8.030383,9.544792,9.036667,10.051667,4.9275,4.913333,4.946667,1.433333,0.533333,2.0
3,ROGUE,8.026114,8.023329,8.029621,9.416875,9.035,10.048333,4.925,4.9,4.953333,1.366667,0.533333,1.866667
3,WARRIOR,8.027577,8.024938,8.031893,9.412917,9.03,10.045,4.935,4.913333,4.953333,1.4,0.533333,1.866667
4,CLERIC,8.031221,8.028082,8.034861,10.059375,10.051667,10.066667,4.935833,4.92,4.953333,1.466667,0.666667,2.0
4,MAGE,8.029702,8.026522,8.033385,9.934375,9.051667,10.066667,4.935833,4.92,4.953333,1.466667,0.666667,2.0
4,PALADIN,8.032057,8.028082,8.036321,9.430208,9.046667,10.061667,4.934167,4.913333,4.953333,1.7,0.666667,2.266667
4,RANGER,8.031963,8.027305,8.035593,9.555417,9.048333,10.061667,4.9225,4.906667,4.94,1.466667,0.666667,2.0
4,ROGUE,8.03122,8.028082,8.034861,9.67625,9.041667,10.058333,4.921667,4.9,4.946667,1.45,0.666667,1.866667
4,WARRIOR,8.032705,8.028082,8.037767,9.548542,9.04,10.055,4.934167,4.913333,4.953333,1.416667,0.533333,1.866667
5,CLERIC,8.035945,8.031893,8.039199,10.070208,10.063333,10.08,4.933333,4.92,4.946667,1.483333,0.666667,2.133333
5,MAGE,8.03448,8.030383,8.037767,9.945208,9.063333,10.08,4.933333,4.92,4.946667,1.483333,0.666667,2.133333
5,PALADIN,8.036754,8.032641,8.040618,9.564167,9.053333,10.071667,4.9325,4.913333,4.946667,1.816667,0.666667,2.4
5,RANGER,8.036666,8.032641,8.03991,9.815833,9.061667,10.073333,4.9175,4.893333,4.94,1.483333,0.666667,2.133333
5,ROGUE,8.035657,8.03114,8.041323,9.686458,9.05,10.068333,4.915833,4.893333,4.933333,1.483333,0.666667,2.0
5,WARRIOR,8.037739,8.032641,8.042723,9.8075,9.053333,10.065,4.9325,4.913333,4.946667,1.433333,0.533333,2.0
6,CLERIC,8.045552,8.039199,8.050906,10.216667,10.078333,11.101667,4.93,4.913333,4.946667,1.5,0.666667,2.133333
6,MAGE,8.044173,8.037767,8.049567,9.966667,9.078333,10.101667,4.93,4.913333,4.946667,1.5,0.666667,2.133333
6,PALADIN,8.045718,8.040618,8.052237,10.207708,9.075,11.09,4.931667,4.913333,4.946667,2.05,0.933333,2.8
6,RANGER,8.045978,8.040618,8.050238,9.960417,9.078333,10.095,4.904167,4.886667,4.933333,1.5,0.666667,2.133333
6,ROGUE,8.045805,8.03991,8.052237,9.954792,9.065,10.095,4.905,4.88,4.933333,1.516667,0.8,2.0
6,WARRIOR,8.048006,8.042024,8.056181,10.201042,10.066667,11.083333,4.931667,4.913333,4.946667,1.5,0.533333,2.133333
7,CLERIC,8.050047,8.044113,8.055529,10.352708,10.086667,11.115,4.928333,4.913333,4.946667,1.516667,0.666667,2.266667
7,MAGE,8.0487,8.042723,8.054218,10.227708,10.086667,11.113333,4.928333,4.913333,4.946667,1.516667,0.666667,2.266667
7,PALADIN,8.050114,8.04342,8.058127,10.2175,9.083333,11.103333,4.931667,4.913333,4.946667,2.15,1.066667,2.933333
7,RANGER,8.050793,8.045491,8.056181,10.095833,10.08,10.108333,4.9,4.886667,4.926667,1.516667,0.666667,2.266667
7,ROGUE,8.049788,8.04342,8.056181,9.965625,9.075,10.106667,4.9,4.88,4.933333,1.516667,0.8,2.0
7,WARRIOR,8.053259,8.045491,8.063238,10.210833,10.076667,11.096667,4.931667,4.913333,4.946667,1.516667,0.533333,2.133333
8,CLERIC,8.054353,8.048218,8.061334,10.365417,10.1,11.126667,4.9275,4.913333,4.946667,1.533333,0.666667,2.266667
8,MAGE,8.053035,8.04686,8.060056,10.240417,10.1,11.123333,4.9275,4.913333,4.946667,1.533333,0.666667,2.266667
8,PALADIN,8.054504,8.04686,8.062605,10.3525,9.09,11.111667,4.930833,4.913333,4.946667,2.183333,1.2,2.933333
8,RANGER,8.055092,8.049567,8.060696,10.357708,10.091667,11.12,4.896667,4.88,4.92,1.533333,0.666667,2.266667
8,ROGUE,8.053696,8.04754,8.060056,10.101667,9.088333,11.12,4.896667,4.873333,4.926667,1.583333,0.933333,2.0
8,WARRIOR,8.058552,8.049567,8.068869,10.470833,10.083333,11.105,4.930833,4.913333,4.946667,1.533333,0.533333,2.133333
9,CLERIC,8.062632,8.054218,8.073778,10.642708,10.125,11.16,4.925,4.906667,4.946667,1.583333,0.8,2.266667
9,MAGE,8.06136,8.0529,8.072558,10.767708,10.125,11.16,4.925,4.906667,4.946667,1.583333,0.8,2.266667
9,PALADIN,8.062943,8.05356,8.073169,10.499583,10.11,11.14,4.9275,4.913333,4.933333,2.366667,1.333333,3.2
9,RANGER,8.062969,8.055529,8.069487,10.507292,10.116667,11.15,4.8875,4.866667,4.913333,1.566667,0.8,2.266667
9,ROGUE,8.062322,8.055529,8.071334,10.372083,10.103333,11.146667,4.884167,4.86,4.906667,1.65,1.066667,2.133333
9,WARRIOR,8.068865,8.05748,8.081587,10.492917,10.103333,11.133333,4.9275,4.913333,4.933333,1.6,0.533333,2.133333
10,CLERIC,8.067183,8.058127,8.079205,10.780625,10.14,11.175,4.923333,4.906667,4.94,1.583333,0.8,2.266667
10,MAGE,8.065933,8.056831,8.078007,10.905625,10.14,11.175,4.923333,4.906667,4.94,1.583333,0.8,2.266667
10,PALADIN,8.067258,8.056831,8.076805,10.510208,10.118333,11.15,4.926667,4.913333,4.933333,2.433333,1.466667,3.2
10,RANGER,8.067591,8.059415,8.075598,10.643958,10.128333,11.163333,4.883333,4.86,4.906667,1.583333,0.8,2.266667
10,ROGUE,8.066419,8.059415,8.074992,10.757083,10.121667,11.16,4.879167,4.853333,4.906667,1.683333,1.066667,2.133333
10,WARRIOR,8.074224,8.061334,8.086301,10.628542,10.116667,11.143333,4.926667,4.913333,4.933333,1.633333,0.533333,2.133333
11,CLERIC,8.071427,8.06197,8.084541,10.793125,10.15,11.191667,4.9225,4.9,4.94,1.616667,0.933333,2.266667
11,MAGE,8.070196,8.060696,8.083363,10.918125,10.15,11.191667,4.9225,4.9,4.94,1.616667,0.933333,2.266667
11,PALADIN,8.071657,8.061334,8.08218,10.771458,10.135,11.161667,4.925,4.913333,4.933333,2.466667,1.466667,3.2
11,RANGER,8.071829,8.063238,8.080994,10.655417,10.138333,11.178333,4.881667,4.853333,4.906667,1.6,0.8,2.266667
11,ROGUE,8.07099,8.06387,8.079802,10.767708,10.131667,11.171667,4.875,4.853333,4.906667,1.716667,1.066667,2.133333
11,WARRIOR,8.079638,8.066381,8.093253,10.889792,10.128333,11.155,4.925,4.913333,4.933333,1.65,0.533333,2.133333
12,CLERIC,8.075676,8.065129,8.090373,11.05625,10.185,11.203333,4.920833,4.9,4.933333,1.633333,0.933333,2.266667
12,MAGE,8.074463,8.06387,8.089214,10.93125,10.16,11.203333,4.920833,4.9,4.933333,1.633333,0.933333,2.266667
12,PALADIN,8.076284,8.0645,8.087469,10.906042,10.145,12.151667,4.923333,4.906667,4.933333,2.5,1.466667,3.2
12,RANGER,8.075997,8.066381,8.086885,10.916875,10.16,11.188333,4.8775,4.846667,4.9,1.616667,0.8,2.266667
12,ROGUE,8.07495,8.066381,8.083952,10.90375,10.14,11.185,4.869167,4.846667,4.9,1.766667,1.2,2.133333
12,WARRIOR,8.085318,8.070104,8.100078,10.899375,10.14,11.166667,4.923333,4.906667,4.933333,1.666667,0.533333,2.266667
13,CLERIC,8.084237,8.072558,8.099514,11.457917,11.185,12.231667,4.920833,4.9,4.933333,1.7,1.066667,2.4
13,MAGE,8.083056,8.071334,8.098383,11.207917,10.185,12.213333,4.920833,4.9,4.933333,1.7,1.066667,2.4
13,PALADIN,8.084233,8.069487,8.097249,11.053333,10.163333,12.176667,4.921667,4.9,4.933333,2.683333,1.6,3.333333
13,RANGER,8.085065,8.073778,8.097249,11.064792,10.181667,12.211667,4.87,4.84,4.9,1.683333,0.8,2.4
13,ROGUE,8.082941,8.073778,8.093827,11.174375,10.158333,12.21,4.86,4.826667,4.886667,1.816667,1.2,2.133333
13,WARRIOR,8.095342,8.076805,8.111753,11.171667,10.18,12.176667,4.921667,4.9,4.933333,1.7,0.533333,2.266667
14,CLERIC,8.088469,8.075598,8.104006,11.5975,11.196667,12.246667,4.920833,4.9,4.933333,1.7,1.066667,2.4
14,MAGE,8.087303,8.074386,8.102888,11.2225,10.196667,12.231667,4.920833,4.9,4.933333,1.7,1.066667,2.4
14,PALADIN,8.087888,8.071947,8.101204,11.314583,10.183333,12.195,4.92,4.893333,4.933333,2.816667,1.6,3.6
14,RANGER,8.089352,8.076805,8.102888,11.202708,10.195,12.225,4.865833,4.833333,4.893333,1.683333,0.8,2.4
14,ROGUE,8.08713,8.078007,8.097817,11.184792,10.166667,12.221667,4.853333,4.826667,4.88,1.833333,1.333333,2.133333
14,WARRIOR,8.100227,8.080399,8.116663,11.182917,10.191667,12.188333,4.92,4.893333,4.933333,1.733333,0.533333,2.266667
15,CLERIC,8.096865,8.083363,8.113942,11.879792,11.23,12.28,4.919167,4.9,4.933333,1.766667,1.066667,2.533333
15,MAGE,8.095725,8.08218,8.112849,11.629792,11.23,12.263333,4.919167,4.9,4.933333,1.766667,1.066667,2.533333
15,PALADIN,8.095801,8.079205,8.109554,11.586458,11.186667,12.24,4.918333,4.893333,4.933333,3.033333,2.0,3.733333
15,RANGER,8.097578,8.084541,8.113395,11.479375,11.205,12.255,4.859167,4.826667,4.893333,1.733333,0.8,2.533333
15,ROGUE,8.095351,8.085715,8.106789,11.33125,11.181667,12.248333,4.8425,4.806667,4.866667,1.866667,1.333333,2.266667
15,WARRIOR,8.111136,8.090951,8.127925,11.579792,11.18,12.233333,4.918333,4.893333,4.933333,1.783333,0.666667,2.266667
16,CLERIC,8.100957,8.087469,8.119368,12.021667,11.246667,12.3,4.919167,4.9,4.933333,1.766667,1.066667,2.533333
16,MAGE,8.099829,8.086301,8.118288,11.896667,11.246667,12.293333,4.919167,4.9,4.933333,1.766667,1.066667,2.533333
16,PALADIN,8.100048,8.082772,8.115032,11.722917,11.198333,12.251667,4.916667,4.886667,4.933333,3.116667,2.0,3.866667
16,RANGER,8.101735,8.088633,8.118828,11.618125,11.218333,12.271667,4.855833,4.82,4.893333,1.75,0.933333,2.533333
16,ROGUE,8.099255,8.089214,8.111204,11.591667,11.19,12.261667,4.836667,4.806667,4.86,1.883333,1.466667,2.266667
