class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience
WARRIOR,6,1,8,11,11,6,12,11,10,3,0,0,0.0,19,9,95.0,1,0,1,1,0,0,0,0,0
WARRIOR,6,2,9,12,11,6,12,11,15,7,0,28,720.0,19,9,95.0,1,39,5,5,310,19,286,39,66
WARRIOR,6,3,10,14,11,6,12,12,28,19,1,211,5160.0,21,9,96.0,1,233,10,13,7044,209,1909,233,12
WARRIOR,6,4,11,14,11,6,13,12,36,24,1,582,14100.0,21,9,98.0,1,607,15,16,26759,566,5220,607,54
WARRIOR,6,5,11,15,11,7,13,12,43,28,1,1098,26520.0,22,10,100.0,2,1133,20,23,64218,1091,9792,1133,86
WARRIOR,6,6,12,17,11,8,13,12,58,40,2,1749,42120.0,24,10,116.0,2,1848,25,27,122456,1729,15540,1848,41
WARRIOR,6,7,14,17,11,8,13,12,65,47,2,2567,61920.0,25,10,104.0,2,2775,32,33,209873,2545,22927,2775,118
WARRIOR,6,8,15,17,11,9,13,12,72,51,2,3532,84780.0,26,10,121.0,2,3786,37,38,330355,3520,31275,3786,96
WARRIOR,6,9,17,18,11,9,13,13,86,62,3,4656,111540.0,27,10,124.0,2,5008,44,43,495761,4652,41125,5008,53
WARRIOR,6,10,18,18,11,9,14,13,96,67,3,5931,142260.0,29,11,120.5,3,6411,49,47,710665,5921,52581,6411,109
WARRIOR,6,11,19,18,12,9,14,13,104,74,3,7357,175620.0,30,11,126.5,3,8003,55,55,966285,7342,64708,8003,29
WARRIOR,6,12,19,20,12,9,14,13,113,78,3,8936,212400.0,30,11,136.5,3,9768,60,62,1286892,8932,78030,9768,25
WARRIOR,6,13,21,22,12,9,14,13,129,91,4,10655,251520.0,32,11,129.0,3,11589,67,67,1659100,10642,91900,11589,83
WARRIOR,6,14,21,23,12,9,14,14,137,97,4,12533,294480.0,32,11,132.5,3,13549,72,71,2103226,12530,107220,13549,55
WARRIOR,6,15,21,25,13,9,15,14,158,108,5,14563,341760.0,33,11,153.3,4,15831,77,75,2619869,14546,124409,15831,23
WARRIOR,6,16,21,26,14,9,15,14,167,116,5,16738,392340.0,34,11,152.33333333333334,4,18279,82,79,3211089,16724,142774,18279,89
WARRIOR,6,17,21,27,15,9,15,14,176,124,5,19067,446520.0,34,11,147.0,4,20773,86,83,3865060,19036,162506,20773,7
WARRIOR,6,18,21,30,16,9,15,14,198,137,6,21543,503880.0,35,11,159.33333333333334,4,23497,92,89,4621263,21518,183308,23497,264
WARRIOR,6,19,22,31,16,9,15,14,211,143,6,24169,564360.0,36,12,153.66666666666666,4,26407,98,96,5490418,24143,205147,26407,20
WARRIOR,6,20,22,33,17,9,16,14,237,155,7,26941,627780.0,37,12,161.25,5,29195,103,100,6446580,26915,227921,29547,170
WARRIOR,6,21,23,34,17,9,16,14,249,163,7,29867,694380.0,38,12,167.25,5,31862,109,104,7501235,29838,251741,32820,56
WARRIOR,6,22,24,35,17,10,16,15,276,177,8,32940,764160.0,39,12,167.5,5,34013,115,110,8685162,32916,276647,36304,19
WARRIOR,6,23,25,37,18,10,16,15,305,188,9,36172,837240.0,40,12,167.5,5,36137,122,115,9995067,36153,302633,39940,305
WARRIOR,6,24,26,38,18,10,16,15,319,193,9,39542,913380.0,41,12,171.25,5,38381,128,119,11417205,39513,329740,43731,243
WARRIOR,6,25,27,40,19,10,16,15,349,206,10,43074,992880.0,42,13,175.4,6,40434,135,125,12955958,43039,357941,47740,312
WARRIOR,6,26,27,41,19,10,16,16,363,213,10,46751,1074900.0,43,13,187.8,6,42660,139,129,14613630,46735,386774,52009,87
WARRIOR,6,27,29,41,19,10,17,17,397,226,11,50578,1159800.0,44,13,190.0,6,44925,146,133,16418366,50555,416512,56467,220
WARRIOR,6,28,29,43,20,10,18,17,430,238,12,54558,1247880.0,45,13,180.4,6,47254,151,140,18381088,54515,447302,61071,216
WARRIOR,6,29,30,43,21,10,18,17,448,244,12,58697,1339380.0,46,13,186.6,6,49479,157,146,20468635,58655,479258,65824,348
WARRIOR,6,30,32,43,21,10,19,18,482,259,13,62971,1433760.0,48,13,187.66666666666666,7,51154,164,149,22717096,62933,512221,70743,309
WARRIOR,6,31,35,43,21,10,20,18,514,276,14,67404,1530720.0,50,14,189.5,7,53439,172,154,25163138,67397,545748,75952,241
WARRIOR,6,32,36,45,22,10,20,18,547,289,15,71989,1630800.0,51,14,190.33333333333334,7,55727,178,161,27730243,71947,580371,81372,168
WARRIOR,6,33,36,46,22,10,20,19,565,295,15,76731,1734000.0,52,14,191.83333333333334,7,58110,183,166,30528698,76690,615967,86948,2
WARRIOR,6,34,39,47,22,10,20,19,600,311,16,81612,1840020.0,53,14,192.5,7,59762,192,170,33476656,81578,652457,92772,50
WARRIOR,6,35,39,51,22,10,20,19,637,323,17,86648,1948680.0,54,15,199.14285714285714,8,61466,198,175,36612152,86613,689614,98870,228
WARRIOR,6,36,40,52,22,10,20,21,674,337,18,91837,2060040.0,56,15,205.14285714285714,8,63864,204,179,39921287,91797,727483,105126,372
WARRIOR,6,37,40,54,22,11,20,22,712,351,19,97168,2174100.0,56,15,201.42857142857142,8,66290,209,186,43447556,97117,766172,111594,368
WARRIOR,6,38,41,55,22,11,20,22,732,357,19,102675,2291820.0,57,15,205.57142857142858,8,68419,215,189,47223616,102661,806025,118305,444
WARRIOR,6,39,43,57,22,11,20,22,770,375,20,108309,2411940.0,58,15,203.0,8,70082,223,196,51150114,108283,846639,125057,264
WARRIOR,6,40,43,59,22,11,21,23,810,392,21,114103,2535600.0,59,15,235.73333333333332,9,71807,228,201,55337481,114083,888484,131962,73
WARRIOR,6,41,43,61,22,11,23,23,851,410,22,120053,2661420.0,60,16,211.125,9,74303,234,204,59754976,120042,930627,139185,157
WARRIOR,6,42,44,62,22,12,23,24,894,424,23,126144,2789340.0,61,16,224.375,9,76809,240,210,64348548,126102,973193,146786,94
WARRIOR,6,43,47,63,22,12,23,24,941,441,24,132397,2920980.0,63,16,220.75,9,78614,248,215,69193888,132385,1017074,154453,162
WARRIOR,6,44,50,63,22,12,24,24,989,457,25,138788,3053760.0,65,16,213.5,9,80286,255,220,74218146,138770,1060723,162284,56
WARRIOR,6,45,50,66,22,13,24,24,1035,473,26,145315,3187920.0,66,17,244.375,10,82072,261,227,79458237,145270,1104304,170207,246
WARRIOR,6,46,52,67,22,13,25,24,1084,491,27,151984,3322800.0,68,17,229.88888888888889,10,84491,268,232,84933823,151936,1147258,178176,129
WARRIOR,6,47,54,70,22,14,25,24,1161,515,29,158808,3458400.0,69,17,222.33333333333334,10,86558,275,237,90793619,158804,1189470,186096,446
WARRIOR,6,48,54,72,22,15,26,24,1209,534,30,165773,3596520.0,70,17,223.0,10,88150,281,241,96789982,165704,1232450,194202,342
WARRIOR,6,49,54,75,23,16,26,25,1284,562,32,172897,3738480.0,70,18,235.22222222222223,10,89780,287,246,103114583,172844,1276864,202627,462
WARRIOR,6,50,55,76,25,16,26,25,1337,584,33,180167,3881880.0,71,18,231.1,11,91560,293,255,109697625,180124,1321171,211441,768
WARRIOR,6,51,59,76,27,16,26,25,1418,617,35,187583,4026600.0,74,18,245.2,11,93983,301,259,116472418,187511,1365386,220083,548
WARRIOR,6,52,59,79,27,17,26,25,1471,637,36,195156,4174560.0,74,18,236.5,11,96413,307,262,123672456,195133,1410672,228944,651
WARRIOR,6,53,62,81,27,17,26,26,1558,664,38,202872,4324920.0,77,19,233.3,11,98230,315,267,131055828,202828,1456591,237974,575
WARRIOR,6,54,64,83,27,17,26,26,1618,682,39,210739,4476780.0,78,19,233.7,11,99945,322,274,138819753,210682,1502401,247525,399
WARRIOR,6,55,66,84,27,18,28,26,1708,712,41,218762,4631880.0,80,19,277.3333333333333,12,101733,328,279,146889601,218733,1549258,257284,229
WARRIOR,6,56,66,87,27,19,28,26,1768,730,42,226936,4788660.0,81,20,258.09090909090907,12,104259,334,282,155218010,226893,1596158,267212,157
WARRIOR,6,57,67,91,28,19,28,26,1864,759,44,235252,4953060.0,81,20,259.45454545454544,12,106900,341,286,163861661,235236,1647387,278414,1130
WARRIOR,6,58,69,94,28,19,29,26,1962,788,46,243725,5121240.0,83,20,249.36363636363637,12,108784,348,292,172680395,243656,1700150,289820,534
WARRIOR,6,59,69,96,28,19,30,27,2028,809,47,252350,5291640.0,83,20,244.0,12,110706,354,296,182005455,252288,1753241,301520,678
WARRIOR,6,60,73,96,28,19,30,29,2134,839,49,261118,5465100.0,86,20,282.5263157894737,13,112601,362,300,191549781,261106,1807362,313280,38
WARRIOR,6,61,75,97,30,19,31,29,2241,869,51,270037,5640420.0,88,20,253.0,13,115436,368,305,201328084,269963,1861754,325046,125
WARRIOR,6,62,78,98,32,19,31,29,2346,901,53,278718,5810700.0,90,20,263.4166666666667,13,117335,375,315,211112632,278654,1914473,336690,455
WARRIOR,6,63,80,99,33,19,31,29,2415,923,54,287801,5989140.0,92,20,255.91666666666666,13,119117,382,321,221558999,287794,1969869,348747,765
WARRIOR,6,64,82,101,33,20,32,29,2523,957,56,297035,6169260.0,93,20,268.25,13,120964,389,326,232233402,296994,2025397,361163,419
WARRIOR,6,65,84,103,33,20,32,31,2630,988,58,306422,6352560.0,95,20,295.45,14,122844,395,329,243399285,306416,2081940,373628,710
WARRIOR,6,66,87,104,33,22,32,31,2740,1017,60,315949,6537540.0,97,20,265.9230769230769,14,125332,402,334,254882445,315936,2138625,386236,252
WARRIOR,6,67,88,107,33,23,32,32,2848,1051,62,325545,6724200.0,98,20,263.61538461538464,14,127194,409,338,266541084,325453,2196023,398815,651
WARRIOR,6,68,89,109,33,23,33,32,2925,1073,63,334911,6906240.0,99,20,278.0769230769231,14,128976,415,342,278314513,334861,2251861,411210,370
WARRIOR,6,69,91,111,34,23,34,32,3043,1109,65,344653,7095480.0,100,20,271.0769230769231,14,130851,422,346,290518173,344559,2309947,424082,725
WARRIOR,6,70,92,114,35,23,35,32,3158,1147,67,354549,7287600.0,102,20,272.7857142857143,15,132710,428,351,303120164,354448,2368893,437156,686
WARRIOR,6,71,95,115,35,24,35,33,3280,1179,69,364576,7480500.0,104,20,278.7142857142857,15,135262,435,355,316217520,364476,2427406,450345,737
WARRIOR,6,72,98,117,35,24,35,34,3399,1217,71,374760,7676820.0,106,20,275.07142857142856,15,137048,442,361,329904459,374696,2487113,463601,497
WARRIOR,6,73,103,118,35,24,35,34,3526,1253,73,384665,7868640.0,109,20,284.2857142857143,15,138843,450,369,343233597,384625,2545837,476833,623
WARRIOR,6,74,105,120,35,25,36,34,3652,1290,75,395012,8074320.0,110,20,292.07142857142856,15,140798,457,373,357239075,394935,2611035,491590,386
WARRIOR,6,75,108,122,35,26,36,34,3779,1326,77,405506,8282940.0,113,20,328.1363636363636,16,142857,464,377,371717337,405399,2677172,506667,1169
WARRIOR,6,76,110,124,35,26,37,35,3906,1365,79,416143,8493780.0,115,20,283.2,16,145362,470,381,386678587,416081,2743715,521632,221
WARRIOR,6,77,110,128,35,27,38,35,4038,1401,81,426935,8706900.0,115,20,283.6666666666667,16,147285,477,386,401956237,426891,2810701,536891,866
WARRIOR,6,78,112,131,35,27,38,36,4175,1440,83,437401,8912760.0,117,20,295.1333333333333,16,149183,483,391,417029489,437356,2875093,551737,124
WARRIOR,6,79,113,133,35,28,39,37,4310,1480,85,448266,9127500.0,117,20,284.26666666666665,16,151088,490,395,432883333,448237,2942661,567073,229
WARRIOR,6,80,115,134,35,29,40,38,4453,1519,87,459275,9344340.0,119,20,293.25,17,153070,496,402,449219179,459174,3010677,582654,1073
WARRIOR,6,81,117,136,37,29,40,38,4593,1562,89,470429,9563100.0,121,20,300.8125,17,155258,503,407,466173378,470418,3078804,598282,599
WARRIOR,6,82,119,138,37,30,40,39,4735,1601,91,481726,9784380.0,122,20,305.1875,17,157124,509,410,483267069,481610,3147875,614107,662
WARRIOR,6,83,121,140,37,30,42,39,4882,1639,93,492745,9999840.0,124,20,306.9375,17,158938,516,416,500215634,492650,3214887,629511,553
WARRIOR,6,84,123,141,40,30,42,39,5028,1685,95,504207,1.022298E7,125,20,300.0,17,160802,522,420,518152937,504118,3283961,645586,1108
WARRIOR,6,85,124,144,40,30,42,41,5175,1726,97,515823,1.044972E7,127,20,346.2916666666667,18,162790,529,427,536534372,515808,3354475,661950,1074
WARRIOR,6,86,127,145,41,30,43,41,5327,1773,99,527577,1.067736E7,129,20,310.52941176470586,18,165320,536,431,555327397,527518,3424673,678297,904
WARRIOR,6,87,128,147,43,30,44,41,5479,1817,101,539492,1.09083E7,130,20,318.11764705882354,18,167173,542,436,574799533,539460,3495956,694865,441
WARRIOR,6,88,132,147,43,31,44,42,5638,1861,103,551005,1.113282E7,133,20,315.11764705882354,18,169038,549,441,593755084,550977,3565936,711309,316
WARRIOR,6,89,134,148,43,31,47,42,5794,1905,105,562970,1.137096E7,133,20,305.11764705882354,18,171059,555,449,613620132,562947,3642101,729320,560
WARRIOR,6,90,138,150,44,31,48,42,6005,1966,108,575081,1.161198E7,135,20,313.44444444444446,19,173029,562,453,633999026,575050,3719202,747508,1477
WARRIOR,6,91,140,151,46,32,48,42,6164,2012,110,587330,1.185384E7,137,20,313.6111111111111,19,175278,569,457,654773752,587200,3795936,765614,636
WARRIOR,6,92,142,152,48,32,49,42,6325,2057,112,599605,1.209714E7,137,20,320.77777777777777,19,177190,575,462,675991211,599530,3873525,783840,488
WARRIOR,6,93,144,155,49,32,49,42,6483,2105,114,611783,1.233726E7,139,20,322.3888888888889,19,179121,582,469,697236384,611723,3949740,802097,599
WARRIOR,6,94,145,159,50,32,49,42,6643,2153,116,624349,1.25847E7,139,20,319.6111111111111,19,181119,589,474,719311544,624233,4028309,820918,690
WARRIOR,6,95,148,162,50,32,49,42,6809,2200,118,637061,1.283496E7,141,20,367.84615384615387,20,183181,596,480,742131814,637021,4107663,839892,641
WARRIOR,6,96,150,165,52,32,50,42,7035,2261,121,649925,1.308642E7,143,20,323.94736842105266,20,185282,602,485,765174858,649852,4186873,858807,556
WARRIOR,6,97,152,167,52,33,51,42,7208,2307,123,662426,1.333122E7,143,20,338.89473684210526,20,187152,609,488,787687156,662293,4264219,877286,135
WARRIOR,6,98,153,169,52,35,52,42,7382,2353,125,675331,1.358292E7,145,20,340.42105263157896,20,189024,615,496,811414658,675306,4343219,896300,956
WARRIOR,6,99,154,172,53,35,52,43,7556,2404,127,688377,1.383684E7,145,20,325.10526315789474,20,190963,621,501,835533151,688356,4422791,915631,1462
WARRIOR,6,100,155,174,54,35,53,44,7737,2451,129,701573,1.409352E7,147,20,324.89473684210526,20,192865,628,505,860275785,701551,4503281,935195,1066
WARRIOR,7,1,9,10,8,11,9,4,10,4,0,0,0.0,19,9,95.0,1,0,1,1,0,0,0,0,0
WARRIOR,7,2,10,10,9,11,9,4,15,11,0,29,720.0,20,9,95.0,1,33,6,10,320,19,275,33,6
WARRIOR,7,3,11,12,10,11,9,4,26,20,1,217,4740.0,21,9,95.0,1,174,11,16,6250,199,1585,174,56
WARRIOR,7,4,12,13,10,11,9,4,34,26,1,583,13080.0,22,10,97.0,1,527,16,19,25630,577,4483,527,86
