variant,hero_class,seed_index,level,gap_h,session_min,cap_h,calendar_days,calendar_days_low,calendar_days_high,sale_gold,sale_gold_day,online_days,kills,casts,attacks
prior,CLERIC,2,2,4.0,1.0,8.066298342541437,0.044614840240223844,0.04454163510522954,0.04468804537521815,373,8360.446837680496,0.007638888888888889,28,24,242
prior,CLERIC,2,3,4.0,1.0,8.11320754716981,0.3191862716394046,0.31833620816217206,0.32003633511663715,7426,23265.411641479994,0.05486111111111111,211,202,1635
prior,CLERIC,2,4,4.0,1.0,8.128342245989305,0.8863915254267739,0.88502561572178,0.8877574351317679,27266,30760.673153855063,0.1527777777777778,569,551,4738
prior,CLERIC,2,5,4.0,1.0,8.143236074270558,1.693504314270435,1.6914173571007247,1.6955912714401449,64283,37958.568784451694,0.2923611111111111,1074,1091,9196
prior,CLERIC,2,6,4.0,1.0,8.20051413881748,2.7530331030108277,2.7473216437087724,2.758744562312883,125198,45476.38742995078,0.47638888888888886,1729,1855,15179
prior,CLERIC,2,7,4.0,1.0,8.21882951653944,4.062522271590112,4.055384847682256,4.069659695497968,214745,52860.01790113182,0.7048611111111112,2549,2819,22578
prior,CLERIC,2,8,4.0,1.0,8.2367758186398,5.587634855605051,5.5788736317430825,5.596396079467019,343263,61432.61126944741,0.9715277777777778,3507,3969,31189
prior,CLERIC,2,9,4.0,1.0,8.271604938271604,7.353466210985475,7.341067598516618,7.3658648234543325,509471,69283.10886081072,1.28125,4627,5272,41183
prior,CLERIC,2,10,4.0,1.0,8.288508557457213,9.346788840287964,9.332403544967706,9.361174135608223,734304,78562.16852090316,1.6319444444444444,5897,6769,52461
prior,CLERIC,2,11,4.0,1.0,8.305084745762711,11.560729876992719,11.544185020544518,11.57727473344092,993575,85943.96812067524,2.022222222222222,7324,8374,64956
prior,CLERIC,2,12,4.0,1.0,8.333333333333334,13.996734760280937,13.976151166377852,14.017318354184024,1325506,94701.08726797042,2.452777777777778,8905,10183,78700
prior,CLERIC,2,13,4.0,1.0,8.387096774193548,16.632241008357,16.603381110446637,16.661100906267357,1716424,103198.60078612193,2.9208333333333334,10624,12097,93630
prior,CLERIC,2,14,4.0,1.0,8.401826484018265,19.471426168709144,19.44013328689849,19.502719050519797,2190048,112474.96619017245,3.4270833333333335,12504,14303,109643
prior,CLERIC,2,15,4.0,1.0,8.44097995545657,22.503640262024405,22.46546209107511,22.541818432973702,2728087,121228.69759003978,3.9694444444444446,14529,16753,126704
prior,CLERIC,2,16,4.0,1.0,8.454746136865342,25.723962598609774,25.68322127759418,25.764703919625365,3355159,130429.32196540071,4.5472222222222225,16706,19328,144768
prior,CLERIC,2,17,4.0,1.0,8.471615720524017,29.15496118386341,29.11087931633591,29.19904305139091,4070446,139614.18004743895,5.163888888888889,19034,22066,164038
prior,CLERIC,2,18,4.0,1.0,8.51063829787234,32.7636566105655,32.71147334282454,32.815839878306456,4873064,148733.8259560611,5.814583333333333,21509,25052,184236
prior,CLERIC,2,19,4.0,1.0,8.529411764705882,36.58685342994178,36.53055465459453,36.643152205289034,5760145,157437.561856195,6.50625,24141,28138,205704
prior,CLERIC,2,20,4.0,1.0,8.571428571428571,40.57274849851251,40.50688020653083,40.63861679049418,6768581,166825.79441834343,7.229861111111111,26914,31481,228057
prior,CLERIC,2,21,4.0,1.0,8.594377510040161,44.73443955721534,44.66313420232954,44.80574491210113,7902828,176660.9368133982,7.988194444444445,29842,35051,251317
prior,CLERIC,2,22,4.0,1.0,8.63013698630137,49.06080191662522,48.98071853542155,49.1408852978289,9129340,186082.16016351627,8.779166666666667,32912,38819,275497
prior,CLERIC,2,23,4.0,1.0,8.669201520912548,53.595817723315776,53.50572502555654,53.685910421075015,10480195,195541.28372671144,9.611805555555556,36148,42771,300924
prior,CLERIC,2,24,4.0,1.0,8.681732580037664,58.29111287762327,58.19770559253844,58.3845201627081,11978528,205494.92724813469,10.47638888888889,39519,46879,327262
prior,CLERIC,2,25,4.0,1.0,8.708487084870848,63.175486823096776,63.074733984736454,63.2762396614571,13586364,215057.5275825633,11.377777777777778,43051,51199,354597
prior,CLERIC,2,26,4.0,1.0,8.722627737226277,68.2100882685852,68.10534282799561,68.31483370917476,15328864,224730.15926384387,12.309027777777779,46733,55797,382582
prior,CLERIC,2,27,4.0,1.0,8.745519713261649,73.40660330220791,73.29520028852932,73.51800631588651,17213953,234501.42392683413,13.272222222222222,50552,60584,411481
prior,CLERIC,2,28,4.0,1.0,8.778359511343805,78.78865632016715,78.66739240906993,78.90992023126435,19216883,243904.1849109584,14.272916666666667,54534,65556,441436
prior,CLERIC,2,29,4.0,1.0,8.793103448275861,84.34269686059955,84.21687636868138,84.46851735251771,21435922,254152.67471739725,15.308333333333334,58666,70759,472323
prior,CLERIC,2,30,4.0,1.0,8.825503355704697,90.06055475272345,89.92445277409483,90.19665673135206,23801157,264279.4846795039,16.377083333333335,62945,76163,504119
prior,CLERIC,2,31,4.0,1.0,8.852459016393443,95.89294516548563,95.74814663501479,96.03774369595646,26342938,274711.95044160046,17.470833333333335,67372,81899,536317
prior,CLERIC,2,32,4.0,1.0,8.88,101.88502179954477,101.73112203883271,102.03892156025684,29043252,285059.09393768973,18.597916666666666,71952,87879,569414
prior,CLERIC,2,33,4.0,1.0,8.89589905362776,108.07270761302752,107.91339528106987,108.23201994498517,31972550,295842.96263292566,19.764583333333334,76695,94074,603638
prior,CLERIC,2,34,4.0,1.0,8.921417565485362,114.38964924668457,114.2214882487377,114.55781024463143,35082692,306694.63741726463,20.958333333333332,81583,100534,638454
prior,CLERIC,2,35,4.0,1.0,8.942598187311178,120.88470031863912,120.70900706588277,121.06039357139548,38343642,317191.85222720716,22.18888888888889,86621,107140,674342
prior,CLERIC,2,36,4.0,1.0,8.96755162241888,127.52426024393593,127.33951846730285,127.709002020569,41825324,327979.3501251766,23.45,91811,113855,710913
prior,CLERIC,2,37,4.0,1.0,8.992805755395683,134.2586946709999,134.06468987736528,134.45269946463446,45522616,339066.4277762635,24.73263888888889,97142,121025,747763
prior,CLERIC,2,38,4.0,1.0,9.005681818181818,141.18292361450006,140.9840729439277,141.38177428507237,49427071,350092.4172314253,26.054166666666667,102642,128381,785657
prior,CLERIC,2,39,4.0,1.0,9.027777777777779,148.2683433696311,148.06099949419863,148.4756872450636,53552484,361186.2302021837,27.409027777777776,108275,135819,824587
prior,CLERIC,2,40,4.0,1.0,9.054054054054054,155.53444275976747,155.31676841294214,155.7521171065928,57923907,372418.52011819044,28.802083333333332,114065,143478,864606
prior,CLERIC,2,41,4.0,1.0,9.076517150395778,162.89703168145167,162.67043227006963,163.1236310928337,62494154,383642.0673533729,30.21736111111111,120012,151340,904814
prior,CLERIC,2,42,4.0,1.0,9.097938144329897,170.3791811872514,170.14395298559612,170.6144093889067,67297910,394989.04461829615,31.659027777777776,126104,159700,945506
prior,CLERIC,2,43,4.0,1.0,9.117276166456495,178.0067764180169,177.76362445019473,178.24992838583907,72325332,406306.6218903766,33.13194444444444,132356,168246,986886
prior,CLERIC,2,44,4.0,1.0,9.136868064118373,185.77994600549658,185.5286301068511,186.03126190414207,77587579,417631.615619613,34.63611111111111,138756,177070,1029047
