class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience
WARRIOR,2,1,8,8,13,17,6,12,9,4,0,0,0.0,19,9,95.0,1,0,1,1,0,0,0,0,0
WARRIOR,2,2,8,9,13,18,6,12,14,8,0,28,660.0,19,9,95.0,1,25,5,8,377,19,244,25,18
WARRIOR,2,3,9,10,15,18,6,12,25,22,1,212,4800.0,20,9,96.0,1,203,10,14,7539,209,1680,203,60
WARRIOR,2,4,9,11,16,18,6,12,29,30,1,570,13260.0,20,9,97.0,1,554,14,18,28300,569,4793,554,58
WARRIOR,2,5,9,13,16,18,6,12,33,37,1,1074,25320.0,21,9,100.0,2,1097,18,22,65645,1069,9291,1097,90
WARRIOR,2,6,12,13,16,19,6,12,49,50,2,1728,41100.0,24,10,116.0,2,1810,24,28,126265,1719,15246,1810,13
WARRIOR,2,7,13,13,17,19,6,12,57,56,2,2535,60420.0,24,10,104.0,2,2765,29,32,221388,2534,22510,2765,2
WARRIOR,2,8,14,13,18,19,6,12,65,62,2,3501,83520.0,26,10,122.0,2,3924,33,36,352777,3495,31197,3924,16
WARRIOR,2,9,16,14,18,19,6,13,76,77,3,4624,110220.0,27,10,125.0,2,5236,40,41,529364,4599,41247,5236,45
WARRIOR,2,10,17,14,18,19,6,14,84,84,3,5897,140400.0,28,10,121.5,3,6743,45,46,754287,5895,52555,6743,117
WARRIOR,2,11,17,16,18,19,6,14,89,91,3,7319,173760.0,29,10,134.0,3,8358,50,54,1027580,7295,64984,8358,113
WARRIOR,2,12,19,16,18,19,6,14,96,99,3,8896,210660.0,30,11,127.0,3,10161,57,61,1367782,8890,78681,10161,33
WARRIOR,2,13,20,18,18,20,6,14,109,111,4,10620,250740.0,32,11,130.5,3,12194,64,65,1758261,10613,93519,12194,119
WARRIOR,2,14,21,18,18,20,6,15,119,118,4,12493,294000.0,32,11,134.0,3,14398,69,69,2224368,12469,109463,14398,135
WARRIOR,2,15,23,19,18,21,6,15,137,130,5,14522,340620.0,34,11,152.2,4,16857,76,75,2786107,14521,126529,16857,7
WARRIOR,2,16,23,20,18,22,6,15,146,135,5,16701,390240.0,35,11,146.0,4,19426,81,79,3432225,16697,144592,19426,113
WARRIOR,2,17,23,21,18,22,6,16,153,142,5,19031,443220.0,35,11,149.0,4,22173,85,84,4146551,19007,163882,22173,135
WARRIOR,2,18,23,24,18,22,6,17,173,152,6,21502,499020.0,36,11,153.0,4,25146,91,89,4973547,21492,184029,25146,128
WARRIOR,2,19,23,26,18,22,6,17,184,157,6,24138,558540.0,36,11,158.0,4,28084,96,92,5908584,24120,205559,28224,204
WARRIOR,2,20,26,26,18,22,7,17,204,173,7,26910,620640.0,39,12,163.0,5,30591,105,100,6934075,26874,227871,31552,190
WARRIOR,2,21,26,28,18,22,7,17,213,180,7,29847,686040.0,40,12,165.5,5,32838,110,104,8101425,29838,251213,35121,132
WARRIOR,2,22,27,29,19,22,8,17,236,195,8,32921,754260.0,40,12,167.25,5,35072,116,110,9361987,32918,275527,38880,259
WARRIOR,2,23,29,30,19,22,9,17,260,208,9,36150,825600.0,42,12,179.0,5,37377,123,114,10738343,36127,300884,42803,257
WARRIOR,2,24,30,30,19,23,9,17,274,216,9,39525,900000.0,43,13,177.0,5,39651,129,119,12237835,39487,327285,46901,187
WARRIOR,2,25,31,31,19,24,10,17,301,231,10,43060,977100.0,44,13,189.75,6,41342,135,123,13882370,43056,354326,51387,108
WARRIOR,2,26,32,32,19,24,10,17,312,240,10,46739,1057080.0,46,13,178.4,6,43682,141,130,15650319,46708,382353,55947,363
WARRIOR,2,27,32,36,19,24,10,17,335,256,11,50563,1140000.0,46,13,180.0,6,46104,147,135,17570269,50526,411340,60692,156
WARRIOR,2,28,32,38,20,25,10,17,365,269,12,54547,1226220.0,47,13,193.6,6,48449,153,139,19664990,54528,441394,65642,344
WARRIOR,2,29,32,39,21,25,10,17,378,278,12,58684,1315320.0,47,13,182.2,6,50210,157,145,21921730,58664,472373,70812,336
WARRIOR,2,30,34,39,21,26,11,17,408,294,13,62961,1407180.0,49,13,188.5,7,52005,164,148,24340910,62941,504239,76168,317
WARRIOR,2,31,37,39,22,26,11,17,438,314,14,67392,1501500.0,51,14,189.83333333333334,7,54510,172,153,26911315,67354,536708,81783,429
WARRIOR,2,32,38,40,22,27,11,18,471,330,15,71974,1598520.0,52,14,197.5,7,57033,178,160,29709458,71965,569924,87720,164
WARRIOR,2,33,38,42,22,27,11,18,487,337,15,76716,1698660.0,53,14,192.16666666666666,7,58996,183,165,32681855,76697,604160,93890,222
WARRIOR,2,34,40,42,24,27,11,18,521,355,16,81601,1801260.0,54,14,197.5,7,60861,190,169,35797187,81573,639072,100288,98
WARRIOR,2,35,42,43,25,27,11,18,552,375,17,86639,1905000.0,56,15,223.92857142857142,8,62718,197,177,39147888,86600,673662,106800,152
WARRIOR,2,36,43,44,26,28,11,18,585,392,18,91833,2010960.0,57,15,214.57142857142858,8,65340,203,182,42702496,91808,708663,113523,456
WARRIOR,2,37,47,44,26,28,11,18,619,410,19,97164,2120340.0,59,15,202.0,8,67507,212,186,46426943,97124,745093,120525,188
WARRIOR,2,38,49,44,26,28,11,18,637,418,19,102663,2232000.0,61,15,214.71428571428572,8,69290,219,191,50428011,102611,781854,127571,208
WARRIOR,2,39,50,45,26,28,13,18,671,436,20,108295,2345040.0,62,16,207.57142857142858,8,71050,225,195,54697479,108284,818531,134545,24
WARRIOR,2,40,52,45,26,29,13,19,707,452,21,114090,2462040.0,64,16,210.75,9,72919,231,201,59118218,114050,856847,142113,601
WARRIOR,2,41,55,45,27,29,13,19,743,472,22,120038,2578680.0,66,16,226.125,9,75550,238,209,63771144,119994,893705,149582,81
WARRIOR,2,42,57,45,28,29,14,19,781,490,23,126132,2697180.0,67,16,219.875,9,77339,245,213,68684022,126108,930799,157103,498
WARRIOR,2,43,59,46,28,30,14,19,816,507,24,132377,2818200.0,69,17,221.0,9,79085,252,218,73788745,132370,968566,164911,58
WARRIOR,2,44,59,48,28,30,15,20,850,526,25,138771,2941140.0,69,17,213.875,9,80981,257,220,79112111,138718,1006607,173085,524
WARRIOR,2,45,60,49,28,30,15,22,887,546,26,145302,3067500.0,71,17,249.1875,10,82852,263,227,84728975,145273,1045979,181639,770
WARRIOR,2,46,62,49,29,30,15,23,923,565,27,151967,3194940.0,73,17,230.44444444444446,10,85359,270,231,90744453,151947,1085092,190113,221
WARRIOR,2,47,65,51,29,31,15,23,977,593,29,158781,3325320.0,74,18,233.77777777777777,10,87154,278,236,96935456,158755,1125230,198891,234
WARRIOR,2,48,65,54,30,31,15,23,1015,612,30,165748,3457140.0,75,18,228.11111111111111,10,88988,284,241,103406718,165711,1165244,208117,630
WARRIOR,2,49,66,57,30,32,15,24,1075,642,32,172868,3591540.0,76,18,229.22222222222223,10,90869,290,246,110188659,172836,1205928,217461,826
