level,class,hp,mp,dex,cha,cap_h,capacity_bonus_h,proc_bonus_pp,raw_proc_pct,search_s,search_reduction_pct,sale_bonus_pct,variant
1,CLERIC,8.5,10.25,11.0,12.25,8.047400813756562,0.04740081375656224,0.10784305695925762,9.357843056959258,4.8218871124031,3.5622577519379846,5.669642857142857,prior
1,MAGE,6.5,10.25,11.0,12.25,8.036446325739432,0.036446325739431185,0.10784305695925762,9.607843056959258,4.8218871124031,3.5622577519379846,5.669642857142857,prior
1,PALADIN,10.5,8.25,11.0,12.25,8.058233750529464,0.05823375052946389,0.08702620379490086,9.5870262037949,4.8218871124031,3.5622577519379846,5.669642857142857,prior
1,RANGER,10.5,8.25,11.0,12.25,8.058233750529464,0.05823375052946389,0.08702620379490086,9.3370262037949,4.8218871124031,3.5622577519379846,5.669642857142857,prior
1,ROGUE,8.5,6.25,11.0,12.25,8.047400813756562,0.04740081375656224,0.06609924427813975,9.316099244278139,4.8218871124031,3.5622577519379846,5.669642857142857,prior
1,WARRIOR,10.5,4.25,11.0,12.25,8.058233750529464,0.05823375052946389,0.04506130251424982,9.545061302514249,4.8218871124031,3.5622577519379846,5.669642857142857,prior
2,CLERIC,15.0,16.0,11.25,12.25,8.082141217280885,0.08214121728088575,0.167075128497806,9.417075128497805,4.8184185606060606,3.631628787878788,5.669642857142857,prior
2,MAGE,13.0,16.0,11.25,12.25,8.071573939413291,0.07157393941329149,0.167075128497806,9.667075128497807,4.8184185606060606,3.631628787878788,5.669642857142857,prior
2,PALADIN,17.0,14.0,11.25,12.5,8.092593311365253,0.0925933113652535,0.1465699492305579,9.896569949230559,4.8184185606060606,3.631628787878788,5.740665584415584,prior
2,RANGER,17.0,14.0,12.0,12.25,8.092593311365253,0.0925933113652535,0.1465699492305579,9.396569949230557,4.809143698240166,3.8171260351966874,5.669642857142857,prior
2,ROGUE,15.0,12.0,12.0,12.25,8.082141217280885,0.08214121728088575,0.12595713011762238,9.625957130117623,4.809143698240166,3.8171260351966874,5.669642857142857,prior
2,WARRIOR,17.0,10.0,11.25,12.25,8.092593311365253,0.0925933113652535,0.10523582135901974,9.60523582135902,4.8184185606060606,3.631628787878788,5.669642857142857,prior
3,CLERIC,27.5,27.75,11.75,12.75,8.145443586329648,0.1454435863296486,0.28529643534108384,9.535296435341083,4.81294981060606,3.741003787878788,5.800189393939394,prior
3,MAGE,25.5,27.75,11.75,12.75,8.135563078358317,0.13556307835831616,0.28529643534108384,10.035296435341085,4.81294981060606,3.741003787878788,5.800189393939394,prior
3,PALADIN,29.5,26.5,11.75,13.25,8.15520749844122,0.15520749844121973,0.2729911763437728,10.022991176343773,4.81294981060606,3.741003787878788,5.938057040998218,prior
3,RANGER,29.75,25.75,13.25,12.5,8.156441447674714,0.1564414476747138,0.2654060351362345,9.765406035136236,4.795252557544757,4.094948849104859,5.740665584415584,prior
3,ROGUE,25.75,24.25,12.75,12.25,8.136646121899293,0.1366461218992936,0.25040760863406614,10.250407608634067,4.800147845909872,3.9970430818025635,5.669642857142857,prior
3,WARRIOR,30.25,22.5,11.75,12.25,8.158931270739695,0.1589312707396946,0.2329804745091639,9.982980474509164,4.81294981060606,3.741003787878788,5.669642857142857,prior
4,CLERIC,33.5,35.0,12.0,13.0,8.174227447659993,0.1742274476599932,0.3565454672884532,9.856545467288452,4.810376281194296,3.792474376114082,5.86703431372549,prior
4,MAGE,31.5,35.0,12.0,13.0,8.164650811825762,0.16465081182576302,0.3565454672884532,10.106545467288454,4.810376281194296,3.792474376114082,5.86703431372549,prior
4,PALADIN,35.5,33.25,12.0,14.0,8.18369878127192,0.1836987812719193,0.33958325946837276,10.089583259468373,4.810376281194296,3.792474376114082,6.124233477174654,prior
4,RANGER,35.75,32.25,14.25,13.0,8.184888348578015,0.18488834857801528,0.3297025850890315,10.079702585089032,4.784133712814095,4.317325743718109,5.86703431372549,prior
4,ROGUE,32.25,29.75,13.5,12.25,8.168188996379964,0.16818899637996365,0.30506575662777835,10.30506575662778,4.791860361165742,4.162792776685142,5.669642857142857,prior
4,WARRIOR,36.75,29.25,12.0,12.5,8.1897441794037,0.18974417940370047,0.30026097850502537,10.300260978505026,4.810376281194296,3.792474376114082,5.740665584415584,prior
5,CLERIC,38.5,42.0,12.0,13.0,8.19753668677161,0.19753668677160974,0.42415195594245925,10.42415195594246,4.810376281194296,3.792474376114082,5.86703431372549,prior
5,MAGE,36.5,42.0,12.0,13.0,8.188202637057598,0.18820263705759865,0.42415195594245925,10.17415195594246,4.810376281194296,3.792474376114082,5.86703431372549,prior
5,PALADIN,41.25,40.0,12.25,15.0,8.210029154900525,0.21002915490052576,0.4049721342803774,10.404972134280378,4.807586102622867,3.8482779475426536,6.380770474573531,prior
5,RANGER,41.25,38.75,14.5,13.25,8.210217913089217,0.21021791308921722,0.3929511655482384,10.39295116554824,4.781224803239626,4.375503935207471,5.923340620031796,prior
5,ROGUE,39.0,35.5,14.0,12.75,8.199684064710127,0.199684064710127,0.36132721042932,10.361327210429321,4.786476904079962,4.270461918400748,5.821310745705906,prior
