variant,hero_class,seed_index,level,gap_h,session_min,cap_h,calendar_days,calendar_days_low,calendar_days_high,sale_gold,sale_gold_day,online_days,kills,casts,attacks
baseline8,CLERIC,2,5,4.0,1.0,8.0,1.714430894308943,1.714430894308943,1.714430894308943,61130,35656.14700652045,0.2916666666666667,1074,1051,8977
baseline8,CLERIC,2,10,4.0,1.0,8.0,9.686534552845528,9.686534552845528,9.686534552845528,697450,72002.01436282662,1.6479166666666667,5898,6450,52443
baseline8,CLERIC,2,20,4.0,1.0,8.0,43.264888211382114,43.264888211382114,43.264888211382114,6378630,147432.02314161792,7.360416666666667,26913,29700,231131
baseline8,CLERIC,2,30,4.0,1.0,8.0,98.68182588075881,98.68182588075881,98.68182588075881,22351130,226496.92383081524,16.788194444444443,62945,70303,517013
baseline8,CLERIC,2,40,4.0,1.0,8.0,174.64336043360433,174.64336043360433,174.64336043360433,54109000,309825.69200259453,29.711111111111112,114066,130345,896825
baseline8,CLERIC,2,50,4.0,1.0,8.0,269.0636009485095,269.0636009485095,269.0636009485095,106863450,397167.9915948586,45.77430555555556,180122,209224,1349896
baseline8,CLERIC,2,60,4.0,1.0,8.0,379.60765582655824,379.60765582655824,379.60765582655824,185925140,489782.3770049272,64.58055555555555,261081,308309,1852526
baseline8,CLERIC,2,70,4.0,1.0,8.0,506.8796578590786,506.8796578590786,506.8796578590786,293772310,579570.1315787935,86.23263888888889,354501,427378,2430938
baseline8,CLERIC,2,80,4.0,1.0,8.0,651.3816903794037,651.3816903794037,651.3816903794037,433536950,665565.1462163177,110.81597222222223,459238,565201,3099786
baseline8,CLERIC,2,90,4.0,1.0,8.0,812.0075372628726,812.0075372628726,812.0075372628726,608863860,749825.3797647834,138.14236111111111,575055,719444,3849524
baseline8,CLERIC,2,100,4.0,1.0,8.0,989.7654471544714,989.7654471544714,989.7654471544714,822716520,831223.7231207362,168.38333333333333,701555,892855,4693753
baseline8,CLERIC,2,5,4.0,5.0,8.0,0.3485772357723576,0.3485772357723576,0.3485772357723576,61130,175370.029154519,0.2916666666666667,1074,1051,8977
baseline8,CLERIC,2,10,4.0,5.0,8.0,1.9694613821138205,1.9694613821138205,1.9694613821138205,697450,354132.35635594325,1.6479166666666667,5898,6450,52443
baseline8,CLERIC,2,20,4.0,5.0,8.0,8.796595528455283,8.796595528455283,8.796595528455283,6378630,725124.8485128556,7.360416666666667,26913,29700,231131
baseline8,CLERIC,2,30,4.0,5.0,8.0,20.063939701897016,20.063939701897016,20.063939701897016,22351130,1113995.0743515608,16.788194444444443,62945,70303,517013
baseline8,CLERIC,2,40,4.0,5.0,8.0,35.508401084010835,35.508401084010835,35.508401084010835,54109000,1523836.5667882713,29.711111111111112,114066,130345,896825
baseline8,CLERIC,2,50,4.0,5.0,8.0,54.7058773712737,54.7058773712737,54.7058773712737,106863450,1953418.081109407,45.77430555555556,180122,209224,1349896
baseline8,CLERIC,2,60,4.0,5.0,8.0,77.18163956639565,77.18163956639565,77.18163956639565,185925140,2408929.6501670913,64.58055555555555,261081,308309,1852526
baseline8,CLERIC,2,70,4.0,5.0,8.0,103.05851964769646,103.05851964769646,103.05851964769646,293772310,2850538.810418148,86.23263888888889,354501,427378,2430938
baseline8,CLERIC,2,80,4.0,5.0,8.0,132.43860094850945,132.43860094850945,132.43860094850945,433536950,3273493.882410869,110.81597222222223,459238,565201,3099786
baseline8,CLERIC,2,90,4.0,5.0,8.0,165.09696815718152,165.09696815718152,165.09696815718152,608863860,3687916.6637410787,138.14236111111111,575055,719444,3849524
baseline8,CLERIC,2,100,4.0,5.0,8.0,201.23861788617882,201.23861788617882,201.23861788617882,822716520,4088263.617797907,168.38333333333333,701555,892855,4693753
baseline8,CLERIC,2,5,4.0,12.0,8.0,0.2916666666666667,0.2916666666666667,0.2916666666666667,61130,209588.57142857142,0.2916666666666667,1074,1051,8977
baseline8,CLERIC,2,10,4.0,12.0,8.0,1.6479166666666667,1.6479166666666667,1.6479166666666667,697450,423231.35271807836,1.6479166666666667,5898,6450,52443
baseline8,CLERIC,2,20,4.0,12.0,8.0,7.360416666666667,7.360416666666667,7.360416666666667,6378630,866612.623832437,7.360416666666667,26913,29700,231131
baseline8,CLERIC,2,30,4.0,12.0,8.0,16.788194444444443,16.788194444444443,16.788194444444443,22351130,1331359.966907963,16.788194444444443,62945,70303,517013
baseline8,CLERIC,2,40,4.0,12.0,8.0,29.711111111111112,29.711111111111112,29.711111111111112,54109000,1821170.531039641,29.711111111111112,114066,130345,896825
baseline8,CLERIC,2,50,4.0,12.0,8.0,45.77430555555556,45.77430555555556,45.77430555555556,106863450,2334572.828642949,45.77430555555556,180122,209224,1349896
baseline8,CLERIC,2,60,4.0,12.0,8.0,64.58055555555555,64.58055555555555,64.58055555555555,185925140,2878964.7038582307,64.58055555555555,261081,308309,1852526
