variant,level,gap_h,session_min,progress_gap_pct,sale_gap_pct
baseline8,5,4.0,1.0,0.8149010477299212,1.0088581626723991
baseline8,5,4.0,5.0,0.8149010477299434,1.0088581626723991
baseline8,5,4.0,12.0,0.8149010477299212,1.0088581626723991
baseline8,5,8.0,1.0,0.8149010477299212,1.0088581626723991
baseline8,5,8.0,5.0,0.8149010477299212,1.008858162672377
baseline8,5,8.0,12.0,0.8149010477299212,1.0088581626723991
baseline8,5,12.0,1.0,0.8149010477299212,1.0088581626723991
baseline8,5,12.0,5.0,0.8149010477299212,1.008858162672377
baseline8,5,12.0,12.0,0.8149010477299212,1.008858162672377
baseline8,5,24.0,1.0,0.814901047729899,1.0088581626723991
baseline8,5,24.0,5.0,0.8149010477299212,1.0088581626723991
baseline8,5,24.0,12.0,0.8149010477299212,1.0088581626723991
baseline8,10,4.0,1.0,1.4636246233318717,1.9631857285427934
baseline8,10,4.0,5.0,1.4636246233318717,1.963185728542749
baseline8,10,4.0,12.0,1.4636246233319161,1.9631857285427712
baseline8,10,8.0,1.0,1.463624623331894,1.9631857285427712
baseline8,10,8.0,5.0,1.4636246233319161,1.9631857285427712
baseline8,10,8.0,12.0,1.4636246233319161,1.9631857285427712
baseline8,10,12.0,1.0,1.4636246233319161,1.9631857285427934
baseline8,10,12.0,5.0,1.4636246233319161,1.9631857285427712
baseline8,10,12.0,12.0,1.463624623331894,1.9631857285427712
baseline8,10,24.0,1.0,1.463624623331894,1.9631857285427712
baseline8,10,24.0,5.0,1.463624623331894,1.9631857285427712
baseline8,10,24.0,12.0,1.463624623331894,1.9631857285427712
baseline8,20,4.0,1.0,1.8580462436213585,1.8649740875005705
baseline8,20,4.0,5.0,1.8580462436213807,1.8649740875005927
baseline8,20,4.0,12.0,1.8580462436213363,1.8649740875005705
baseline8,20,8.0,1.0,1.8580462436213585,1.8649740875005483
baseline8,20,8.0,5.0,1.8580462436213363,1.8649740875005483
baseline8,20,8.0,12.0,1.8580462436213363,1.8649740875005705
baseline8,20,12.0,1.0,1.8580462436213585,1.8649740875005705
baseline8,20,12.0,5.0,1.8580462436213585,1.8649740875005705
baseline8,20,12.0,12.0,1.8580462436213585,1.8649740875005705
baseline8,20,24.0,1.0,1.8580462436213807,1.8649740875005705
baseline8,20,24.0,5.0,1.8580462436213585,1.8649740875005705
baseline8,20,24.0,12.0,1.8580462436213363,1.8649740875005705
baseline8,30,4.0,1.0,1.2173913043478368,1.2609528214305943
baseline8,30,4.0,5.0,1.2173913043478368,1.2609528214305943
baseline8,30,4.0,12.0,1.2173913043478146,1.260952821430572
baseline8,30,8.0,1.0,1.2173913043478146,1.2609528214305943
baseline8,30,8.0,5.0,1.217391304347859,1.2609528214306165
baseline8,30,8.0,12.0,1.2173913043478146,1.260952821430572
baseline8,30,12.0,1.0,1.2173913043478368,1.2609528214305943
baseline8,30,12.0,5.0,1.2173913043478368,1.2609528214305943
baseline8,30,12.0,12.0,1.2173913043478146,1.2609528214305943
baseline8,30,24.0,1.0,1.2173913043478146,1.260952821430572
baseline8,30,24.0,5.0,1.2173913043478368,1.2609528214305943
baseline8,30,24.0,12.0,1.2173913043478368,1.2609528214305943
baseline8,40,4.0,1.0,0.9563326929678206,1.0683856443090889
baseline8,40,4.0,5.0,0.9563326929678206,1.0683856443090667
baseline8,40,4.0,12.0,0.9563326929678206,1.0683856443090667
baseline8,40,8.0,1.0,0.9563326929678206,1.0683856443090889
baseline8,40,8.0,5.0,0.9563326929678428,1.068385644309111
baseline8,40,8.0,12.0,0.9563326929678206,1.0683856443090667
baseline8,40,12.0,1.0,0.9563326929678206,1.0683856443090889
baseline8,40,12.0,5.0,0.9563326929677984,1.0683856443090667
baseline8,40,12.0,12.0,0.9563326929677984,1.0683856443090667
baseline8,40,24.0,1.0,0.9563326929678206,1.0683856443090889
baseline8,40,24.0,5.0,0.9563326929678428,1.0683856443090667
baseline8,40,24.0,12.0,0.9563326929678206,1.0683856443090889
baseline8,50,4.0,1.0,1.1906208713447386,1.2475669621788255
baseline8,50,4.0,5.0,1.1906208713447164,1.2475669621788255
baseline8,50,4.0,12.0,1.1906208713447386,1.2475669621788255
baseline8,50,8.0,1.0,1.1906208713447164,1.2475669621788255
baseline8,50,8.0,5.0,1.1906208713447386,1.2475669621788255
baseline8,50,8.0,12.0,1.1906208713447386,1.2475669621788255
baseline8,50,12.0,1.0,1.1906208713447386,1.2475669621788477
baseline8,50,12.0,5.0,1.1906208713447386,1.2475669621788255
baseline8,50,12.0,12.0,1.1906208713447164,1.2475669621788255
baseline8,50,24.0,1.0,1.1906208713447164,1.2475669621788255
baseline8,50,24.0,5.0,1.1906208713447386,1.2475669621788255
baseline8,50,24.0,12.0,1.1906208713446942,1.2475669621788033
baseline8,60,4.0,1.0,1.0085472445837462,1.0675266843108489
baseline8,60,4.0,5.0,1.0085472445837684,1.067526684310871
baseline8,60,4.0,12.0,1.0085472445837684,1.0675266843108489
baseline8,60,8.0,1.0,1.0085472445837684,1.067526684310871
baseline8,60,8.0,5.0,1.0085472445837462,1.0675266843108489
baseline8,60,8.0,12.0,1.0085472445837684,1.0675266843108489
baseline8,60,12.0,1.0,1.0085472445837684,1.067526684310871
baseline8,60,12.0,5.0,1.0085472445837462,1.0675266843108489
baseline8,60,12.0,12.0,1.0085472445837684,1.067526684310871
baseline8,60,24.0,1.0,1.0085472445837462,1.0675266843108489
baseline8,60,24.0,5.0,1.0085472445837462,1.067526684310871
baseline8,60,24.0,12.0,1.0085472445837462,1.0675266843108489
baseline8,70,4.0,1.0,0.8079221598863429,0.8327097694312613
baseline8,70,4.0,5.0,0.8079221598863429,0.8327097694312613
baseline8,70,4.0,12.0,0.8079221598863429,0.8327097694312613
baseline8,70,8.0,1.0,0.8079221598863429,0.8327097694312613
baseline8,70,8.0,5.0,0.8079221598863651,0.8327097694312391
