hero_class,gap_h,session_min,calendar_days,sale_gold_per_day
WARRIOR,4,1,1413.5068906094534,601466.5688212062
ROGUE,4,1,1481.9778129559472,573096.6171186846
RANGER,4,1,1450.3167069859835,587875.2753747599
MAGE,4,1,1474.7374687940164,578459.5072352862
CLERIC,4,1,1499.2180312613402,606296.0993974
PALADIN,4,1,1522.2208852838862,596822.5543236915
WARRIOR,4,5,287.39351717785564,2958233.5323655247
ROGUE,4,5,301.3149910159394,2818699.6882776124
RANGER,4,5,294.8776707149924,2891386.558475861
MAGE,4,5,299.8428878460862,2845076.351912327
CLERIC,4,5,304.82026361745085,2981986.9378525196
PALADIN,4,5,309.4971924436117,2935392.563102238
WARRIOR,4,12,162.096875,5244870.633687416
ROGUE,4,12,157.74600694444445,5384075.880596555
RANGER,4,12,154.1185763888889,5532138.652440006
MAGE,4,12,156.59236111111113,5447749.197003897
CLERIC,4,12,159.23038194444445,5708521.4102993235
PALADIN,4,12,162.42048611111113,5593480.100647538
WARRIOR,4,20,162.096875,5244870.633687416
ROGUE,4,20,157.74600694444445,5384075.880596555
RANGER,4,20,154.1185763888889,5532138.652440006
MAGE,4,20,156.59236111111113,5447749.197003897
CLERIC,4,20,159.23038194444445,5708521.4102993235
PALADIN,4,20,162.42048611111113,5593480.100647538
WARRIOR,6,1,2117.327749004202,401533.08334047283
ROGUE,6,1,2219.892076668452,382593.5864975152
RANGER,6,1,2172.466104655353,392459.6713720696
MAGE,6,1,2209.0465818864723,386173.79845901387
CLERIC,6,1,2245.716636038771,404757.22979161615
PALADIN,6,1,2280.1731933090578,398432.78557343397
WARRIOR,6,5,428.1576888568053,1985663.6039165852
ROGUE,6,5,448.89784375844044,1892003.9003507257
RANGER,6,5,439.3075502488663,1940793.717333112
MAGE,6,5,446.7047104645775,1909708.7841603288
CLERIC,6,5,454.119984572937,2001607.6706133347
PALADIN,6,5,461.087654048646,1970331.9944110913
WARRIOR,6,12,181.82038841864335,4675917.518900346
ROGUE,6,12,190.62785145906378,4455364.0234065475
RANGER,6,12,186.55526106458706,4570256.173074747
MAGE,6,12,189.69652088221787,4497056.169151741
CLERIC,6,12,192.84547290083628,4713463.22434753
PALADIN,6,12,195.80434623983604,4639814.05135515
WARRIOR,6,20,162.096875,5244870.633687416
ROGUE,6,20,157.74600694444445,5384075.880596555
RANGER,6,20,154.1185763888889,5532138.652440006
MAGE,6,20,156.59236111111113,5447749.197003897
CLERIC,6,20,159.23038194444445,5708521.4102993235
PALADIN,6,20,162.42048611111113,5593480.100647538
WARRIOR,8,1,2821.1486073989504,301358.5095341179
ROGUE,8,1,2957.8063403809574,287144.04308857163
RANGER,8,1,2894.6155023247225,294548.73464722896
MAGE,8,1,2943.3556949789286,289831.0628767235
CLERIC,8,1,2992.215240816202,303778.29512426903
PALADIN,8,1,3038.12550133423,299031.6748274628
WARRIOR,8,5,568.9218605357551,1494365.3926382547
ROGUE,8,5,596.4806965009413,1423879.2239752887
RANGER,8,5,583.7374297827403,1460597.3336630631
MAGE,8,5,593.5665330830687,1437203.51797633
CLERIC,8,5,603.4197055284233,1506364.5356162207
PALADIN,8,5,612.6781156536805,1482827.1710516457
WARRIOR,8,12,240.47212661820572,3535449.831363676
ROGUE,8,12,252.12070676843916,3368689.87135617
RANGER,8,12,246.7343775370345,3455559.5454955404
MAGE,8,12,250.88894697325586,3400213.2010659515
CLERIC,8,12,255.0536899656221,3563838.0476774015
PALADIN,8,12,258.967038575267,3508152.087609991
WARRIOR,8,20,162.096875,5244870.633687416
ROGUE,8,20,157.74600694444445,5384075.880596555
