level,gap_h,session_min,growth_spread_pct,sale_spread_pct,fastest,slowest
20,4,1,1.726323084235326,1.6252776219950693,ROGUE,CLERIC
21,4,1,1.7056252194321164,1.5400990060153497,ROGUE,CLERIC
22,4,1,1.6637918930205942,1.3957108487681946,ROGUE,CLERIC
23,4,1,1.5811473353492866,1.331140823040422,ROGUE,CLERIC
24,4,1,1.5473787522614746,1.2440622933991285,ROGUE,CLERIC
25,4,1,1.554958342185886,1.2886363383457278,ROGUE,CLERIC
26,4,1,1.5750657163450255,1.2850513650684903,ROGUE,CLERIC
27,4,1,1.6108544487390297,1.3021804998420317,ROGUE,CLERIC
28,4,1,1.6870056056912164,1.266743771594614,ROGUE,CLERIC
29,4,1,1.7112016831707155,1.3598001235744173,ROGUE,CLERIC
30,4,1,1.7485476637345343,1.4513064725341307,ROGUE,CLERIC
31,4,1,1.8023626070825083,1.5760656508256643,ROGUE,CLERIC
32,4,1,1.8414250404729549,1.6561517779449142,ROGUE,CLERIC
33,4,1,1.8764974103673726,1.7181446403591094,ROGUE,CLERIC
34,4,1,1.9341010722045526,1.778076067450085,ROGUE,CLERIC
35,4,1,1.9886749146412974,1.942471833137338,ROGUE,CLERIC
36,4,1,2.0473397936387583,2.1065909263668026,ROGUE,CLERIC
37,4,1,2.0873648102855746,2.191969963002638,ROGUE,CLERIC
38,4,1,2.1269460641627047,2.2496148955526207,ROGUE,CLERIC
39,4,1,2.135576827920471,2.2733490854538463,ROGUE,CLERIC
40,4,1,2.1981207911836442,2.292020947483664,ROGUE,CLERIC
41,4,1,2.22844823243038,2.3074264711959502,ROGUE,CLERIC
42,4,1,2.219605902522259,2.334622169613265,ROGUE,CLERIC
43,4,1,2.2339223091018656,2.3083792862840458,ROGUE,CLERIC
44,4,1,2.2342214522162784,2.3483277623548515,ROGUE,CLERIC
45,4,1,2.2273286461707453,2.3528331469270913,ROGUE,CLERIC
46,4,1,2.188333900482742,2.354605290091638,ROGUE,CLERIC
47,4,1,2.14865506412083,2.418319397321489,ROGUE,CLERIC
48,4,1,2.1167980411025855,2.463632714076658,ROGUE,CLERIC
49,4,1,2.086211571549379,2.5099745724869837,ROGUE,CLERIC
50,4,1,2.089956474665944,2.5341759102903483,ROGUE,CLERIC
