level,gap_h,session_min,growth_spread_pct,sale_spread_pct,fastest,slowest,highest_sale,lowest_sale
20,4,1,1.2614714098740043,2.1120255901167395,CLERIC,MAGE,CLERIC,MAGE
21,4,1,1.209755946199187,2.1157355864109606,CLERIC,MAGE,CLERIC,MAGE
22,4,1,1.1584904505990812,2.1138089843258268,CLERIC,MAGE,CLERIC,MAGE
23,4,1,1.1253433339516228,2.130407503441867,CLERIC,MAGE,CLERIC,MAGE
24,4,1,1.1134170694845125,2.1626623353731222,CLERIC,MAGE,CLERIC,MAGE
25,4,1,1.0870539903703236,2.1846660151831676,CLERIC,MAGE,CLERIC,MAGE
26,4,1,1.0636054699884268,2.2107432684388417,CLERIC,MAGE,CLERIC,MAGE
27,4,1,1.0322602067659226,2.2391121338202646,CLERIC,MAGE,CLERIC,MAGE
28,4,1,1.000100525724923,2.2532154223551037,CLERIC,MAGE,CLERIC,MAGE
29,4,1,0.9929679495976007,2.3042258908034796,CLERIC,MAGE,CLERIC,MAGE
30,4,1,0.945831394925456,2.3106646124386288,CLERIC,MAGE,CLERIC,MAGE
31,4,1,0.9201513676308393,2.3393381427153637,CLERIC,MAGE,CLERIC,MAGE
32,4,1,0.9139242713392726,2.3883731266856945,CLERIC,MAGE,CLERIC,MAGE
33,4,1,0.9177031933392588,2.4226194959461766,CLERIC,PALADIN,CLERIC,MAGE
34,4,1,0.9306640923197218,2.4515519178718526,CLERIC,PALADIN,CLERIC,MAGE
35,4,1,0.9370692228227728,2.48131081162859,CLERIC,PALADIN,CLERIC,MAGE
36,4,1,0.9553004142134558,2.5069124108070717,CLERIC,PALADIN,CLERIC,MAGE
37,4,1,0.9686303027133247,2.5414585573764192,CLERIC,PALADIN,CLERIC,MAGE
38,4,1,0.9576196129737591,2.54675939892941,CLERIC,PALADIN,CLERIC,MAGE
39,4,1,0.9633156395431941,2.5827110020267385,CLERIC,PALADIN,CLERIC,MAGE
40,4,1,0.9726076445705889,2.6073379322096413,CLERIC,PALADIN,CLERIC,MAGE
41,4,1,0.9599502093124768,2.615860456824648,CLERIC,PALADIN,CLERIC,MAGE
42,4,1,0.9663901009268283,2.633231276640724,CLERIC,PALADIN,CLERIC,MAGE
43,4,1,0.981444273146237,2.662656484705539,WARRIOR,PALADIN,CLERIC,MAGE
44,4,1,1.0245456226320782,2.6859105996084987,WARRIOR,PALADIN,CLERIC,MAGE
45,4,1,1.06766799472231,2.71205434330668,WARRIOR,PALADIN,CLERIC,MAGE
46,4,1,1.1122482516264354,2.747074916251946,WARRIOR,PALADIN,CLERIC,MAGE
47,4,1,1.1611998842351312,2.7823539786433704,WARRIOR,PALADIN,CLERIC,MAGE
48,4,1,1.2102611657936357,2.819116866255489,WARRIOR,PALADIN,CLERIC,MAGE
49,4,1,1.2658332606658274,2.8634824728603903,WARRIOR,PALADIN,CLERIC,MAGE
50,4,1,1.3189549851409632,2.903318271826749,WARRIOR,PALADIN,CLERIC,MAGE
51,4,1,1.3750822196809676,2.937600079010627,WARRIOR,PALADIN,CLERIC,MAGE
52,4,1,1.4443178757345576,2.9698305235003053,WARRIOR,PALADIN,CLERIC,MAGE
53,4,1,1.5144113930512848,2.99874144125567,WARRIOR,PALADIN,CLERIC,MAGE
54,4,1,1.5866701704960962,3.0248323376980135,WARRIOR,PALADIN,CLERIC,MAGE
55,4,1,1.6582513746664196,3.0494040432577085,WARRIOR,PALADIN,CLERIC,MAGE
56,4,1,1.7385170788732918,3.0730837184287374,WARRIOR,PALADIN,CLERIC,MAGE
57,4,1,1.8230594267362843,3.0984177741504304,WARRIOR,PALADIN,CLERIC,MAGE
58,4,1,1.9085070552703476,3.118660774681814,WARRIOR,PALADIN,CLERIC,MAGE
59,4,1,1.9986868316012707,3.141036520159801,WARRIOR,PALADIN,CLERIC,MAGE
60,4,1,2.0894950389765077,3.164846459898163,WARRIOR,PALADIN,CLERIC,MAGE
61,4,1,2.1818287642879186,3.188811892344412,WARRIOR,PALADIN,CLERIC,MAGE
62,4,1,2.272969454359086,3.2114525293147844,WARRIOR,PALADIN,CLERIC,MAGE
63,4,1,2.367237751088025,3.244038380406966,WARRIOR,PALADIN,CLERIC,MAGE
64,4,1,2.4656442849430027,3.275580660868349,WARRIOR,PALADIN,CLERIC,MAGE
65,4,1,2.565986477026838,3.3095556131131243,WARRIOR,PALADIN,CLERIC,MAGE
66,4,1,2.6684347520574914,3.342821367775395,WARRIOR,PALADIN,CLERIC,MAGE
67,4,1,2.7731600357949304,3.3787681918741708,WARRIOR,PALADIN,CLERIC,MAGE
68,4,1,2.8755793305523136,3.41365732972303,WARRIOR,PALADIN,CLERIC,MAGE
69,4,1,2.9820500736450706,3.4475861531866547,WARRIOR,PALADIN,CLERIC,MAGE
70,4,1,3.090981943045934,3.482240332895703,WARRIOR,PALADIN,CLERIC,MAGE
71,4,1,3.202482499551129,3.518929006898097,WARRIOR,PALADIN,CLERIC,MAGE
72,4,1,3.3171980884633356,3.5535669786243007,WARRIOR,PALADIN,CLERIC,MAGE
73,4,1,3.4315374498528506,3.587103798560931,WARRIOR,PALADIN,CLERIC,MAGE
74,4,1,3.555410633015521,3.617737486885475,WARRIOR,PALADIN,CLERIC,MAGE
75,4,1,3.6815732787898625,3.6628754094854,WARRIOR,PALADIN,CLERIC,ROGUE
76,4,1,3.809819556328442,3.7296578336776687,WARRIOR,PALADIN,CLERIC,ROGUE
77,4,1,3.941334694770404,3.7756807311144502,WARRIOR,PALADIN,CLERIC,ROGUE
78,4,1,4.069469038939988,3.836817661411618,WARRIOR,PALADIN,CLERIC,ROGUE
79,4,1,4.202627328170805,3.8940497437025323,WARRIOR,PALADIN,CLERIC,ROGUE
80,4,1,4.337650728924736,3.942359693038422,WARRIOR,PALADIN,CLERIC,ROGUE
81,4,1,4.474206698852079,4.000875239331458,WARRIOR,PALADIN,CLERIC,ROGUE
82,4,1,4.614902009009314,4.056576680745216,WARRIOR,PALADIN,CLERIC,ROGUE
83,4,1,4.753668025708913,4.097668584082403,WARRIOR,PALADIN,CLERIC,ROGUE
84,4,1,4.899261996590698,4.148579892422677,WARRIOR,PALADIN,CLERIC,ROGUE
