class,seed_index,level,time_change_pct,sale_gold_change,sale_gold_change_pct
CLERIC,14,1,,0,
CLERIC,14,2,0.0,0,0.0
CLERIC,14,3,0.0,0,0.0
CLERIC,14,4,0.0,0,0.0
CLERIC,14,5,0.0,0,0.0
CLERIC,14,6,0.0,0,0.0
CLERIC,14,7,0.0,0,0.0
CLERIC,14,8,0.0,0,0.0
CLERIC,14,9,0.0,0,0.0
CLERIC,14,10,0.0,0,0.0
CLERIC,14,11,0.0,0,0.0
CLERIC,14,12,0.0,0,0.0
CLERIC,14,13,0.0,0,0.0
CLERIC,14,14,0.0,0,0.0
CLERIC,14,15,0.0,0,0.0
CLERIC,14,16,0.0,0,0.0
CLERIC,14,17,0.0,0,0.0
CLERIC,14,18,0.0,34,0.0007256257508414521
CLERIC,14,19,0.0,34,0.0006135728818135178
CLERIC,14,20,0.0,34,0.0005226315605844079
CLERIC,14,21,0.0,34,0.00044883036787179975
CLERIC,14,22,0.0,34,0.00038853031096852675
CLERIC,14,23,0.0,34,0.00033831771515391296
CLERIC,14,24,0.0,34,0.00029621823407488534
CLERIC,14,25,0.0,34,0.0002610421601545454
CLERIC,14,26,0.0,34,0.00023113862899215576
CLERIC,14,27,0.0,34,0.00020538950518123045
CLERIC,14,28,0.0,34,0.00018340639291736238
CLERIC,14,29,0.0,34,0.00016438204630819797
CLERIC,14,30,0.0,34,0.0001478099756591078
CLERIC,14,31,0.0,34,0.00013350338523565597
CLERIC,14,32,0.0,34,0.00012074481938739723
CLERIC,14,33,0.0,34,0.00010992605079529483
CLERIC,14,34,0.0,34,0.0001001568072700465
CLERIC,14,35,0.0,34,9.153555633467647e-05
CLERIC,14,36,0.0,34,8.389148724585738e-05
CLERIC,14,37,0.0,34,7.69880691420255e-05
CLERIC,14,38,0.0,34,7.080320656438488e-05
CLERIC,14,39,0.0,34,6.536991972172501e-05
CLERIC,14,40,0.0,34,6.048121379276239e-05
CLERIC,14,41,0.0,34,5.602344839150675e-05
CLERIC,14,42,0.0,34,5.197558432534777e-05
CLERIC,14,43,0.0,34,4.828573771931133e-05
CLERIC,14,44,0.0,34,4.4934081433467554e-05
CLERIC,14,45,0.0,34,4.191114320040157e-05
CLERIC,14,46,0.0,34,3.91622751561016e-05
CLERIC,14,47,0.0,34,3.663571710443847e-05
CLERIC,14,48,0.0,34,3.4328366260716336e-05
CLERIC,14,49,0.0,34,3.219622821681867e-05
CLERIC,14,50,0.0,34,3.0258482652811836e-05
CLERIC,14,51,0.0,34,2.8451248823557762e-05
CLERIC,14,52,0.0,34,2.681685704608583e-05
CLERIC,14,53,0.0,34,2.5293424554817534e-05
CLERIC,14,54,0.0,34,2.3879124433356935e-05
CLERIC,14,55,0.0,34,2.256757933860598e-05
CLERIC,14,56,0.0,34,2.135331185204592e-05
CLERIC,14,57,0.0,34,2.0234235553751034e-05
CLERIC,14,58,0.0,34,1.9173505183545103e-05
CLERIC,14,59,0.0,34,1.8176409577463915e-05
CLERIC,14,60,0.0,34,1.7254163053870286e-05
CLERIC,14,61,0.0,34,1.6386387868827512e-05
CLERIC,14,62,0.0,34,1.5614004245101398e-05
CLERIC,14,63,0.0,34,1.4862052499786671e-05
CLERIC,14,64,0.0,34,1.4154497862683968e-05
CLERIC,14,65,0.0,34,1.3487879302331862e-05
CLERIC,14,66,0.0,34,1.2870698840039552e-05
CLERIC,14,67,0.0,34,1.2295273932316775e-05
CLERIC,14,68,0.0,34,1.1774452279844638e-05
CLERIC,14,69,0.0,34,1.1265392574344446e-05
CLERIC,14,70,0.0,34,1.0791116111796839e-05
CLERIC,14,71,0.0,34,1.0334939215539407e-05
CLERIC,14,72,0.0,34,9.913206877598668e-06
CLERIC,14,73,0.0,34,9.524567246010918e-06
CLERIC,14,74,0.0,34,9.139913315081571e-06
CLERIC,14,75,0.0,34,8.779759363974904e-06
CLERIC,14,76,0.0,34,8.438723142489835e-06
CLERIC,14,77,0.0,34,8.11004352563316e-06
CLERIC,14,78,0.0,34,7.811666380419524e-06
CLERIC,14,79,0.0,34,7.519168310210489e-06
CLERIC,14,80,0.0,34,7.2439989784456316e-06
CLERIC,14,81,0.0,34,6.9800629720617735e-06
CLERIC,14,82,0.0,34,6.729918888837005e-06
CLERIC,14,83,0.0,34,6.4980250513713145e-06
CLERIC,14,84,0.0,34,6.270277008724179e-06
CLERIC,14,85,0.0,34,6.050903977872224e-06
CLERIC,14,86,0.0,34,5.843038231034825e-06
CLERIC,14,87,0.0,34,5.6438062223662655e-06
CLERIC,14,88,0.0,34,5.45947269614544e-06
CLERIC,14,89,0.0,34,5.278244930018161e-06
CLERIC,14,90,0.0,34,5.106192868531423e-06
CLERIC,14,91,0.0,34,4.940608611114783e-06
CLERIC,14,92,0.0,34,4.7831306915213645e-06
CLERIC,14,93,0.0,34,4.635019168475196e-06
CLERIC,14,94,0.0,34,4.488772820110398e-06
CLERIC,14,95,0.0,34,4.349004956161195e-06
CLERIC,14,96,0.0,34,4.214499904620084e-06
CLERIC,14,97,0.0,34,4.089228866632766e-06
CLERIC,14,98,0.0,34,3.966006922873078e-06
CLERIC,14,99,0.0,34,3.848982044196703e-06
CLERIC,14,100,0.0,34,3.735342790633922e-06
CLERIC,15,1,,0,
CLERIC,15,2,0.0,0,0.0
CLERIC,15,3,0.0,0,0.0
CLERIC,15,4,0.0,0,0.0
CLERIC,15,5,0.0,0,0.0
CLERIC,15,6,0.0,0,0.0
CLERIC,15,7,0.0,0,0.0
CLERIC,15,8,0.0,0,0.0
CLERIC,15,9,0.0,0,0.0
CLERIC,15,10,0.0,0,0.0
CLERIC,15,11,0.0,0,0.0
CLERIC,15,12,0.0,0,0.0
CLERIC,15,13,0.0,0,0.0
CLERIC,15,14,0.0,0,0.0
CLERIC,15,15,0.0,0,0.0
CLERIC,15,16,0.0,0,0.0
CLERIC,15,17,0.0,0,0.0
CLERIC,15,18,0.0,0,0.0
CLERIC,15,19,0.0,0,0.0
CLERIC,15,20,0.0,0,0.0
CLERIC,15,21,0.0,0,0.0
CLERIC,15,22,0.0,0,0.0
CLERIC,15,23,0.0,0,0.0
CLERIC,15,24,0.0,0,0.0
CLERIC,15,25,0.0,0,0.0
CLERIC,15,26,0.0,0,0.0
CLERIC,15,27,0.0,0,0.0
CLERIC,15,28,0.0,0,0.0
CLERIC,15,29,0.0,0,0.0
CLERIC,15,30,0.0,0,0.0
CLERIC,15,31,0.0,0,0.0
CLERIC,15,32,0.0,0,0.0
CLERIC,15,33,0.0,0,0.0
CLERIC,15,34,0.0,0,0.0
CLERIC,15,35,0.0,0,0.0
CLERIC,15,36,0.0,0,0.0
CLERIC,15,37,0.0,0,0.0
CLERIC,15,38,0.0,0,0.0
CLERIC,15,39,0.0,0,0.0
CLERIC,15,40,0.0,0,0.0
CLERIC,15,41,0.0,0,0.0
CLERIC,15,42,0.0,0,0.0
CLERIC,15,43,0.0,0,0.0
CLERIC,15,44,0.0,0,0.0
CLERIC,15,45,0.0,0,0.0
CLERIC,15,46,0.0,0,0.0
CLERIC,15,47,0.0,0,0.0
CLERIC,15,48,0.0,0,0.0
CLERIC,15,49,0.0,0,0.0
CLERIC,15,50,0.0,0,0.0
CLERIC,15,51,0.0,0,0.0
CLERIC,15,52,0.0,0,0.0
CLERIC,15,53,0.0,0,0.0
CLERIC,15,54,0.0,0,0.0
CLERIC,15,55,0.0,0,0.0
CLERIC,15,56,0.0,0,0.0
CLERIC,15,57,0.0,0,0.0
CLERIC,15,58,0.0,0,0.0
CLERIC,15,59,0.0,0,0.0
CLERIC,15,60,0.0,0,0.0
CLERIC,15,61,0.0,0,0.0
CLERIC,15,62,0.0,0,0.0
CLERIC,15,63,0.0,0,0.0
CLERIC,15,64,0.0,0,0.0
CLERIC,15,65,0.0,0,0.0
CLERIC,15,66,0.0,0,0.0
CLERIC,15,67,0.0,0,0.0
CLERIC,15,68,0.0,0,0.0
CLERIC,15,69,0.0,0,0.0
CLERIC,15,70,0.0,0,0.0
CLERIC,15,71,0.0,0,0.0
CLERIC,15,72,0.0,0,0.0
CLERIC,15,73,0.0,0,0.0
CLERIC,15,74,0.0,0,0.0
CLERIC,15,75,0.0,0,0.0
CLERIC,15,76,0.0,0,0.0
CLERIC,15,77,0.0,0,0.0
CLERIC,15,78,0.0,0,0.0
CLERIC,15,79,0.0,0,0.0
CLERIC,15,80,0.0,0,0.0
CLERIC,15,81,0.0,0,0.0
CLERIC,15,82,0.0,0,0.0
CLERIC,15,83,0.0,0,0.0
CLERIC,15,84,0.0,0,0.0
CLERIC,15,85,0.0,0,0.0
CLERIC,15,86,0.0,0,0.0
CLERIC,15,87,0.0,0,0.0
CLERIC,15,88,0.0,0,0.0
CLERIC,15,89,0.0,0,0.0
CLERIC,15,90,0.0,0,0.0
CLERIC,15,91,0.0,0,0.0
CLERIC,15,92,0.0,0,0.0
CLERIC,15,93,0.0,0,0.0
CLERIC,15,94,0.0,0,0.0
CLERIC,15,95,0.0,0,0.0
CLERIC,15,96,0.0,0,0.0
CLERIC,15,97,0.0,0,0.0
CLERIC,15,98,0.0,0,0.0
CLERIC,15,99,0.0,0,0.0
CLERIC,15,100,0.0,0,0.0
CLERIC,16,1,,0,
CLERIC,16,2,0.0,0,0.0
CLERIC,16,3,0.0,0,0.0
CLERIC,16,4,0.0,0,0.0
CLERIC,16,5,0.0,0,0.0
CLERIC,16,6,0.0,0,0.0
CLERIC,16,7,0.0,0,0.0
CLERIC,16,8,0.0,0,0.0
CLERIC,16,9,0.0,0,0.0
CLERIC,16,10,0.0,0,0.0
CLERIC,16,11,0.0,0,0.0
CLERIC,16,12,0.0,0,0.0
CLERIC,16,13,0.0,0,0.0
CLERIC,16,14,0.0,0,0.0
CLERIC,16,15,0.0,0,0.0
CLERIC,16,16,0.0,0,0.0
CLERIC,16,17,0.0,0,0.0
CLERIC,16,18,0.0,0,0.0
CLERIC,16,19,0.0,0,0.0
CLERIC,16,20,0.0,0,0.0
CLERIC,16,21,0.0,0,0.0
CLERIC,16,22,0.0,0,0.0
CLERIC,16,23,0.0,0,0.0
CLERIC,16,24,0.0,0,0.0
CLERIC,16,25,0.0,0,0.0
CLERIC,16,26,0.0,0,0.0
CLERIC,16,27,0.0,0,0.0
CLERIC,16,28,0.0,0,0.0
CLERIC,16,29,0.0,0,0.0
CLERIC,16,30,0.0,0,0.0
CLERIC,16,31,0.0,0,0.0
CLERIC,16,32,0.0,0,0.0
CLERIC,16,33,0.0,0,0.0
CLERIC,16,34,0.0,0,0.0
CLERIC,16,35,0.0,0,0.0
CLERIC,16,36,0.0,0,0.0
CLERIC,16,37,0.0,0,0.0
CLERIC,16,38,0.0,0,0.0
CLERIC,16,39,0.0,0,0.0
CLERIC,16,40,0.0,0,0.0
CLERIC,16,41,0.0,0,0.0
CLERIC,16,42,0.0,0,0.0
CLERIC,16,43,0.0,0,0.0
CLERIC,16,44,0.0,0,0.0
CLERIC,16,45,0.0,0,0.0
CLERIC,16,46,0.0,0,0.0
CLERIC,16,47,0.0,0,0.0
CLERIC,16,48,0.0,0,0.0
CLERIC,16,49,0.0,0,0.0
CLERIC,16,50,0.0,0,0.0
CLERIC,16,51,0.0,0,0.0
CLERIC,16,52,0.0,0,0.0
CLERIC,16,53,0.0,0,0.0
CLERIC,16,54,0.0,0,0.0
CLERIC,16,55,0.0,0,0.0
CLERIC,16,56,0.0,0,0.0
CLERIC,16,57,0.0,0,0.0
CLERIC,16,58,0.0,0,0.0
CLERIC,16,59,0.0,0,0.0
CLERIC,16,60,0.0,0,0.0
CLERIC,16,61,0.0,0,0.0
CLERIC,16,62,0.0,0,0.0
CLERIC,16,63,0.0,0,0.0
CLERIC,16,64,0.0,0,0.0
CLERIC,16,65,0.0,0,0.0
CLERIC,16,66,0.0,0,0.0
CLERIC,16,67,0.0,0,0.0
CLERIC,16,68,0.0,0,0.0
CLERIC,16,69,0.0,0,0.0
CLERIC,16,70,0.0,0,0.0
CLERIC,16,71,0.0,0,0.0
CLERIC,16,72,0.0,0,0.0
CLERIC,16,73,0.0,0,0.0
CLERIC,16,74,0.0,0,0.0
CLERIC,16,75,0.0,0,0.0
CLERIC,16,76,0.0,0,0.0
CLERIC,16,77,0.0,0,0.0
CLERIC,16,78,0.0,0,0.0
CLERIC,16,79,0.0,0,0.0
CLERIC,16,80,0.0,0,0.0
CLERIC,16,81,0.0,0,0.0
CLERIC,16,82,0.0,0,0.0
CLERIC,16,83,0.0,0,0.0
CLERIC,16,84,0.0,0,0.0
CLERIC,16,85,0.0,0,0.0
CLERIC,16,86,0.0,0,0.0
CLERIC,16,87,0.0,0,0.0
CLERIC,16,88,0.0,0,0.0
CLERIC,16,89,0.0,0,0.0
CLERIC,16,90,0.0,0,0.0
CLERIC,16,91,0.0,0,0.0
CLERIC,16,92,0.0,0,0.0
CLERIC,16,93,0.0,0,0.0
CLERIC,16,94,0.0,0,0.0
CLERIC,16,95,0.0,0,0.0
CLERIC,16,96,0.0,0,0.0
CLERIC,16,97,0.0,0,0.0
CLERIC,16,98,0.0,0,0.0
CLERIC,16,99,0.0,0,0.0
CLERIC,16,100,0.0,0,0.0
CLERIC,17,1,,0,
CLERIC,17,2,0.0,0,0.0
CLERIC,17,3,0.0,0,0.0
CLERIC,17,4,0.0,0,0.0
CLERIC,17,5,0.0,0,0.0
CLERIC,17,6,0.0,0,0.0
CLERIC,17,7,0.0,3,0.0014246299523623662
CLERIC,17,8,0.0,3,0.0009015154474711906
CLERIC,17,9,0.0,3,0.0006026141401438423
CLERIC,17,10,0.0,3,0.0004264707554879621
CLERIC,17,11,0.0,3,0.0003125817271021347
CLERIC,17,12,0.0,3,0.00023414981373814925
CLERIC,17,13,0.0,3,0.00018182446301917565
CLERIC,17,14,0.0,3,0.0001431943314145201
CLERIC,17,15,0.0,3,0.00011499072791743004
CLERIC,17,16,0.0,3,9.33445346795736e-05
CLERIC,17,17,0.0,332,0.008524000066745252
CLERIC,17,18,0.0,332,0.007138100968440142
CLERIC,17,19,-0.022048285745779328,712,0.012868338104743415
CLERIC,17,20,-0.019813750743014058,712,0.010939123776187998
