class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience,bonus_cap_h,bonus_proc_pct,bonus_search_s,bonus_sale_pct
WARRIOR,14,1,9,11,10,12,11,13,10,4,0,0,0.0,19,9,95.0,1,0,1,1,0,0,0,0,0,8.01304611111111,9.55,4.9,1.3
WARRIOR,14,2,10,12,10,12,11,13,14,11,0,28,780.0,20,9,95.0,1,42,6,4,360,19,326,42,18,8.014812777777777,9.55,4.9,1.3
WARRIOR,14,3,14,12,10,12,11,13,28,23,1,212,5280.0,23,10,96.0,1,255,12,9,6751,207,2003,255,0,8.015241666666666,10.55,4.9,1.3
WARRIOR,14,4,15,12,11,12,11,13,36,28,1,568,13680.0,23,10,98.0,1,639,17,16,25163,552,5067,639,70,8.015717777777779,10.55,4.89,1.3
WARRIOR,14,5,15,13,11,13,11,13,43,32,1,1074,25740.0,24,10,100.0,2,1200,23,21,62101,1058,9499,1200,82,8.017863333333333,10.58,4.89,1.3
WARRIOR,14,6,16,15,11,14,11,13,55,44,2,1737,41280.0,26,10,102.0,2,1892,29,27,123953,1730,15122,1892,13,8.021910277777778,10.61,4.89,1.3
WARRIOR,14,7,17,15,11,15,11,13,64,51,2,2559,60420.0,26,10,104.0,2,2790,34,31,210337,2536,22054,2790,74,8.022639444444444,10.64,4.89,1.3
WARRIOR,14,8,17,16,11,16,11,13,70,58,2,3524,83160.0,27,10,107.0,2,3824,39,41,327666,3498,30377,3824,0,8.025277222222222,10.67,4.89,1.3
WARRIOR,14,9,19,17,12,16,11,13,84,71,3,4645,108900.0,28,11,124.0,2,4971,46,46,488147,4645,39539,4971,25,8.02808638888889,11.67,4.88,1.3
WARRIOR,14,10,20,18,12,16,11,13,93,78,3,5907,137460.0,30,11,134.11111111111111,3,6328,51,48,688974,5880,49640,6328,121,8.031070833333333,11.67,4.88,1.3
WARRIOR,14,11,22,18,12,16,11,13,101,86,3,7339,170580.0,32,11,123.0,3,7977,58,54,945060,7317,61594,7977,105,8.032083333333333,11.67,4.88,1.3
WARRIOR,14,12,23,18,12,16,11,14,109,91,3,8920,206100.0,32,11,129.5,3,9666,63,59,1256116,8917,74066,9666,105,8.033116111111111,11.67,4.88,1.4
WARRIOR,14,13,24,19,12,17,12,14,126,102,4,10646,245400.0,34,11,133.0,3,11618,69,65,1632517,10622,88094,11618,19,8.036458611111112,11.73,4.88,1.4
WARRIOR,14,14,25,19,13,17,12,14,134,110,4,12525,287760.0,34,11,136.0,3,13651,75,69,2071674,12492,103081,13651,195,8.0376,11.73,4.87,1.4
WARRIOR,14,15,28,19,14,17,12,14,152,124,5,14554,333240.0,37,12,141.0,4,15857,82,73,2593821,14537,119061,15857,211,8.03875888888889,12.73,4.86,1.4
WARRIOR,14,16,28,20,15,17,12,14,159,132,5,16729,381300.0,38,12,143.66666666666666,4,18273,87,79,3177031,16720,135758,18273,41,8.04247,12.73,4.85,1.4
WARRIOR,14,17,29,20,15,18,12,14,167,137,5,19052,432960.0,38,12,148.33333333333334,4,20888,93,84,3857129,19038,153867,20888,67,8.043737222222223,12.76,4.85,1.4
WARRIOR,14,18,31,21,15,18,13,14,183,155,6,21519,487620.0,40,12,150.66666666666666,4,23670,99,88,4609464,21508,172950,23670,92,8.047735,12.79,4.85,1.4
WARRIOR,14,19,31,23,15,18,13,14,193,161,6,24145,546660.0,40,12,156.0,4,26640,105,93,5451566,24108,193928,26640,20,8.05477638888889,12.79,4.85,1.4
WARRIOR,14,20,31,25,15,18,15,14,210,179,7,26915,609540.0,41,12,171.36363636363637,5,29357,110,97,6397971,26908,216439,29939,74,8.062256944444444,12.85,4.85,1.4
