class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience,bonus_cap_h,bonus_proc_pct,bonus_search_s,bonus_sale_pct
WARRIOR,46,1,8,9,9,8,6,13,9,2,0,0,0.0,19,9,95.0,1,0,1,1,0,0,0,0,0,12.015381388888889,9.3,4.91,1.3
WARRIOR,46,2,9,9,9,8,7,13,14,8,0,28,840.0,19,9,95.0,1,41,5,1,340,19,370,41,18,12.0157325,9.33,4.91,1.3
WARRIOR,46,3,9,12,9,8,8,13,26,15,1,209,5460.0,20,9,96.0,1,252,10,10,5717,190,2168,252,16,12.0228625,9.36,4.91,1.3
WARRIOR,46,4,11,12,9,8,8,13,32,21,1,578,14640.0,21,9,98.0,1,640,15,17,25986,570,5635,640,38,12.023576666666667,9.36,4.91,1.3
WARRIOR,46,5,12,12,9,8,9,13,40,25,1,1081,27060.0,23,10,115.0,2,1213,20,19,61324,1074,10325,1213,42,12.024340833333333,10.38,4.91,1.3
WARRIOR,46,6,14,13,10,8,9,13,54,32,2,1739,43080.0,25,10,102.0,2,1958,26,26,119161,1718,16341,1958,5,12.027679722222222,10.38,4.9,1.3
WARRIOR,46,7,15,14,10,8,9,13,60,35,2,2558,62940.0,25,10,105.0,2,2892,31,31,207226,2543,23776,2892,42,12.03126111111111,10.38,4.9,1.3
WARRIOR,46,8,15,15,10,8,10,13,67,39,2,3524,86280.0,26,10,122.0,2,4013,36,37,329116,3518,32486,4013,56,12.035090277777778,10.41,4.9,1.3
WARRIOR,46,9,15,17,11,8,10,14,79,52,3,4653,113400.0,26,10,111.0,2,5298,40,41,490746,4636,42592,5298,117,12.042129722222223,10.41,4.89,1.4
WARRIOR,46,10,16,17,11,8,11,14,86,59,3,5914,143700.0,28,10,134.22222222222223,3,6725,45,46,699988,5910,53860,6725,153,12.04351638888889,10.44,4.89,1.4
WARRIOR,46,11,17,17,12,8,11,14,93,66,3,7336,177420.0,29,10,134.0,3,8331,51,55,953447,7310,66323,8331,153,12.044934722222223,10.44,4.88,1.4
WARRIOR,46,12,18,18,12,8,11,14,100,70,3,8917,214920.0,30,11,137.0,3,10088,57,57,1265115,8905,80177,10088,45,12.049674166666666,11.44,4.88,1.4
WARRIOR,46,13,20,20,12,8,11,14,118,80,4,10637,255420.0,32,11,133.5,3,12041,65,63,1642835,10615,95066,12041,27,12.058159722222221,11.44,4.88,1.4
WARRIOR,46,14,21,21,12,8,11,14,128,86,4,12514,299400.0,32,11,143.5,3,14137,71,69,2082989,12503,111179,14137,123,12.063596944444445,11.44,4.88,1.4
WARRIOR,46,15,22,23,12,8,12,14,146,98,5,14533,346500.0,34,11,153.5,4,16445,78,73,2586881,14519,128373,16445,203,12.073119444444444,11.47,4.88,1.4
WARRIOR,46,16,24,23,12,8,12,14,155,105,5,16702,396660.0,36,11,145.0,4,18942,84,77,3176732,16695,146554,18942,81,12.0753375,11.47,4.88,1.4
WARRIOR,46,17,24,24,12,8,13,14,163,112,5,19024,450240.0,36,12,148.33333333333334,4,21559,89,83,3834575,18999,165979,21559,71,12.081650833333333,12.5,4.88,1.4
WARRIOR,46,18,26,25,12,8,13,15,185,122,6,21501,506940.0,38,12,153.0,4,24472,96,88,4612499,21483,186354,24472,152,12.088265833333333,12.5,4.88,1.5
WARRIOR,46,19,27,25,12,8,13,16,197,128,6,24125,566820.0,38,12,159.66666666666666,4,27497,102,92,5469792,24105,207845,27517,48,12.09081138888889,12.5,4.88,1.6
WARRIOR,46,20,29,26,12,8,14,16,216,142,7,26904,629880.0,40,12,170.45454545454547,5,29862,109,99,6433131,26893,230352,30710,270,12.097885555555555,12.52,4.88,1.6
WARRIOR,46,21,29,27,12,9,14,16,227,146,7,29833,696000.0,41,12,172.75,5,32243,114,105,7496305,29813,253866,34104,192,12.105273333333333,12.55,4.88,1.6
WARRIOR,46,22,31,28,12,9,15,16,248,161,8,32908,765120.0,42,13,167.75,5,34334,121,110,8653103,32868,278376,37604,311,12.112979444444445,13.58,4.88,1.6
WARRIOR,46,23,31,31,12,9,15,17,270,173,9,36143,837780.0,43,13,168.0,5,36618,126,114,9934798,36102,304100,41427,257,12.131090555555556,13.58,4.88,1.7
WARRIOR,46,24,31,32,12,10,15,17,281,180,9,39520,913260.0,43,13,176.25,5,39005,131,120,11328392,39499,330690,45477,223,12.139780833333333,13.61,4.88,1.7
WARRIOR,46,25,33,32,13,11,15,17,305,193,10,43053,991980.0,45,13,191.25,6,40770,138,122,12855177,43019,358376,49661,256,12.143411944444445,13.64,4.87,1.7
WARRIOR,46,26,33,33,13,11,16,17,316,201,10,46734,1073700.0,46,13,188.0,6,43033,143,129,14536991,46709,387028,53929,295,12.152605833333334,13.67,4.87,1.7
WARRIOR,46,27,33,35,14,11,16,18,340,216,11,50562,1158540.0,46,13,179.0,6,45268,148,136,16350078,50527,416757,58404,332,12.167880555555556,13.67,4.86,1.8
WARRIOR,46,28,35,37,14,11,16,18,368,229,12,54539,1246560.0,48,13,192.6,6,47516,156,140,18315380,54529,447545,62998,28,12.183884444444445,13.67,4.86,1.8
WARRIOR,46,29,36,37,14,12,16,18,384,236,12,58679,1337880.0,49,14,182.8,6,49577,161,144,20416127,58657,479440,67798,140,12.188344722222222,14.7,4.86,1.8
WARRIOR,46,30,39,37,15,12,16,18,414,250,13,62958,1431480.0,51,14,187.83333333333334,7,51302,169,149,22683372,62920,511893,72962,337,12.192836944444444,14.7,4.85,1.8
WARRIOR,46,31,41,38,15,12,17,18,443,264,14,67387,1527720.0,53,14,191.5,7,53649,176,156,25075953,67357,545028,78288,45,12.203778333333334,14.73,4.85,1.8
WARRIOR,46,32,43,39,15,12,17,19,475,278,15,71973,1624980.0,54,14,190.33333333333334,7,55813,183,161,27646350,71935,577685,83440,404,12.215080555555556,14.73,4.85,1.9
WARRIOR,46,33,43,40,15,12,18,19,491,284,15,76717,1726740.0,55,15,192.0,7,58051,188,164,30387925,76687,612263,88905,78,12.226747777777778,15.76,4.85,1.9
WARRIOR,46,34,45,41,15,12,18,20,525,300,16,81605,1830780.0,56,15,193.33333333333334,7,59715,195,170,33331452,81552,647371,94815,362,12.238783333333334,15.76,4.85,2.0
WARRIOR,46,35,46,43,15,12,18,21,556,312,17,86637,1936080.0,58,15,199.0,8,61383,201,175,36431228,86593,682206,100687,284,12.258385,15.76,4.85,2.1
WARRIOR,46,36,47,44,15,13,18,22,587,326,18,91832,2045400.0,59,15,200.14285714285714,8,63719,207,179,39783432,91813,718606,106742,180,12.271358333333334,15.79,4.85,2.2
WARRIOR,46,37,48,45,15,14,19,22,620,341,19,97169,2156460.0,60,15,201.14285714285714,8,65958,213,185,43273787,97138,755153,112845,400,12.2847125,15.85,4.85,2.2
WARRIOR,46,38,48,46,15,14,20,22,638,348,19,102668,2270700.0,61,15,216.85714285714286,8,68192,218,191,47025871,102658,792657,119172,84,12.298450833333334,15.88,4.85,2.2
WARRIOR,46,39,49,47,16,14,20,23,673,361,20,108303,2386980.0,61,16,203.85714285714286,8,69869,224,194,50911823,108270,830576,125997,396,12.312577222222222,16.88,4.84,2.3
WARRIOR,46,40,51,47,16,15,21,23,707,376,21,114097,2507700.0,63,16,233.0,9,71640,231,200,55072509,114077,870415,133229,297,12.318934166666667,16.95,4.84,2.3
WARRIOR,46,41,53,47,16,16,21,24,745,394,22,120048,2630280.0,65,16,211.0,9,74135,238,205,59382689,119993,910379,140422,81,12.325323888888889,16.98,4.84,2.4
WARRIOR,46,42,56,47,16,16,22,24,783,410,23,126139,2753640.0,67,16,221.75,9,76449,245,210,63934053,126081,949780,147422,234,12.331745833333333,17.01,4.84,2.4
WARRIOR,46,43,56,49,16,17,23,24,818,427,24,132389,2879760.0,68,16,215.5,9,78303,250,216,68740204,132379,989854,154631,394,12.35554138888889,17.07,4.84,2.4
WARRIOR,46,44,57,50,17,18,23,24,857,444,25,138782,3008460.0,68,17,213.25,9,79902,256,222,73765684,138771,1030676,162075,244,12.37125,18.11,4.83,2.4
WARRIOR,46,45,59,51,18,18,23,24,896,463,26,145315,3139680.0,70,17,220.66666666666666,10,81583,263,226,79036951,145273,1072260,169878,622,12.387362777777778,18.11,4.82,2.4
WARRIOR,46,46,61,51,18,19,23,25,934,477,27,151986,3272280.0,72,17,236.33333333333334,10,84032,270,231,84524020,151917,1113796,177675,305,12.394580555555555,18.14,4.82,2.5
