class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience,bonus_cap_h,bonus_proc_pct,bonus_search_s,bonus_sale_pct
WARRIOR,14,1,9,11,10,12,11,13,10,4,0,0,0.0,19,9,95.0,1,0,1,1,0,0,0,0,0,8.011981439395793,9.006666666666668,4.933,1.7333333333333336
WARRIOR,14,2,10,12,10,12,11,13,14,11,0,28,780.0,20,9,95.0,1,42,6,4,360,19,325,42,18,8.015682360170393,9.018333333333333,4.933,1.7333333333333336
WARRIOR,14,3,14,12,10,12,11,13,28,23,1,212,5400.0,23,10,96.0,1,260,12,9,6776,207,2084,260,0,8.027304574960299,10.038333333333334,4.933,1.7333333333333336
WARRIOR,14,4,15,12,11,12,11,13,36,28,1,567,13980.0,23,10,98.0,1,648,17,16,25311,552,5272,648,30,8.033384970435225,10.046666666666667,4.927,1.7333333333333336
WARRIOR,14,5,15,13,11,13,11,13,43,32,1,1074,26100.0,24,10,115.0,2,1195,23,21,62322,1058,9731,1195,82,8.038484314917007,10.053333333333333,4.927,1.7333333333333336
WARRIOR,14,6,16,15,11,14,11,13,55,44,2,1737,41700.0,26,10,116.0,2,1877,29,26,124343,1730,15375,1877,13,8.046859661488343,10.073333333333334,4.927,1.7333333333333336
WARRIOR,14,7,17,15,11,15,11,13,64,51,2,2559,60900.0,26,10,118.0,2,2757,34,31,211557,2536,22327,2757,74,8.052899671428403,10.085,4.927,1.7333333333333336
WARRIOR,14,8,17,16,11,16,11,13,70,58,2,3524,83820.0,27,10,107.0,2,3764,39,41,329847,3498,30749,3764,0,8.056831278649852,10.096666666666668,4.927,1.7333333333333336
WARRIOR,14,9,19,17,12,16,11,13,84,71,3,4645,109620.0,28,11,124.0,2,4873,46,46,486755,4617,39957,4873,25,8.065755551440487,11.118333333333332,4.92,1.7333333333333336
WARRIOR,14,10,20,18,12,16,11,13,93,78,3,5905,138300.0,30,11,132.55555555555554,3,6210,51,49,691762,5877,50094,6210,17,8.071333799080373,11.129999999999999,4.92,1.7333333333333336
WARRIOR,14,11,22,18,12,16,11,13,101,86,3,7340,171600.0,32,11,123.0,3,7813,58,54,949308,7317,62114,7813,169,8.076201951640673,11.143333333333333,4.92,1.7333333333333336
WARRIOR,14,12,23,18,12,16,11,14,109,91,3,8919,207240.0,32,11,125.0,3,9457,63,59,1261263,8917,74642,9457,37,8.080993505039281,11.151666666666667,4.92,1.866666666666667
WARRIOR,14,13,24,19,12,17,12,14,126,102,4,10647,246780.0,34,11,132.0,3,11366,69,63,1639495,10622,88779,11366,87,8.090950571310675,11.17,4.92,1.866666666666667
WARRIOR,14,14,25,19,13,17,12,14,134,110,4,12523,289560.0,34,11,136.0,3,13376,75,69,2080909,12492,104032,13376,63,8.095541671293244,11.183333333333334,4.913,1.866666666666667
