mode,level,hero_class,cap_h,raw_proc_pct,search_s,sale_bonus_pct,bag,hp,mp
baseline,1,CLERIC,8.01050162353799,9.5165625,4.93,1.6083333333333334,19.8125,8.5,9.9375
baseline,1,MAGE,8.008462164113054,9.14984375,4.93,1.6083333333333334,19.8125,6.5,9.9375
baseline,1,PALADIN,8.012443602478525,9.263229166666667,4.93,1.6083333333333334,19.8125,10.5,7.9375
baseline,1,RANGER,8.012443602478525,9.325729166666667,4.93,1.6083333333333334,19.8125,10.5,7.9375
baseline,1,ROGUE,8.01050162353799,9.134895833333333,4.93,1.6083333333333334,19.8125,8.5,5.9375
baseline,1,WARRIOR,8.012443602478525,9.256562500000001,4.93,1.6083333333333334,19.8125,10.5,3.9375
baseline,20,CLERIC,8.120938800360207,12.649687499999999,4.904583333333333,3.983333333333333,33.0,180.3125,202.3125
baseline,20,MAGE,8.11985967403388,12.7646875,4.904583333333333,2.216666666666667,33.0,178.3125,230.875
baseline,20,PALADIN,8.123551105912544,12.537604166666666,4.902916666666667,3.875,39.75,185.0625,172.5625
baseline,20,RANGER,8.123633152605104,12.458958333333335,4.818333333333333,2.216666666666667,33.125,185.25,200.375
baseline,20,ROGUE,8.12247306515794,12.2821875,4.816666666666666,2.2249999999999996,39.375,183.125,169.3125
baseline,20,WARRIOR,8.151283689219424,12.405937499999999,4.902916666666667,2.1833333333333336,39.75,238.25,168.5625
baseline,40,CLERIC,8.255081872862878,17.30770833333333,4.864166666666667,7.033333333333333,48.25,458.25,597.125
baseline,40,MAGE,8.25418717474641,17.737187499999997,4.864166666666667,3.091666666666667,48.25,456.25,744.875
baseline,40,PALADIN,8.260970078467512,16.74666666666667,4.8620833333333335,6.808333333333333,63.0625,470.9375,448.0
baseline,40,RANGER,8.260082238243887,17.1003125,4.6587499999999995,3.033333333333333,48.4375,469.375,585.1875
baseline,40,ROGUE,8.26436718120302,16.484895833333333,4.662916666666667,2.9916666666666667,62.0,478.75,440.9375
baseline,40,WARRIOR,8.381972740821986,16.677500000000002,4.8620833333333335,2.8916666666666666,63.0625,757.8125,444.0
baseline,60,CLERIC,8.45127415940155,22.375,4.80375,11.333333333333332,64.5,935.0625,1425.0
baseline,60,MAGE,8.450498477936994,24.74859375,4.80375,4.241666666666667,64.5,933.0625,1899.4375
baseline,60,PALADIN,8.469237887941278,21.5678125,4.80625,11.183333333333334,90.9375,980.625,940.6875
baseline,60,RANGER,8.45879145006785,22.325729166666665,4.44125,4.175,64.625,954.4375,1395.4375
baseline,60,ROGUE,8.484356522477054,21.533958333333334,4.44875,4.1,90.4375,1020.25,920.375
baseline,60,WARRIOR,8.80553254850939,21.56114583333333,4.80625,4.058333333333334,90.9375,1925.8125,936.6875
baseline,80,CLERIC,8.723465722054964,24.754375,4.739166666666667,16.4,80.5,1686.75,2852.625
baseline,80,MAGE,8.722776467263479,29.93484375,4.739166666666667,5.475,80.5,1684.75,3973.9375
baseline,80,PALADIN,8.753285519793327,22.850729166666667,4.737916666666667,15.925,121.625,1772.3125,1710.4375
baseline,80,RANGER,8.733459949102356,24.663645833333334,4.182083333333333,5.441666666666666,80.8125,1715.625,2798.1875
baseline,80,ROGUE,8.787404239235844,22.76625,4.17875,5.275,119.4375,1872.9375,1659.75
baseline,80,WARRIOR,9.448167839643368,22.8440625,4.737916666666667,5.133333333333334,121.625,4009.375,1706.4375
baseline,90,CLERIC,8.88456604999924,26.3628125,4.708333333333334,18.858333333333334,88.6875,2168.4375,3817.6875
baseline,90,MAGE,8.883910675502229,33.4890625,4.708333333333334,6.083333333333333,88.6875,2166.4375,5395.625
baseline,90,PALADIN,8.918582270711156,23.668125000000003,4.7075,18.65,134.75,2271.25,2200.875
baseline,90,RANGER,8.894577681580317,26.236874999999998,4.0441666666666665,6.041666666666667,89.125,2198.8125,3742.125
baseline,90,ROGUE,8.96134355073601,23.5503125,4.06375,5.875,134.375,2403.75,2130.1875
baseline,90,WARRIOR,9.84382311108351,23.661458333333336,4.7075,5.808333333333334,134.75,5422.625,2196.875
baseline,100,CLERIC,9.0583060134963,28.206145833333334,4.6691666666666665,19.875,96.8125,2713.0,4923.6875
baseline,100,MAGE,9.057679455989604,35.0,4.6691666666666665,6.775,96.8125,2711.0,7035.4375
baseline,100,PALADIN,9.09229660520697,24.581249999999997,4.661250000000001,19.933333333333334,146.9375,2820.5625,2748.75
baseline,100,RANGER,9.068476599144894,28.033229166666665,4.0008333333333335,6.775,97.1875,2745.25,4819.9375
baseline,100,ROGUE,9.1443183984198,24.42458333333333,4.005833333333333,6.449999999999999,147.0,2988.5625,2654.75
baseline,100,WARRIOR,10.0,24.574583333333333,4.661250000000001,6.425,146.9375,7048.75,2744.75
stat_power,1,CLERIC,8.001061286134071,9.506346066426545,4.9720141256340575,0.6704759937380521,19.8125,8.5,9.9375
stat_power,1,MAGE,8.000780649470457,9.13183779892572,4.9720141256340575,0.6704759937380521,19.8125,6.5,9.9375
stat_power,1,PALADIN,8.001352310570663,9.254904207134846,4.9720141256340575,0.6704759937380521,19.8125,10.5,7.9375
stat_power,1,RANGER,8.001352310570663,9.317404207134846,4.9720141256340575,0.6704759937380521,19.8125,10.5,7.9375
stat_power,1,ROGUE,8.001061286134071,9.128517529374275,4.9720141256340575,0.6704759937380521,19.8125,8.5,5.9375
stat_power,1,WARRIOR,8.001352310570663,9.252203672183516,4.9720141256340575,0.6704759937380521,19.8125,10.5,3.9375
stat_power,20,CLERIC,8.035596556001254,12.515445163324891,4.957645129845197,2.2751304527184812,33.0,180.3125,202.3125
stat_power,20,MAGE,8.035144380077764,12.442030139010365,4.957645129845197,1.0330787633857696,33.0,178.3125,230.875
stat_power,20,PALADIN,8.036654917661224,12.419125987946337,4.956538118749454,2.190286629614042,39.75,185.0625,172.5625
stat_power,20,RANGER,8.036703226569589,12.325870313253215,4.89938447507998,1.0330787633857696,33.125,185.25,200.375
stat_power,20,ROGUE,8.036227561220219,12.165548995255106,4.897989250201055,1.0381819519270434,39.375,183.125,169.3125
stat_power,20,WARRIOR,8.048990921525206,12.289636567317569,4.956538118749454,1.0126124650322328,39.75,238.25,168.5625
stat_power,40,CLERIC,8.10403731860905,17.01678449248728,4.932199929121092,4.8881001839590965,48.25,458.25,597.125
stat_power,40,MAGE,8.10351692103643,16.85353362095129,4.932199929121092,1.6169996521733174,48.25,456.25,744.875
stat_power,40,PALADIN,8.107244790793771,16.50655288767976,4.930491671194783,4.680777015662406,63.0625,470.9375,448.0
stat_power,40,RANGER,8.10692095105819,16.81376278946067,4.765223052224429,1.5763351124004195,48.4375,469.375,585.1875
stat_power,40,ROGUE,8.109320542347742,16.24748772641891,4.768821565066877,1.5471779030099622,62.0,478.75,440.9375
stat_power,40,WARRIOR,8.185262459523795,16.4388664738437,4.930491671194783,1.4766789881202138,63.0625,757.8125,444.0
stat_power,60,CLERIC,8.236274910188083,21.91479273599783,4.888750136830355,9.299613899452051,64.5,935.0625,1425.0
stat_power,60,MAGE,8.235695690929306,22.871048638996843,4.888750136830355,2.4775144041371373,64.5,933.0625,1899.4375
stat_power,60,PALADIN,8.249302864680004,21.188627054023236,4.890289843881217,9.141264466398468,90.9375,980.625,940.6875
stat_power,60,RANGER,8.241882597589722,21.870399050835836,4.543587371814534,2.425306924425901,64.625,954.4375,1395.4375
stat_power,60,ROGUE,8.260917239227624,21.159377932144054,4.551783171448793,2.3686390782777837,90.4375,1020.25,920.375
stat_power,60,WARRIOR,8.541486820729887,21.18282730268941,4.890289843881217,2.333579498219426,90.9375,1925.8125,936.6875
stat_power,80,CLERIC,8.465639861234909,24.25347108718961,4.836692042126648,15.30954922154764,80.5,1686.75,2852.625
stat_power,80,MAGE,8.465006990012856,26.709713627285794,4.836692042126648,3.4933659516015076,80.5,1684.75,3973.9375
stat_power,80,PALADIN,8.492479214529236,22.364061217566633,4.8355495945901925,14.719125758743132,121.625,1772.3125,1710.4375
stat_power,80,RANGER,8.474743740923344,24.161858542392608,4.237283048802418,3.462896445292044,80.8125,1715.625,2798.1875
stat_power,80,ROGUE,8.524703122171237,22.28324591776692,4.232280230080249,3.321768146661113,119.4375,1872.9375,1659.75
stat_power,80,WARRIOR,9.258510276874254,22.35771629685104,4.8355495945901925,3.2064253124838604,121.625,4009.375,1706.4375
stat_power,90,CLERIC,8.621547299805947,25.946721412724358,4.80991242450094,18.48467330487536,88.6875,2168.4375,3817.6875
stat_power,90,MAGE,8.620890067576237,29.53763453673794,4.80991242450094,4.025671245448368,88.6875,2166.4375,5395.625
stat_power,90,PALADIN,8.655079396473383,23.15896710540334,4.809357218127999,18.21475098906283,134.75,2271.25,2200.875
stat_power,90,RANGER,8.631481525816977,25.813167297561254,4.058780239852858,3.9869825317993204,89.125,2198.8125,3742.125
stat_power,90,ROGUE,8.699111575732381,23.04170178221376,4.084339707969006,3.8459402424046027,134.375,2403.75,2130.1875
stat_power,90,WARRIOR,9.781008336515406,23.152377061835004,4.809357218127999,3.7870524449187077,134.75,5422.625,2196.875
stat_power,100,CLERIC,8.804139189489081,27.967832797256946,4.774849847068947,19.834269897734437,96.8125,2713.0,4923.6875
stat_power,100,MAGE,8.80345943533656,32.941197640104264,4.774849847068947,4.66233038765881,96.8125,2711.0,7035.4375
stat_power,100,PALADIN,8.840450376556717,24.078903428239286,4.767735667598298,19.910662900082883,146.9375,2820.5625,2748.75
stat_power,100,RANGER,8.815041434653127,27.776723125026184,4.001122367374661,4.658922352807266,97.1875,2745.25,4819.9375
stat_power,100,ROGUE,8.898036568334582,23.917558104981712,4.007776172910949,4.361552701036258,147.0,2988.5625,2654.75
stat_power,100,WARRIOR,10.0,24.07208947496565,4.767735667598298,4.338397246251187,146.9375,7048.75,2744.75
level_ramp,1,CLERIC,8.004200649415196,9.506625,4.9719999999999995,0.6433333333333334,19.8125,8.5,9.9375
level_ramp,1,MAGE,8.00338486564522,9.127735119570287,4.9719999999999995,0.6433333333333334,19.8125,6.5,9.9375
level_ramp,1,PALADIN,8.00497744099141,9.255291666666666,4.9719999999999995,0.6433333333333334,19.8125,10.5,7.9375
level_ramp,1,RANGER,8.00497744099141,9.317791666666666,4.9719999999999995,0.6433333333333334,19.8125,10.5,7.9375
level_ramp,1,ROGUE,8.004200649415196,9.128958333333333,4.9719999999999995,0.6433333333333334,19.8125,8.5,5.9375
level_ramp,1,WARRIOR,8.00497744099141,9.252625,4.9719999999999995,0.6433333333333334,19.8125,10.5,3.9375
level_ramp,20,CLERIC,8.056862845189563,12.471038372757537,4.955137117872752,1.8728783979759684,33.0,180.3125,202.3125
level_ramp,20,MAGE,8.056355463000791,12.307174644096987,4.955137117872752,1.0422294013841165,33.0,178.3125,230.875
level_ramp,20,PALADIN,8.058091095558906,12.385225346673945,4.954353486743891,1.821942374600053,39.75,185.0625,172.5625
level_ramp,20,RANGER,8.058129672164291,12.282020087445371,4.914584206954234,1.0422294013841165,33.125,185.25,200.375
level_ramp,20,ROGUE,8.057584223782815,12.13267854550515,4.913800575825373,1.0461475570284176,39.375,183.125,169.3125
level_ramp,20,WARRIOR,8.071130364896696,12.257090822158505,4.954353486743891,1.0265567788069117,39.75,238.25,168.5625
level_ramp,40,CLERIC,8.147624795292113,16.88846184641594,4.921388502436008,4.070435824785869,48.25,458.25,597.125
level_ramp,40,MAGE,8.14710700222117,16.441311607556052,4.921388502436008,1.7892555580516083,48.25,456.25,744.875
level_ramp,40,PALADIN,8.151032505676493,16.432122097038878,4.920182804620609,3.9402204607228137,63.0625,470.9375,448.0
level_ramp,40,RANGER,8.150518681507831,16.689447432278882,4.8025066978377,1.7554960192204458,48.4375,469.375,585.1875
level_ramp,40,ROGUE,8.152998527763,16.175309904381876,4.804918093468497,1.7313820629124728,62.0,478.75,440.9375
level_ramp,40,WARRIOR,8.221060975592437,16.365763864029603,4.920182804620609,1.6735085677733372,63.0625,757.8125,444.0
level_ramp,60,CLERIC,8.318666881433028,21.677104322585418,4.861418221765311,8.003024135846207,64.5,935.0625,1425.0
level_ramp,60,MAGE,8.31811913459633,22.027388666448246,4.861418221765311,2.995249474371852,64.5,933.0625,1899.4375
level_ramp,60,PALADIN,8.331351953763019,21.10710952452777,4.863183594736453,7.897101757577653,90.9375,980.625,940.6875
level_ramp,60,RANGER,8.32397521013643,21.642311763612483,4.605439140949641,2.9481728618080507,64.625,954.4375,1395.4375
level_ramp,60,ROGUE,8.342027965271035,21.08320343221021,4.610735259863069,2.895211672673774,90.4375,1020.25,920.375
level_ramp,60,WARRIOR,8.56882615540562,21.10240186327139,4.863183594736453,2.8657887898213987,90.9375,1925.8125,936.6875
level_ramp,80,CLERIC,8.613098196454136,24.02907649789823,4.77895781186764,13.898115854456364,80.5,1686.75,2852.625
level_ramp,80,MAGE,8.612514090176981,25.686120569648942,4.77895781186764,4.639767335557841,80.5,1684.75,3973.9375
level_ramp,80,PALADIN,8.63836886741293,22.415839282195805,4.7778985042567825,13.495578962330342,121.625,1772.3125,1710.4375
level_ramp,80,RANGER,8.62156776507489,23.952188420476787,4.3068597199619445,4.611519132601629,80.8125,1715.625,2798.1875
level_ramp,80,ROGUE,8.66728264275548,22.344247742828657,4.304034899666323,4.470278117820568,119.4375,1872.9375,1659.75
