class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience,bonus_cap_h,bonus_proc_pct,bonus_search_s,bonus_sale_pct
WARRIOR,30,1,13,11,12,6,15,13,10,4,0,0,0.0,21,10,95.0,1,0,1,1,0,0,0,0,0,8.062560773599248,10.495668604638013,4.92,1.7333333333333336
WARRIOR,30,2,13,12,12,7,15,13,14,10,0,31,900.0,21,10,95.0,1,45,7,2,410,21,386,45,86,8.067418647084208,10.524125723755914,4.92,1.7333333333333336
WARRIOR,30,3,13,15,12,8,15,13,26,20,1,211,5220.0,22,10,96.0,1,252,12,9,6343,199,1976,252,24,8.079309555338378,10.55284280441147,4.92,1.7333333333333336
WARRIOR,30,4,13,16,13,8,15,13,34,25,1,570,13740.0,22,10,98.0,1,635,17,16,25549,563,5069,635,22,8.085016068859758,10.55284280441147,4.913,1.7333333333333336
WARRIOR,30,5,14,17,13,8,15,13,42,30,1,1074,25620.0,24,10,115.0,2,1186,23,22,64662,1069,9370,1186,30,8.091023416150096,10.55284280441147,4.913,1.7333333333333336
WARRIOR,30,6,16,17,14,8,15,14,60,41,2,1731,40920.0,26,10,116.0,2,1890,29,28,121555,1717,14881,1890,57,8.094029364995215,10.55284280441147,4.907,1.866666666666667
WARRIOR,30,7,16,18,14,8,15,15,68,45,2,2549,59880.0,26,10,118.0,2,2768,34,32,212680,2535,21697,2768,62,8.100548610591133,10.55284280441147,4.907,2.0000000000000004
WARRIOR,30,8,16,20,14,8,15,15,77,49,2,3514,82440.0,27,10,121.0,2,3794,39,37,338102,3511,29853,3794,72,8.11067748116605,10.55284280441147,4.907,2.0000000000000004
WARRIOR,30,9,16,22,14,8,16,16,94,60,3,4633,108780.0,27,10,124.0,2,5018,45,42,499662,4618,39484,5018,5,8.12107828273855,10.58181075915269,4.907,2.1333333333333337
WARRIOR,30,10,16,24,14,8,16,16,104,65,3,5904,139020.0,28,11,134.22222222222223,3,6449,50,47,708383,5887,50648,6449,93,8.131766672265298,11.581810759152688,4.907,2.1333333333333337
WARRIOR,30,11,17,25,14,8,16,16,116,72,3,7330,172680.0,29,11,134.0,3,8154,56,52,971554,7315,62991,8154,93,8.139434284612511,11.581810759152688,4.907,2.1333333333333337
WARRIOR,30,12,18,26,14,8,16,16,125,80,3,8914,209580.0,30,11,136.5,3,9922,62,60,1295374,8910,76359,9922,25,8.147350728379047,11.581810759152688,4.907,2.1333333333333337
WARRIOR,30,13,20,26,14,9,16,17,149,94,4,10630,248700.0,32,11,129.5,3,11824,68,64,1670519,10620,90267,11824,23,8.152031471974487,11.611021185579084,4.907,2.2666666666666666
WARRIOR,30,14,20,27,14,9,16,18,158,101,4,12506,292380.0,32,11,133.0,3,14012,73,68,2107464,12476,106158,14012,67,8.160381873171044,11.611021185579084,4.907,2.4
WARRIOR,30,15,22,28,14,9,17,18,181,115,5,14524,339480.0,34,11,141.66666666666666,4,16290,80,74,2625921,14492,123321,16290,31,8.168973072136875,11.640466289215697,4.907,2.4
WARRIOR,30,16,23,28,14,9,17,19,192,120,5,16702,389940.0,35,12,148.33333333333334,4,18691,86,78,3224112,16668,141613,18691,93,8.174098944911004,12.640466289215697,4.907,2.5333333333333337
