level,gap_h,session_min,hero_class,calendar_days,sale_gold_per_day
20,4,1,WARRIOR,41.77603506866056,154338.38118919233
20,4,1,ROGUE,41.13158606685204,157234.68247707593
20,4,1,RANGER,41.141696842471546,156917.8441939093
20,4,1,MAGE,41.908563151178065,153943.49662447552
20,4,1,CLERIC,41.71501345526417,156639.06610044316
20,4,1,PALADIN,41.88711368805859,155771.42169765042
21,4,1,WARRIOR,46.14287552427438,162773.89065293004
21,4,1,ROGUE,45.49150004111269,165707.57434218077
21,4,1,RANGER,45.49056303670249,165310.8001528291
21,4,1,MAGE,46.29969264828276,162326.62562348033
21,4,1,CLERIC,46.106713715587475,165206.87305946168
21,4,1,PALADIN,46.28277472682869,164312.6448205731
22,4,1,WARRIOR,50.70097613770736,171337.9931069867
22,4,1,ROGUE,50.00987164478988,174070.12283157752
22,4,1,RANGER,50.021574490219976,173896.0406314421
22,4,1,MAGE,50.87042614639177,170993.25991427698
22,4,1,CLERIC,50.695609175135466,174011.37926017292
22,4,1,PALADIN,50.86569212474388,173008.4096451152
23,4,1,WARRIOR,55.47809247949632,179794.45451709518
23,4,1,ROGUE,54.759991832811295,182539.32141769695
23,4,1,RANGER,54.78148847519369,182268.53455289756
23,4,1,MAGE,55.65017820080192,179485.3978536958
23,4,1,CLERIC,55.499028111113994,182625.310657833
23,4,1,PALADIN,55.676193765343605,181587.4176422808
24,4,1,WARRIOR,60.439534472679576,188607.54139581995
24,4,1,ROGUE,59.71092171688166,191152.77484944643
24,4,1,RANGER,59.730222585522846,190997.05318635618
24,4,1,MAGE,60.63121936134684,188204.1627266808
24,4,1,CLERIC,60.49871880784089,191550.40558475553
24,4,1,PALADIN,60.662438769896426,190589.75965103193
25,4,1,WARRIOR,65.5935674894722,197175.69107787628
25,4,1,ROGUE,64.84483233644434,199747.78688293908
25,4,1,RANGER,64.86382334379789,199637.87335453415
25,4,1,MAGE,65.77976752547751,196885.7919721872
25,4,1,CLERIC,65.68243287443822,200397.12749620923
25,4,1,PALADIN,65.85576542750037,199307.7700152121
26,4,1,WARRIOR,70.90528125678568,206136.3288591599
26,4,1,ROGUE,70.15958486170484,208603.4239491132
26,4,1,RANGER,70.14158788076575,208572.76249390043
26,4,1,MAGE,71.1362673073879,205714.566267103
26,4,1,CLERIC,71.0165026719117,209591.0413775847
26,4,1,PALADIN,71.2133227442695,208418.50131469034
27,4,1,WARRIOR,76.40208110248074,214824.6440170211
27,4,1,ROGUE,75.65684427564764,217440.20197383757
27,4,1,RANGER,75.59725741934754,217545.43003819382
27,4,1,MAGE,76.66479821533542,214528.85330506368
27,4,1,CLERIC,76.53412101756271,218732.96873898187
27,4,1,PALADIN,76.725971094043,217373.9805724648
28,4,1,WARRIOR,82.10507605604819,223923.67053468758
28,4,1,ROGUE,81.3420656514123,226357.34939293758
28,4,1,RANGER,81.25190143936477,226512.41600462276
28,4,1,MAGE,82.40059643108927,223295.21625959876
28,4,1,CLERIC,82.26258871748337,227825.3096843869
28,4,1,PALADIN,82.44078480320579,226771.49932072236
29,4,1,WARRIOR,87.9816990064404,233050.07724957739
29,4,1,ROGUE,87.22067370138032,235203.52892751555
29,4,1,RANGER,87.08742257501244,235622.1213496749
29,4,1,MAGE,88.3429613404967,232219.99453844273
29,4,1,CLERIC,88.18613046607116,237134.07243836016
29,4,1,PALADIN,88.3712856111072,236106.22902805798
30,4,1,WARRIOR,94.06565684047732,242257.33934591603
30,4,1,ROGUE,93.28592997398148,244234.80723571742
30,4,1,RANGER,93.13252901441032,244725.95253451585
30,4,1,MAGE,94.46572088021438,241225.09374480185
30,4,1,CLERIC,94.32949463761055,246432.20648328957
30,4,1,PALADIN,94.48846438729277,245611.55587074018
31,4,1,WARRIOR,100.3340549286165,251451.012998024
31,4,1,ROGUE,99.50987774378427,253476.59520740935
31,4,1,RANGER,99.33658866200255,253907.32372358817
31,4,1,MAGE,100.77537156379015,250133.50716393982
31,4,1,CLERIC,100.63030440752402,255727.70947591309
31,4,1,PALADIN,100.80363486046109,255065.5604888809
32,4,1,WARRIOR,106.79029115638401,260693.23412773307
32,4,1,ROGUE,105.91477715311345,262624.68512574624
32,4,1,RANGER,105.75283127688863,262926.7750023502
32,4,1,MAGE,107.26679438281963,259152.583378145
32,4,1,CLERIC,107.12187262817334,265108.90869668196
32,4,1,PALADIN,107.2974934983451,264616.2710728924
33,4,1,WARRIOR,113.42556703392835,269959.1981395229
33,4,1,ROGUE,112.55489343630536,271682.7135757072
33,4,1,RANGER,112.33959273523335,272299.11227376194
33,4,1,MAGE,113.956759005174,268338.81348460965
33,4,1,CLERIC,113.83138214272881,274670.3778998011
33,4,1,PALADIN,113.98641394413949,274191.0991279755
34,4,1,WARRIOR,120.2418356509158,279119.790697776
34,4,1,ROGUE,119.30885993389668,280936.3614619302
34,4,1,RANGER,119.11105400849364,281515.91096330073
34,4,1,MAGE,120.82349923979187,277444.3430782542
34,4,1,CLERIC,120.67581993694371,284227.2194042047
34,4,1,PALADIN,120.86048867631588,283674.314289932
35,4,1,WARRIOR,127.2465982588193,288427.8705851869
35,4,1,ROGUE,126.24686714922655,290383.25823695183
35,4,1,RANGER,126.04016850794574,290904.6610619895
35,4,1,MAGE,127.84944398628967,286682.9303843552
35,4,1,CLERIC,127.68344647379975,293956.1433885772
35,4,1,PALADIN,127.92318690885149,293336.6511321923
36,4,1,WARRIOR,134.3926659863327,297966.2288943088
36,4,1,ROGUE,133.35785197793984,299790.50938532985
36,4,1,RANGER,133.13540820208055,300333.8746617156
36,4,1,MAGE,135.0123917652694,296026.8348514747
36,4,1,CLERIC,134.86923783587514,303716.10055250226
36,4,1,PALADIN,135.15550658122297,303204.50244010467
37,4,1,WARRIOR,141.70854626590486,307518.924569512
37,4,1,ROGUE,140.60205291572123,309318.21120754874
37,4,1,RANGER,140.36467738646658,309960.88410626614
37,4,1,MAGE,142.3513572671341,305468.48277251725
37,4,1,CLERIC,142.19431307700114,313664.3638191598
37,4,1,PALADIN,142.539610768789,313139.0233161306
38,4,1,WARRIOR,149.19061449469527,317120.7345062731
38,4,1,ROGUE,148.01571182816312,319089.6901528358
38,4,1,RANGER,147.7661923671178,319801.6761682206
38,4,1,MAGE,149.861273297045,315148.71194499097
38,4,1,CLERIC,149.7102572676969,323842.7789440525
38,4,1,PALADIN,150.1422227159574,323044.2859285382
39,4,1,WARRIOR,156.8329619099001,326698.41531422135
39,4,1,ROGUE,155.53274418763857,328887.7489571455
39,4,1,RANGER,155.28146222724646,329546.28898401133
39,4,1,MAGE,157.54351711601802,324613.5325729651
39,4,1,CLERIC,157.39513289142556,333817.72698298155
39,4,1,PALADIN,157.8756936474825,333002.4054709091
40,4,1,WARRIOR,164.65680593646724,336404.40527173044
40,4,1,ROGUE,163.26756383961572,338743.14698128944
40,4,1,RANGER,163.02670212774106,339324.87456351955
40,4,1,MAGE,165.44269274710805,334169.7815841818
40,4,1,CLERIC,165.30222553842003,343911.16901077004
40,4,1,PALADIN,165.83555555800967,343026.47769706504
41,4,1,WARRIOR,172.62179110525756,346280.29429118475
41,4,1,ROGUE,171.15971964330205,348535.74631532456
41,4,1,RANGER,170.8964803607223,349189.54225411516
41,4,1,MAGE,173.4588777044952,343858.0712289152
41,4,1,CLERIC,173.30803469421835,354182.1314476412
41,4,1,PALADIN,173.9303891336087,353258.5927396596
42,4,1,WARRIOR,180.72712639254527,356002.01618462685
42,4,1,ROGUE,179.22318939649617,358434.2048108641
42,4,1,RANGER,178.939173256885,359147.9828329165
42,4,1,MAGE,181.64109088757996,353625.44034573424
42,4,1,CLERIC,181.50122602576732,364504.86836164776
42,4,1,PALADIN,182.16621309785802,363363.0394426765
43,4,1,WARRIOR,188.9967863669353,365982.44250411814
43,4,1,ROGUE,187.4474926874888,368290.521709431
43,4,1,RANGER,187.15436706670278,369109.7252108435
43,4,1,MAGE,189.95933380239637,363430.27277519903
43,4,1,CLERIC,189.84037247725672,374854.94100326544
43,4,1,PALADIN,190.5951080225565,373706.8332392376
44,4,1,WARRIOR,197.37954297738654,376010.9033108001
