level,gap_h,session_min,growth_spread_pct,sale_spread_pct,fastest,slowest,highest_sale,lowest_sale
20,4,1,1.889003460900307,2.1379180834308453,ROGUE,MAGE,ROGUE,MAGE
21,4,1,1.7786757462805003,2.082806012700966,RANGER,MAGE,ROGUE,MAGE
22,4,1,1.7207692667444485,1.799405964213463,ROGUE,MAGE,ROGUE,MAGE
23,4,1,1.673122843643915,1.7493973558209142,ROGUE,PALADIN,CLERIC,MAGE
24,4,1,1.5935393821692623,1.7779855714107118,ROGUE,PALADIN,CLERIC,MAGE
25,4,1,1.5590033232114164,1.783437742687921,ROGUE,PALADIN,CLERIC,MAGE
26,4,1,1.527959226308928,1.8843950532158482,RANGER,PALADIN,CLERIC,MAGE
27,4,1,1.4930616707883315,1.9596969680996112,RANGER,PALADIN,CLERIC,MAGE
28,4,1,1.463206820739127,2.0287462941084966,RANGER,PALADIN,CLERIC,MAGE
29,4,1,1.4742232553603296,2.11613040026315,RANGER,PALADIN,CLERIC,MAGE
30,4,1,1.4559202753665623,2.1586115514153237,RANGER,PALADIN,CLERIC,MAGE
31,4,1,1.4768437473227758,2.2364865768690345,RANGER,PALADIN,CLERIC,MAGE
32,4,1,1.4606343894587148,2.2983854688593652,RANGER,PALADIN,CLERIC,MAGE
33,4,1,1.4659312614631048,2.359541034325474,RANGER,PALADIN,CLERIC,MAGE
34,4,1,1.4687424961393525,2.444770093595805,RANGER,PALADIN,CLERIC,MAGE
35,4,1,1.4939827700936936,2.5370233918255325,RANGER,PALADIN,CLERIC,MAGE
36,4,1,1.517326161704613,2.5974894150678995,RANGER,PALADIN,CLERIC,MAGE
37,4,1,1.5494876793925583,2.683052919978657,RANGER,PALADIN,CLERIC,MAGE
38,4,1,1.607966146232176,2.758718874465549,RANGER,PALADIN,CLERIC,MAGE
39,4,1,1.67066395629345,2.8354315166905675,RANGER,PALADIN,CLERIC,MAGE
40,4,1,1.7229407168328326,2.9151012339918125,RANGER,PALADIN,CLERIC,MAGE
41,4,1,1.7752903784106877,3.0024190451103383,RANGER,PALADIN,CLERIC,MAGE
42,4,1,1.8034283842030874,3.0765399698836404,RANGER,PALADIN,CLERIC,MAGE
43,4,1,1.8384507985471865,3.1435653779819273,RANGER,PALADIN,CLERIC,MAGE
44,4,1,1.8670795947629992,3.211309731913947,RANGER,PALADIN,CLERIC,MAGE
45,4,1,1.895883873464843,3.3126342333549275,RANGER,PALADIN,CLERIC,MAGE
46,4,1,1.9212099506678015,3.403461939487551,RANGER,PALADIN,CLERIC,MAGE
47,4,1,1.9666222927117616,3.4799171414949592,RANGER,PALADIN,CLERIC,MAGE
48,4,1,2.008562294120675,3.578456841834221,RANGER,PALADIN,CLERIC,MAGE
49,4,1,2.040286906745159,3.6621130540116287,RANGER,PALADIN,CLERIC,MAGE
50,4,1,2.081291198127011,3.762526432948321,RANGER,PALADIN,CLERIC,MAGE
51,4,1,2.116590334497004,3.842284826757547,RANGER,PALADIN,CLERIC,MAGE
52,4,1,2.1441685943095257,3.9347266654008894,RANGER,PALADIN,CLERIC,MAGE
53,4,1,2.171003266648963,4.0163625030225525,RANGER,PALADIN,CLERIC,MAGE
54,4,1,2.190871656233817,4.097249678608006,RANGER,PALADIN,CLERIC,MAGE
55,4,1,2.2131198764559157,4.165239027226075,RANGER,PALADIN,CLERIC,MAGE
56,4,1,2.2392539142349843,4.2278588767064695,RANGER,PALADIN,CLERIC,MAGE
57,4,1,2.2610791840560696,4.2803732370620295,RANGER,PALADIN,CLERIC,MAGE
58,4,1,2.283224119803018,4.3309734324808336,RANGER,PALADIN,CLERIC,MAGE
59,4,1,2.3111151216771653,4.3810356009621465,RANGER,PALADIN,CLERIC,MAGE
60,4,1,2.3420437575452313,4.4363430037691165,RANGER,PALADIN,CLERIC,MAGE
61,4,1,2.371250163819405,4.48368220414701,RANGER,PALADIN,CLERIC,MAGE
62,4,1,2.405587249253105,4.534024070156284,RANGER,PALADIN,CLERIC,MAGE
63,4,1,2.437226291723804,4.587073531545283,RANGER,PALADIN,CLERIC,MAGE
64,4,1,2.4789403745614447,4.644113943206074,RANGER,PALADIN,CLERIC,MAGE
65,4,1,2.5188662317596755,4.700820872937883,RANGER,PALADIN,CLERIC,MAGE
66,4,1,2.5762119954437557,4.75703584559275,WARRIOR,PALADIN,CLERIC,MAGE
67,4,1,2.668004049362982,4.816334348137374,WARRIOR,PALADIN,CLERIC,MAGE
68,4,1,2.7536686871328264,4.875419862450903,WARRIOR,PALADIN,CLERIC,MAGE
69,4,1,2.845690718221916,4.9333455795282255,WARRIOR,PALADIN,CLERIC,MAGE
70,4,1,2.9356700610161157,4.993660698154101,WARRIOR,PALADIN,CLERIC,MAGE
71,4,1,3.029066145400283,5.0616426799006575,WARRIOR,PALADIN,CLERIC,MAGE
72,4,1,3.1206759766252423,5.125508230091169,WARRIOR,PALADIN,CLERIC,MAGE
73,4,1,3.2133087471293287,5.190040343058566,WARRIOR,PALADIN,CLERIC,MAGE
74,4,1,3.3098917101795466,5.25046851437283,WARRIOR,PALADIN,CLERIC,MAGE
75,4,1,3.4074253784118103,5.3119004017521565,WARRIOR,PALADIN,CLERIC,MAGE
76,4,1,3.5035639527696283,5.436484159911559,WARRIOR,PALADIN,CLERIC,ROGUE
