level,hero_class,cap_h,raw_proc_pct,search_s,sale_bonus_pct,bag,con,mental,time_bonus_min,time_delta_min,proc_delta_pp
1,WARRIOR,8.062333420647102,9.744976051718997,4.925,1.5055555555555555,19.833333333333332,11.041666666666666,10.4375,3.7400052388261074,,
10,WARRIOR,8.115329322561,11.237884989145352,4.91,1.7944444444444445,28.458333333333332,19.291666666666668,12.479166666666666,6.9197593536599555,3.179754114833848,1.492908937426355
20,WARRIOR,8.194643034409792,12.795694927400438,4.896944444444444,2.1166666666666667,39.583333333333336,27.916666666666668,14.854166666666666,11.678582064587495,4.758822710927539,1.5578099382550867
30,WARRIOR,8.302861522258839,14.782424056147102,4.874444444444444,2.4499999999999997,51.083333333333336,38.125,17.333333333333332,18.171691335530333,6.493109270942838,1.9867291287466635
40,WARRIOR,8.444644575544354,16.98473983190089,4.855833333333333,2.8444444444444446,62.791666666666664,50.416666666666664,20.5,26.678674532661226,8.506983197130893,2.202315775753787
50,WARRIOR,8.62547650105829,19.718515405282485,4.834722222222222,3.4388888888888887,76.04166666666667,65.29166666666667,24.041666666666668,37.52859006349745,10.84991553083622,2.733775573381596
60,WARRIOR,8.850010859783234,21.631056748555483,4.804166666666666,4.044444444444444,90.41666666666667,82.95833333333333,28.270833333333332,51.000651586994046,13.472061523496599,1.9125413432729985
70,WARRIOR,9.106581131047847,21.964560793948454,4.771944444444444,4.6000000000000005,105.875,101.20833333333333,33.020833333333336,66.3948678628708,15.394216275876751,0.33350404539297074
80,WARRIOR,9.404395376872765,22.356545273238382,4.733611111111111,5.111111111111112,120.70833333333333,121.25,38.4375,84.26372261236591,17.868854749495114,0.39198447928992763
90,WARRIOR,9.732585602638858,22.76386060860588,4.703888888888889,5.766666666666667,134.375,142.33333333333334,43.916666666666664,103.9551361583315,19.691413545965588,0.40731533536749964
100,WARRIOR,9.9949198942222,23.147966657359017,4.660555555555556,6.383333333333333,146.95833333333334,162.83333333333334,48.958333333333336,119.69519365333198,15.740057495000485,0.3841060487531358
1,ROGUE,8.062333420647102,9.786642718385663,4.925,1.5055555555555555,19.833333333333332,11.041666666666666,10.4375,3.7400052388261074,,
10,ROGUE,8.09024819754634,11.269085784578055,4.874334906101303,1.8166666666666667,28.916666666666668,12.875,12.3125,5.41489185278035,1.6748866139542429,1.482443066192392
20,ROGUE,8.135493657001577,12.799803209523757,4.818486108869282,2.1055555555555556,39.583333333333336,15.291666666666666,14.916666666666666,8.12961942009462,2.71472756731427,1.5307174249457027
30,ROGUE,8.19563823731281,14.722517955077718,4.747602683070895,2.4611111111111112,50.541666666666664,18.458333333333332,17.708333333333332,11.738294238768603,3.6086748186739825,1.9227147455539608
40,ROGUE,8.270240256822982,16.94787172613835,4.666599763449563,2.861111111111111,62.0,22.041666666666668,20.583333333333332,16.21441540937891,4.4761211706103055,2.2253537710606306
50,ROGUE,8.363410035975646,19.75731483101035,4.573297932905479,3.3222222222222224,75.29166666666667,26.458333333333332,24.020833333333332,21.804602158538735,5.590186749159827,2.8094431048720026
60,ROGUE,8.476326839262086,21.596274484943677,4.467117742535593,3.911111111111111,90.04166666666667,31.666666666666668,27.791666666666668,28.57961035572515,6.775008197186416,1.8389596539333262
70,ROGUE,8.601726686085607,21.944559331840455,4.356750105401104,4.355555555555555,104.875,36.75,32.770833333333336,36.10360116513643,7.523990809411281,0.3482848468967781
80,ROGUE,8.738983813363372,22.292920792253543,4.242479875996885,4.9944444444444445,119.41666666666667,41.708333333333336,37.604166666666664,44.33902880180234,8.23542763666591,0.3483614604130878
90,ROGUE,8.89500626931972,22.688250246712233,4.125132565787375,5.6000000000000005,134.16666666666666,47.125,42.9375,53.70037615918324,9.3613473573809,0.3953294544586896
100,ROGUE,9.067430274955607,23.07588718428109,4.003888888888889,6.205555555555556,147.0,52.833333333333336,48.041666666666664,64.0458164973364,10.34544033815316,0.38763693756885687
1,RANGER,8.062333420647102,9.911642718385663,4.925,1.5055555555555555,19.833333333333332,11.041666666666666,10.4375,3.7400052388261074,,
10,RANGER,8.09037138644897,11.420306453375723,4.877779743737739,1.8222222222222222,25.916666666666668,12.916666666666666,15.520833333333334,5.422283186938195,1.6822779481120875,1.5086637349900602
20,RANGER,8.135328544966205,13.378931873663255,4.820152775535949,2.138888888888889,33.0,15.333333333333334,21.4375,8.119712697972297,2.697429511034102,1.9586254202875324
30,RANGER,8.191084945957018,15.641450256441233,4.747230871203624,2.5,40.666666666666664,17.791666666666668,27.833333333333332,11.465096757421058,3.3453840594487616,2.2625183827779782
40,RANGER,8.25516804192719,18.24681573725179,4.6654397871046065,2.9166666666666665,48.25,20.125,35.229166666666664,15.3100825156314,3.844985758210342,2.6053654808105566
50,RANGER,8.338270224014993,21.27897129134081,4.572846408375464,3.4388888888888887,56.458333333333336,23.583333333333332,44.125,20.29621344089957,4.986130925268171,3.0321555540890195
60,RANGER,8.444675433837444,23.590706562628142,4.467142499405757,4.044444444444444,64.41666666666667,28.291666666666668,54.645833333333336,26.68052603024666,6.38431258934709,2.3117352712873327
70,RANGER,8.565109006520792,24.526879136320257,4.35935305277764,4.594444444444444,72.58333333333333,33.166666666666664,66.29166666666667,33.906540391247546,7.226014361000885,0.9361725736921152
80,RANGER,8.696324850931797,25.60414798285527,4.242546971848886,5.283333333333333,80.875,37.791666666666664,79.20833333333333,41.779491055907805,7.872950664660259,1.0772688465350129
90,RANGER,8.851125782073387,26.72114527374288,4.124021454676264,5.916666666666667,88.95833333333333,43.375,92.16666666666667,51.067546924403224,9.28805586849542,1.1169972908876105
100,RANGER,9.021298013988103,27.86653863416737,4.002222222222222,6.633333333333334,97.25,49.125,105.08333333333333,61.277880839286176,10.210333914882952,1.1453933604244888
1,MAGE,8.062333420647102,9.57830938505233,4.925,1.5055555555555555,19.833333333333332,11.041666666666666,10.4375,3.7400052388261074,,
10,MAGE,8.089988229467814,11.474575228342525,4.9125000000000005,1.8166666666666667,25.791666666666668,12.833333333333334,18.416666666666668,5.399293768068816,1.6592885292427084,1.8962658432901947
20,MAGE,8.134266662941009,13.688483467590018,4.899444444444445,2.1277777777777778,32.916666666666664,15.125,27.9375,8.055999776460538,2.6567060083917227,2.213908239247493
30,MAGE,8.18918552599914,16.141954520528838,4.881111111111111,2.5055555555555555,40.541666666666664,17.5,38.395833333333336,11.35113155994837,3.2951317834878324,2.45347105293882
40,MAGE,8.254359886369997,18.99716797567963,4.859166666666667,2.9388888888888887,48.125,20.0,50.270833333333336,15.261593182199817,3.9104616222514466,2.8552134551507926
50,MAGE,8.336156203562757,22.639137922312543,4.833333333333333,3.4444444444444446,56.333333333333336,23.333333333333332,64.625,20.169372213765406,4.907779031565589,3.641969946632912
60,MAGE,8.442598360109738,25.808066114846373,4.803055555555556,4.044444444444444,64.45833333333333,28.083333333333332,81.625,26.55590160658427,6.386529392818865,3.16892819253383
70,MAGE,8.561473872558203,27.43628017954359,4.768888888888889,4.611111111111112,72.70833333333333,32.833333333333336,100.29166666666667,33.688432353492175,7.132530746907904,1.628214064697218
80,MAGE,8.695695280328637,29.288032976645837,4.735,5.277777777777778,80.75,37.75,120.70833333333333,41.74171681971824,8.053284466226067,1.8517527971022467
90,MAGE,8.852125377756991,31.25118373564152,4.7011111111111115,5.955555555555556,88.83333333333333,43.458333333333336,141.625,51.12752266541946,9.38580584570122,1.9631507589956811
100,MAGE,9.02185284669641,33.24686163486937,4.664444444444444,6.6499999999999995,97.04166666666667,49.166666666666664,162.27083333333334,61.31117080178459,10.183648136365129,1.99567789922785
1,CLERIC,8.062333420647102,9.911642718385663,4.925,1.5055555555555555,19.833333333333332,11.041666666666666,10.4375,3.7400052388261074,,
10,CLERIC,8.089988229467814,11.48366485202615,4.9125000000000005,2.603286150294251,25.791666666666668,12.833333333333334,15.208333333333334,5.399293768068816,1.6592885292427084,1.5720221336404876
20,CLERIC,8.134266662941009,13.44280616895463,4.899444444444445,3.7868333961045466,32.916666666666664,15.125,21.166666666666668,8.055999776460538,2.6567060083917227,1.9591413169284806
30,CLERIC,8.18918552599914,15.637223267791134,4.881111111111111,5.194184975002396,40.541666666666664,17.5,27.791666666666668,11.35113155994837,3.2951317834878324,2.194417098836503
40,CLERIC,8.254359886369997,18.282874174950013,4.859166666666667,6.789249648554063,48.125,20.0,35.166666666666664,15.261593182199817,3.9104616222514466,2.6456509071588794
50,CLERIC,8.336156203562757,21.33394707785263,4.833333333333333,8.569112142746127,56.333333333333336,23.333333333333332,44.3125,20.169372213765406,4.907779031565589,3.051072902902618
60,CLERIC,8.442598360109738,23.60586243078202,4.803055555555556,10.673569109849895,64.45833333333333,28.083333333333332,54.854166666666664,26.55590160658427,6.386529392818865,2.2719153529293905
70,CLERIC,8.561473872558203,24.54829916457253,4.768888888888889,12.835161166669435,72.70833333333333,32.833333333333336,66.5625,33.688432353492175,7.132530746907904,0.9424367337905082
80,CLERIC,8.695695280328637,25.602586785289162,4.735,15.089291368951182,80.75,37.75,79.1875,41.74171681971824,8.053284466226067,1.0542876207166323
90,CLERIC,8.852125377756991,26.768810790475047,4.7011111111111115,17.476691011990322,88.83333333333333,43.458333333333336,92.70833333333333,51.12752266541946,9.38580584570122,1.1662240051858852
100,CLERIC,9.02185284669641,27.896590210575994,4.664444444444444,19.916666666666668,97.04166666666667,49.166666666666664,105.41666666666667,61.31117080178459,10.183648136365129,1.1277794201009463
1,PALADIN,8.062333420647102,9.744976051718997,4.925,1.5055555555555555,19.833333333333332,11.041666666666666,10.4375,3.7400052388261074,,
10,PALADIN,8.090361758762233,11.196218322478686,4.91,2.5877541862582367,28.458333333333332,12.875,12.479166666666666,5.421705525733991,1.6817002869078834,1.451242270759689
20,PALADIN,8.134994377735191,12.920694927400438,4.896944444444444,3.70755559142482,39.583333333333336,15.208333333333334,14.854166666666666,8.099662664111484,2.6779571383774936,1.7244766049217528
30,PALADIN,8.189830026260147,14.82409072281377,4.874444444444444,5.068287879014476,51.083333333333336,17.583333333333332,17.333333333333332,11.3898015756088,3.2901389114973156,1.9033957954133314
40,PALADIN,8.257356461611447,17.026406498567557,4.855833333333333,6.712449175453188,62.791666666666664,20.375,20.5,15.441387696686846,4.051586121078046,2.202315775753787
50,PALADIN,8.341669249587968,19.843515405282485,4.834722222222222,8.596889920523903,76.04166666666667,23.958333333333332,24.041666666666668,20.500154975278058,5.058767278591212,2.817108906714928
60,PALADIN,8.443801316336161,21.631056748555483,4.804166666666666,10.651346887627673,90.41666666666667,28.25,28.270833333333332,26.628078980169683,6.127924004891625,1.7875413432729985
70,PALADIN,8.56621023691437,21.964560793948454,4.771944444444444,12.757383388891656,105.875,33.291666666666664,33.020833333333336,33.97261421486224,7.344535234692557,0.33350404539297074
80,PALADIN,8.699285072900073,22.356545273238382,4.733611111111111,15.0601716741334,120.70833333333333,38.083333333333336,38.4375,41.957104374004395,7.984490159142155,0.39198447928992763
90,PALADIN,8.849016419464519,22.76386060860588,4.703888888888889,17.46315344524373,134.375,43.25,43.916666666666664,50.94098516787113,8.983880793866739,0.40731533536749964
100,PALADIN,9.007335211373626,23.147966657359017,4.660555555555556,19.95,146.95833333333334,48.041666666666664,48.958333333333336,60.440112682417535,9.499127514546402,0.3841060487531358
