class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience,bonus_cap_h,bonus_proc_pct,bonus_search_s,bonus_sale_pct
WARRIOR,30,1,13,11,12,6,15,13,10,4,0,0,0.0,21,10,95.0,1,0,1,1,0,0,0,0,0,8.013046167977787,10.495668604638013,4.92,1.3
WARRIOR,30,2,13,12,12,7,15,13,14,10,0,31,900.0,21,10,95.0,1,45,7,2,410,21,386,45,86,8.014812693113958,10.524125723755914,4.92,1.3
WARRIOR,30,3,13,15,12,8,15,13,26,20,1,211,5220.0,22,10,96.0,1,252,12,9,6318,199,1976,252,24,8.019921659594353,10.55284280441147,4.92,1.3
WARRIOR,30,4,13,16,13,8,15,13,34,25,1,570,13740.0,22,10,98.0,1,635,17,16,25381,563,5069,635,22,8.02219822522624,10.55284280441147,4.913,1.3
WARRIOR,30,5,14,17,13,8,15,13,42,30,1,1075,25620.0,24,10,115.0,2,1186,23,22,64420,1069,9363,1186,74,8.024647207885854,10.55284280441147,4.913,1.3
WARRIOR,30,6,16,17,14,8,15,14,60,41,2,1731,40920.0,26,10,116.0,2,1890,29,27,121093,1717,14881,1890,57,8.025461154991044,10.55284280441147,4.907,1.4000000000000001
WARRIOR,30,7,16,18,14,8,15,15,68,45,2,2548,60300.0,26,10,119.0,2,2804,34,31,210083,2523,22007,2804,14,8.028176355711851,10.55284280441147,4.907,1.5
WARRIOR,30,8,16,20,14,8,15,15,77,49,2,3513,82860.0,27,10,121.0,2,3834,39,38,336615,3511,30160,3834,32,8.033038666396251,10.55284280441147,4.907,1.5
WARRIOR,30,9,16,22,14,8,16,16,94,60,3,4633,109020.0,27,10,124.0,2,5040,45,42,497570,4618,39660,5040,5,8.03827058543239,10.58181075915269,4.907,1.6
WARRIOR,30,10,16,24,14,8,16,16,104,65,3,5904,139260.0,28,11,121.0,3,6467,50,47,705544,5887,50823,6467,93,8.043881106249259,11.581810759152688,4.907,1.6
WARRIOR,30,11,17,25,14,8,16,16,116,72,3,7330,172740.0,29,11,134.0,3,8158,56,53,966974,7315,63033,8158,93,8.047585958617173,11.581810759152688,4.907,1.6
WARRIOR,30,12,18,26,14,8,16,16,125,80,3,8916,209940.0,30,11,126.0,3,9959,62,60,1288846,8910,76605,9959,145,8.051485097595465,11.581810759152688,4.907,1.6
WARRIOR,30,13,20,26,14,9,16,17,149,94,4,10632,249120.0,32,11,133.0,3,11863,68,64,1661657,10620,90550,11863,159,8.053120573330684,11.611021185579084,4.907,1.6999999999999997
WARRIOR,30,14,20,27,14,9,16,18,158,101,4,12506,291480.0,32,11,136.5,3,13923,73,69,2097158,12476,105521,13923,67,8.057321663397547,11.611021185579084,4.907,1.7999999999999998
WARRIOR,30,15,22,28,14,9,17,18,181,115,5,14526,337620.0,34,11,141.33333333333334,4,16117,80,74,2613999,14499,121979,16117,187,8.061724497571383,11.640466289215697,4.907,1.7999999999999998
WARRIOR,30,16,23,28,14,9,17,19,192,120,5,16701,387180.0,35,12,148.0,4,18442,86,79,3208074,16668,139652,18442,13,8.06359693746726,12.640466289215697,4.907,1.9
WARRIOR,30,17,24,29,14,9,17,19,203,125,5,19024,440460.0,36,12,149.0,4,21107,91,83,3875230,19013,158762,21107,31,8.0683113663214,12.640466289215697,4.907,1.9
WARRIOR,30,18,25,30,14,9,17,21,227,139,6,21498,496020.0,37,12,152.0,4,23831,97,90,4647358,21472,178326,23831,184,8.073235027473444,12.640466289215697,4.907,2.1
WARRIOR,30,19,26,30,14,10,17,21,239,144,6,24126,556020.0,38,12,156.0,4,26947,103,92,5513823,24114,199795,26947,108,8.075347067197736,12.670138817718989,4.907,2.1
WARRIOR,30,20,29,31,14,10,17,21,264,158,7,26904,618060.0,40,12,170.36363636363637,5,29476,111,100,6466420,26900,221512,30087,6,8.08059226507042,12.670138817718989,4.907,2.1
WARRIOR,30,21,31,31,14,10,17,21,276,166,7,29830,682980.0,42,13,167.25,5,32102,117,105,7536275,29820,244131,33342,0,8.082837137997316,13.67013881771899,4.907,2.1
WARRIOR,30,22,32,33,14,10,18,21,299,179,8,32904,749340.0,43,13,175.0,5,34068,124,109,8701307,32862,266638,36717,219,8.0917351197063,13.700032004389307,4.907,2.1
WARRIOR,30,23,32,35,16,10,18,21,327,191,9,36129,819360.0,44,13,172.5,5,36180,129,114,9993943,36087,290511,40344,257,8.101094584227074,13.700032004389307,4.893,2.1
WARRIOR,30,24,33,35,16,10,19,21,340,199,9,39504,894840.0,44,13,180.5,5,38588,135,117,11442343,39475,317103,44367,167,8.103766795920027,13.730139519386356,4.893,2.1
WARRIOR,30,25,35,36,17,10,19,21,366,212,10,43029,971880.0,46,13,191.08333333333334,6,40517,142,124,12977076,42987,343631,48304,100,8.110122840511574,13.730139519386356,4.887,2.1
WARRIOR,30,26,35,37,17,11,19,21,379,219,10,46716,1051320.0,47,13,177.4,6,42619,147,131,14658246,46713,370548,52419,303,8.116709277376142,13.760455427366509,4.887,2.1
WARRIOR,30,27,36,40,17,11,19,21,408,234,11,50534,1131960.0,48,14,190.0,6,44788,153,137,16448474,50520,397329,56679,92,8.131371057959939,14.760455427366509,4.887,2.1
WARRIOR,30,28,37,42,18,11,19,21,439,247,12,54519,1215600.0,49,14,183.8,6,47004,160,140,18414888,54504,424894,61048,268,8.142728610169552,14.760455427366509,4.88,2.1
WARRIOR,30,29,37,43,18,11,20,21,454,256,12,58653,1302060.0,49,14,186.2,6,49127,165,146,20497963,58620,453326,65586,24,8.150377311598868,14.790974150509703,4.88,2.1
WARRIOR,30,30,38,44,19,11,20,22,487,271,13,62932,1394100.0,51,14,202.46153846153845,7,50818,171,149,22792229,62883,484571,70597,9,8.15827053556815,14.790974150509703,4.873,2.1999999999999997
WARRIOR,30,31,38,46,19,11,20,24,520,285,14,67361,1489140.0,52,14,191.0,7,53119,176,155,25272413,67320,516778,75788,397,8.170858124038649,14.790974150509703,4.873,2.4
WARRIOR,30,32,39,47,20,11,20,25,557,298,15,71939,1586700.0,52,14,193.0,7,55368,182,161,27836742,71896,549611,81011,192,8.179370058451934,14.790974150509703,4.867,2.5
WARRIOR,30,33,39,48,21,11,20,25,573,307,15,76686,1687200.0,53,14,198.16666666666666,7,57698,187,166,30632460,76680,583171,86411,46,8.188134895376947,14.790974150509703,4.86,2.5
WARRIOR,30,34,40,49,22,11,21,25,608,325,16,81572,1791060.0,54,15,196.66666666666666,7,59644,193,171,33583357,81533,618116,92232,170,8.197154940901724,15.821690436097647,4.853,2.5
WARRIOR,30,35,41,51,23,11,21,25,645,340,17,86604,1897620.0,55,15,217.14285714285714,8,61430,200,175,36703292,86555,653835,98424,176,8.211396707707639,15.821690436097647,4.847,2.5
WARRIOR,30,36,41,54,24,11,21,25,683,355,18,91795,2007300.0,56,15,207.85714285714286,8,63841,206,179,40075463,91780,690498,104676,428,8.231302965420282,15.821690436097647,4.84,2.5
WARRIOR,30,37,44,55,24,11,21,25,723,370,19,97122,2118240.0,58,15,203.85714285714286,8,66192,214,187,43573088,97115,727022,110841,336,8.24148793868067,15.821690436097647,4.84,2.5
WARRIOR,30,38,45,55,25,11,21,25,745,377,19,102624,2230440.0,59,16,205.57142857142858,8,68294,219,191,47262848,102567,763124,116921,284,8.246551429769184,16.821690436097647,4.833,2.5
WARRIOR,30,39,47,55,25,12,22,25,789,392,20,108261,2347140.0,60,16,215.28571428571428,8,70032,226,194,51174079,108202,801372,123699,512,8.251642368202825,16.883696141208297,4.833,2.5
WARRIOR,30,40,49,55,27,12,22,25,831,408,21,114050,2465160.0,62,16,237.0,9,71677,232,202,55342426,114035,839326,130470,221,8.256760174483503,16.883696141208297,4.82,2.5
WARRIOR,30,41,49,58,27,12,22,26,872,422,22,119999,2585520.0,63,16,220.25,9,73998,238,207,59696866,119987,877761,137328,489,8.279139301213858,16.883696141208297,4.82,2.6
WARRIOR,30,42,50,59,28,13,22,26,913,437,23,126090,2708400.0,64,16,224.125,9,76245,244,212,64226827,126035,916934,144251,482,8.290548829780235,16.91497643983651,4.813,2.6
WARRIOR,30,43,51,61,28,13,23,26,954,455,24,132337,2835120.0,65,17,217.75,9,78062,251,217,69079172,132307,957566,151455,306,8.30828997575631,17.94643601672029,4.813,2.6
WARRIOR,30,44,53,62,29,13,23,26,1000,474,25,138730,2962980.0,66,17,228.875,9,79762,257,222,74099788,138697,997887,158987,232,8.3203916433779,17.94643601672029,4.807,2.6
WARRIOR,30,45,54,65,29,13,23,26,1047,489,26,145258,3093540.0,68,17,246.1875,10,81462,264,225,79402027,145231,1039091,166704,150,8.345492325753678,17.94643601672029,4.807,2.6
WARRIOR,30,46,55,67,29,14,23,26,1095,503,27,151930,3226380.0,69,17,229.55555555555554,10,83887,270,229,84942874,151895,1080801,174450,437,8.36496393586324,17.978070875765866,4.807,2.6
WARRIOR,30,47,58,68,29,14,23,28,1168,527,29,158748,3360900.0,71,18,222.22222222222223,10,86339,278,234,90642610,158697,1122579,182667,390,8.378336379411582,18.978070875765862,4.807,2.8000000000000003
WARRIOR,30,48,60,69,30,14,23,28,1217,544,30,165715,3498420.0,73,18,223.0,10,88177,285,242,96643899,165655,1165317,190840,106,8.391999649549565,18.978070875765862,4.8,2.8000000000000003
WARRIOR,30,49,63,70,30,14,24,29,1296,568,32,172841,3638040.0,74,18,233.11111111111111,10,89940,292,246,102931788,172815,1208311,199371,6,8.405955629143735,19.009877215886263,4.8,2.9
WARRIOR,30,50,63,73,30,14,24,30,1348,582,33,180116,3780420.0,75,19,231.1,11,91713,298,252,109417580,180067,1252148,207963,312,8.434450051438368,20.009877215886267,4.8,3.0
WARRIOR,30,51,63,77,30,14,24,32,1431,603,35,187536,3924060.0,76,19,243.3,11,94229,304,255,116266221,187492,1295713,216894,532,8.471229667031686,20.009877215886267,4.8,3.2
WARRIOR,30,52,64,79,30,14,24,33,1486,620,36,195110,4070160.0,77,19,244.6,11,96752,310,262,123407936,195051,1339848,226088,391,8.494299114029927,20.009877215886267,4.8,3.3000000000000003
WARRIOR,30,53,66,81,30,15,24,34,1574,643,38,202827,4219320.0,79,19,235.6,11,98510,317,266,130733551,202751,1385027,235386,79,8.517985347805414,20.041851416587246,4.8,3.3999999999999995
