level,gap_h,session_min,hero_class,calendar_days,sale_gold_per_day
20,4,1,WARRIOR,42.28024005338591,151815.51989523217
20,4,1,ROGUE,41.492790757395746,155197.24950899332
20,4,1,RANGER,41.50776578639045,154855.8053709438
20,4,1,MAGE,42.3453286975691,151698.21436216088
20,4,1,CLERIC,42.13369845777986,153922.4299641919
20,4,1,PALADIN,42.26375995867432,153241.40898331822
21,4,1,WARRIOR,46.73115932577525,159989.1187778909
21,4,1,ROGUE,45.907225446357394,163497.87374474312
21,4,1,RANGER,45.924731690061364,163019.752091882
21,4,1,MAGE,46.797030148701744,159891.70896580027
21,4,1,CLERIC,46.57728804755709,162283.06899882812
21,4,1,PALADIN,46.705065508744646,161586.58954427508
22,4,1,WARRIOR,51.358331167139866,168367.79064839607
22,4,1,ROGUE,50.48240583848533,171694.63263559988
22,4,1,RANGER,50.512374332689845,171418.87734222668
22,4,1,MAGE,51.42700851747958,168375.24434377457
22,4,1,CLERIC,51.2281416021078,170851.5227427239
22,4,1,PALADIN,51.33744094851686,170082.74251060534
23,4,1,WARRIOR,56.20255392085266,176651.48969887552
23,4,1,ROGUE,55.295896606104506,179969.91161730024
23,4,1,RANGER,55.330532946055754,179625.91756869186
23,4,1,MAGE,56.274348813556884,176652.36621281249
23,4,1,CLERIC,56.0953369639994,179222.5195376243
23,4,1,PALADIN,56.198613470334024,178461.21560088356
24,4,1,WARRIOR,61.251357345984744,185231.46451943487
24,4,1,ROGUE,60.30995780215375,188379.73717823226
24,4,1,RANGER,60.33326010751285,188182.7532569587
24,4,1,MAGE,61.32198758989321,185215.91433008178
24,4,1,CLERIC,61.15420030368606,187919.76786437212
24,4,1,PALADIN,61.2402981720584,187236.84350432665
25,4,1,WARRIOR,66.49149093495795,193598.21375628386
25,4,1,ROGUE,65.5201621388809,196793.29734668802
25,4,1,RANGER,65.5348582361282,196652.5444911285
25,4,1,MAGE,66.55209533381617,193692.07401123067
25,4,1,CLERIC,66.41127032620776,196481.51866251323
25,4,1,PALADIN,66.50685483163625,195692.47460201688
26,4,1,WARRIOR,71.90137744855308,202301.5607094286
26,4,1,ROGUE,70.92623064431291,205389.36360589
26,4,1,RANGER,70.89394425315793,205364.55586404298
26,4,1,MAGE,71.99816040388242,202291.1650561369
26,4,1,CLERIC,71.8269254742273,205406.33129694348
26,4,1,PALADIN,71.93951183730492,204534.92280121148
27,4,1,WARRIOR,77.49779636288727,210745.3294352165
27,4,1,ROGUE,76.49125417445089,214070.01103231093
27,4,1,RANGER,76.43752065094773,214106.29865579092
27,4,1,MAGE,77.61813329764658,210880.8863932868
27,4,1,CLERIC,77.42611956392209,214266.85327170006
27,4,1,PALADIN,77.52883310385764,213215.90740126194
28,4,1,WARRIOR,83.3025408628095,219609.64888368003
28,4,1,ROGUE,82.2644585552673,222759.98434595735
28,4,1,RANGER,82.15834884687553,222912.9009047324
28,4,1,MAGE,83.44538764209986,219435.19908536933
28,4,1,CLERIC,83.23872976354713,223080.36989209222
28,4,1,PALADIN,83.34748596865927,222268.72424161737
29,4,1,WARRIOR,89.29753186762635,228478.9548298445
29,4,1,ROGUE,88.24837794683766,231336.2095142233
29,4,1,RANGER,88.08356369212981,231801.32330209433
29,4,1,MAGE,89.48167262701983,228146.7732514816
29,4,1,CLERIC,89.27812877622978,232027.2897063154
29,4,1,PALADIN,89.3779853195824,231280.66213494042
30,4,1,WARRIOR,95.48115801248639,237447.45530877556
30,4,1,ROGUE,94.43203589994515,240104.67723076136
30,4,1,RANGER,94.22370315856193,240673.4358215401
30,4,1,MAGE,95.70033412247767,236937.72292352104
30,4,1,CLERIC,95.52374254050773,241007.78521358
30,4,1,PALADIN,95.59325723417733,240453.14141447577
31,4,1,WARRIOR,101.87366488953454,246362.10965036455
31,4,1,ROGUE,100.76139746261222,249095.0056971283
31,4,1,RANGER,100.53407635153003,249598.90253786676
31,4,1,MAGE,102.12014331100278,245618.03564662172
31,4,1,CLERIC,101.94462348712953,249938.92275463484
31,4,1,PALADIN,102.00338244109872,249598.68011927625
32,4,1,WARRIOR,108.46046498608418,255325.9153328641
32,4,1,ROGUE,107.27870899306112,257996.8558979416
32,4,1,RANGER,107.06553635464607,258393.88487591024
32,4,1,MAGE,108.7278551502367,254359.63338728467
32,4,1,CLERIC,108.54784990328152,258985.36474972716
32,4,1,PALADIN,108.63008147933904,258751.88982847318
33,4,1,WARRIOR,115.23720111394287,264301.52507682587
33,4,1,ROGUE,114.0215548431752,266845.98619838216
33,4,1,RANGER,113.80155607344162,267416.34451255226
33,4,1,MAGE,115.53742214554991,263345.8044153871
33,4,1,CLERIC,115.3777592302786,268214.31579578505
33,4,1,PALADIN,115.43128917742997,267979.04164833925
34,4,1,WARRIOR,122.20592667980566,273144.6095283035
34,4,1,ROGUE,120.89096802987427,275852.4658083564
34,4,1,RANGER,120.70551811028241,276370.10426086106
34,4,1,MAGE,122.52936831740352,272175.9899929491
34,4,1,CLERIC,122.34949085617767,277381.2278458405
34,4,1,PALADIN,122.42738438586468,277083.65081200463
35,4,1,WARRIOR,129.36200155858978,282147.4123795854
35,4,1,ROGUE,127.95885756392161,285027.3210416918
35,4,1,RANGER,127.767291536905,285455.7389945552
35,4,1,MAGE,129.6895283465854,281158.75248273305
35,4,1,CLERIC,129.49752879165783,286695.63984291
35,4,1,PALADIN,129.6203108297969,286351.09256710426
36,4,1,WARRIOR,136.6721423758627,291364.8892360727
36,4,1,ROGUE,135.20261185995562,294163.9196378543
36,4,1,RANGER,134.99269030858915,294615.26793847076
36,4,1,MAGE,136.99232296417773,290226.72230615857
36,4,1,CLERIC,136.83575642472957,296019.6858142231
36,4,1,PALADIN,136.9871963318655,295814.20260496077
37,4,1,WARRIOR,144.1561267948956,300590.2460646184
37,4,1,ROGUE,142.58375312403086,303410.85626612516
37,4,1,RANGER,142.36887609538874,303934.1028161809
37,4,1,MAGE,144.47636928842587,299378.82636468665
37,4,1,CLERIC,144.31018025175678,305544.0920597369
37,4,1,PALADIN,144.54181564924596,305268.58128774434
38,4,1,WARRIOR,151.81335656098742,309866.7769795474
38,4,1,ROGUE,150.1253582070913,312934.0226798599
38,4,1,RANGER,149.90819563901775,313504.53972623067
38,4,1,MAGE,152.13601991877215,308776.30360043095
38,4,1,CLERIC,151.99618425230045,315256.2134090203
38,4,1,PALADIN,152.28550442231415,314766.03309576894
39,4,1,WARRIOR,159.62995454310578,319115.7771472288
39,4,1,ROGUE,157.78654639893844,322438.570721783
39,4,1,RANGER,157.5784258005375,322952.1410780994
39,4,1,MAGE,159.98709965997668,317928.1617586855
39,4,1,CLERIC,159.8407906287407,324808.48940861516
39,4,1,PALADIN,160.1595678772554,324322.62985255336
40,4,1,WARRIOR,167.65223148144398,328459.499246778
40,4,1,ROGUE,165.691740433759,331964.0102820311
40,4,1,RANGER,165.48540728479225,332399.4394885539
40,4,1,MAGE,168.05484500254258,327166.99568624847
40,4,1,CLERIC,167.89793322087274,334467.77186426223
40,4,1,PALADIN,168.27050815938557,333915.599587889
41,4,1,WARRIOR,175.81284501317126,337975.7775693149
41,4,1,ROGUE,173.76202242893544,341413.46837892843
41,4,1,RANGER,173.50655751940255,341971.03684893803
41,4,1,MAGE,176.25072756081053,336528.65690744744
41,4,1,CLERIC,176.08270010506,344257.3693431116
41,4,1,PALADIN,176.52204668192587,343709.1818866399
42,4,1,WARRIOR,184.12472554244556,347333.5333513219
42,4,1,ROGUE,182.007670985278,350962.6979137977
42,4,1,RANGER,181.73195497973288,351585.36032986396
42,4,1,MAGE,184.61850614551437,345962.8104652598
42,4,1,CLERIC,184.46113660027027,354091.1012683433
42,4,1,PALADIN,184.91362785813467,353371.7721720932
43,4,1,WARRIOR,192.60894888253964,356937.2536886953
43,4,1,ROGUE,190.4194621306346,360486.19968744594
43,4,1,RANGER,190.13940619185414,361178.2737488222
43,4,1,MAGE,193.13045525137957,355412.30556131917
43,4,1,CLERIC,192.98584756666753,363952.23282233794
43,4,1,PALADIN,193.53664701479497,363199.35376180446
