class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience,bonus_cap_h,bonus_proc_pct,bonus_search_s,bonus_sale_pct
WARRIOR,14,1,9,11,10,12,11,13,10,4,0,0,0.0,19,9,95.0,1,0,1,1,0,0,0,0,0,8.013046167977787,9.552842804411469,4.933,1.3
WARRIOR,14,2,10,12,10,12,11,13,14,11,0,28,780.0,20,9,95.0,1,42,6,4,360,19,325,42,18,8.014812693113958,9.552842804411469,4.933,1.3
WARRIOR,14,3,14,12,10,12,11,13,28,23,1,212,5280.0,23,10,96.0,1,255,12,9,6751,207,2001,255,0,8.01524170316242,10.55284280441147,4.933,1.3
WARRIOR,14,4,15,12,11,12,11,13,36,28,1,567,13680.0,23,10,98.0,1,638,17,16,25163,552,5061,638,30,8.015717800406753,10.55284280441147,4.927,1.3
WARRIOR,14,5,15,13,11,13,11,13,43,32,1,1072,25740.0,24,10,115.0,2,1197,23,21,62101,1058,9486,1197,14,8.017863273401415,10.58181075915269,4.927,1.3
WARRIOR,14,6,16,15,11,14,11,13,55,44,2,1737,41340.0,26,10,102.0,2,1892,29,27,123953,1730,15121,1892,13,8.021910329350861,10.611021185579085,4.927,1.3
WARRIOR,14,7,17,15,11,15,11,13,64,51,2,2558,60480.0,26,10,118.0,2,2789,34,31,210337,2536,22038,2789,22,8.022639525806232,10.640466289215697,4.927,1.3
WARRIOR,14,8,17,16,11,16,11,13,70,58,2,3525,83340.0,27,10,121.0,2,3827,39,41,331261,3525,30384,3827,44,8.025277288958227,10.670138817718989,4.927,1.3
WARRIOR,14,9,19,17,12,16,11,13,84,71,3,4645,109020.0,28,11,124.0,2,4971,46,46,484573,4619,39531,4971,25,8.028086433483663,11.670138817718989,4.92,1.3
WARRIOR,14,10,20,18,12,16,11,13,93,78,3,5905,137640.0,30,11,120.0,3,6327,51,48,688428,5877,49626,6327,17,8.031070703293798,11.670138817718989,4.92,1.3
WARRIOR,14,11,22,18,12,16,11,13,101,86,3,7338,170820.0,32,11,127.0,3,7976,58,54,945060,7317,61576,7976,49,8.032083210320286,11.670138817718989,4.92,1.3
WARRIOR,14,12,23,18,12,16,11,14,109,91,3,8920,206460.0,32,11,136.5,3,9667,63,59,1256116,8917,74075,9667,105,8.033116202448321,11.670138817718989,4.92,1.4000000000000001
WARRIOR,14,13,24,19,12,17,12,14,126,102,4,10647,245820.0,34,11,133.0,3,11618,69,65,1632517,10622,88097,11618,87,8.03645852188163,11.730139519386354,4.92,1.4000000000000001
WARRIOR,14,14,25,19,13,17,12,14,134,110,4,12524,288240.0,34,11,136.0,3,13651,75,69,2071674,12492,103080,13651,131,8.037599891239685,11.730139519386354,4.913,1.4000000000000001
WARRIOR,14,15,28,19,14,17,12,14,152,124,5,14552,333780.0,37,12,153.4,4,15854,82,73,2593821,14537,119049,15854,63,8.038758971756334,12.730139519386356,4.907,1.4000000000000001
WARRIOR,14,16,28,20,15,17,12,14,159,132,5,16731,382020.0,38,12,147.66666666666666,4,18275,87,79,3177031,16720,135775,18275,205,8.04247002921451,12.730139519386356,4.9,1.4000000000000001
WARRIOR,14,17,29,20,15,18,12,14,167,137,5,19052,433740.0,38,12,148.33333333333334,4,20888,93,84,3857129,19038,153859,20888,67,8.043737239539945,12.760455427366507,4.9,1.4000000000000001
WARRIOR,14,18,31,21,15,18,13,14,183,155,6,21519,488520.0,40,12,150.66666666666666,4,23670,99,88,4609464,21508,172942,23670,92,8.047734952729705,12.790974150509701,4.9,1.4000000000000001
WARRIOR,14,19,31,23,15,18,13,14,193,161,6,24147,547740.0,40,12,154.66666666666666,4,26643,105,93,5451566,24108,193940,26643,208,8.054776496339871,12.790974150509701,4.9,1.4000000000000001
WARRIOR,14,20,31,25,15,18,15,14,210,179,7,26915,610740.0,41,12,161.5,5,29358,110,97,6397971,26908,216447,29940,74,8.06225687820531,12.852599327957776,4.9,1.4000000000000001
WARRIOR,14,21,31,26,15,18,16,14,221,186,7,29851,677100.0,42,12,164.25,5,32102,115,104,7435841,29819,240064,33380,44,8.067074751239597,12.883696141208297,4.9,1.4000000000000001
WARRIOR,14,22,32,28,15,19,16,14,243,202,8,32930,746580.0,43,13,166.0,5,34237,122,109,8631293,32927,264708,36945,259,8.075319693102166,13.91497643983651,4.9,1.4000000000000001
WARRIOR,14,23,32,30,15,20,17,14,265,218,9,36160,817620.0,44,13,168.5,5,36488,127,115,9922076,36152,289286,40752,137,8.084021753900654,13.978070875765864,4.9,1.4000000000000001
WARRIOR,14,24,32,31,15,20,17,15,278,225,9,39537,892920.0,44,13,176.0,5,38932,132,119,11305896,39496,315760,44850,119,8.089703788732114,13.978070875765864,4.9,1.5
WARRIOR,14,25,35,32,15,20,17,15,306,242,10,43070,970500.0,46,13,176.0,6,40815,140,125,12842195,43060,342538,48948,220,8.09560803186446,13.978070875765864,4.9,1.5
WARRIOR,14,26,36,32,15,20,18,15,320,250,10,46752,1051740.0,48,13,184.2,6,43117,146,129,14524815,46740,370779,53387,179,8.09804902630267,14.009877215886265,4.9,1.5
WARRIOR,14,27,38,32,15,21,19,15,344,267,11,50579,1133880.0,49,14,182.2,6,45283,152,136,16349266,50532,398551,57720,144,8.100509631744039,15.073990024962091,4.9,1.5
WARRIOR,14,28,40,32,15,22,20,15,370,282,12,54562,1218060.0,51,14,184.6,6,47562,159,141,18311578,54550,426471,62217,216,8.102989242140234,15.138747421542723,4.9,1.5
WARRIOR,14,29,40,33,15,22,21,15,383,291,12,58700,1305300.0,51,14,181.8,6,49520,164,145,20378310,58681,455382,66899,112,8.109455325678042,15.171360041323362,4.9,1.5
WARRIOR,14,30,42,33,16,22,22,15,409,313,13,62978,1396800.0,53,14,187.83333333333334,7,51187,170,149,22639991,62965,486216,71877,145,8.112065927026885,15.204124713380098,4.893,1.5
WARRIOR,14,31,43,34,16,22,22,17,436,329,14,67409,1491000.0,54,14,189.16666666666666,7,53416,176,154,25038861,67364,517804,76973,269,8.118877848401189,15.204124713380098,4.893,1.6999999999999997
WARRIOR,14,32,44,37,16,22,22,17,464,346,15,71992,1588320.0,55,14,190.5,7,55702,183,161,27643701,71974,550357,82267,76,8.134609152215345,15.204124713380098,4.893,1.6999999999999997
WARRIOR,14,33,44,38,17,22,22,17,477,357,15,76736,1688100.0,56,15,191.5,7,58007,188,165,30390923,76704,583413,87684,174,8.142141268649738,16.204124713380097,4.887,1.6999999999999997
WARRIOR,14,34,45,39,17,22,23,18,508,376,16,81619,1790100.0,56,15,192.5,7,59657,194,170,33334301,81576,616962,93465,2,8.149916659936434,16.237038666349587,4.887,1.7999999999999998
WARRIOR,14,35,47,40,17,22,24,18,539,396,17,86657,1898220.0,58,15,217.14285714285714,8,61467,201,173,36448258,86617,653634,99764,416,8.15793776850604,16.270099239998807,4.887,1.7999999999999998
