level,gap_h,session_min,hero_class,calendar_days,sale_gold_per_day
20,4,1,WARRIOR,41.84044219543632,153815.37514443297
20,4,1,ROGUE,41.85485874636605,153975.11198289585
20,4,1,RANGER,41.97992719633563,153319.52804248358
20,4,1,MAGE,42.058044670395674,153079.51309804508
20,4,1,CLERIC,41.54867432632072,156272.2151856191
20,4,1,PALADIN,41.94055790862793,154722.04468851542
21,4,1,WARRIOR,46.260780041731394,162099.05546848496
21,4,1,ROGUE,46.271987157832235,162395.12335765513
21,4,1,RANGER,46.421071060322696,161481.91874459284
21,4,1,MAGE,46.499614712392805,161312.00325840316
21,4,1,CLERIC,45.95744242834876,164670.23565984608
21,4,1,PALADIN,46.37114176857047,163137.8932344372
22,4,1,WARRIOR,50.854574345896545,170540.77089526964
22,4,1,ROGUE,50.87938091009525,170771.5636881112
22,4,1,RANGER,51.04307898636559,169873.31186106784
22,4,1,MAGE,51.11554140490155,169649.1507114988
22,4,1,CLERIC,50.546418256067575,173174.55028476228
22,4,1,PALADIN,50.99753995870019,171651.55798866332
23,4,1,WARRIOR,55.64828929413347,178945.32565711392
23,4,1,ROGUE,55.71319920435955,179074.6742689175
23,4,1,RANGER,55.86991735303461,178194.53489775475
23,4,1,MAGE,55.94849741035633,177971.31555595397
23,4,1,CLERIC,55.34405890241926,181688.89103759694
23,4,1,PALADIN,55.8158444329691,180169.86779760983
24,4,1,WARRIOR,60.64888592170504,187457.31293690973
24,4,1,ROGUE,60.74134186004265,187475.33848097315
24,4,1,RANGER,60.88874455340888,186707.04078203134
24,4,1,MAGE,60.97824713770265,186485.45335880938
24,4,1,CLERIC,60.33088407767685,190442.23245936603
24,4,1,PALADIN,60.84441464742158,188796.29406520713
25,4,1,WARRIOR,65.84310058080493,196144.5506222866
25,4,1,ROGUE,65.98799227447974,195971.3719006608
25,4,1,RANGER,66.12114304758296,195154.74881028538
25,4,1,MAGE,66.21383818870919,194925.69326242243
25,4,1,CLERIC,65.52175699913472,199117.22701014095
25,4,1,PALADIN,66.07939356354534,197573.03273289205
26,4,1,WARRIOR,71.22080588286127,204737.51675153314
26,4,1,ROGUE,71.41010317475208,204523.68748521563
26,4,1,RANGER,71.5223344472061,203782.049168969
26,4,1,MAGE,71.6241216543887,203489.05212866855
26,4,1,CLERIC,70.89317332320994,207916.6608581516
26,4,1,PALADIN,71.49060278159742,206300.9803198424
27,4,1,WARRIOR,76.77325463210097,213530.8336354605
27,4,1,ROGUE,77.0188913412032,213041.36591384577
27,4,1,RANGER,77.10428230207079,212537.4729291771
27,4,1,MAGE,77.19051205087271,212307.12333789625
27,4,1,CLERIC,76.42351561264033,216975.36163538333
27,4,1,PALADIN,77.08436331125694,215207.29496740134
28,4,1,WARRIOR,82.53605197882074,222351.44518675597
28,4,1,ROGUE,82.83100831027309,221670.76451274776
28,4,1,RANGER,82.88400847204532,221279.4590971767
28,4,1,MAGE,82.99077738526282,221006.71322012483
28,4,1,CLERIC,82.19204265865633,225916.8850093591
28,4,1,PALADIN,82.89906013454674,224154.7910174217
29,4,1,WARRIOR,88.47222965512061,231165.64321623027
29,4,1,ROGUE,88.84841048290625,230470.01081622724
29,4,1,RANGER,88.87285540464524,230073.52787194517
29,4,1,MAGE,89.0091739228452,229729.54681305925
29,4,1,CLERIC,88.15919025263979,234952.2700428816
29,4,1,PALADIN,88.90529278903769,233047.44970768195
30,4,1,WARRIOR,94.62224812656349,239967.26800053308
30,4,1,ROGUE,95.05750717524015,239089.79930014227
30,4,1,RANGER,95.05259522331181,239000.82774308574
30,4,1,MAGE,95.2091694860772,238565.50658517718
30,4,1,CLERIC,94.340304598276,244021.48064424092
30,4,1,PALADIN,95.11813917957501,241960.5162696669
31,4,1,WARRIOR,100.95148011754385,248856.6286571374
31,4,1,ROGUE,101.45105004751984,247917.16905068027
31,4,1,RANGER,101.41742284095487,247844.20463354126
31,4,1,MAGE,101.59284816098527,247388.45750415523
31,4,1,CLERIC,100.68664191529574,253123.63328633655
31,4,1,PALADIN,101.52379550631804,250945.50122896573
32,4,1,WARRIOR,107.49396956667503,257719.36950673827
32,4,1,ROGUE,108.03827013608134,256739.79833777886
32,4,1,RANGER,107.980406019803,256758.35282945144
32,4,1,MAGE,108.1562186639485,256342.28403587418
32,4,1,CLERIC,107.1946778127936,262421.6187684897
32,4,1,PALADIN,108.15510586205345,259898.005054445
33,4,1,WARRIOR,114.209638111056,266746.94068180263
33,4,1,ROGUE,114.82331652203595,265749.5221725629
33,4,1,RANGER,114.7401024092659,265720.5369771211
33,4,1,MAGE,114.90001575346308,265364.48765962
33,4,1,CLERIC,113.89918164838002,271752.7728430368
33,4,1,PALADIN,114.94947171930876,269064.5651728097
34,4,1,WARRIOR,121.09350264054105,275832.50873624877
34,4,1,ROGUE,121.76715686400094,274826.44683801016
34,4,1,RANGER,121.64808910095195,274856.6453826717
34,4,1,MAGE,121.8063385286095,274486.4745248629
34,4,1,CLERIC,120.78091228936916,281173.23843884486
34,4,1,PALADIN,121.91182375627164,278306.85340522235
35,4,1,WARRIOR,128.17149649385777,285029.6155881329
35,4,1,ROGUE,128.91047417148746,283805.2506798707
35,4,1,RANGER,128.73290104253797,284042.7691085544
35,4,1,MAGE,128.91193226646058,283662.0569724705
35,4,1,CLERIC,127.8643968781284,290631.8150893854
35,4,1,PALADIN,129.07122886855183,287676.1087694803
36,4,1,WARRIOR,135.39281592357995,294314.6746057157
36,4,1,ROGUE,136.2064656264419,292910.68758379767
36,4,1,RANGER,135.94912368562981,293262.9044906028
36,4,1,MAGE,136.14659405263401,292844.2469672538
36,4,1,CLERIC,135.08256134668568,300107.7079887237
36,4,1,PALADIN,136.38315492528687,297133.67385583493
37,4,1,WARRIOR,142.7543892153293,303718.1132455451
37,4,1,ROGUE,143.64055892525226,302074.09827108344
37,4,1,RANGER,143.3553887350061,302558.81254437
37,4,1,MAGE,143.54842950429628,302217.9929088084
37,4,1,CLERIC,142.46229464702878,309811.4841323772
37,4,1,PALADIN,143.85489555217694,306704.0994200793
38,4,1,WARRIOR,150.3072367336551,313155.53826864227
38,4,1,ROGUE,151.30215587771357,311283.09302192426
38,4,1,RANGER,150.9697418053672,311988.50593666115
38,4,1,MAGE,151.13544035465083,311753.7551214743
38,4,1,CLERIC,150.06184274447577,319626.16668763844
38,4,1,PALADIN,151.51691889621546,316308.4041151069
39,4,1,WARRIOR,158.01014404289694,322578.9228358804
39,4,1,ROGUE,159.06106751327525,320787.61351039883
39,4,1,RANGER,158.6829892535723,321539.60501693387
39,4,1,MAGE,158.87641205930956,321245.0090983116
39,4,1,CLERIC,157.79997646435265,329427.82440302346
39,4,1,PALADIN,159.34091453304995,325903.562039798
40,4,1,WARRIOR,165.9443361214036,332069.79732158815
40,4,1,ROGUE,167.03969993860755,330273.30977471994
40,4,1,RANGER,166.62856081380812,330960.5885879443
40,4,1,MAGE,166.84459745902896,330640.5209706996
40,4,1,CLERIC,165.7614310098229,339170.7021048121
40,4,1,PALADIN,167.38858724361668,335606.24069453863
41,4,1,WARRIOR,173.96268965772592,341746.62677365483
41,4,1,ROGUE,175.1743955987582,339824.26724823244
41,4,1,RANGER,174.67751175700147,340629.75516431977
41,4,1,MAGE,174.92593192081472,340236.91968633764
41,4,1,CLERIC,173.86314287404596,349075.5113288586
41,4,1,PALADIN,175.55629637459273,345440.6699011264
42,4,1,WARRIOR,182.15345022120584,351375.0716622374
42,4,1,ROGUE,183.46912054534812,349341.0886910424
42,4,1,RANGER,182.90415654966296,350223.32164773345
42,4,1,MAGE,183.16254856512268,349832.64797835
42,4,1,CLERIC,182.13225295277428,358979.8103576585
42,4,1,PALADIN,183.913322676927,355196.7700689878
43,4,1,WARRIOR,190.53705238194473,361114.9790937987
43,4,1,ROGUE,191.92873289230943,358930.4807928547
43,4,1,RANGER,191.30514163345217,360028.7509233168
43,4,1,MAGE,191.58517303030885,359607.08511665836
43,4,1,CLERIC,190.5754704102325,369098.3234808964
