level,gap_h,session_min,growth_spread_pct,sale_spread_pct,fastest,slowest,highest_sale,lowest_sale
20,4,1,1.2259605206038415,2.085649492188524,CLERIC,MAGE,CLERIC,MAGE
21,4,1,1.179726841608586,2.0818242496582373,CLERIC,MAGE,CLERIC,MAGE
22,4,1,1.1259415967928676,2.07805318121439,CLERIC,MAGE,CLERIC,MAGE
23,4,1,1.0921470523201027,2.088862168619632,CLERIC,MAGE,CLERIC,MAGE
24,4,1,1.0730210072710245,2.121762866374133,CLERIC,MAGE,CLERIC,MAGE
25,4,1,1.0562616469268482,2.1503238888449516,CLERIC,MAGE,CLERIC,MAGE
26,4,1,1.0310560198036223,2.1758461613371693,CLERIC,MAGE,CLERIC,MAGE
27,4,1,1.003613131486869,2.19881378641138,CLERIC,MAGE,CLERIC,MAGE
28,4,1,0.9717908215563176,2.221729701189523,CLERIC,MAGE,CLERIC,MAGE
29,4,1,0.9641464126083799,2.2734225101973093,CLERIC,MAGE,CLERIC,MAGE
30,4,1,0.9209901234695339,2.2869920036473257,CLERIC,MAGE,CLERIC,MAGE
31,4,1,0.9000262879478083,2.3182875385707957,CLERIC,MAGE,CLERIC,MAGE
32,4,1,0.8970042830243274,2.3715692303672764,CLERIC,MAGE,CLERIC,MAGE
33,4,1,0.9221225786951726,2.40736250722855,CLERIC,PALADIN,CLERIC,MAGE
34,4,1,0.9363329399210363,2.4360996021959735,CLERIC,PALADIN,CLERIC,MAGE
35,4,1,0.9438373932766364,2.4570639412627937,CLERIC,PALADIN,CLERIC,MAGE
36,4,1,0.9628138270662889,2.48031542251268,CLERIC,PALADIN,CLERIC,MAGE
37,4,1,0.9775224445166542,2.561419832279088,CLERIC,PALADIN,CLERIC,ROGUE
38,4,1,0.9696509953015742,2.6802206264143535,CLERIC,PALADIN,CLERIC,ROGUE
39,4,1,0.9765134971648104,2.6934365694716966,CLERIC,PALADIN,CLERIC,ROGUE
40,4,1,0.9816253539083997,2.693948335141294,CLERIC,PALADIN,CLERIC,ROGUE
41,4,1,0.9738426860104399,2.7223612237993633,CLERIC,PALADIN,CLERIC,ROGUE
42,4,1,0.9778991338862619,2.759114796009743,CLERIC,PALADIN,CLERIC,ROGUE
43,4,1,1.002470180197701,2.83281672416944,WARRIOR,PALADIN,CLERIC,ROGUE
44,4,1,1.0479079027438942,2.8681329037186343,WARRIOR,PALADIN,CLERIC,ROGUE
45,4,1,1.0903658497865676,2.9285688790930964,WARRIOR,PALADIN,CLERIC,ROGUE
46,4,1,1.1338710498722593,2.9599490532291606,WARRIOR,PALADIN,CLERIC,ROGUE
47,4,1,1.1775191348116554,3.0040398910314847,WARRIOR,PALADIN,CLERIC,ROGUE
48,4,1,1.226792898151885,3.028610750214611,WARRIOR,PALADIN,CLERIC,ROGUE
49,4,1,1.2825562649020572,3.0989276165668267,WARRIOR,PALADIN,CLERIC,ROGUE
50,4,1,1.340133571037394,3.142396103124989,WARRIOR,PALADIN,CLERIC,ROGUE
51,4,1,1.3958946732121502,3.176622380103833,WARRIOR,PALADIN,CLERIC,ROGUE
52,4,1,1.4652283012445588,3.2379137117601875,WARRIOR,PALADIN,CLERIC,ROGUE
53,4,1,1.536107808835263,3.2704954597891467,WARRIOR,PALADIN,CLERIC,ROGUE
54,4,1,1.606887858197581,3.3395733599540955,WARRIOR,PALADIN,CLERIC,ROGUE
55,4,1,1.677599929720075,3.3785631100839097,WARRIOR,PALADIN,CLERIC,ROGUE
56,4,1,1.7573664519166865,3.4193191349740193,WARRIOR,PALADIN,CLERIC,ROGUE
57,4,1,1.8423363301614648,3.4329283776932007,WARRIOR,PALADIN,CLERIC,ROGUE
58,4,1,1.9269221713460016,3.476957740298592,WARRIOR,PALADIN,CLERIC,ROGUE
59,4,1,2.017011228816612,3.5098004339128686,WARRIOR,PALADIN,CLERIC,ROGUE
60,4,1,2.1070373521814734,3.5404669277592227,WARRIOR,PALADIN,CLERIC,ROGUE
61,4,1,2.1990587118367433,3.574819159744158,WARRIOR,PALADIN,CLERIC,ROGUE
62,4,1,2.2891988998420487,3.620651421097798,WARRIOR,PALADIN,CLERIC,ROGUE
63,4,1,2.3839688918652513,3.6564822690060117,WARRIOR,PALADIN,CLERIC,ROGUE
64,4,1,2.4821271712369475,3.727015742464901,WARRIOR,PALADIN,CLERIC,ROGUE
65,4,1,2.581761006240346,3.7874491610585537,WARRIOR,PALADIN,CLERIC,ROGUE
66,4,1,2.6842394040457407,3.827545023825496,WARRIOR,PALADIN,CLERIC,ROGUE
67,4,1,2.7886840418560155,3.8731050381565435,WARRIOR,PALADIN,CLERIC,ROGUE
68,4,1,2.8908431105053145,3.947365508861944,WARRIOR,PALADIN,CLERIC,ROGUE
69,4,1,2.997081961441017,3.9941872595323336,WARRIOR,PALADIN,CLERIC,ROGUE
70,4,1,3.1064662603131676,4.050283294221613,WARRIOR,PALADIN,CLERIC,ROGUE
71,4,1,3.2169759053253477,4.10295427105849,WARRIOR,PALADIN,CLERIC,ROGUE
72,4,1,3.331557020916698,4.168337764346264,WARRIOR,PALADIN,CLERIC,ROGUE
73,4,1,3.44603294560919,4.232164958590157,WARRIOR,PALADIN,CLERIC,ROGUE
74,4,1,3.569827533372205,4.297664367794107,WARRIOR,PALADIN,CLERIC,ROGUE
75,4,1,3.695770277139099,4.359935372833634,WARRIOR,PALADIN,CLERIC,ROGUE
76,4,1,3.823956664455097,4.440420839264858,WARRIOR,PALADIN,CLERIC,ROGUE
