class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience,bonus_cap_h,bonus_proc_pct,bonus_search_s,bonus_sale_pct
WARRIOR,38,1,8,8,11,9,6,10,9,2,0,0,0.0,19,9,95.0,1,0,1,1,0,0,0,0,0,8.008902658782727,9.331007450327753,4.89,1.0
WARRIOR,38,2,8,9,11,9,6,11,12,7,0,28,780.0,19,9,95.0,1,40,5,4,300,19,331,40,70,8.010488358933149,9.331007450327753,4.89,1.0999999999999999
WARRIOR,38,3,10,10,11,10,6,11,21,16,1,213,5460.0,21,9,96.0,1,249,10,10,6660,209,2118,249,12,8.0122466132812,9.357661535999922,4.89,1.0999999999999999
WARRIOR,38,4,11,10,12,10,6,11,28,20,1,583,14520.0,21,9,98.0,1,634,14,16,26230,566,5528,634,70,8.012629154443001,9.357661535999922,4.88,1.0999999999999999
WARRIOR,38,5,11,12,12,10,6,11,34,23,1,1094,27060.0,22,9,100.0,2,1196,19,22,63912,1091,10239,1196,74,8.016227309436312,9.357661535999922,4.88,1.0999999999999999
WARRIOR,38,6,13,13,12,10,7,11,48,34,2,1748,43020.0,24,10,116.0,2,1907,25,24,122365,1726,16255,1907,13,8.018453188483953,10.384651086755749,4.88,1.0999999999999999
WARRIOR,38,7,14,13,12,11,7,11,56,39,2,2578,63180.0,25,10,119.0,2,2835,30,32,214865,2566,23816,2835,50,8.019067328025962,10.411960203739795,4.88,1.0999999999999999
WARRIOR,38,8,15,13,12,11,7,12,64,45,2,3544,86520.0,26,10,107.0,2,3938,34,37,334620,3541,32536,3938,92,8.019702372997541,10.411960203739795,4.88,1.2
WARRIOR,38,9,17,13,13,12,7,12,78,54,3,4666,113280.0,27,10,110.0,2,5178,41,44,492570,4646,42462,5178,61,8.020355881384736,10.439574589574855,4.87,1.2
WARRIOR,38,10,18,13,13,12,8,12,84,61,3,5938,143640.0,29,10,134.22222222222223,3,6641,46,47,693068,5915,53744,6641,29,8.021025972902912,10.467481310602583,4.87,1.2
WARRIOR,38,11,19,13,14,12,8,12,92,66,3,7371,177720.0,30,10,127.0,3,8253,51,54,954420,7365,66359,8253,101,8.021711150354534,10.467481310602583,4.86,1.2
WARRIOR,38,12,20,13,14,13,8,12,100,72,3,8956,215160.0,31,10,127.0,3,10016,56,56,1260794,8925,80214,10016,69,8.022410190356544,10.495668604638013,4.86,1.2
WARRIOR,38,13,21,14,15,14,8,12,113,83,4,10682,255780.0,32,11,130.0,3,11988,62,62,1636999,10661,95165,11988,171,8.02527251011151,11.524125723755914,4.85,1.2
WARRIOR,38,14,22,15,15,14,8,12,120,88,4,12553,299520.0,33,11,144.0,3,14165,68,68,2092388,12549,111180,14165,103,8.028313383955807,11.524125723755914,4.85,1.2
WARRIOR,38,15,23,16,15,15,8,13,135,96,5,14584,346740.0,34,11,153.6,4,16507,74,74,2601572,14562,128434,16507,227,8.031536384724959,11.55284280441147,4.85,1.3
WARRIOR,38,16,23,17,16,15,8,13,141,103,5,16758,397080.0,35,11,153.33333333333334,4,18963,78,79,3191360,16738,146756,18963,145,8.034945018167361,11.55284280441147,4.84,1.3
WARRIOR,38,17,24,17,16,15,9,13,148,110,5,19081,450660.0,36,11,149.66666666666666,4,21550,84,85,3879653,19048,166225,21550,95,8.035987699056996,11.581810759152688,4.84,1.3
WARRIOR,38,18,27,17,17,15,9,13,166,122,6,21548,507360.0,38,12,153.0,4,24351,93,88,4644837,21532,186760,24351,36,8.037043503001618,12.581810759152686,4.83,1.3
WARRIOR,38,19,28,17,17,15,10,13,173,130,6,24174,567060.0,39,12,157.0,4,27437,98,94,5514305,24154,208202,27452,112,8.038111808054069,12.611021185579082,4.83,1.3
