class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience,bonus_cap_h,bonus_proc_pct,bonus_search_s,bonus_sale_pct
WARRIOR,30,1,13,11,12,6,15,13,10,4,0,0,0.0,21,10,95.0,1,0,1,1,0,0,0,0,0,8.013046167977787,10.495668604638013,4.88,1.3
WARRIOR,30,2,13,12,12,7,15,13,14,10,0,31,900.0,21,10,95.0,1,45,7,2,410,21,386,45,86,8.014812693113958,10.524125723755914,4.88,1.3
WARRIOR,30,3,13,15,12,8,15,13,26,20,1,211,5220.0,22,10,96.0,1,252,12,9,6578,207,1976,252,24,8.019921659594353,10.55284280441147,4.88,1.3
WARRIOR,30,4,13,16,13,8,15,13,34,25,1,571,13740.0,22,10,98.0,1,635,17,16,25381,563,5078,635,54,8.02219822522624,10.55284280441147,4.87,1.3
WARRIOR,30,5,14,17,13,8,15,13,42,30,1,1074,25560.0,24,10,115.0,2,1184,23,22,64420,1069,9359,1184,30,8.024647207885854,10.55284280441147,4.87,1.3
WARRIOR,30,6,16,17,14,8,15,14,60,41,2,1732,40860.0,26,10,116.0,2,1890,29,27,121093,1717,14884,1890,97,8.025461154991044,10.55284280441147,4.86,1.4000000000000001
WARRIOR,30,7,16,18,14,8,15,15,68,45,2,2548,60180.0,26,10,119.0,2,2804,34,31,210083,2523,22002,2804,14,8.028176355711851,10.55284280441147,4.86,1.5
WARRIOR,30,8,16,20,14,8,15,15,77,49,2,3515,82740.0,27,10,107.0,2,3837,39,38,336615,3511,30174,3837,124,8.033038666396251,10.55284280441147,4.86,1.5
WARRIOR,30,9,16,22,14,8,16,16,94,60,3,4634,108840.0,27,10,124.0,2,5040,45,42,497570,4618,39670,5040,57,8.03827058543239,10.58181075915269,4.86,1.6
WARRIOR,30,10,16,24,14,8,16,16,104,65,3,5905,139020.0,28,11,132.66666666666666,3,6468,50,47,705544,5887,50834,6468,157,8.043881106249259,11.581810759152688,4.86,1.6
WARRIOR,30,11,17,25,14,8,16,16,116,72,3,7329,172380.0,29,11,123.0,3,8157,56,53,966974,7315,63025,8157,41,8.047585958617173,11.581810759152688,4.86,1.6
WARRIOR,30,12,18,26,14,8,16,16,125,80,3,8915,209520.0,30,11,126.0,3,9959,62,60,1288846,8910,76603,9959,81,8.051485097595465,11.581810759152688,4.86,1.6
WARRIOR,30,13,20,26,14,9,16,17,149,94,4,10630,248580.0,32,11,129.5,3,11862,68,64,1661657,10620,90531,11862,23,8.053120573330684,11.611021185579084,4.86,1.6999999999999997
