level,gap_h,session_min,hero_class,calendar_days,sale_gold_per_day
20,4,1,WARRIOR,42.183827702018014,152159.65393991355
20,4,1,ROGUE,41.355413512943315,155707.56832076237
20,4,1,RANGER,41.373439567191724,155358.57224442725
20,4,1,MAGE,42.252212165339124,152032.53086165228
20,4,1,CLERIC,42.04058309713415,154263.3515576071
20,4,1,PALADIN,42.16708317343975,153592.74670151863
21,4,1,WARRIOR,46.624121786339764,160356.41452426257
21,4,1,ROGUE,45.75104143834191,164056.01957969376
21,4,1,RANGER,45.77058221447949,163568.78179783362
21,4,1,MAGE,46.69273194553245,160248.86129448074
21,4,1,CLERIC,46.47400727251408,162643.716210597
21,4,1,PALADIN,46.59771379482421,161958.8523855491
22,4,1,WARRIOR,51.23814400488176,168762.72390303874
22,4,1,ROGUE,50.3053854799191,172271.77651703657
22,4,1,RANGER,50.339419334656,172007.8343064815
22,4,1,MAGE,51.310513325118,168757.52285177683
22,4,1,CLERIC,51.113680301444035,171234.1187013437
22,4,1,PALADIN,51.21687535613268,170483.12083244807
23,4,1,WARRIOR,56.069734338029875,177069.94677636723
23,4,1,ROGUE,55.09804461002157,180616.16696992444
23,4,1,RANGER,55.136235458546714,180258.9108114268
23,4,1,MAGE,56.144134913757846,177062.0722942871
23,4,1,CLERIC,55.967664090851,179639.9834318532
23,4,1,PALADIN,56.06483548604699,178890.07054156176
24,4,1,WARRIOR,61.104396885717975,185676.95948655772
24,4,1,ROGUE,60.08772253169635,189096.7658826863
24,4,1,RANGER,60.1160979145736,188873.22437552016
24,4,1,MAGE,61.18059614555128,185643.9576525094
24,4,1,CLERIC,61.01281034391756,188368.90253401911
24,4,1,PALADIN,61.092801495568835,187688.89041422794
25,4,1,WARRIOR,66.32938541359482,194071.35758507473
25,4,1,ROGUE,65.27151994462645,197542.95228514142
25,4,1,RANGER,65.29179132378069,197397.7411813749
25,4,1,MAGE,66.39597398646777,194130.033059339
25,4,1,CLERIC,66.25616642893918,196969.12496434257
25,4,1,PALADIN,66.34411939503444,196172.48851409287
26,4,1,WARRIOR,71.72464513417913,202800.0396208091
26,4,1,ROGUE,70.6501716513496,206191.90349443015
26,4,1,RANGER,70.623962390879,206149.6251714176
26,4,1,MAGE,71.82731416062501,202772.32860788435
26,4,1,CLERIC,71.65658917536814,205894.606759647
26,4,1,PALADIN,71.7610311445185,205043.63253041057
27,4,1,WARRIOR,77.30392563846117,211273.85821754648
27,4,1,ROGUE,76.1852448748411,214932.88860462105
27,4,1,RANGER,76.13809325497652,214948.3120124013
27,4,1,MAGE,77.43104178409875,211390.4239547681
27,4,1,CLERIC,77.23953678947794,214784.44446419796
27,4,1,PALADIN,77.33258180854767,213756.99754760903
28,4,1,WARRIOR,83.08953817060046,220172.62525203172
28,4,1,ROGUE,81.92393961288474,223685.89189670593
28,4,1,RANGER,81.82745424601893,223814.3181130558
28,4,1,MAGE,83.24256282021074,219969.86432948033
28,4,1,CLERIC,83.03438315800966,223629.36796512836
28,4,1,PALADIN,83.13448243692221,222838.21143718722
29,4,1,WARRIOR,89.06641449553997,229057.81309992672
29,4,1,ROGUE,87.87437148157557,232315.94611496356
29,4,1,RANGER,87.72019349073896,232761.53200865447
29,4,1,MAGE,89.26058048173472,228711.87667413263
29,4,1,CLERIC,89.05754561117135,232601.9890604477
29,4,1,PALADIN,89.14823422465898,231879.1581211386
30,4,1,WARRIOR,95.23144077643373,238073.59014157124
30,4,1,ROGUE,94.02251942820072,241150.4566979236
30,4,1,RANGER,93.82381060558605,241699.2256936733
30,4,1,MAGE,95.46047424752686,237533.06725885507
30,4,1,CLERIC,95.28438904218643,241613.19452662073
30,4,1,PALADIN,95.34117774731556,241088.89299563106
31,4,1,WARRIOR,101.60336506972665,247017.5174097462
31,4,1,ROGUE,100.31181725825977,250211.4064027019
31,4,1,RANGER,100.0961534559006,250690.90328286507
31,4,1,MAGE,101.85999976715642,246252.81324698986
31,4,1,CLERIC,101.68397450073579,250579.98076988646
31,4,1,PALADIN,101.73202613797127,250264.45055238254
32,4,1,WARRIOR,108.16859701911406,256014.8533229706
32,4,1,ROGUE,106.78806339556019,259182.24139413246
32,4,1,RANGER,106.58756709070252,259549.2772290996
32,4,1,MAGE,108.44845000934299,255023.29906621366
32,4,1,CLERIC,108.26844610261702,259663.04945721815
32,4,1,PALADIN,108.33539340969399,259455.73270503155
33,4,1,WARRIOR,114.92378961743171,265022.30827393645
33,4,1,ROGUE,113.48529378013961,268106.9347094972
33,4,1,RANGER,113.27999898749704,268651.17869006103
33,4,1,MAGE,115.23571857638153,264039.5128862086
33,4,1,CLERIC,115.07555145077382,268904.161091395
33,4,1,PALADIN,115.11581029301857,268736.34187393775
34,4,1,WARRIOR,121.8699964383012,273899.94236111507
34,4,1,ROGUE,120.30859322357847,277187.77795885934
34,4,1,RANGER,120.13785181875154,277651.07744996
34,4,1,MAGE,122.20385359586825,272900.9858828835
34,4,1,CLERIC,122.02397555223806,278115.9786133321
34,4,1,PALADIN,122.08858531104306,277852.5653203032
35,4,1,WARRIOR,129.00008207806547,282938.99827065406
35,4,1,ROGUE,127.32430653173633,286447.8226387135
35,4,1,RANGER,127.15201694512774,286837.0278447049
35,4,1,MAGE,129.34021445301863,281918.08830845024
35,4,1,CLERIC,129.14821630414642,287471.07732070185
35,4,1,PALADIN,129.25617117869376,287157.79901670374
36,4,1,WARRIOR,136.28626239425807,292189.8577701235
36,4,1,ROGUE,134.51641013867754,295664.52307936235
36,4,1,RANGER,134.32526873812466,296079.121959814
36,4,1,MAGE,136.6182101757952,291021.47381260386
36,4,1,CLERIC,136.46316175104144,296827.9285430734
36,4,1,PALADIN,136.5977258715758,296657.63460877835
37,4,1,WARRIOR,143.7423371213955,301455.552294274
37,4,1,ROGUE,141.84288260987825,304995.62494076934
37,4,1,RANGER,141.6467991240071,305483.4764541194
37,4,1,MAGE,144.07696499071676,300208.7521609503
37,4,1,CLERIC,143.91178940304874,306389.9294345505
37,4,1,PALADIN,144.12549891237842,306150.3712596019
38,4,1,WARRIOR,151.3726819684635,310768.8579488904
38,4,1,ROGUE,149.32528387009694,314610.70109780534
38,4,1,RANGER,149.12844628432117,315143.76395632763
38,4,1,MAGE,151.7103165497455,309642.73849891196
38,4,1,CLERIC,151.57048647440843,316141.6355821393
38,4,1,PALADIN,151.84032836881767,315688.8860814919
39,4,1,WARRIOR,159.15993587905749,320058.16488081927
39,4,1,ROGUE,156.92476670515856,324209.2983040105
39,4,1,RANGER,156.73899157762344,324676.2068441503
39,4,1,MAGE,159.53359293543195,318813.1826290977
39,4,1,CLERIC,159.3877915403417,325713.15452262963
39,4,1,PALADIN,159.68553858633868,325285.3872043979
40,4,1,WARRIOR,167.15190476086315,329442.65923132544
40,4,1,ROGUE,164.76322307862384,333834.7817992892
40,4,1,RANGER,164.58074103963614,334226.5703600918
40,4,1,MAGE,167.57252645508407,328108.6697987889
40,4,1,CLERIC,167.415111409082,335432.3701865876
40,4,1,PALADIN,167.76712242525562,334917.5143063755
41,4,1,WARRIOR,175.28275314748595,338997.8873164012
41,4,1,ROGUE,172.76528311462076,343377.5991073496
41,4,1,RANGER,172.53516230042493,343896.37789707445
41,4,1,MAGE,175.73859799269883,337509.3536791742
41,4,1,CLERIC,175.57107923448808,345260.54854421964
41,4,1,PALADIN,175.98780171659513,344752.57749798225
42,4,1,WARRIOR,183.56243929114152,348397.481243791
42,4,1,ROGUE,180.9387067736667,353036.1435041306
42,4,1,RANGER,180.69082476355135,353611.175103168
42,4,1,MAGE,184.07506335761775,346984.1926709665
42,4,1,CLERIC,183.91618195019458,355140.29438523203
42,4,1,PALADIN,184.3460037257536,354459.8475387041
43,4,1,WARRIOR,192.0135325202221,358044.0833916724
43,4,1,ROGUE,189.27678905242922,362662.47221145476
43,4,1,RANGER,189.02402146383028,363309.4988043136
43,4,1,MAGE,192.55319044967558,356477.81381705817
43,4,1,CLERIC,192.40959302212826,365042.2467081579
43,4,1,PALADIN,192.93413569338577,364337.8995498815
44,4,1,WARRIOR,200.60377317303642,367693.1001012414
44,4,1,ROGUE,197.77411906614063,372384.78597581433
44,4,1,RANGER,197.50903551078613,373111.5822596155
44,4,1,MAGE,201.21221064530366,366019.58953587466
44,4,1,CLERIC,201.08486822637684,374996.15978120023
44,4,1,PALADIN,201.6794183726823,374192.4107027377
45,4,1,WARRIOR,209.31406152545173,377383.44858114055
45,4,1,ROGUE,206.38164959836303,382117.6339004585
45,4,1,RANGER,206.12484396098685,382951.84417430125
45,4,1,MAGE,210.01576833858138,375581.1593291186
45,4,1,CLERIC,209.84873473282872,385098.4584342967
45,4,1,PALADIN,210.5401576711616,384116.43778339063
46,4,1,WARRIOR,218.09185788523098,387291.5205043971
46,4,1,ROGUE,215.146775350418,391937.9310364187
46,4,1,RANGER,214.81074278082082,393029.18714425666
46,4,1,MAGE,218.88173835479813,385457.7088484208
