level,gap_h,session_min,hero_class,calendar_days,sale_gold_per_day
20,4,1,WARRIOR,41.76105512374226,154107.77561606994
20,4,1,ROGUE,41.72773125185301,154444.21177855946
20,4,1,RANGER,41.85483957087725,153788.39409000485
20,4,1,MAGE,41.97870742412624,153377.15582685106
20,4,1,CLERIC,41.46806687890375,156567.7396768884
20,4,1,PALADIN,41.85994890223418,155019.99035296618
21,4,1,WARRIOR,46.17153345973458,162406.33298522257
21,4,1,ROGUE,46.126573269110196,162907.07351400342
21,4,1,RANGER,46.27820539597478,161980.43033129384
21,4,1,MAGE,46.411133296187316,161619.53969385626
21,4,1,CLERIC,45.868707045967234,164988.79873408948
21,4,1,PALADIN,46.28189762079303,163454.6864193676
22,4,1,WARRIOR,50.75471692543504,170876.30151186508
22,4,1,ROGUE,50.714924295300946,171325.33585000475
22,4,1,RANGER,50.88091476620275,170414.72062447172
22,4,1,MAGE,51.016393892106564,169978.85436276824
22,4,1,CLERIC,50.44803175564508,173512.28472893807
22,4,1,PALADIN,50.897123713086486,171990.21376623004
23,4,1,WARRIOR,55.537830772941064,179301.2278551524
23,4,1,ROGUE,55.52792869471952,179672.16200068264
23,4,1,RANGER,55.6861749005824,178782.50670429648
23,4,1,MAGE,55.83868637417894,178308.01361050823
23,4,1,CLERIC,55.23500736278723,182042.72602802826
23,4,1,PALADIN,55.705527120010515,180528.45282901078
24,4,1,WARRIOR,60.52682421765772,187835.34960658412
24,4,1,ROGUE,60.532473208796205,188122.22632504694
24,4,1,RANGER,60.6811456923779,187344.09791191458
24,4,1,MAGE,60.858282356317225,186854.50438644525
24,4,1,CLERIC,60.2106653492078,190824.454577318
24,4,1,PALADIN,60.72089984760762,189180.33212336514
25,4,1,WARRIOR,65.70742586116455,196549.55594042057
25,4,1,ROGUE,65.75528095644287,196661.46010486988
25,4,1,RANGER,65.88867534697758,195833.298469733
25,4,1,MAGE,66.08169079709951,195315.4974821938
25,4,1,CLERIC,65.38910157234105,199521.17782298062
25,4,1,PALADIN,65.94395174553955,197978.82659319206
26,4,1,WARRIOR,71.07203120228608,205166.0926363249
26,4,1,ROGUE,71.15051240368068,205269.88677378054
26,4,1,RANGER,71.2627212748198,204524.43597814118
26,4,1,MAGE,71.47928792498944,203901.36846767075
26,4,1,CLERIC,70.74757761231507,208344.54510615248
26,4,1,PALADIN,71.34120851304243,206733.66936030655
27,4,1,WARRIOR,76.60937547414491,213981.56914270253
27,4,1,ROGUE,76.73065467044233,213821.88703415397
27,4,1,RANGER,76.81550117123368,213340.8068700726
27,4,1,MAGE,77.03121753033217,212734.57324035282
27,4,1,CLERIC,76.26447462924729,217436.0246774792
27,4,1,PALADIN,76.9202578788317,215667.73688710315
28,4,1,WARRIOR,82.35708497117908,222834.62854376523
28,4,1,ROGUE,82.5123580775686,222526.8234394526
28,4,1,RANGER,82.56352958161848,222138.1700605401
28,4,1,MAGE,82.8167741108977,221468.9854127812
28,4,1,CLERIC,82.01753162744947,226397.57478126185
28,4,1,PALADIN,82.71974183226848,224640.70956216627
29,4,1,WARRIOR,88.2779356696893,231674.42373737125
29,4,1,ROGUE,88.49707486671313,231384.98256400655
29,4,1,RANGER,88.51840742333546,230994.794983282
29,4,1,MAGE,88.81919701050636,230220.91930285314
