power,level,class,cap_h
0.6,1,CLERIC,8.062333420647102
0.6,1,MAGE,8.062333420647102
0.6,1,PALADIN,8.062333420647102
0.6,1,RANGER,8.062333420647102
0.6,1,ROGUE,8.062333420647102
0.6,1,WARRIOR,8.062333420647102
0.6,2,CLERIC,8.064187299290746
0.6,2,MAGE,8.064187299290746
0.6,2,PALADIN,8.064187299290746
0.6,2,RANGER,8.064187299290746
0.6,2,ROGUE,8.064187299290746
0.6,2,WARRIOR,8.066259428586964
0.6,3,CLERIC,8.066951128375146
0.6,3,MAGE,8.066951128375146
0.6,3,PALADIN,8.066808924426724
0.6,3,RANGER,8.067109849130487
0.6,3,ROGUE,8.066970384244556
0.6,3,WARRIOR,8.072179142808123
0.6,4,CLERIC,8.06919406986704
0.6,4,MAGE,8.06919406986704
0.6,4,PALADIN,8.069227362831212
0.6,4,RANGER,8.069509372022406
0.6,4,ROGUE,8.06934349800588
0.6,4,WARRIOR,8.07659124777483
0.6,5,CLERIC,8.071717883018025
0.6,5,MAGE,8.071717883018025
0.6,5,PALADIN,8.07176091472913
0.6,5,RANGER,8.07204340602434
0.6,5,ROGUE,8.072055773357198
0.6,5,WARRIOR,8.081527484801045
0.6,6,CLERIC,8.075237239653633
0.6,6,MAGE,8.075237239653633
0.6,6,PALADIN,8.075947579830851
0.6,6,RANGER,8.07557351270149
0.6,6,ROGUE,8.075690413722345
0.6,6,WARRIOR,8.089384085181605
0.6,7,CLERIC,8.078906728890813
0.6,7,MAGE,8.078906728890813
0.6,7,PALADIN,8.078772050283801
0.6,7,RANGER,8.079254193423315
0.6,7,ROGUE,8.078398055126117
0.6,7,WARRIOR,8.094377497848923
0.6,8,CLERIC,8.082203298561053
0.6,8,MAGE,8.082203298561053
0.6,8,PALADIN,8.081894842546113
0.6,8,RANGER,8.082562335538519
0.6,8,ROGUE,8.081849431567433
0.6,8,WARRIOR,8.100191768577018
0.6,9,CLERIC,8.086257128557778
0.6,9,MAGE,8.086257128557778
0.6,9,PALADIN,8.086616700318125
0.6,9,RANGER,8.086628074439624
0.6,9,ROGUE,8.086181525555592
0.6,9,WARRIOR,8.108996290839743
0.6,10,CLERIC,8.089988229467814
0.6,10,MAGE,8.089988229467814
0.6,10,PALADIN,8.090361758762233
0.6,10,RANGER,8.09037138644897
0.6,10,ROGUE,8.09024819754634
0.6,10,WARRIOR,8.115329322561
0.6,11,CLERIC,8.093445921263314
0.6,11,MAGE,8.093445921263314
0.6,11,PALADIN,8.094231633005188
0.6,11,RANGER,8.094222892182346
0.6,11,ROGUE,8.09410630203161
0.6,11,WARRIOR,8.121567663991607
0.6,12,CLERIC,8.097035774238217
0.6,12,MAGE,8.097035774238217
0.6,12,PALADIN,8.09744981022858
0.6,12,RANGER,8.097837761508016
0.6,12,ROGUE,8.09731525103096
0.6,12,WARRIOR,8.127349384167777
0.6,13,CLERIC,8.101834308530595
0.6,13,MAGE,8.101834308530595
0.6,13,PALADIN,8.101702684066387
0.6,13,RANGER,8.102807766638378
0.6,13,ROGUE,8.101793463519684
0.6,13,WARRIOR,8.13537503658891
0.6,14,CLERIC,8.106014924910884
0.6,14,MAGE,8.106014924910884
0.6,14,PALADIN,8.105867665724672
0.6,14,RANGER,8.106793278383487
0.6,14,ROGUE,8.105398137521574
0.6,14,WARRIOR,8.14171408393002
0.6,15,CLERIC,8.110494098519812
0.6,15,MAGE,8.110494098519812
0.6,15,PALADIN,8.110722265524414
0.6,15,RANGER,8.111255061576022
0.6,15,ROGUE,8.11088443120278
0.6,15,WARRIOR,8.15132000068803
