class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience,bonus_cap_h,bonus_proc_pct,bonus_search_s,bonus_sale_pct
WARRIOR,30,1,13,11,12,6,15,13,10,4,0,0,0.0,21,10,95.0,1,0,1,1,0,0,0,0,0,8.011981439395793,10.006666666666666,4.92,1.7333333333333336
WARRIOR,30,2,13,12,12,7,15,13,14,10,0,31,900.0,21,10,95.0,1,45,7,2,410,21,386,45,86,8.015682360170393,10.016666666666667,4.92,1.7333333333333336
WARRIOR,30,3,13,15,12,8,15,13,26,20,1,211,5220.0,22,10,96.0,1,236,12,9,6042,189,1984,236,24,8.025732837277381,10.033333333333333,4.92,1.7333333333333336
WARRIOR,30,4,13,16,13,8,15,13,34,25,1,572,13800.0,22,10,98.0,1,612,17,16,25549,563,5097,612,86,8.031892761782258,10.041666666666666,4.913,1.7333333333333336
WARRIOR,30,5,14,17,13,8,15,13,42,30,1,1076,25680.0,24,10,100.0,2,1155,23,22,64662,1069,9404,1155,102,8.037766646885805,10.05,4.913,1.7333333333333336
WARRIOR,30,6,16,17,14,8,15,14,60,41,2,1731,40980.0,26,10,116.0,2,1840,29,28,121555,1717,14928,1840,57,8.049083615211003,10.068333333333333,4.907,1.866666666666667
WARRIOR,30,7,16,18,14,8,15,15,68,45,2,2549,60000.0,26,10,118.0,2,2682,34,32,214144,2545,21776,2682,62,8.052612029321798,10.075,4.907,2.0000000000000004
WARRIOR,30,8,16,20,14,8,15,15,77,49,2,3513,82560.0,27,10,121.0,2,3688,39,37,338102,3511,29948,3688,32,8.05664520671978,10.081666666666667,4.907,2.0000000000000004
WARRIOR,30,9,16,22,14,8,16,16,94,60,3,4634,109020.0,27,10,124.0,2,4886,45,42,499662,4618,39648,4886,57,8.061167749999637,10.1,4.907,2.1333333333333337
WARRIOR,30,10,16,24,14,8,16,16,104,65,3,5905,139380.0,28,11,132.55555555555554,3,6270,50,47,708383,5887,50903,6270,157,8.066166717039309,11.108333333333333,4.907,2.1333333333333337
WARRIOR,30,11,17,25,14,8,16,16,116,72,3,7330,173100.0,29,11,123.0,3,7958,56,52,971554,7315,63290,7958,93,8.071630985354817,11.12,4.907,2.1333333333333337
WARRIOR,30,12,18,26,14,8,16,16,125,80,3,8915,210060.0,30,11,136.5,3,9700,62,60,1295374,8910,76700,9700,81,8.077550831171285,11.133333333333333,4.907,2.1333333333333337
WARRIOR,30,13,20,26,14,9,16,17,149,94,4,10632,249360.0,32,11,133.0,3,11567,68,64,1670519,10620,90725,11567,159,8.083917636921596,11.156666666666666,4.907,2.2666666666666666
WARRIOR,30,14,20,27,14,9,16,18,158,101,4,12507,293160.0,32,11,136.0,3,13706,73,68,2107464,12476,106710,13706,131,8.090723680137515,11.168333333333333,4.907,2.4
WARRIOR,30,15,22,28,14,9,17,18,181,115,5,14525,340380.0,34,11,141.33333333333334,4,15957,80,74,2625921,14492,123957,15957,111,8.097961976344344,11.191666666666666,4.907,2.4
WARRIOR,30,16,23,28,14,9,17,19,192,120,5,16703,390960.0,35,12,152.66666666666666,4,18321,86,78,3227027,16679,142323,18321,169,8.105626159148189,12.2,4.907,2.5333333333333337
WARRIOR,30,17,24,29,14,9,17,19,203,125,5,19024,444180.0,36,12,148.66666666666666,4,20937,91,84,3895354,19013,161421,20937,31,8.113710386743579,12.208333333333334,4.907,2.5333333333333337
WARRIOR,30,18,25,30,14,9,17,21,227,139,6,21497,499380.0,37,12,154.0,4,23552,97,90,4669037,21461,180736,23552,92,8.1222092676864,12.231666666666667,4.907,2.8000000000000003
WARRIOR,30,19,26,30,14,10,17,21,239,144,6,24126,559500.0,38,12,163.0,4,26598,103,92,5540432,24100,202287,26598,108,8.131117801032719,12.24,4.907,2.8000000000000003
WARRIOR,30,20,29,31,14,10,17,21,264,158,7,26906,621720.0,40,12,170.27272727272728,5,29255,111,101,6505353,26900,224116,29675,198,8.14043132739978,12.263333333333334,4.907,2.8000000000000003
WARRIOR,30,21,31,31,14,10,17,21,276,166,7,29831,685440.0,42,13,167.25,5,31710,117,106,7582575,29820,245884,32716,104,8.150145488472988,13.276666666666667,4.907,2.8000000000000003
WARRIOR,30,22,32,33,14,10,18,21,299,179,8,32902,751800.0,43,13,166.25,5,33770,124,110,8754103,32862,268414,36056,15,8.16025619314253,13.298333333333334,4.907,2.8000000000000003
WARRIOR,30,23,32,35,16,10,18,21,327,191,9,36129,822000.0,44,13,168.0,5,35882,129,115,10056200,36087,292397,39636,257,8.1707595889136,13.318333333333332,4.893,2.8000000000000003
WARRIOR,30,24,33,35,16,10,19,21,340,199,9,39504,896400.0,44,13,180.0,5,38151,135,119,11515173,39475,318217,43453,167,8.181652037561832,13.331666666666667,4.893,2.8000000000000003
WARRIOR,30,25,35,36,17,10,19,21,366,212,10,43029,973740.0,46,13,187.25,6,40215,142,124,13057801,42987,344967,47317,100,8.192930094242923,13.353333333333333,4.887,2.8000000000000003
WARRIOR,30,26,35,37,17,11,19,21,379,219,10,46715,1052700.0,47,13,176.6,6,42257,147,131,14751622,46713,371544,51313,175,8.204590489440214,13.364999999999998,4.887,2.8000000000000003
WARRIOR,30,27,36,40,17,11,19,21,408,234,11,50534,1133880.0,48,14,178.0,6,44416,153,137,16556142,50520,398704,55558,92,8.216630113264662,14.39,4.887,2.8000000000000003
WARRIOR,30,28,37,42,18,11,19,21,439,247,12,54519,1217640.0,49,14,187.6,6,46596,160,140,18535734,54504,426357,59848,268,8.22904600172045,14.411666666666667,4.88,2.8000000000000003
WARRIOR,30,29,37,43,18,11,20,21,454,256,12,58653,1304340.0,49,14,194.0,6,48872,165,145,20632222,58620,454954,64328,24,8.241835324625299,14.426666666666666,4.88,2.8000000000000003
WARRIOR,30,30,38,44,19,11,20,22,487,271,13,62932,1397640.0,51,14,204.53846153846155,7,50647,171,149,22943825,62883,487101,69389,9,8.25499537493326,14.451666666666666,4.873,2.9333333333333336
WARRIOR,30,31,38,46,19,11,20,24,520,285,14,67360,1493400.0,52,14,194.16666666666666,7,52920,176,156,25443761,67320,519828,74561,253,8.268523559253664,14.475,4.873,3.2
