level,gap_h,session_min,hero_class,calendar_days,sale_gold_per_day
20,4,1,WARRIOR,42.13633598273927,153018.65894654946
20,4,1,ROGUE,41.35727312085577,156380.7375815249
20,4,1,RANGER,41.41351486636119,155887.9123356874
20,4,1,MAGE,42.270209724380976,152626.4192221128
20,4,1,CLERIC,41.98188604756956,155643.3349039182
20,4,1,PALADIN,42.09541804153292,155000.60466349026
21,4,1,WARRIOR,46.545828920342274,161364.73555673374
21,4,1,ROGUE,45.737655473526765,164815.752949191
21,4,1,RANGER,45.79257019899993,164220.55679163936
21,4,1,MAGE,46.70601060241075,160914.46856760822
21,4,1,CLERIC,46.40205321492685,164158.72730281742
21,4,1,PALADIN,46.51097637115164,163506.46058930925
22,4,1,WARRIOR,51.144626257700736,169851.73488665422
22,4,1,ROGUE,50.28160091942397,173127.82590096828
22,4,1,RANGER,50.35530914898595,172745.66271181699
22,4,1,MAGE,51.32800709659607,169468.88242962505
22,4,1,CLERIC,51.02502023895465,172887.98384964105
22,4,1,PALADIN,51.11182687647945,172175.26818728636
23,4,1,WARRIOR,55.967265288147,178225.49616538986
23,4,1,ROGUE,55.056850162918124,181555.09660326343
23,4,1,RANGER,55.14971592839183,181071.47211721266
23,4,1,MAGE,56.15996247978531,177825.5038648697
23,4,1,CLERIC,55.86294795079551,181462.29293034732
23,4,1,PALADIN,55.93886609242382,180734.73697689554
24,4,1,WARRIOR,60.972737768159796,186958.17864279644
24,4,1,ROGUE,60.034393015425564,190099.9835555529
24,4,1,RANGER,60.13479758835719,189691.1016161554
24,4,1,MAGE,61.198086155194936,186446.97231322518
24,4,1,CLERIC,60.900013240861654,190309.42906632478
24,4,1,PALADIN,60.94538297555909,189704.9302264055
25,4,1,WARRIOR,66.17143610565002,195453.77524148495
25,4,1,ROGUE,65.19531906828452,198673.9529019506
25,4,1,RANGER,65.30880993525841,198277.6253745369
25,4,1,MAGE,66.4059704549527,195008.32961675638
25,4,1,CLERIC,66.11887045066489,199067.6967148286
25,4,1,PALADIN,66.15414717426609,198408.81200424326
26,4,1,WARRIOR,71.53012482311343,204335.64754911631
26,4,1,ROGUE,70.53639255494723,207489.05770307223
26,4,1,RANGER,70.62931018245408,207132.48808756354
26,4,1,MAGE,71.82895174957058,203730.75227409936
26,4,1,CLERIC,71.49310609154949,208193.81844929163
26,4,1,PALADIN,71.52934645919524,207497.68779820873
27,4,1,WARRIOR,77.07171729325499,212958.1440692305
27,4,1,ROGUE,76.06141128912569,216283.647925843
27,4,1,RANGER,76.12467676933107,216038.19645544505
27,4,1,MAGE,77.423617982371,212426.2812640048
27,4,1,CLERIC,77.05458519179913,217255.5398011757
27,4,1,PALADIN,77.05640260870365,216441.84240851345
28,4,1,WARRIOR,82.82924746880401,221965.918583583
28,4,1,ROGUE,81.7718645012741,225164.66222576005
28,4,1,RANGER,81.82603268241512,224923.09472502687
28,4,1,MAGE,83.2387587068151,221046.77299198532
28,4,1,CLERIC,82.82158385777994,226287.6278988173
28,4,1,PALADIN,82.79525813105812,225800.61705233163
29,4,1,WARRIOR,88.76075715309506,231004.58364313343
29,4,1,ROGUE,87.6831287754539,233936.84208657296
29,4,1,RANGER,87.71188230199368,233944.62313954456
29,4,1,MAGE,89.2578168185589,229839.83623196156
29,4,1,CLERIC,88.79551461490985,235506.67328965096
29,4,1,PALADIN,88.74592981553359,235115.2953534982
30,4,1,WARRIOR,94.90485649390158,240115.16999095114
30,4,1,ROGUE,93.78444610750124,242936.56433055026
30,4,1,RANGER,93.80680649919564,242966.87762412455
30,4,1,MAGE,95.46479256405024,238700.59068856374
30,4,1,CLERIC,94.98479962282006,244732.05810095955
30,4,1,PALADIN,94.8792530657708,244599.93096607187
31,4,1,WARRIOR,101.23276333648789,249218.7204861821
31,4,1,ROGUE,100.03320845563358,252150.51470819328
31,4,1,RANGER,100.06931732672709,252046.24702944324
31,4,1,MAGE,101.86182133049486,247472.74833434922
31,4,1,CLERIC,101.33324845805107,253976.30729911942
31,4,1,PALADIN,101.21001968823977,254041.40523043083
32,4,1,WARRIOR,107.75280786867498,258364.5561137463
32,4,1,ROGUE,106.4704694428052,261253.99038408833
32,4,1,RANGER,106.54207055582953,260989.46505295372
32,4,1,MAGE,108.4446453528712,256334.5408576599
32,4,1,CLERIC,107.8790099707642,263266.1569910291
32,4,1,PALADIN,107.72308226910955,263570.83390977036
33,4,1,WARRIOR,114.45414096554697,267533.13481438236
33,4,1,ROGUE,113.14129310417691,270274.6100563269
33,4,1,RANGER,113.1937314762968,270260.2838603835
33,4,1,MAGE,115.23698548462394,265362.67845257226
33,4,1,CLERIC,114.63973251780698,272755.40022865153
33,4,1,PALADIN,114.43117001994203,273125.4090957326
34,4,1,WARRIOR,121.34175946187686,276597.0039815085
34,4,1,ROGUE,119.9275298241496,279487.0956580855
34,4,1,RANGER,120.01909263496728,279392.38365171914
34,4,1,MAGE,122.21349686719726,274303.3378827891
34,4,1,CLERIC,121.54131532538408,282226.04209250276
34,4,1,PALADIN,121.32085679447357,282597.87439583725
35,4,1,WARRIOR,128.41765210376587,285797.6670165559
35,4,1,ROGUE,126.89419071142754,288901.9301787356
35,4,1,RANGER,127.00741987950025,288689.21622679196
35,4,1,MAGE,129.35014131248323,283356.88603119284
35,4,1,CLERIC,128.60812835975284,291842.62284735835
35,4,1,PALADIN,128.403451566363,292239.49038944725
36,4,1,WARRIOR,135.64270582583117,295220.26732803584
36,4,1,ROGUE,134.039042619283,298266.9645631184
36,4,1,RANGER,134.1654605993121,298028.0678901125
36,4,1,MAGE,136.63243634629222,292516.85813977354
36,4,1,CLERIC,135.86288176618572,301494.84883217624
36,4,1,PALADIN,135.6521947892195,302094.32430249726
37,4,1,WARRIOR,143.04119357691886,304653.9158425462
37,4,1,ROGUE,141.31504026328574,307757.58488956175
37,4,1,RANGER,141.46773161774115,307544.052643478
37,4,1,MAGE,144.09497835115963,301772.1618239173
37,4,1,CLERIC,143.25664869634866,311338.3508261338
37,4,1,PALADIN,143.0552108856753,312010.4064973243
38,4,1,WARRIOR,150.60194566008033,314147.9599923966
38,4,1,ROGUE,148.76374792147757,317485.1957207324
38,4,1,RANGER,148.9352101769748,317291.49838945
38,4,1,MAGE,151.73795883485604,311250.97248343256
38,4,1,CLERIC,150.843860079325,321409.0764085739
38,4,1,PALADIN,150.68101911453618,321889.1630148323
39,4,1,WARRIOR,158.32894473278628,323611.58101238817
39,4,1,ROGUE,156.3196538372984,327232.13536693976
39,4,1,RANGER,156.52196896149584,326929.8358851348
39,4,1,MAGE,159.55988709480997,320519.2784111935
39,4,1,CLERIC,158.59870642440183,331274.2057265374
39,4,1,PALADIN,158.43307649661335,331830.8708795653
40,4,1,WARRIOR,166.2413849349648,333197.86704537855
40,4,1,ROGUE,164.089262351358,337046.84622553724
40,4,1,RANGER,164.34999513034933,336592.7404264622
40,4,1,MAGE,167.60256406432978,329863.38131903496
40,4,1,CLERIC,166.57776268701167,341277.7354430912
40,4,1,PALADIN,166.41270676902684,341836.7960263703
41,4,1,WARRIOR,174.2961483889422,342953.7897281057
41,4,1,ROGUE,172.0237990197497,346785.04349361046
41,4,1,RANGER,172.29150428086794,346362.19585568167
41,4,1,MAGE,175.76589902083023,339344.75035986
41,4,1,CLERIC,174.66566318111836,351429.1704909953
41,4,1,PALADIN,174.52288072377803,352059.3073251324
42,4,1,WARRIOR,182.4914564706529,352560.18346999504
42,4,1,ROGUE,180.12729404788885,356635.1324742665
42,4,1,RANGER,180.4047130043668,356230.4002747667
