,,cap_h,cap_h,cap_h,raw_proc_pct,raw_proc_pct,raw_proc_pct,search_s,search_s,search_s,sale_bonus_pct,sale_bonus_pct,sale_bonus_pct,bag,bag,bag,hp,hp,hp,mp,mp,mp
,,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max
level,class,,,,,,,,,,,,,,,,,,,,,
1,CLERIC,8.009634979007789,8.00796214341107,8.01101293314755,9.265833333333333,9.013333333333334,10.018333333333333,4.915,4.8933333333333335,4.96,1.3,1.0666666666666667,1.7333333333333334,19.875,18,22,7.625,6,9,9.5,8,11
1,MAGE,8.007546907984857,8.005756479845022,8.0090071506651,9.006489808628894,8.005322200838503,10.007676077696065,4.915,4.8933333333333335,4.96,1.3,1.0666666666666667,1.7333333333333334,19.875,18,22,5.625,4,7,9.5,8,11
1,PALADIN,8.011613121299742,8.010022613543374,8.012930732976299,9.2625,9.01,10.013333333333334,4.915,4.8933333333333335,4.96,1.3,1.0666666666666667,1.7333333333333334,19.875,18,22,9.625,8,11,7.5,6,9
1,RANGER,8.011613121299742,8.010022613543374,8.012930732976299,9.6375,9.013333333333334,10.013333333333334,4.915,4.8933333333333335,4.96,1.3,1.0666666666666667,1.7333333333333334,19.875,18,22,9.625,8,11,7.5,6,9
1,ROGUE,8.009634979007789,8.00796214341107,8.01101293314755,9.634166666666665,9.01,10.01,4.915,4.8933333333333335,4.96,1.3,1.0666666666666667,1.7333333333333334,19.875,18,22,7.625,6,9,5.5,4,7
1,WARRIOR,8.011613121299742,8.010022613543374,8.012930732976299,9.255833333333333,9.003333333333334,10.006666666666666,4.915,4.8933333333333335,4.96,1.3,1.0666666666666667,1.7333333333333334,19.875,18,22,9.625,8,11,3.5,2,5
2,CLERIC,8.014513071058506,8.01101293314755,8.018317581497797,9.275,9.018333333333333,10.028333333333334,4.914166666666667,4.8933333333333335,4.96,1.4166666666666667,1.0666666666666667,1.8666666666666667,19.875,18,22,12.75,9,17,15.0,11,17
2,MAGE,8.01264740035935,8.0090071506651,8.0165722700867,9.135981152654695,9.007676077696065,10.012663508132308,4.914166666666667,4.8933333333333335,4.96,1.3166666666666667,1.0666666666666667,1.7333333333333334,19.875,18,22,10.75,7,15,15.0,11,17
2,PALADIN,8.016318452046637,8.012930732976299,8.02002220373109,9.271666666666667,9.015,10.023333333333333,4.914166666666667,4.8933333333333335,4.96,1.4166666666666667,1.0666666666666667,1.8666666666666667,20.125,18,22,14.75,11,19,13.0,9,15
2,RANGER,8.016318452046637,8.012930732976299,8.02002220373109,9.771666666666667,9.025,10.023333333333333,4.9125,4.8933333333333335,4.953333333333333,1.3166666666666667,1.0666666666666667,1.7333333333333334,19.875,18,22,14.75,11,19,13.0,9,15
2,ROGUE,8.014513071058506,8.01101293314755,8.018317581497797,9.768333333333333,9.021666666666667,10.02,4.9125,4.8933333333333335,4.953333333333333,1.3166666666666667,1.0666666666666667,1.7333333333333334,20.25,18,23,12.75,9,17,11.0,7,13
2,WARRIOR,8.016318452046637,8.012930732976299,8.02002220373109,9.39,9.008333333333333,10.016666666666667,4.914166666666667,4.8933333333333335,4.96,1.3166666666666667,1.0666666666666667,1.7333333333333334,20.125,18,22,14.75,11,19,9.0,5,11
3,CLERIC,8.02326609024928,8.018317581497797,8.028081958530517,9.541666666666666,9.031666666666666,10.048333333333334,4.911666666666667,4.8933333333333335,4.96,1.65,1.2,2.1333333333333333,21.0,19,23,23.0,17,29,25.0,19,29
3,MAGE,8.021621180245779,8.0165722700867,8.026521617463274,9.269986066330752,9.014391445425273,10.023404290044796,4.911666666666667,4.8933333333333335,4.96,1.3666666666666667,1.0666666666666667,1.7333333333333334,21.0,19,23,21.0,15,27,25.25,19,29
3,PALADIN,8.025072722720822,8.02002220373109,8.031140110352299,9.663333333333334,9.028333333333334,10.043333333333333,4.9125,4.8933333333333335,4.96,1.6,1.0666666666666667,2.1333333333333333,21.75,20,23,25.25,19,33,23.0,17,26
3,RANGER,8.025090027561854,8.020860897630213,8.02962090685158,9.914166666666667,9.045,10.041666666666666,4.905833333333334,4.886666666666667,4.953333333333333,1.3833333333333333,1.0666666666666667,1.7333333333333334,21.0,19,23,25.25,20,31,23.5,17,27
3,ROGUE,8.023677171730915,8.018317581497797,8.028853998118144,9.911041666666666,9.041666666666666,10.043333333333333,4.9025,4.886666666666667,4.953333333333333,1.35,1.0666666666666667,1.7333333333333334,22.0,19,24,23.5,17,30,21.625,15,26
3,WARRIOR,8.025778052600504,8.020860897630213,8.031140110352299,9.656666666666666,9.021666666666667,10.036666666666667,4.9125,4.8933333333333335,4.96,1.3833333333333333,1.0666666666666667,1.8666666666666667,21.75,20,23,26.125,20,33,19.0,13,22
4,CLERIC,8.028005140495694,8.02169124257574,8.034124820420534,9.675208333333334,9.04,10.058333333333334,4.909166666666667,4.8933333333333335,4.953333333333333,1.75,1.3333333333333333,2.2666666666666666,21.125,19,23,29.0,21,37,30.125,24,35
4,MAGE,8.026437657717874,8.02002220373109,8.032640998148732,9.6499498566421,9.018826981765695,10.029054675210755,4.909166666666667,4.8933333333333335,4.953333333333333,1.3833333333333333,1.0666666666666667,1.7333333333333334,21.125,19,23,27.0,19,35,30.625,24,35
4,PALADIN,8.029460762519202,8.023328738993547,8.036320932365689,9.797291666666666,9.036666666666667,10.056666666666667,4.910833333333334,4.886666666666667,4.96,1.7166666666666668,1.2,2.2666666666666666,21.875,20,23,30.875,23,40,28.375,22,34
4,RANGER,8.029749697488763,8.023328738993547,8.035592679257517,9.923124999999999,9.055,10.051666666666666,4.9,4.88,4.94,1.4,1.0666666666666667,1.7333333333333334,21.125,19,23,31.25,23,39,28.875,22,33
4,ROGUE,8.027827854766205,8.0225137137527,8.034124820420534,9.919583333333334,9.051666666666666,10.055,4.9025,4.886666666666667,4.953333333333333,1.4,1.0666666666666667,1.7333333333333334,22.375,20,25,28.75,22,37,26.75,20,33
4,WARRIOR,8.030618435241077,8.025732837277381,8.036320932365689,9.665625,9.03,10.045,4.910833333333334,4.886666666666667,4.96,1.4,1.0666666666666667,1.8666666666666667,21.875,20,23,32.375,26,40,24.375,18,30
5,CLERIC,8.032192453975027,8.02413670534618,8.038484314917007,9.809375,9.046666666666667,10.071666666666667,4.909166666666667,4.8933333333333335,4.953333333333333,1.8666666666666667,1.3333333333333333,2.4,22.25,20,24,34.5,24,43,35.625,28,43
5,MAGE,8.030681225353842,8.0225137137527,8.037045552881072,9.65589231085635,9.023404290044796,10.037801440687648,4.909166666666667,4.8933333333333335,4.953333333333333,1.4166666666666667,1.0666666666666667,1.7333333333333334,22.25,20,24,32.5,22,41,36.875,29,44
5,PALADIN,8.033770673853507,8.025732837277381,8.041322565972772,9.806458333333333,9.043333333333333,10.07,4.91,4.886666666666667,4.953333333333333,1.8166666666666667,1.3333333333333333,2.4,23.375,22,25,36.625,26,47,33.875,26,42
5,RANGER,8.033781435160888,8.025732837277381,8.03990974991393,9.932708333333334,9.068333333333333,10.063333333333333,4.898333333333333,4.88,4.94,1.4333333333333333,1.2,1.7333333333333334,22.25,20,24,36.625,26,45,34.625,26,41
5,ROGUE,8.032496779268698,8.027304574960299,8.038484314917007,9.9275,9.06,10.065,4.8975,4.88,4.953333333333333,1.4666666666666668,1.0666666666666667,1.8666666666666667,23.625,21,26,34.875,28,43,31.5,24,39
5,WARRIOR,8.035542753546869,8.02962090685158,8.041322565972772,9.799791666666668,9.036666666666667,10.063333333333333,4.91,4.886666666666667,4.953333333333333,1.4166666666666667,1.0666666666666667,1.8666666666666667,23.375,22,25,39.0,31,47,29.875,22,38
6,CLERIC,8.040089844713938,8.028853998118144,8.049083615211003,10.203541666666666,10.06,11.095,4.9075,4.8933333333333335,4.953333333333333,2.05,1.4666666666666668,2.5333333333333337,23.375,21,25,45.5,30,59,47.125,36,57
6,MAGE,8.038721334393493,8.027304574960299,8.048217965278928,9.918586014597384,9.032905013407609,10.052968489383789,4.9075,4.8933333333333335,4.953333333333333,1.4666666666666668,1.0666666666666667,1.8666666666666667,23.375,21,25,43.5,28,57,49.75,39,59
6,PALADIN,8.041408511691785,8.030382882774845,8.049083615211003,9.950208333333332,9.063333333333333,10.095,4.905,4.873333333333333,4.946666666666666,2.0166666666666666,1.4666666666666668,2.5333333333333337,24.875,23,26,47.375,32,59,45.125,35,57
6,RANGER,8.041246676200654,8.030382882774845,8.049083615211003,10.078958333333333,10.058333333333334,10.093333333333334,4.890833333333333,4.866666666666666,4.933333333333334,1.4833333333333334,1.2,1.8666666666666667,23.375,21,25,47.375,32,61,47.375,35,56
