class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience,bonus_cap_h,bonus_proc_pct,bonus_search_s,bonus_sale_pct
WARRIOR,14,1,9,11,10,12,11,13,10,4,0,0,0.0,19,9,95.0,1,0,1,1,0,0,0,0,0,8.011981439395793,9.006666666666666,4.933,1.7333333333333336
WARRIOR,14,2,10,12,10,12,11,13,14,11,0,28,780.0,20,9,95.0,1,42,6,4,360,19,325,42,18,8.015682360170393,9.018333333333333,4.933,1.7333333333333336
WARRIOR,14,3,14,12,10,12,11,13,28,23,1,212,5400.0,23,10,96.0,1,260,12,9,6776,207,2084,260,0,8.027304574960299,10.038333333333334,4.933,1.7333333333333336
WARRIOR,14,4,15,12,11,12,11,13,36,28,1,567,13980.0,23,10,98.0,1,648,17,16,25311,552,5272,648,30,8.033384970435225,10.046666666666667,4.927,1.7333333333333336
WARRIOR,14,5,15,13,11,13,11,13,43,32,1,1074,26100.0,24,10,115.0,2,1195,23,21,62322,1058,9731,1195,82,8.038484314917007,10.053333333333333,4.927,1.7333333333333336
WARRIOR,14,6,16,15,11,14,11,13,55,44,2,1737,41700.0,26,10,116.0,2,1877,29,26,124343,1730,15375,1877,13,8.046859661488343,10.073333333333334,4.927,1.7333333333333336
WARRIOR,14,7,17,15,11,15,11,13,64,51,2,2559,60900.0,26,10,118.0,2,2757,34,31,211557,2536,22327,2757,74,8.052612029321798,10.085,4.927,1.7333333333333336
WARRIOR,14,8,17,16,11,16,11,13,70,58,2,3524,83820.0,27,10,107.0,2,3764,39,41,329847,3498,30749,3764,0,8.05664520671978,10.096666666666668,4.927,1.7333333333333336
WARRIOR,14,9,19,17,12,16,11,13,84,71,3,4645,109620.0,28,11,124.0,2,4873,46,46,486755,4617,39957,4873,25,8.061167749999637,11.118333333333334,4.92,1.7333333333333336
WARRIOR,14,10,20,18,12,16,11,13,93,78,3,5905,138300.0,30,11,132.55555555555554,3,6210,51,49,691762,5877,50094,6210,17,8.066166717039309,11.13,4.92,1.7333333333333336
WARRIOR,14,11,22,18,12,16,11,13,101,86,3,7340,171600.0,32,11,123.0,3,7813,58,54,949308,7317,62114,7813,169,8.071630985354817,11.143333333333333,4.92,1.7333333333333336
WARRIOR,14,12,23,18,12,16,11,14,109,91,3,8919,207240.0,32,11,125.0,3,9457,63,59,1261263,8917,74642,9457,37,8.077550831171285,11.151666666666667,4.92,1.866666666666667
WARRIOR,14,13,24,19,12,17,12,14,126,102,4,10647,246780.0,34,11,132.0,3,11366,69,63,1639495,10622,88779,11366,87,8.083917636921596,11.17,4.92,1.866666666666667
WARRIOR,14,14,25,19,13,17,12,14,134,110,4,12523,289560.0,34,11,136.0,3,13376,75,69,2080909,12492,104032,13376,63,8.090723680137515,11.183333333333334,4.913,1.866666666666667
WARRIOR,14,15,28,19,14,17,12,14,152,124,5,14552,335340.0,37,12,153.3,4,15535,82,74,2606283,14537,120165,15535,63,8.097961976344344,12.206666666666667,4.907,1.866666666666667
WARRIOR,14,16,28,20,15,17,12,14,159,132,5,16731,383640.0,38,12,143.33333333333334,4,17914,87,79,3191195,16720,136933,17914,205,8.105626159148189,12.22,4.9,1.866666666666667
WARRIOR,14,17,29,20,15,18,12,14,167,137,5,19052,435540.0,38,12,146.66666666666666,4,20476,93,84,3873174,19038,155147,20476,67,8.113710386743579,12.228333333333333,4.9,1.866666666666667
WARRIOR,14,18,31,21,15,18,13,14,183,155,6,21519,490500.0,40,12,151.33333333333334,4,23193,99,88,4629367,21508,174351,23193,92,8.1222092676864,12.258333333333333,4.9,1.866666666666667
WARRIOR,14,19,31,23,15,18,13,14,193,161,6,24147,549840.0,40,12,157.66666666666666,4,26099,105,93,5475503,24108,195434,26099,208,8.127924828248865,12.268333333333333,4.9,1.866666666666667
WARRIOR,14,20,31,25,15,18,15,14,210,179,7,26916,612780.0,41,12,161.0,5,28941,110,98,6426444,26908,217894,29294,166,8.13686248814064,12.298333333333334,4.9,1.866666666666667
WARRIOR,14,21,31,26,15,18,16,14,221,186,7,29852,678660.0,42,12,167.0,5,31585,115,104,7469264,29819,241163,32584,148,8.142568248541481,12.31,4.9,1.866666666666667
WARRIOR,14,22,32,28,15,19,16,14,243,202,8,32929,747900.0,43,13,169.75,5,33814,122,109,8670139,32927,265651,35980,159,8.153813344047656,13.336666666666666,4.9,1.866666666666667
WARRIOR,14,23,32,30,15,20,17,14,265,218,9,36159,819240.0,44,13,169.25,5,36015,127,114,9965418,36152,290448,39712,37,8.164856355460124,13.363333333333333,4.9,1.866666666666667
WARRIOR,14,24,32,31,15,20,17,15,278,225,9,39536,895020.0,44,13,180.5,5,38380,132,118,11355379,39496,317262,43682,3,8.171295057483261,13.375,4.9,2.0000000000000004
WARRIOR,14,25,35,32,15,20,17,15,306,242,10,43072,972300.0,46,13,175.6,6,40462,140,126,12898722,43060,343811,47669,456,8.184963543322244,13.403333333333334,4.9,2.0000000000000004
WARRIOR,14,26,36,32,15,20,18,15,320,250,10,46752,1051920.0,48,13,177.2,6,42613,146,130,14592467,46740,370910,51821,179,8.191703030332695,13.416666666666666,4.9,2.0000000000000004
WARRIOR,14,27,38,32,15,21,19,15,344,267,11,50578,1134420.0,49,14,181.8,6,44733,152,136,16427372,50532,398940,56041,28,8.203121431894658,14.445,4.9,2.0000000000000004
WARRIOR,14,28,40,32,15,22,20,15,370,282,12,54561,1218960.0,51,14,181.0,6,46961,159,140,18397693,54550,427116,60437,84,8.215313060734028,14.469999999999999,4.9,2.0000000000000004
WARRIOR,14,29,40,33,15,22,21,15,383,291,12,58700,1307640.0,51,14,186.6,6,49258,164,144,20474812,58681,457046,65117,112,8.221344132784365,14.485000000000001,4.9,2.0000000000000004
WARRIOR,14,30,42,33,16,22,22,15,409,313,13,62977,1400700.0,53,14,202.6153846153846,7,50933,170,149,22746700,62965,489003,70148,9,8.233285444116056,14.521666666666667,4.893,2.0000000000000004
WARRIOR,14,31,43,34,16,22,22,17,436,329,14,67409,1495320.0,54,14,189.0,7,53119,176,155,25159136,67364,520876,75136,269,8.245526394735565,14.548333333333332,4.893,2.2666666666666666
WARRIOR,14,32,44,37,16,22,22,17,464,346,15,71992,1593360.0,55,14,190.5,7,55377,183,161,27779829,71974,553949,80362,76,8.258061596552801,14.576666666666666,4.893,2.2666666666666666
WARRIOR,14,33,44,38,17,22,22,17,477,357,15,76735,1694100.0,56,15,194.83333333333334,7,57618,188,164,30543310,76704,587692,85667,30,8.263829709088075,15.595,4.887,2.2666666666666666
WARRIOR,14,34,45,39,17,22,23,18,508,376,16,81621,1797420.0,56,15,192.5,7,59486,194,170,33503741,81576,622166,91421,322,8.27745973374511,15.626666666666667,4.887,2.4
WARRIOR,14,35,47,40,17,22,24,18,539,396,17,86655,1904640.0,58,15,219.07142857142858,8,61176,201,174,36636009,86617,658229,97371,104,8.290924306350382,15.659999999999998,4.887,2.4
WARRIOR,14,36,48,42,17,23,24,18,570,412,18,91845,2012460.0,60,15,210.42857142857142,8,63434,207,181,39980633,91837,693454,103167,112,8.304234793286305,15.686666666666667,4.887,2.4
WARRIOR,14,37,51,42,17,23,25,18,602,434,19,97179,2122980.0,61,16,201.0,8,65633,215,185,43485786,97131,729531,109140,48,8.317823633477737,16.723333333333333,4.887,2.4
WARRIOR,14,38,52,42,17,23,25,19,620,445,19,102687,2235600.0,63,16,208.14285714285714,8,68013,220,190,47245436,102682,765656,115508,204,8.325403595240907,16.741666666666667,4.887,2.5333333333333337
WARRIOR,14,39,52,44,18,23,25,20,650,468,20,108318,2350320.0,63,16,203.71428571428572,8,69666,226,195,51143057,108289,802363,121987,144,8.337940062976196,16.78,4.88,2.666666666666667
WARRIOR,14,40,52,47,18,23,25,21,683,488,21,114113,2471340.0,64,16,231.0,9,71475,232,200,55327942,114085,842266,129076,329,8.35159732180955,16.813333333333333,4.88,2.8000000000000003
WARRIOR,14,41,52,49,18,23,26,22,720,507,22,120070,2592660.0,65,16,212.625,9,73830,237,205,59687362,120037,881094,135826,541,8.366754112595792,16.845,4.88,2.9333333333333336
WARRIOR,14,42,53,50,18,23,26,24,757,529,23,126160,2718300.0,65,16,212.0,9,76242,243,210,64228206,126147,921931,143061,246,8.381755848311697,16.881666666666668,4.88,3.2
WARRIOR,14,43,56,50,18,23,27,24,795,551,24,132410,2846940.0,68,17,225.5,9,78348,251,216,69022882,132354,963681,150420,470,8.397011144744479,17.918333333333333,4.88,3.2
