level,gap_h,session_min,hero_class,calendar_days,sale_gold_per_day
20,4,1,WARRIOR,41.743938821827136,154948.37232795867
20,4,1,ROGUE,41.67151849898947,155468.74510121596
20,4,1,RANGER,41.88445547680158,154458.40500620072
20,4,1,MAGE,42.056566951148,153885.40884750793
20,4,1,CLERIC,41.421463146674,158001.17566647357
20,4,1,PALADIN,41.7453269668065,156683.94615044908
21,4,1,WARRIOR,46.136188058127935,163371.5041217439
21,4,1,ROGUE,46.0574034706265,164019.19383748627
21,4,1,RANGER,46.301290672495895,162734.75756423944
21,4,1,MAGE,46.499510997835046,162146.03580134508
21,4,1,CLERIC,45.79571724564921,166600.488732925
21,4,1,PALADIN,46.15025119398335,165253.11190493088
22,4,1,WARRIOR,50.70649485788976,171928.8579191453
22,4,1,ROGUE,50.63349449630931,172530.23590218043
22,4,1,RANGER,50.89951707958785,171239.86999466785
22,4,1,MAGE,51.11414066576427,170539.5001551605
22,4,1,CLERIC,50.34369795660747,175317.4326329279
22,4,1,PALADIN,50.73847429369293,173962.22241347906
23,4,1,WARRIOR,55.475585538140024,180440.79373651647
23,4,1,ROGUE,55.427874186073275,180974.59802130357
23,4,1,RANGER,55.70280728200022,179667.09154053655
23,4,1,MAGE,55.9322303286869,178959.02445117087
23,4,1,CLERIC,55.107242874530264,184020.45100657636
23,4,1,PALADIN,55.514971358874135,182680.69633758115
24,4,1,WARRIOR,60.44582143400973,189076.60887654932
24,4,1,ROGUE,60.41634237424455,189506.31960766992
24,4,1,RANGER,60.69498628253091,188296.14087563212
24,4,1,MAGE,60.967923868176335,187494.87885984543
24,4,1,CLERIC,60.05703676385284,192985.75153770967
24,4,1,PALADIN,60.49725982574967,191530.41242486416
25,4,1,WARRIOR,65.59152196756366,197934.91956811558
25,4,1,ROGUE,65.61352143939875,198166.20533786042
25,4,1,RANGER,65.89024813566485,196882.41230007174
25,4,1,MAGE,66.19662371045568,196024.89273860693
25,4,1,CLERIC,65.21263461324659,201858.21184145298
25,4,1,PALADIN,65.67797324997626,200554.84602678055
26,4,1,WARRIOR,70.91683149359478,206716.16672304462
26,4,1,ROGUE,70.97869118472795,206909.36522452996
26,4,1,RANGER,71.25483678312,205652.78406435729
26,4,1,MAGE,71.58762251949065,204702.10644319447
26,4,1,CLERIC,70.54513513968507,210861.69117892778
26,4,1,PALADIN,71.02428944758873,209549.53302958078
27,4,1,WARRIOR,76.41660276050601,215693.54652100027
27,4,1,ROGUE,76.53336577878713,215589.19540649897
27,4,1,RANGER,76.79008549429338,214564.20228526034
27,4,1,MAGE,77.14526852935126,213599.64213139762
27,4,1,CLERIC,76.02900080134069,220141.90159138406
27,4,1,PALADIN,76.55501818523099,218710.92871388205
28,4,1,WARRIOR,82.13123201119265,224668.03185766615
28,4,1,ROGUE,82.28970572988499,224397.54567373404
28,4,1,RANGER,82.52181087920005,223480.5265846194
28,4,1,MAGE,82.93038501228204,222399.71660891816
28,4,1,CLERIC,81.74637765290669,229330.67082922184
28,4,1,PALADIN,82.30033281748412,227924.98578468605
29,4,1,WARRIOR,88.0178538991146,233638.787064392
29,4,1,ROGUE,88.2355031021673,233404.28060067515
29,4,1,RANGER,88.45244528670828,232456.9610071566
29,4,1,MAGE,88.92396030073986,231244.21197004325
29,4,1,CLERIC,87.66199078186607,238601.30472107395
29,4,1,PALADIN,88.23858054016469,237085.56673208872
30,4,1,WARRIOR,94.11240724630363,242608.1232864944
30,4,1,ROGUE,94.37649193072636,242210.01538475035
30,4,1,RANGER,94.57260648888803,241564.8863414192
30,4,1,MAGE,95.10260617054624,240188.5419579012
30,4,1,CLERIC,93.78286936609126,247933.1170198456
30,4,1,PALADIN,94.37566316422499,246285.70248617732
31,4,1,WARRIOR,100.37657107027047,251687.10542337442
31,4,1,ROGUE,100.69136380784168,251249.4373229433
31,4,1,RANGER,100.90001274499024,250545.65033992202
31,4,1,MAGE,101.47256175946184,249119.52489110062
31,4,1,CLERIC,100.07739155956236,257287.6579439557
31,4,1,PALADIN,100.6899349668912,255594.8536063951
32,4,1,WARRIOR,106.84116603309631,260773.8878605026
32,4,1,ROGUE,107.19087631709003,260310.0814985248
32,4,1,RANGER,107.38860235902885,259679.12341169786
32,4,1,MAGE,107.99731264122067,258232.06851589287
32,4,1,CLERIC,106.5362757952138,266819.6757425704
32,4,1,PALADIN,107.21392665579982,264912.64368278364
33,4,1,WARRIOR,113.48620606676086,269995.10501721146
33,4,1,ROGUE,113.88250436357377,269537.004797536
33,4,1,RANGER,114.07612545414729,268840.56975468603
33,4,1,MAGE,114.71828926858228,267368.21844675206
33,4,1,CLERIC,113.17456887585358,276439.80112545437
33,4,1,PALADIN,113.91303191745807,274391.110361708
34,4,1,WARRIOR,120.30244860318777,279263.9760460351
34,4,1,ROGUE,120.72207961436429,278877.37206023186
34,4,1,RANGER,120.90474347598737,278199.00223087845
34,4,1,MAGE,121.60736336935129,276611.5482689413
34,4,1,CLERIC,119.98221672439851,286156.66189819784
34,4,1,PALADIN,120.78001391412599,283964.2789483793
35,4,1,WARRIOR,127.27690411144746,288722.2337708862
35,4,1,ROGUE,127.76499999014246,288096.3531901532
35,4,1,RANGER,127.89607270648494,287638.8796310137
35,4,1,MAGE,128.68600620388528,285906.07060031034
35,4,1,CLERIC,126.9737329263609,295990.9183287264
35,4,1,PALADIN,127.84368851004956,293667.354153731
36,4,1,WARRIOR,134.406232198943,298228.7872311566
36,4,1,ROGUE,134.93603480155215,297478.66505069606
36,4,1,RANGER,135.01374222618185,297091.79479525296
36,4,1,MAGE,135.89571755283885,295207.8607399939
36,4,1,CLERIC,134.1066118526552,305801.73906755843
36,4,1,PALADIN,135.04376835181046,303492.83143690164
37,4,1,WARRIOR,141.67428302423139,307859.6345713649
37,4,1,ROGUE,142.2573355414299,306912.64985618007
37,4,1,RANGER,142.3174408429773,306657.87291420065
37,4,1,MAGE,143.27659077775294,304696.4991840007
37,4,1,CLERIC,141.39430284199264,315856.31132116844
37,4,1,PALADIN,142.3977217235609,313424.06428483926
38,4,1,WARRIOR,149.123853073686,317543.6408996318
38,4,1,ROGUE,149.78228939999318,316419.0735757452
38,4,1,RANGER,149.85179977965353,316286.9469682227
38,4,1,MAGE,150.8291511304651,314370.1529652293
38,4,1,CLERIC,148.9037406532247,326011.02757420024
38,4,1,PALADIN,149.92542624896447,323458.7969052711
39,4,1,WARRIOR,156.7190304645365,327223.031150033
