class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power,sale_gold,items_sold,attacks,casts,experience,bonus_cap_h,bonus_proc_pct,bonus_search_s,bonus_sale_pct
MAGE,14,1,9,11,10,12,11,13,6,10,0,0,0.0,19,9,95.0,1,0,1,1,0,0,0,0,0,8.00796214341107,9.00740919126684,4.933,1.7333333333333336
MAGE,14,2,10,11,10,12,12,13,10,17,0,28,780.0,20,10,95.0,1,42,6,4,360,19,325,42,18,8.011981439395793,10.01363914246489,4.933,1.7333333333333336
MAGE,14,3,11,11,10,14,13,13,21,30,1,214,5280.0,21,10,96.0,1,246,12,9,6377,199,1990,246,56,8.02169124257574,10.026209591316094,4.933,1.7333333333333336
MAGE,14,4,11,11,11,14,14,13,25,38,1,578,13980.0,21,10,98.0,1,631,17,16,26509,577,5155,631,34,8.024937964495647,10.034397108971332,4.927,1.7333333333333336
MAGE,14,5,11,11,11,15,14,14,32,45,1,1082,26040.0,22,10,100.0,2,1179,23,21,62168,1066,9592,1179,66,8.030382882774845,10.041779688436787,4.927,1.866666666666667
MAGE,14,6,11,12,11,17,15,14,47,59,2,1745,42000.0,23,10,116.0,2,1886,29,25,123422,1742,15472,1886,49,8.041322565972772,10.057049339354258,4.927,1.866666666666667
MAGE,14,7,11,13,11,18,15,14,55,67,2,2569,61620.0,23,10,119.0,2,2804,35,32,210812,2547,22687,2804,54,8.046859661488343,10.066032361520952,4.927,1.866666666666667
MAGE,14,8,11,14,11,19,15,14,61,73,2,3529,84540.0,24,10,107.0,2,3811,40,35,332674,3513,31103,3811,40,8.05090645599308,10.072877269966352,4.927,1.866666666666667
MAGE,14,9,12,14,11,21,15,15,75,90,3,4652,111120.0,25,11,124.0,2,5014,46,43,496655,4641,40798,5014,57,8.060056221699071,11.092714933683927,4.927,2.0000000000000004
MAGE,14,10,12,14,12,21,16,15,82,98,3,5915,140580.0,26,11,134.22222222222223,3,6414,52,48,705066,5891,51438,6414,13,8.064500053856465,11.102254114743399,4.92,2.0000000000000004
MAGE,14,11,12,15,12,22,16,15,88,105,3,7347,173160.0,27,11,126.5,3,7938,57,53,970382,7321,62922,7938,65,8.068248817817278,11.110697675169193,4.92,2.0000000000000004
MAGE,14,12,12,15,12,22,17,16,96,112,3,8937,209760.0,27,11,126.0,3,9665,62,58,1291129,8914,75990,9665,105,8.073168808308372,11.119226153321028,4.92,2.1333333333333337
MAGE,14,13,12,15,12,23,19,17,111,129,4,10657,249300.0,28,11,139.5,3,11559,68,64,1670757,10642,90089,11559,159,8.082180234917498,11.140264889203555,4.92,2.2666666666666666
MAGE,14,14,13,15,12,24,19,17,118,140,4,12530,291840.0,28,11,135.5,3,13504,74,71,2121894,12518,105100,13504,119,8.086300756203359,11.154105467458033,4.92,2.2666666666666666
