level,class,win_rate
10,WARRIOR,0.4694
10,ROGUE,0.5074
10,RANGER,0.4944
10,MAGE,0.5022
10,CLERIC,0.5381
10,PALADIN,0.4885
14,WARRIOR,0.4669
14,ROGUE,0.4994
14,RANGER,0.4937
14,MAGE,0.5105
14,CLERIC,0.5394
14,PALADIN,0.4900
15,WARRIOR,0.4804
15,ROGUE,0.5152
15,RANGER,0.4916
15,MAGE,0.4987
15,CLERIC,0.5166
15,PALADIN,0.4974
20,WARRIOR,0.4726
20,ROGUE,0.5149
20,RANGER,0.4801
20,MAGE,0.5172
20,CLERIC,0.5224
20,PALADIN,0.4927
25,WARRIOR,0.4825
25,ROGUE,0.4953
25,RANGER,0.4877
25,MAGE,0.5036
25,CLERIC,0.5384
25,PALADIN,0.4925
30,WARRIOR,0.4916
30,ROGUE,0.5127
30,RANGER,0.5084
30,MAGE,0.4775
30,CLERIC,0.5330
30,PALADIN,0.4768
40,WARRIOR,0.5356
40,ROGUE,0.4827
40,RANGER,0.5055
40,MAGE,0.4814
40,CLERIC,0.5029
40,PALADIN,0.4920
50,WARRIOR,0.5222
50,ROGUE,0.4688
50,RANGER,0.5077
50,MAGE,0.4558
50,CLERIC,0.5135
50,PALADIN,0.5319
60,WARRIOR,0.4870
60,ROGUE,0.4882
60,RANGER,0.5068
60,MAGE,0.4788
60,CLERIC,0.5285
60,PALADIN,0.5107
70,WARRIOR,0.4960
70,ROGUE,0.4667
70,RANGER,0.4888
70,MAGE,0.5060
70,CLERIC,0.5246
70,PALADIN,0.5179
80,WARRIOR,0.4696
80,ROGUE,0.5116
80,RANGER,0.4889
80,MAGE,0.5201
80,CLERIC,0.5231
80,PALADIN,0.4868
90,WARRIOR,0.4817
90,ROGUE,0.5205
90,RANGER,0.4960
90,MAGE,0.4844
90,CLERIC,0.5157
90,PALADIN,0.5017
100,WARRIOR,0.5095
100,ROGUE,0.5227
100,RANGER,0.4845
100,MAGE,0.4843
100,CLERIC,0.4920
100,PALADIN,0.5070
