level,class,pairs,before_percent,after_percent,before_basic_casts,after_basic_casts
10,WARRIOR,200,16.052405658803497,55.85416569350372,485,469
10,ROGUE,200,14.243290069005122,51.852482996227934,531,444
10,RANGER,200,8.047299148439665,49.85656569563432,578,483
10,MAGE,200,6.293103401974369,42.10229958213833,639,406
10,CLERIC,200,11.466728626743002,49.35780162481884,467,354
10,PALADIN,200,14.382309018137734,50.28907354499369,598,428
15,WARRIOR,200,6.837210706255237,41.00388197781119,314,33
15,ROGUE,200,5.786037157986011,40.999644840501105,265,12
15,RANGER,200,4.104837350642006,38.620882987545336,401,27
15,MAGE,200,4.677322100972435,35.837423228778256,482,25
15,CLERIC,200,5.544143190576996,43.75395565325948,151,11
15,PALADIN,200,5.597786494816472,40.45959366005249,256,16
20,WARRIOR,200,4.804602206343913,42.828325809658544,242,20
20,ROGUE,200,6.531056850728033,45.35728150640576,160,5
20,RANGER,200,4.110508998402152,38.49560066436802,460,32
20,MAGE,200,4.0571388159224036,38.676349767629794,301,1
20,CLERIC,200,6.234289109923227,44.50750758074846,135,5
20,PALADIN,200,5.362825735800654,42.36731536689074,230,7
25,WARRIOR,200,7.74389534883721,45.299703429645305,131,3
25,ROGUE,200,6.530312049243329,45.177964198215065,133,4
25,RANGER,200,3.6373833519970105,36.53067064825183,482,4
25,MAGE,200,5.248025748761048,40.19891187244125,232,2
25,CLERIC,200,7.380484716947007,45.04189172632281,115,2
25,PALADIN,200,6.15549244762728,40.498553816066405,271,0
30,WARRIOR,200,8.570099345099345,45.56248057498062,144,1
30,ROGUE,200,8.439017504234908,46.85656191634453,89,0
30,RANGER,200,3.9020439532861815,36.73263468760361,402,0
30,MAGE,200,6.369828301233703,43.41678259109047,155,0
30,CLERIC,200,8.628349824778386,47.89382988043705,60,0
30,PALADIN,200,6.151246600505505,42.23155421224992,190,1
40,WARRIOR,200,4.369555461696849,37.827825628958095,342,0
40,ROGUE,200,11.161485728082964,48.66342207492331,58,0
40,RANGER,200,4.854906058823161,41.6036703368889,246,0
40,MAGE,200,10.660411899313504,47.87868039664382,68,0
40,CLERIC,200,13.768809523809532,51.60099245638851,27,0
40,PALADIN,200,9.951353014286942,44.25029164564435,148,0
50,WARRIOR,200,5.731314775350223,41.49589120502624,210,0
50,ROGUE,200,12.561798921696328,49.311233535967574,47,0
50,RANGER,200,5.30098728258717,43.70087822115264,145,0
50,MAGE,200,12.671515672384658,49.78593565525382,37,0
50,CLERIC,200,13.072301737749513,49.16262095634203,62,0
50,PALADIN,200,13.057278448545334,48.95621780653743,58,0
75,WARRIOR,200,9.473165218105528,46.1332872257814,96,0
75,ROGUE,200,14.897858335564438,51.43520227711471,36,0
75,RANGER,200,11.397430889818246,49.225549067571464,55,0
75,MAGE,200,22.19545131485429,55.46332588594957,5,0
75,CLERIC,200,15.35158853445714,51.126561106155194,39,0
75,PALADIN,200,14.480480905233387,50.920414898632735,42,0
100,WARRIOR,200,14.270717109937296,47.680746300929776,71,0
100,ROGUE,200,15.247208321749612,50.44551285021469,52,0
100,RANGER,200,14.925516360948729,50.69625908754952,38,0
100,MAGE,200,24.213531638579703,55.90921114785071,3,0
100,CLERIC,200,18.429055662681165,53.09091292918315,12,0
100,PALADIN,200,13.74294714707559,47.35195180883259,95,0
