cohort,class,seed,start_level,end_level,active_days,kills,events,relationships,actions,max_high_slots,full_levels
natural,WARRIOR,-7137169840143990179,1,150,349.86668024305555,1477372,14798,0,14447898,5,0
natural,WARRIOR,5207463126243306956,1,150,346.01676136574076,1476786,14629,1371,14350122,5,0
natural,WARRIOR,7977059745030760492,1,150,352.3412659375,1477479,14937,0,14627430,6,2
natural,WARRIOR,1287074474767398782,1,150,349.3511008912037,1477016,14848,1385,14438120,4,0
synthetic_high,WARRIOR,5207463126243306956,300,305,50.04093924768519,177577,1381,198,2332357,5,0
synthetic_high,WARRIOR,5207463126243306956,1000,1005,182.51306795138888,454919,1162,724,9447853,6,3
natural,ROGUE,-7137169840143892772,1,150,337.9835610648148,1477417,14589,0,14573870,4,0
natural,ROGUE,5207463126243217741,1,150,338.76544047453706,1476846,14587,1332,14591241,4,0
natural,ROGUE,7977059745030804653,1,150,337.0204928703704,1477346,14628,0,14473139,5,0
natural,ROGUE,1287074474767338495,1,150,336.82694891203704,1476634,14593,1334,14491612,5,0
synthetic_high,ROGUE,5207463126243217741,300,305,47.528667256944445,177590,1292,185,2216382,4,0
synthetic_high,ROGUE,5207463126243217741,1000,1005,171.75766274305556,454893,1185,674,8785226,5,0
natural,RANGER,-7137169840144057505,1,150,324.33206824074074,1476674,16040,0,13688874,5,0
natural,RANGER,5207463126243448014,1,150,324.8210439699074,1476480,15747,1297,13718459,4,0
natural,RANGER,7977059745030902062,1,150,324.8090430787037,1476961,15867,0,13716507,5,0
natural,RANGER,1287074474767240828,1,150,326.1048190509259,1476229,15869,1282,13736020,5,0
synthetic_high,RANGER,5207463126243448014,300,305,48.89992420138889,177573,1532,194,2297282,3,0
synthetic_high,RANGER,5207463126243448014,1000,1005,177.33643693287038,454846,1478,708,9124041,5,0
natural,MAGE,-7137169840144222242,1,150,326.7072114351852,1476890,16067,0,13031970,4,0
natural,MAGE,5207463126243022927,1,150,327.4479724074074,1476493,16061,1304,13085137,5,0
natural,MAGE,7977059745031003567,1,150,327.6238448958333,1477013,15814,0,13208596,5,0
natural,MAGE,1287074474767663869,1,150,329.78448422453704,1476560,15966,1309,13170538,5,0
synthetic_high,MAGE,5207463126243022927,300,305,47.06001119212963,177531,1552,189,2006714,3,0
synthetic_high,MAGE,5207463126243022927,1000,1005,177.91199399305555,454908,1555,708,8708122,4,0
natural,CLERIC,-7137169840144125863,1,150,339.58223806712965,1477080,16358,0,13824216,5,0
natural,CLERIC,5207463126242992072,1,150,337.7389323842593,1476363,16481,1335,13706131,4,0
natural,CLERIC,7977059745031100968,1,150,337.20896721064815,1477048,16337,0,13633025,6,4
natural,CLERIC,1287074474767566202,1,150,335.8873297916667,1476409,16400,1331,13805912,5,0
synthetic_high,CLERIC,5207463126242992072,300,305,50.3252472337963,177582,1331,200,2335507,4,0
synthetic_high,CLERIC,5207463126242992072,1000,1005,182.5862239699074,454878,1218,731,9449922,5,0
natural,PALADIN,-7137169840144290600,1,150,348.34326166666665,1477547,14699,0,14453334,4,0
natural,PALADIN,5207463126243083081,1,150,349.4533510648148,1476891,14773,1390,14485051,5,0
natural,PALADIN,7977059745031194281,1,150,351.17836469907405,1477292,14899,0,14455296,6,5
natural,PALADIN,1287074474767473147,1,150,348.0376517013889,1476744,14687,1381,14478989,5,0
synthetic_high,PALADIN,5207463126243083081,300,305,48.69756980324074,177631,918,201,2249401,2,0
synthetic_high,PALADIN,5207463126243083081,1000,1005,173.31393693287038,454956,783,699,8888135,6,3
