cohort,level,characters,entry_mean_plus4,entry_mean_plus5,max_high_slots,characters_full_ever,actions,observed_millis,full_set_millis,full_set_time_percent
natural,1,24,0.0,0.0,0,0,9275,17935900,0,0.0
natural,2,24,0.0,0.0,0,0,53806,107981960,0,0.0
natural,3,24,0.0,0.0,1,0,105482,212400570,0,0.0
natural,4,24,0.0,0.0417,1,0,148031,296624820,0,0.0
natural,5,24,0.0,0.0417,1,0,189264,380834360,0,0.0
natural,6,24,0.0417,0.0417,1,0,233396,470657950,0,0.0
natural,7,24,0.0417,0.0,1,0,272992,550911550,0,0.0
natural,8,24,0.0417,0.0417,1,0,316088,638976930,0,0.0
natural,9,24,0.0417,0.0417,1,0,357823,722129750,0,0.0
natural,10,24,0.0833,0.0417,1,0,398476,806744470,0,0.0
natural,11,24,0.0417,0.0417,1,0,441157,892528710,0,0.0
natural,12,24,0.0,0.0,1,0,477480,967190920,0,0.0
natural,13,24,0.0833,0.0417,1,0,515953,1047666700,0,0.0
natural,14,24,0.0833,0.0417,1,0,556586,1130131390,0,0.0
natural,15,24,0.0833,0.0417,1,0,589012,1200388950,0,0.0
natural,16,24,0.0833,0.0417,1,0,630997,1284879010,0,0.0
natural,17,24,0.0,0.0,1,0,663368,1354528500,0,0.0
natural,18,24,0.0417,0.0417,2,0,702152,1435486810,0,0.0
natural,19,24,0.0833,0.0417,2,0,737340,1509103680,0,0.0
natural,20,24,0.125,0.0417,2,0,770757,1582028480,0,0.0
natural,21,24,0.1667,0.0417,2,0,805385,1654356420,0,0.0
natural,22,24,0.2083,0.0417,1,0,842631,1731915650,0,0.0
natural,23,24,0.1667,0.0833,1,0,876029,1803474500,0,0.0
natural,24,24,0.125,0.0417,2,0,909038,1874897170,0,0.0
natural,25,24,0.125,0.125,2,0,941851,1946137610,0,0.0
natural,26,24,0.0833,0.1667,2,0,970342,2008910770,0,0.0
natural,27,24,0.0417,0.1667,2,0,1006007,2084849990,0,0.0
natural,28,24,0.0,0.0833,1,0,1041327,2159543040,0,0.0
natural,29,24,0.0417,0.125,1,0,1071053,2223120560,0,0.0
natural,30,24,0.0417,0.125,2,0,1096914,2284064120,0,0.0
natural,31,24,0.125,0.2083,2,0,1129623,2354201560,0,0.0
natural,32,24,0.2917,0.25,2,0,1164235,2429400660,0,0.0
natural,33,24,0.3333,0.25,2,0,1188409,2484701200,0,0.0
natural,34,24,0.25,0.25,2,0,1217471,2551704060,0,0.0
natural,35,24,0.2917,0.2083,2,0,1239762,2606240322,0,0.0
natural,36,24,0.2083,0.125,1,0,1265792,2665899728,0,0.0
natural,37,24,0.2083,0.125,2,0,1293576,2731887760,0,0.0
natural,38,24,0.25,0.1667,2,0,1316025,2783459010,0,0.0
natural,39,24,0.25,0.25,3,0,1359975,2871207375,0,0.0
natural,40,24,0.2917,0.25,3,0,1379865,2923404152,0,0.0
natural,41,24,0.3333,0.3333,3,0,1404960,2980320419,0,0.0
natural,42,24,0.375,0.3333,3,0,1433013,3045184494,0,0.0
natural,43,24,0.2917,0.2917,3,0,1459008,3104175845,0,0.0
natural,44,24,0.3333,0.125,3,0,1479971,3153965323,0,0.0
natural,45,24,0.2917,0.1667,3,0,1495308,3196977066,0,0.0
natural,46,24,0.2917,0.25,3,0,1516389,3249989220,0,0.0
natural,47,24,0.3333,0.2917,2,0,1536533,3302568035,0,0.0
natural,48,24,0.2917,0.3333,3,0,1556919,3353757430,0,0.0
natural,49,24,0.2917,0.375,4,0,1581198,3411304828,0,0.0
natural,50,24,0.2917,0.2917,3,0,1585331,3438985389,0,0.0
natural,51,24,0.2917,0.3333,2,0,1609309,3496388892,0,0.0
natural,52,24,0.2917,0.25,2,0,1631545,3549547254,0,0.0
natural,53,24,0.3333,0.2083,2,0,1655013,3604514744,0,0.0
natural,54,24,0.5,0.3333,3,0,1674962,3655514480,0,0.0
natural,55,24,0.625,0.2917,3,0,1690609,3700119745,0,0.0
natural,56,24,0.8333,0.25,3,0,1814242,3900927009,0,0.0
natural,57,24,0.8333,0.25,3,0,1847347,3969712099,0,0.0
natural,58,24,0.7917,0.3333,3,0,1878130,4037354035,0,0.0
natural,59,24,0.7917,0.25,3,0,1906377,4096734840,0,0.0
natural,60,24,0.5833,0.3333,2,0,1918530,4136496450,0,0.0
natural,61,24,0.5,0.3333,3,0,1865364,4020019225,0,0.0
natural,62,24,0.5,0.4167,3,0,1949582,4201255720,0,0.0
natural,63,24,0.4167,0.4167,3,0,1976591,4261313601,0,0.0
natural,64,24,0.5833,0.4167,4,0,2005670,4324504839,0,0.0
natural,65,24,0.75,0.4583,4,0,2016574,4361131534,0,0.0
natural,66,24,0.7917,0.4167,4,0,2030752,4389034082,0,0.0
natural,67,24,0.75,0.375,3,0,1978727,4274745026,0,0.0
natural,68,24,0.75,0.3333,3,0,2055532,4440223518,0,0.0
natural,69,24,0.75,0.3333,3,0,2084509,4503242507,0,0.0
natural,70,24,0.7917,0.2917,3,0,2095443,4537500820,0,0.0
natural,71,24,0.7083,0.4167,4,0,2122495,4597026974,0,0.0
natural,72,24,0.5833,0.5,4,0,2084823,4499352353,0,0.0
natural,73,24,0.75,0.5833,4,0,2267373,4822202722,0,0.0
natural,74,24,0.875,0.5,4,0,2294905,4880842369,0,0.0
natural,75,24,1.0417,0.625,4,0,2305731,4917573366,0,0.0
natural,76,24,0.8333,0.8333,4,0,2334794,4979012234,0,0.0
natural,77,24,0.9167,0.7917,4,0,2266246,4831678662,0,0.0
natural,78,24,0.8333,0.7083,4,0,2346987,5003392090,0,0.0
natural,79,24,0.7083,0.75,4,0,2372374,5058364314,0,0.0
natural,80,24,0.75,0.75,4,0,2383095,5093839802,0,0.0
