cohort,class,seed,level,active_days,items
natural,WARRIOR,7977059745030760492,142,320.9183350462963,WEAPON:신화:L142:757|HEAD:전설:L139:720|BODY:신화:L136:728|HANDS:전설:L141:734|FEET:전설:L142:740|ACCESSORY:전설:L140:725
natural,WARRIOR,7977059745030760492,143,321.90406189814814,WEAPON:신화:L142:757|HEAD:전설:L139:720|BODY:신화:L136:728|HANDS:전설:L141:734|FEET:전설:L142:740|ACCESSORY:전설:L140:725
synthetic_high,WARRIOR,5207463126243306956,1003,111.00813114583333,WEAPON:전설:L1003:5125|HEAD:신화:L1002:5275|BODY:신화:L1000:5270|HANDS:전설:L1002:5121|FEET:전설:L1001:5115|ACCESSORY:신화:L1002:5279
synthetic_high,WARRIOR,5207463126243306956,1004,145.71078971064816,WEAPON:전설:L1003:5125|HEAD:신화:L1002:5275|BODY:신화:L1003:5282|HANDS:전설:L1003:5130|FEET:전설:L1001:5115|ACCESSORY:신화:L1003:5285
synthetic_high,WARRIOR,5207463126243306956,1005,182.51306795138888,WEAPON:전설:L1003:5125|HEAD:신화:L1002:5275|BODY:신화:L1003:5282|HANDS:전설:L1003:5130|FEET:전설:L1001:5115|ACCESSORY:신화:L1003:5285
natural,CLERIC,7977059745031100968,117,214.11188243055557,WEAPON:전설:L117:610|HEAD:전설:L115:605|BODY:전설:L117:606|HANDS:전설:L116:606|FEET:전설:L117:610|ACCESSORY:신화:L111:602
natural,CLERIC,7977059745031100968,118,215.29197398148148,WEAPON:전설:L117:610|HEAD:전설:L115:605|BODY:전설:L117:606|HANDS:전설:L117:615|FEET:전설:L117:610|ACCESSORY:신화:L111:602
natural,CLERIC,7977059745031100968,119,218.61992525462963,WEAPON:전설:L117:610|HEAD:전설:L115:605|BODY:전설:L117:606|HANDS:전설:L117:615|FEET:전설:L117:610|ACCESSORY:신화:L111:602
natural,CLERIC,7977059745031100968,120,222.05134215277778,WEAPON:전설:L117:610|HEAD:전설:L115:605|BODY:전설:L117:606|HANDS:전설:L117:615|FEET:전설:L117:610|ACCESSORY:전설:L119:626
natural,PALADIN,7977059745031194281,132,279.01715520833335,WEAPON:전설:L131:686|HEAD:신화:L131:707|BODY:신화:L131:706|HANDS:전설:L132:684|FEET:신화:L132:703|ACCESSORY:전설:L131:683
natural,PALADIN,7977059745031194281,133,279.6200219907407,WEAPON:전설:L131:686|HEAD:신화:L131:707|BODY:신화:L131:706|HANDS:전설:L132:684|FEET:신화:L132:703|ACCESSORY:전설:L131:683
natural,PALADIN,7977059745031194281,134,283.62701944444444,WEAPON:전설:L131:686|HEAD:신화:L131:707|BODY:신화:L131:706|HANDS:전설:L132:684|FEET:신화:L132:703|ACCESSORY:전설:L131:683
natural,PALADIN,7977059745031194281,135,287.6307804513889,WEAPON:전설:L131:686|HEAD:신화:L131:707|BODY:신화:L131:706|HANDS:전설:L132:684|FEET:신화:L132:703|ACCESSORY:전설:L131:683
natural,PALADIN,7977059745031194281,136,291.6152767476852,WEAPON:전설:L131:686|HEAD:신화:L131:707|BODY:신화:L131:706|HANDS:전설:L132:684|FEET:신화:L132:703|ACCESSORY:전설:L131:683
synthetic_high,PALADIN,5207463126243083081,1003,113.34685186342593,WEAPON:전설:L1003:5133|HEAD:신화:L1002:5275|BODY:전설:L1002:5128|HANDS:전설:L1002:5125|FEET:전설:L1003:5131|ACCESSORY:전설:L1001:5124
synthetic_high,PALADIN,5207463126243083081,1004,138.70877547453705,WEAPON:전설:L1003:5133|HEAD:신화:L1002:5275|BODY:전설:L1002:5128|HANDS:전설:L1002:5125|FEET:전설:L1003:5131|ACCESSORY:전설:L1001:5124
synthetic_high,PALADIN,5207463126243083081,1005,173.31393693287038,WEAPON:전설:L1003:5133|HEAD:신화:L1002:5275|BODY:전설:L1002:5128|HANDS:전설:L1002:5125|FEET:전설:L1003:5131|ACCESSORY:전설:L1001:5124
