catalogId|elapsed|reduced|role|assetId|instance|hitIndex|x|y|width|height|rotation|alpha|reveal|mirror|start|end|safeAlphaCap|drawMode|tintArgb
warrior_t01_c01|310|0|PRIMARY|2131034566|0|0|0.34403807|0.35869086|0.72|0.8928989|-0.8|0.14055555|1.0|-1.0|300|610||AUTHORED_SCREEN|
warrior_t01_c01|320|0|PRIMARY|2131034566|0|0|0.37028807|0.38785756|0.72|0.8928989|-0.8|0.26888892|1.0|-1.0|300|610||AUTHORED_SCREEN|
warrior_t01_c01|330|0|PRIMARY|2131034566|0|0|0.39403808|0.41424644|0.72|0.8928989|-0.8|0.385|1.0|-1.0|300|610||AUTHORED_SCREEN|
warrior_t01_c01|340|0|PRIMARY|2131034566|0|0|0.4152881|0.43785757|0.72|0.8928989|-0.8|0.48888892|1.0|-1.0|300|610||AUTHORED_SCREEN|
warrior_t01_c01|350|0|PRIMARY|2131034566|0|0|0.43403807|0.45869088|0.72|0.8928989|-0.8|0.58055556|1.0|-1.0|300|610||AUTHORED_SCREEN|
warrior_t01_c01|360|0|PRIMARY|2131034566|0|0|0.45028806|0.47674644|0.72|0.8928989|-0.8|0.65999997|1.0|-1.0|300|610||AUTHORED_SCREEN|
warrior_t01_c01|370|0|PRIMARY|2131034566|0|0|0.46403807|0.49202424|0.72|0.8928989|-0.8|0.72722214|1.0|-1.0|300|610||AUTHORED_SCREEN|
warrior_t01_c01|380|0|PRIMARY|2131034566|0|0|0.47528806|0.50452423|0.72|0.8928989|-0.8|0.7822222|1.0|-1.0|300|610||AUTHORED_SCREEN|
warrior_t01_c01|390|0|PRIMARY|2131034566|0|0|0.48403808|0.51424646|0.72|0.8928989|-0.8|0.825|1.0|-1.0|300|610||AUTHORED_SCREEN|
warrior_t01_c01|400|0|PRIMARY|2131034566|0|0|0.49028808|0.5211909|0.72|0.8928989|-0.8|0.85555553|1.0|-1.0|300|610||AUTHORED_SCREEN|
warrior_t01_c01|410|0|PRIMARY|2131034566|0|0|0.49403808|0.52535754|0.72|0.8928989|-0.8|0.8738889|1.0|-1.0|300|610||AUTHORED_SCREEN|
warrior_t01_c01|420|0|PRIMARY|2131034566|0|0|0.49528807|0.52674645|0.72|0.8928989|-0.8|0.88|1.0|-1.0|300|610||AUTHORED_SCREEN|
warrior_t01_c01|420|0|CONTACT|2131034564|0|0|0.5|0.59|0.22|0.496375|0.0|0.88|1.0|1.0|410|502||AUTHORED_SCREEN|
warrior_t01_c01|430|0|PRIMARY|2131034566|0|0|0.49528807|0.52674645|0.72|0.8928989|-0.8|0.88|1.0|-1.0|300|610||AUTHORED_SCREEN|
warrior_t01_c01|430|0|CONTACT|2131034564|0|0|0.5|0.59|0.22|0.496375|0.0|0.88|1.0|1.0|410|502||AUTHORED_SCREEN|
warrior_t01_c01|440|0|PRIMARY|2131034566|0|0|0.49528807|0.52674645|0.72|0.8928989|-0.8|0.88|1.0|-1.0|300|610||AUTHORED_SCREEN|
warrior_t01_c01|440|0|CONTACT|2131034564|0|0|0.5|0.59|0.22|0.496375|0.0|0.88|1.0|1.0|410|502||AUTHORED_SCREEN|
warrior_t01_c01|450|0|PRIMARY|2131034566|0|0|0.49528807|0.52674645|0.72|0.8928989|-0.8|0.88|1.0|-1.0|300|610||AUTHORED_SCREEN|
warrior_t01_c01|450|0|CONTACT|2131034564|0|0|0.5|0.59|0.22|0.496375|0.0|0.7889655|1.0|1.0|410|502||AUTHORED_SCREEN|
