catalogId|class|level|candidate|name|branchKey|action|flow|impactStyle|path|growthBand|tierVariant|primaryResolverKey|choreographyKey|identitySchema|identityId|grammarId|growthStage|hitBand|perceptualSignature|roleGrammar|element|hitWeights|hitTimings|presentationHitTimings|presentationGroups|primaryAsset|primaryAssets|secondaryAsset|impactAssets|debrisAssets|residualAsset|finisherRingAsset|finisherEchoAsset|legacyRecipe|normalRoleCount|normalPeakConcurrent|minimumPeakConcurrent|reducedMaxConcurrent
warrior_t01_c01|WARRIOR|5|0|칼날 베기|STEEL_SLASH:warrior_t01_c01|CUT|LEFT_TO_RIGHT|EDGE|RUPTURE|0|0|warrior:c1:b1|warrior:c1:b1|2|v2:af50556db89012b8|G08_CUT_LEFT_TO_RIGHT|LOW|SINGLE|G08_CUT_LEFT_TO_RIGHT:LOW:SINGLE~ANTICIPATION:2:7:-3:-2:0:30:31:-3:-1:1~PRIMARY:2:7:1:0:0:33:31:0:-1:1~CONTACT:1:1:3:0:0:32:31:1:-1:1~DEBRIS:0:7:3:0:0:32:31:-1:-1:1~RESIDUAL:2:1:4:-1:0:31:31:0:-1:1~FINISHER_RING:1:6:0:0:0:31:31:-1:1:1~FINISHER_ECHO:0:2:4:1:0:33:31:0:1:1~WARRIOR_ACCENT:1:3:-3:-1:1:31:32:0:-1:1|ANTICIPATION,2,7,-18,0.92,-0.034,0.006,0.893,0.94,-14.0,-1.0,0.92,,1,0,LEADING_EDGE;PRIMARY,2,7,10,1.0,0.005999999,0.006,0.9869999,0.94,-2.0,-1.0,1.04,,1,2,TARGET;CONTACT,1,1,20,1.08,4.79999E-4,-0.0049199997,0.96349996,0.9165,5.6,-1.0,0.92,,1,4,TARGET;DEBRIS,0,7,23,1.0,-0.0014800001,0.00492,0.96349996,0.94,-4.1,-1.0,1.0,,1,5,TRAILING_EDGE;RESIDUAL,2,1,24,1.04,-0.02148,-0.0040799994,0.9165,0.9165,-1.0999999,-1.0,1.04,,1,1,GROUND;FINISHER_RING,1,6,-4,0.96000004,-0.009520001,-0.0049199997,0.94,0.9165,-6.4,1.0,0.96000004,,1,6,ORBIT;FINISHER_ECHO,0,2,28,0.92,0.010479999,0.00408,0.9869999,0.94,-0.4000001,1.0,0.96000004,,1,7,ORBIT;WARRIOR_ACCENT,1,3,-22,1.08,-0.02148,0.01392,0.9165,0.96349996,-1.0999999,-1.0,0.92,,1,3,TARGET|PHYSICAL|100|420|420|420:0:100|2131034566|2131034566|||||||h0=WARRIOR:0@r0.0@m1.0@s1.0|2|2|1|2
warrior_t02_c03|WARRIOR|10|2|방패 돌파|AUTHORED_CLASS:WARRIOR:CONVERGE|CHARGE|LEFT_TO_RIGHT|POINT|CONVERGE|0|1|warrior:c3:b1|warrior:c3:b1|2|v2:f03eaef68987640e|G05_CHARGE_LEFT_TO_RIGHT|LOW|SINGLE|G05_CHARGE_LEFT_TO_RIGHT:LOW:SINGLE~ANTICIPATION:0:6:-6:-2:0:30:31:-1:1:1~PRIMARY:1:3:-1:-2:1:30:32:0:-1:1~CONTACT:0:1:-1:0:0:33:31:-2:-1:1~DEBRIS:2:5:3:-1:-1:32:30:-1:-1:1~RESIDUAL:1:1:0:-2:0:31:31:1:-1:1~FINISHER_RING:2:7:1:0:0:32:31:-1:-1:1~FINISHER_ECHO:2:7:4:-1:0:31:31:0:-1:1~WARRIOR_ACCENT:1:2:0:-1:0:31:31:1:1:1|ANTICIPATION,0,6,-40,0.92,-0.046,-9.999992E-4,0.893,0.9165,-5.0,1.0,0.96000004,,1,0,LEADING_EDGE;PRIMARY,1,3,-6,1.0,-0.046,0.017,0.893,0.96349996,1.0,-1.0,1.04,,1,2,TARGET;CONTACT,0,1,-8,1.04,0.002319999,-0.0035599992,0.9869999,0.9165,-8.32,-1.0,1.04,,1,4,TARGET;DEBRIS,2,5,18,0.92,-0.0113200005,-0.01144,0.96349996,0.893,-5.18,-1.0,0.96000004,,1,5,TRAILING_EDGE;RESIDUAL,1,1,-5,1.04,-0.03132,-0.0024399995,0.9165,0.9165,3.82,-1.0,1.04,,1,1,GROUND;FINISHER_RING,2,7,8,1.0,-0.0076800007,0.0054400004,0.96349996,0.94,-5.32,-1.0,1.04,,1,6,ORBIT;FINISHER_ECHO,2,7,24,1.0,-0.01768,0.0054400004,0.94,0.94,-2.32,-1.0,1.0,,1,7,ORBIT;WARRIOR_ACCENT,1,2,-2,1.0,-0.02132,0.00656,0.94,0.94,6.82,1.0,1.0,,1,3,TARGET|PHYSICAL|100|420|420|420:0:100|2131034560|2131034560,2131034560|2131034555|2131034556,2131034556,2131034556|2131034557,2131034557,2131034557|||||4|4|3|1
warrior_t03_c02|WARRIOR|15|1|철퇴 강타|AUTHORED_CLASS:WARRIOR:CONVERGE|DESCEND|TOP_TO_BOTTOM|FRACTURE|CONVERGE|0|2|warrior:c2:b1|warrior:c2:b1|2|v2:e1cae38dcf6af701|G09_DESCEND_TOP_TO_BOTTOM|LOW|SINGLE|G09_DESCEND_TOP_TO_BOTTOM:LOW:SINGLE~ANTICIPATION:2:1:-5:1:-2:32:31:0:-1:1~PRIMARY:0:3:-4:1:-1:32:32:0:-1:1~CONTACT:1:7:-2:1:-1:32:31:3:-1:1~DEBRIS:2:4:0:0:0:31:33:2:1:1~RESIDUAL:0:1:0:-1:-1:30:31:1:-1:1~FINISHER_RING:0:3:3:-1:0:30:32:0:-1:1~FINISHER_ECHO:2:4:1:-1:0:30:33:0:1:1~WARRIOR_ACCENT:1:2:0:0:-1:31:31:2:1:1|ANTICIPATION,2,1,-34,0.92,0.018,-0.033,0.96349996,0.9165,0.0,-1.0,0.96000004,,1,0,LEADING_EDGE;PRIMARY,0,3,-26,1.0,0.018,-0.015000001,0.96349996,0.96349996,0.0,-1.0,1.04,,1,2,TARGET;CONTACT,1,7,-17,1.0,0.01544,-0.01632,0.96349996,0.94,13.08,-1.0,1.04,,1,4,TARGET;DEBRIS,2,4,4,1.04,0.00656,-0.0016800016,0.94,0.9869999,10.92,1.0,1.04,,1,5,TRAILING_EDGE;RESIDUAL,0,1,0,0.92,-0.01344,-0.02868,0.893,0.9165,4.92,-1.0,0.96000004,,1,1,GROUND;FINISHER_RING,0,3,22,0.96000004,-0.014559999,-0.00732,0.893,0.96349996,-1.9200001,-1.0,1.0,,1,6,ORBIT;FINISHER_ECHO,2,4,10,0.96000004,-0.014559999,0.0016799998,0.893,0.9869999,-1.9200001,1.0,0.96000004,,1,7,ORBIT;WARRIOR_ACCENT,1,2,-2,0.96000004,0.00656,-0.01968,0.94,0.94,10.92,1.0,0.96000004,,1,3,TARGET|EARTH|100|420|420|420:0:100|2131034563|2131034563,2131034563|2131034562|2131034552,2131034552,2131034552|2131034553,2131034553,2131034553|||||4|4|3|1
warrior_t04_c03|WARRIOR|20|2|공성 돌격|AUTHORED_CLASS:WARRIOR:FOCUS|CHARGE|LEFT_TO_RIGHT|POINT|FOCUS|0|3|warrior:c3:b1|warrior:c3:b1|2|v2:1e2f038122c6a1cd|G05_CHARGE_LEFT_TO_RIGHT|LOW|SINGLE|G05_CHARGE_LEFT_TO_RIGHT:LOW:SINGLE~ANTICIPATION:2:6:-7:0:0:33:31:0:1:1~PRIMARY:1:1:-2:-1:0:32:31:2:-1:1~CONTACT:0:4:2:0:1:33:33:1:1:1~DEBRIS:2:6:-1:-2:0:31:31:2:1:1~RESIDUAL:1:5:0:-2:-1:30:30:1:-1:1~FINISHER_RING:0:0:2:-2:-1:30:30:0:1:1~FINISHER_ECHO:1:7:4:-1:0:31:31:0:-1:1~WARRIOR_ACCENT:0:4:-1:-2:1:31:33:-1:1:1|ANTICIPATION,2,6,-44,0.96000004,-0.006000001,-9.999992E-4,0.9869999,0.9165,-2.0,1.0,1.0,,1,0,LEADING_EDGE;PRIMARY,1,1,-14,0.96000004,-0.016,-9.999992E-4,0.96349996,0.9165,10.0,-1.0,1.0,,1,2,TARGET;CONTACT,0,4,16,1.0,0.002319999,0.02344,0.9869999,0.9869999,3.68,1.0,1.0,,1,4,TARGET;DEBRIS,2,6,-10,0.96000004,-0.03132,-0.0024399995,0.9165,0.9165,9.82,1.0,0.96000004,,1,5,TRAILING_EDGE;RESIDUAL,1,5,-5,1.04,-0.04132,-0.01144,0.893,0.893,6.82,-1.0,1.04,,1,1,GROUND;FINISHER_RING,0,0,16,0.96000004,-0.03768,-0.012559999,0.893,0.893,0.68,1.0,1.0,,1,6,ORBIT;FINISHER_ECHO,1,7,28,1.0,-0.01768,0.0054400004,0.94,0.94,-2.32,-1.0,1.0,,1,7,ORBIT;WARRIOR_ACCENT,0,4,-6,0.96000004,-0.03132,0.024559999,0.9165,0.9869999,-5.18,1.0,1.0,,1,3,TARGET|PHYSICAL|100|420|420|420:0:100|2131034560|2131034560,2131034560|2131034555|2131034556,2131034556,2131034556|2131034557,2131034557,2131034557|||||4|4|3|1
warrior_t05_c02|WARRIOR|25|1|전투도끼 낙하|AUTHORED_CLASS:WARRIOR:FOCUS|DESCEND|TOP_TO_BOTTOM|FRACTURE|FOCUS|1|0|warrior:c2:b2|warrior:c2:b2|2|v2:54da154b4f90ac2e|G09_DESCEND_TOP_TO_BOTTOM|LOW|SINGLE|G09_DESCEND_TOP_TO_BOTTOM:LOW:SINGLE~ANTICIPATION:2:6:-1:1:-2:32:31:1:1:1~PRIMARY:2:6:-3:-1:-2:30:31:-1:1:1~CONTACT:0:1:3:1:-1:32:31:3:-1:1~DEBRIS:2:4:4:1:0:32:33:0:1:1~RESIDUAL:2:2:4:1:-1:33:31:0:1:1~FINISHER_RING:2:2:0:1:-1:33:31:-1:1:1~FINISHER_ECHO:0:3:5:1:0:33:32:1:-1:1~WARRIOR_ACCENT:2:0:-6:0:-2:31:30:0:1:1|ANTICIPATION,2,6,-10,1.0,0.018,-0.033,0.96349996,0.9165,6.0,1.0,1.0,,1,0,LEADING_EDGE;PRIMARY,2,6,-22,1.04,-0.011999999,-0.033,0.893,0.9165,-3.0,1.0,1.04,,1,2,TARGET;CONTACT,0,1,23,0.96000004,0.01544,-0.02532,0.96349996,0.9165,13.08,-1.0,0.96000004,,1,4,TARGET;DEBRIS,2,4,28,0.96000004,0.01656,-0.0016800016,0.96349996,0.9869999,-1.0799999,1.0,1.0,,1,5,TRAILING_EDGE;RESIDUAL,2,2,24,1.04,0.02656,-0.01968,0.9869999,0.94,1.9200001,1.0,1.04,,1,1,GROUND;FINISHER_RING,2,2,2,0.92,0.02544,-0.01632,0.9869999,0.94,-4.92,1.0,0.92,,1,6,ORBIT;FINISHER_ECHO,0,3,30,1.08,0.02544,-0.00732,0.9869999,0.96349996,7.08,-1.0,0.92,,1,7,ORBIT;WARRIOR_ACCENT,2,0,-38,1.04,0.00656,-0.03768,0.94,0.893,1.9200001,1.0,1.04,,1,3,TARGET|EARTH|100|420|420|420:0:100|2131034563|2131034563,2131034563|2131034562|2131034552,2131034552,2131034552|2131034553,2131034553,2131034553|2131034554||||5|4|3|1
warrior_t06_c05|WARRIOR|30|4|광폭 연참|COMBO_SLASH:warrior_t06_c05|FLURRY|LEFT_TO_RIGHT|EDGE|FOCUS|1|1|warrior:c5:b2|warrior:c5:b2|2|v2:cb95db126779c121|G12_FLURRY_LEFT_TO_RIGHT|LOW|BARRAGE|G12_FLURRY_LEFT_TO_RIGHT:LOW:BARRAGE~ANTICIPATION:1:1:1:0:0:31:31:1:-1:4~PRIMARY:2:3:2:1:1:32:32:2:-1:4~CONTACT:0:5:3:2:-1:33:30:0:-1:4~DEBRIS:0:2:4:1:0:31:31:0:1:3~RESIDUAL:0:4:0:1:1:31:33:0:1:3~FINISHER_RING:1:3:0:1:1:32:32:2:-1:4~FINISHER_ECHO:1:1:0:0:0:31:31:2:-1:4~WARRIOR_ACCENT:0:2:0:1:0:32:31:4:1:3|ANTICIPATION,1,1,8,1.08,0.007999999,0.0010000002,0.9165,0.9165,6.0,-1.0,0.92,,4,0,LEADING_EDGE;PRIMARY,2,3,12,0.92,0.027999999,0.019,0.96349996,0.96349996,12.0,-1.0,0.92,,4,2,TARGET;CONTACT,0,5,20,1.08,0.03224,-0.0112,0.9869999,0.893,-0.84000015,-1.0,0.92,,4,4,TARGET;DEBRIS,0,2,24,1.0,0.01476,0.0082,0.94,0.94,0.84000015,1.0,1.0,,3,5,TRAILING_EDGE;RESIDUAL,0,4,-2,0.96000004,0.01476,0.0262,0.94,0.9869999,0.84000015,1.0,1.0,,3,1,GROUND;FINISHER_RING,1,3,-4,1.0,0.022239998,0.0158,0.96349996,0.96349996,8.16,-1.0,1.04,,4,6,ORBIT;FINISHER_ECHO,1,1,0,1.0,0.0022399994,-0.0021999995,0.9165,0.9165,11.16,-1.0,1.0,,4,7,ORBIT;WARRIOR_ACCENT,0,2,0,0.96000004,0.02476,0.0082,0.96349996,0.94,18.84,1.0,0.96000004,,3,3,TARGET|PHYSICAL|13,13,15,15,15,29|113,206,332,458,584,710|206,332,458,584,710|206:0,1:26;332:2:15;458:3:15;584:4:15;710:5:29|2131034581|2131034581|||||||h0=WARRIOR:0@r-28.0@m1.0@s0.82,h1=WARRIOR:2@r-24.0@m-1.0@s0.86,h2=WARRIOR:3@r-12.0@m1.0@s0.88,h3=WARRIOR:0@r-34.0@m-1.0@s0.91,h4=WARRIOR:4@r-38.0@m1.0@s0.93,h5=WARRIOR:5@r-15.0@m-1.0@s1.08|1|2|1|1
warrior_t07_c01|WARRIOR|35|0|맹호 참격|SINGLE_SLASH:warrior_t07_c01|CUT|LEFT_TO_RIGHT|EDGE|CROSS|1|2|warrior:c1:b2|warrior:c1:b2|2|v2:99c10043ce18f70e|G08_CUT_LEFT_TO_RIGHT|LOW|SINGLE|G08_CUT_LEFT_TO_RIGHT:LOW:SINGLE~ANTICIPATION:2:7:0:-1:0:31:31:-2:-1:1~PRIMARY:2:6:-4:-1:0:31:31:-2:1:1~CONTACT:1:3:3:-1:1:30:32:-2:-1:1~DEBRIS:1:3:0:0:1:33:32:-3:-1:1~RESIDUAL:1:3:3:-1:1:31:32:0:-1:1~FINISHER_RING:0:2:-1:1:0:33:31:-2:1:1~FINISHER_ECHO:0:5:4:0:-1:32:30:-2:-1:1~WARRIOR_ACCENT:0:5:-1:-2:-1:30:30:-1:-1:1|ANTICIPATION,2,7,2,0.92,-0.014,0.006,0.94,0.94,-8.0,-1.0,0.96000004,,1,0,LEADING_EDGE;PRIMARY,2,6,-26,1.0,-0.024,-0.0029999996,0.9165,0.9165,-11.0,1.0,1.0,,1,2,TARGET;CONTACT,1,3,20,0.92,-0.029520001,0.013079999,0.893,0.96349996,-9.4,-1.0,0.92,,1,4,TARGET;DEBRIS,1,3,-5,0.92,0.00852,0.01392,0.9869999,0.96349996,-13.1,-1.0,0.96000004,,1,5,TRAILING_EDGE;RESIDUAL,1,3,20,1.0,-0.02148,0.01392,0.9165,0.96349996,-1.0999999,-1.0,1.04,,1,1,GROUND;FINISHER_RING,0,2,-8,0.96000004,0.010479999,0.00408,0.9869999,0.94,-12.4,1.0,1.0,,1,6,ORBIT;FINISHER_ECHO,0,5,28,0.96000004,4.79999E-4,-0.01392,0.96349996,0.893,-9.4,-1.0,0.96000004,,1,7,ORBIT;WARRIOR_ACCENT,0,5,-10,1.0,-0.03148,-0.013079999,0.893,0.893,-4.1,-1.0,1.04,,1,3,TARGET|PHYSICAL|100|420|420|420:0:100|2131034566|2131034566|||||||h0=WARRIOR:3@r0.0@m1.0@s1.0|2|2|1|2
warrior_t08_c02|WARRIOR|40|1|성문 깨기|AUTHORED_CLASS:WARRIOR:RUPTURE|DESCEND|TOP_TO_BOTTOM|FRACTURE|RUPTURE|1|3|warrior:c2:b2|warrior:c2:b2|2|v2:e5ac932a19c598e5|G09_DESCEND_TOP_TO_BOTTOM|LOW|SINGLE|G09_DESCEND_TOP_TO_BOTTOM:LOW:SINGLE~ANTICIPATION:2:4:-5:0:0:31:33:-1:1:1~PRIMARY:1:3:-3:-1:-1:30:32:-1:-1:1~CONTACT:0:3:0:1:0:32:32:3:-1:1~DEBRIS:2:3:1:0:-1:31:32:2:-1:1~RESIDUAL:1:4:0:0:0:31:33:0:1:1~FINISHER_RING:2:3:1:0:0:31:32:1:-1:1~FINISHER_ECHO:0:1:7:1:-1:32:31:1:-1:1~WARRIOR_ACCENT:1:3:-1:0:-1:31:32:0:-1:1|ANTICIPATION,2,4,-34,1.04,0.008,-0.006000001,0.94,0.9869999,-3.0,1.0,1.04,,1,0,LEADING_EDGE;PRIMARY,1,3,-18,1.08,-0.011999999,-0.015000001,0.893,0.96349996,-3.0,-1.0,0.92,,1,2,TARGET;CONTACT,0,3,3,0.96000004,0.01544,-0.00732,0.96349996,0.96349996,13.08,-1.0,0.96000004,,1,4,TARGET;DEBRIS,2,3,8,0.92,0.00656,-0.010680001,0.94,0.96349996,10.92,-1.0,0.92,,1,5,TRAILING_EDGE;RESIDUAL,1,4,0,0.96000004,-0.0034399997,-0.0016800016,0.9165,0.9869999,-1.0799999,1.0,1.0,,1,1,GROUND;FINISHER_RING,2,3,6,1.08,-0.0045599993,-0.00732,0.9165,0.96349996,7.08,-1.0,0.92,,1,6,ORBIT;FINISHER_ECHO,0,1,42,1.04,0.01544,-0.02532,0.96349996,0.9165,4.08,-1.0,1.04,,1,7,ORBIT;WARRIOR_ACCENT,1,3,-10,0.96000004,0.00656,-0.010680001,0.94,0.96349996,1.9200001,-1.0,1.0,,1,3,TARGET|EARTH|100|420|420|420:0:100|2131034563|2131034563,2131034563|2131034562|2131034552,2131034552,2131034552|2131034553,2131034553,2131034553|2131034554||||5|4|3|1
warrior_t09_c03|WARRIOR|45|2|불굴 진격|AUTHORED_CLASS:WARRIOR:CROSS|CHARGE|LEFT_TO_RIGHT|POINT|CROSS|2|0|warrior:c3:b3|warrior:c3:b3|2|v2:b43412eab493c9ab|G05_CHARGE_LEFT_TO_RIGHT|MID|SINGLE|G05_CHARGE_LEFT_TO_RIGHT:MID:SINGLE~ANTICIPATION:2:3:-4:-1:1:33:34:-2:-1:1~PRIMARY:0:7:0:-2:0:32:33:-1:-1:1~CONTACT:2:1:0:-1:0:33:33:-1:-1:1~DEBRIS:2:6:1:-1:0:33:33:0:1:1~RESIDUAL:0:0:3:-2:-1:33:32:1:1:1~FINISHER_RING:2:3:0:-1:1:33:34:0:-1:1~FINISHER_ECHO:1:7:3:-1:0:33:33:-2:-1:1~WARRIOR_ACCENT:2:6:-3:-2:0:32:33:-2:1:1|ANTICIPATION,2,3,-28,0.96000004,-0.026,0.017,1.0,1.025,-8.0,-1.0,0.96000004,,1,0,LEADING_EDGE;PRIMARY,0,7,-2,0.92,-0.046,0.008,0.95,1.0,-5.0,-1.0,0.96000004,,1,2,TARGET;CONTACT,2,1,-4,1.0,-0.02768,-0.0035599992,0.97499996,0.97499996,-5.32,-1.0,1.0,,1,4,TARGET;DEBRIS,2,6,10,0.92,-0.02132,-0.0024399995,1.0,0.97499996,-2.18,1.0,0.96000004,,1,5,TRAILING_EDGE;RESIDUAL,0,0,23,1.08,-0.03132,-0.01144,0.97499996,0.95,3.82,1.0,0.92,,1,1,GROUND;FINISHER_RING,2,3,0,1.08,-0.01768,0.01444,1.0,1.025,-2.32,-1.0,0.92,,1,6,ORBIT;FINISHER_ECHO,1,7,20,1.08,-0.01768,0.0054400004,1.0,1.0,-8.32,-1.0,0.92,,1,7,ORBIT;WARRIOR_ACCENT,2,6,-22,0.96000004,-0.04132,-0.0024399995,0.95,0.97499996,-8.18,1.0,0.96000004,,1,3,TARGET|PHYSICAL|100|420|420|420:0:100|2131034560|2131034560,2131034560|2131034555|2131034556,2131034556,2131034556|2131034557,2131034557,2131034557|2131034558||||5|4|4|1
warrior_t10_c01|WARRIOR|50|0|성벽 양단|SINGLE_SLASH:warrior_t10_c01|CUT|LEFT_TO_RIGHT|EDGE|FOCUS|2|1|warrior:c1:b3|warrior:c1:b3|2|v2:d38e8142fef45ed4|G08_CUT_LEFT_TO_RIGHT|MID|SINGLE|G08_CUT_LEFT_TO_RIGHT:MID:SINGLE~ANTICIPATION:1:0:1:-1:-1:33:32:-2:1:1~PRIMARY:0:4:1:-1:1:33:35:0:1:1~CONTACT:0:6:2:-1:0:32:33:-2:1:1~DEBRIS:0:4:3:0:1:35:35:0:1:1~RESIDUAL:2:1:6:-2:0:32:33:0:-1:1~FINISHER_RING:1:2:3:-1:0:33:33:0:1:1~FINISHER_ECHO:2:6:7:-1:0:33:33:0:1:1~WARRIOR_ACCENT:2:7:-3:0:0:34:33:-2:-1:1|ANTICIPATION,1,0,6,1.08,-0.014,-0.011999999,1.0,0.95,-8.0,1.0,0.92,,1,0,LEADING_EDGE;PRIMARY,0,4,10,1.08,-0.014,0.024,1.0,1.05,1.0,1.0,0.92,,1,2,TARGET;CONTACT,0,6,16,1.08,-0.029520001,-0.0049199997,0.95,0.97499996,-12.4,1.0,0.92,,1,4,TARGET;DEBRIS,0,4,23,0.92,0.00852,0.02292,1.05,1.05,-1.0999999,1.0,0.92,,1,5,TRAILING_EDGE;RESIDUAL,2,1,36,1.04,-0.03148,-0.0040799994,0.95,0.97499996,1.9000001,-1.0,1.04,,1,1,GROUND;FINISHER_RING,1,2,20,1.0,-0.01952,0.00408,0.97499996,1.0,-0.4000001,1.0,1.0,,1,6,ORBIT;FINISHER_ECHO,2,6,44,1.08,-0.01952,-0.0049199997,0.97499996,0.97499996,-0.4000001,1.0,0.92,,1,7,ORBIT;WARRIOR_ACCENT,2,7,-18,0.96000004,-0.0014800001,0.00492,1.025,1.0,-10.1,-1.0,1.0,,1,3,TARGET|PHYSICAL|100|420|420|420:0:100|2131034566|2131034566|||||||h0=WARRIOR:4@r0.0@m1.0@s1.0|3|3|1|2
