assetId|assetName|firstRole
2131034810|vfx_warrior_01|PRIMARY
2131034225|vfx2_warrior_heavy_secondary|SECONDARY
2131034783|vfx_projectile_08|WARRIOR_ACCENT
2131034590|vfx5_warrior_heavy_low_primary_a|PRIMARY
2131034677|vfx6_warrior_heavy_debris|DEBRIS
2131034676|vfx6_warrior_heavy_contact|CONTACT
2131034223|vfx2_warrior_charge_secondary|SECONDARY
2131034572|vfx5_warrior_charge_low_primary_b|PRIMARY
2131034809|vfx_vortex_10|WARRIOR_ACCENT
2131034670|vfx6_warrior_charge_contact|CONTACT
2131034671|vfx6_warrior_charge_debris|DEBRIS
2131034224|vfx2_warrior_earth_residual|SECONDARY
2131034580|vfx5_warrior_earth_low_primary_a|PRIMARY
2131034804|vfx_vortex_05|WARRIOR_ACCENT
2131034674|vfx6_warrior_earth_debris|DEBRIS
2131034673|vfx6_warrior_earth_contact|CONTACT
2131034812|vfx_warrior_03|PRIMARY
2131034591|vfx5_warrior_heavy_low_primary_b|PRIMARY
2131034571|vfx5_warrior_charge_low_primary_a|PRIMARY
2131034749|vfx_column_07|WARRIOR_ACCENT
2131034581|vfx5_warrior_earth_low_primary_b|PRIMARY
2131034211|vfx2_warrior_b02_afterglow|RESIDUAL
2131034813|vfx_warrior_04|PRIMARY
2131034814|vfx_warrior_05|PRIMARY
2131034803|vfx_vortex_04|PRIMARY
2131034815|vfx_warrior_06|PRIMARY
2131034811|vfx_warrior_02|PRIMARY
2131034802|vfx_vortex_03|PRIMARY
2131034593|vfx5_warrior_heavy_mid_primary_a|PRIMARY
2131034214|vfx2_warrior_b03_afterglow|RESIDUAL
2131034575|vfx5_warrior_charge_mid_primary_b|PRIMARY
2131034583|vfx5_warrior_earth_mid_primary_a|PRIMARY
2131034594|vfx5_warrior_heavy_mid_primary_b|PRIMARY
2131034574|vfx5_warrior_charge_mid_primary_a|PRIMARY
2131034584|vfx5_warrior_earth_mid_primary_b|PRIMARY
2131034817|vfx_warrior_08|PRIMARY
2131034217|vfx2_warrior_b04_afterglow|RESIDUAL
2131034592|vfx5_warrior_heavy_mid_finisher|FINISHER_RING
2131034573|vfx5_warrior_charge_mid_finisher|FINISHER_RING
2131034582|vfx5_warrior_earth_mid_finisher|FINISHER_RING
2131034816|vfx_warrior_07|PRIMARY
2131034818|vfx_warrior_09|PRIMARY
2131034820|vfx_warrior_11|PRIMARY
2131034587|vfx5_warrior_heavy_high_primary_a|PRIMARY
2131034220|vfx2_warrior_b05_afterglow|RESIDUAL
2131034586|vfx5_warrior_heavy_high_finisher|FINISHER_RING
2131034678|vfx6_warrior_heavy_echo|FINISHER_ECHO
2131034569|vfx5_warrior_charge_high_primary_b|PRIMARY
2131034567|vfx5_warrior_charge_high_finisher|FINISHER_RING
2131034672|vfx6_warrior_charge_echo|FINISHER_ECHO
2131034577|vfx5_warrior_earth_high_primary_a|PRIMARY
2131034576|vfx5_warrior_earth_high_finisher|FINISHER_RING
2131034675|vfx6_warrior_earth_echo|FINISHER_ECHO
2131034588|vfx5_warrior_heavy_high_primary_b|PRIMARY
2131034568|vfx5_warrior_charge_high_primary_a|PRIMARY
2131034578|vfx5_warrior_earth_high_primary_b|PRIMARY
2131034819|vfx_warrior_10|PRIMARY
2131034527|vfx5_rogue_blade_low_primary_b|PRIMARY
2131034655|vfx6_rogue_blade_contact|CONTACT
2131034526|vfx5_rogue_blade_low_primary_a|PRIMARY
2131034254|vfx3_rogue_secondary_pierce|SECONDARY
2131034656|vfx6_rogue_blade_debris|DEBRIS
2131034553|vfx5_rogue_shadow_low_primary_a|PRIMARY
2131034554|vfx5_rogue_shadow_low_primary_b|PRIMARY
2131034664|vfx6_rogue_shadow_contact|CONTACT
2131034256|vfx3_rogue_secondary_shadow|SECONDARY
2131034665|vfx6_rogue_shadow_debris|DEBRIS
2131034545|vfx5_rogue_poison_low_primary_b|PRIMARY
2131034661|vfx6_rogue_poison_contact|CONTACT
2131034255|vfx3_rogue_secondary_poison|SECONDARY
2131034544|vfx5_rogue_poison_low_primary_a|PRIMARY
2131034662|vfx6_rogue_poison_debris|DEBRIS
2131034562|vfx5_rogue_wire_low_primary_a|PRIMARY
2131034667|vfx6_rogue_wire_contact|CONTACT
2131034563|vfx5_rogue_wire_low_primary_b|PRIMARY
2131034257|vfx3_rogue_secondary_wire|SECONDARY
2131034668|vfx6_rogue_wire_debris|DEBRIS
2131034253|vfx3_rogue_secondary_execute|SECONDARY
2131034536|vfx5_rogue_execute_low_primary_b|PRIMARY
2131034659|vfx6_rogue_execute_debris|DEBRIS
2131034658|vfx6_rogue_execute_contact|CONTACT
2131034535|vfx5_rogue_execute_low_primary_a|PRIMARY
2131034249|vfx3_rogue_residual_pierce|RESIDUAL
2131034251|vfx3_rogue_residual_shadow|RESIDUAL
2131034250|vfx3_rogue_residual_poison|RESIDUAL
2131034252|vfx3_rogue_residual_wire|RESIDUAL
2131034248|vfx3_rogue_residual_execute|RESIDUAL
2131034530|vfx5_rogue_blade_mid_primary_b|PRIMARY
2131034529|vfx5_rogue_blade_mid_primary_a|PRIMARY
2131034556|vfx5_rogue_shadow_mid_primary_a|PRIMARY
2131034557|vfx5_rogue_shadow_mid_primary_b|PRIMARY
2131034548|vfx5_rogue_poison_mid_primary_b|PRIMARY
2131034547|vfx5_rogue_poison_mid_primary_a|PRIMARY
2131034565|vfx5_rogue_wire_mid_primary_a|PRIMARY
2131034566|vfx5_rogue_wire_mid_primary_b|PRIMARY
2131034539|vfx5_rogue_execute_mid_primary_b|PRIMARY
2131034538|vfx5_rogue_execute_mid_primary_a|PRIMARY
2131034528|vfx5_rogue_blade_mid_finisher|FINISHER_RING
2131034555|vfx5_rogue_shadow_mid_finisher|FINISHER_RING
2131034546|vfx5_rogue_poison_mid_finisher|FINISHER_RING
2131034564|vfx5_rogue_wire_mid_finisher|FINISHER_RING
2131034537|vfx5_rogue_execute_mid_finisher|FINISHER_RING
2131034524|vfx5_rogue_blade_high_primary_b|PRIMARY
2131034523|vfx5_rogue_blade_high_primary_a|PRIMARY
2131034522|vfx5_rogue_blade_high_finisher|FINISHER_RING
2131034657|vfx6_rogue_blade_echo|FINISHER_ECHO
2131034550|vfx5_rogue_shadow_high_primary_a|PRIMARY
2131034549|vfx5_rogue_shadow_high_finisher|FINISHER_RING
2131034666|vfx6_rogue_shadow_echo|FINISHER_ECHO
2131034542|vfx5_rogue_poison_high_primary_b|PRIMARY
2131034541|vfx5_rogue_poison_high_primary_a|PRIMARY
2131034540|vfx5_rogue_poison_high_finisher|FINISHER_RING
2131034663|vfx6_rogue_poison_echo|FINISHER_ECHO
2131034559|vfx5_rogue_wire_high_primary_a|PRIMARY
2131034560|vfx5_rogue_wire_high_primary_b|PRIMARY
2131034558|vfx5_rogue_wire_high_finisher|FINISHER_RING
2131034669|vfx6_rogue_wire_echo|FINISHER_ECHO
2131034533|vfx5_rogue_execute_high_primary_b|PRIMARY
2131034531|vfx5_rogue_execute_high_finisher|FINISHER_RING
2131034660|vfx6_rogue_execute_echo|FINISHER_ECHO
2131034551|vfx5_rogue_shadow_high_primary_b|PRIMARY
2131034532|vfx5_rogue_execute_high_primary_a|PRIMARY
2131034239|vfx3_ranger_secondary_precision|SECONDARY
2131034500|vfx5_ranger_precision_low_primary_b|PRIMARY
2131034646|vfx6_ranger_precision_contact|CONTACT
2131034647|vfx6_ranger_precision_debris|DEBRIS
2131034508|vfx5_ranger_volley_low_primary_a|PRIMARY
2131034649|vfx6_ranger_volley_contact|CONTACT
2131034509|vfx5_ranger_volley_low_primary_b|PRIMARY
2131034240|vfx3_ranger_secondary_volley|SECONDARY
2131034650|vfx6_ranger_volley_debris|DEBRIS
2131034518|vfx5_ranger_wind_low_primary_b|PRIMARY
2131034652|vfx6_ranger_wind_contact|CONTACT
2131034241|vfx3_ranger_secondary_wind|SECONDARY
2131034517|vfx5_ranger_wind_low_primary_a|PRIMARY
2131034653|vfx6_ranger_wind_debris|DEBRIS
2131034481|vfx5_ranger_beast_low_primary_a|PRIMARY
2131034640|vfx6_ranger_beast_contact|CONTACT
2131034237|vfx3_ranger_secondary_beast|SECONDARY
2131034482|vfx5_ranger_beast_low_primary_b|PRIMARY
2131034641|vfx6_ranger_beast_debris|DEBRIS
2131034491|vfx5_ranger_celestial_low_primary_b|PRIMARY
2131034643|vfx6_ranger_celestial_contact|CONTACT
2131034490|vfx5_ranger_celestial_low_primary_a|PRIMARY
2131034238|vfx3_ranger_secondary_celestial|SECONDARY
2131034644|vfx6_ranger_celestial_debris|DEBRIS
2131034499|vfx5_ranger_precision_low_primary_a|PRIMARY
2131034234|vfx3_ranger_residual_precision|RESIDUAL
2131034235|vfx3_ranger_residual_volley|RESIDUAL
2131034236|vfx3_ranger_residual_wind|RESIDUAL
2131034232|vfx3_ranger_residual_beast|RESIDUAL
2131034233|vfx3_ranger_residual_celestial|RESIDUAL
2131034503|vfx5_ranger_precision_mid_primary_b|PRIMARY
2131034511|vfx5_ranger_volley_mid_primary_a|PRIMARY
2131034512|vfx5_ranger_volley_mid_primary_b|PRIMARY
